vehicle_id,citizen_id,vehicle_number,vehicle_type
VH000103,CID000162,KA08AB6434,Bike
VH000104,CID000163,KA38AB6211,Auto
VH000105,CID000165,KA02AB2761,Car
VH000106,CID000166,KA75AB7232,Car
VH000107,CID000167,KA03AB8798,Auto
VH000108,CID000171,KA79AB7167,Car
VH000109,CID000174,KA99AB2702,Car
VH000110,CID000177,KA37AB6554,Auto
VH000111,CID000180,KA61AB3087,Truck
VH000112,CID000182,KA54AB4833,Truck
VH000113,CID000185,KA75AB1755,Auto
VH000114,CID000189,KA20AB6397,Auto
VH000115,CID000191,KA59AB7699,Car
VH000116,CID000194,KA92AB3621,Bike
VH000117,CID000195,KA31AB8586,Bike
VH000118,CID000196,KA82AB3225,Truck
VH000119,CID000197,KA67AB9489,Car
VH000120,CID000199,KA72AB6074,Car
VH000121,CID000200,KA13AB2635,Bike
VH000122,CID000201,KA49AB8376,Auto
VH000123,CID000203,KA37AB5381,Car
VH000124,CID000204,KA61AB9811,Truck
VH000125,CID000205,KA30AB4717,Truck
VH000126,CID000206,KA77AB4627,Bike
VH000127,CID000209,KA79AB5630,Auto
VH000128,CID000210,KA72AB6347,Car
VH000129,CID000211,KA15AB4508,Bike
VH000130,CID000213,KA07AB1714,Bike
VH000131,CID000214,KA25AB3266,Truck
VH000132,CID000215,KA68AB9010,Auto
VH000133,CID000216,KA62AB2124,Auto
VH000134,CID000218,KA92AB9201,Truck
VH000135,CID000220,KA85AB1653,Car
VH000136,CID000221,KA77AB1990,Truck
VH000137,CID000222,KA16AB2851,Truck
VH000138,CID000224,KA77AB3041,Auto
VH000139,CID000225,KA09AB9981,Car
VH000140,CID000226,KA96AB9775,Car
VH000141,CID000227,KA97AB2465,Car
VH000142,CID000229,KA02AB8431,Auto
VH000143,CID000235,KA28AB4474,Auto
VH000144,CID000237,KA60AB4215,Truck
VH000145,CID000239,KA04AB9496,Truck
VH000146,CID000240,KA46AB2146,Truck
VH000147,CID000241,KA98AB8103,Car
VH000148,CID000242,KA95AB8257,Bike
VH000149,CID000243,KA55AB6710,Bike
VH000150,CID000244,KA97AB2149,Truck
VH000151,CID000245,KA53AB3467,Truck
VH000152,CID000247,KA35AB5544,Car
VH000153,CID000248,KA43AB8441,Auto
VH000154,CID000250,KA54AB1643,Bike
VH000155,CID000251,KA70AB1475,Auto
VH000156,CID000252,KA77AB7111,Car
VH000157,CID000253,KA98AB5751,Car
VH000158,CID000255,KA95AB5172,Bike
VH000159,CID000256,KA20AB9451,Auto
VH000160,CID000258,KA18AB7555,Truck
VH000161,CID000259,KA87AB6292,Truck
VH000162,CID000260,KA74AB3146,Auto
VH000163,CID000262,KA23AB3978,Car
VH000164,CID000263,KA71AB7100,Car
VH000165,CID000266,KA77AB5354,Car
VH000166,CID000267,KA96AB5873,Auto
VH000167,CID000268,KA07AB7583,Car
VH000168,CID000271,KA51AB2374,Bike
VH000169,CID000272,KA82AB7808,Auto
VH000170,CID000273,KA68AB4011,Bike
VH000171,CID000274,KA87AB2913,Bike
VH000172,CID000275,KA66AB7223,Car
VH000173,CID000276,KA35AB9619,Car
VH000174,CID000277,KA45AB6977,Bike
VH000175,CID000279,KA80AB8607,Auto
VH000176,CID000280,KA62AB7035,Auto
VH000177,CID000282,KA01AB2620,Bike
VH000178,CID000284,KA53AB9556,Car
VH000179,CID000285,KA41AB7170,Bike
VH000180,CID000286,KA24AB9714,Bike
VH000181,CID000287,KA67AB7472,Truck
VH000182,CID000288,KA26AB9741,Truck
VH000183,CID000291,KA23AB2860,Auto
VH000184,CID000292,KA42AB8119,Car
VH000185,CID000293,KA01AB1774,Bike
VH000186,CID000294,KA85AB5321,Car
VH000187,CID000297,KA22AB7664,Auto
VH000188,CID000300,KA41AB1856,Auto
VH000189,CID000302,KA37AB8837,Auto
VH000190,CID000304,KA51AB6409,Auto
VH000191,CID000305,KA47AB2195,Truck
VH000192,CID000307,KA09AB1981,Bike
VH000193,CID000308,KA70AB5678,Auto
VH000194,CID000309,KA95AB2203,Bike
VH000195,CID000310,KA95AB6405,Car
VH000196,CID000311,KA43AB7810,Truck
VH000197,CID000312,KA62AB7506,Truck
VH000198,CID000316,KA24AB4840,Bike
VH000199,CID000317,KA92AB1801,Car
VH000200,CID000318,KA86AB3575,Bike
VH000201,CID000319,KA64AB2642,Bike
VH000202,CID000320,KA39AB9429,Auto
VH000203,CID000321,KA61AB7926,Truck
VH000204,CID000322,KA71AB1066,Truck
VH000205,CID000323,KA11AB1820,Truck
VH000206,CID000326,KA91AB7750,Car
VH000207,CID000328,KA81AB1126,Auto
VH000208,CID000329,KA80AB7323,Bike
VH000209,CID000330,KA28AB1446,Car
VH000210,CID000332,KA67AB4042,Truck
VH000211,CID000333,KA84AB9813,Truck
VH000212,CID000335,KA32AB7106,Auto
VH000213,CID000336,KA56AB2888,Bike
VH000214,CID000339,KA09AB5795,Bike
VH000215,CID000340,KA68AB9469,Auto
VH000216,CID000345,KA55AB3732,Truck
VH000217,CID000347,KA52AB9354,Auto
VH000218,CID000350,KA79AB4842,Auto
VH000219,CID000351,KA10AB9514,Bike
VH000220,CID000352,KA85AB2812,Auto
VH000221,CID000354,KA90AB9126,Truck
VH000222,CID000355,KA06AB1626,Auto
VH000223,CID000356,KA23AB7046,Bike
VH000224,CID000357,KA93AB3932,Truck
VH000225,CID000358,KA76AB8110,Truck
VH000226,CID000360,KA04AB6029,Auto
VH000227,CID000361,KA02AB4593,Bike
VH000228,CID000362,KA22AB3830,Truck
VH000229,CID000364,KA64AB5563,Car
VH000230,CID000367,KA56AB4284,Car
VH000231,CID000368,KA20AB4701,Auto
VH000232,CID000369,KA53AB9580,Bike
VH000233,CID000370,KA93AB7899,Car
VH000234,CID000371,KA83AB9029,Bike
VH000235,CID000372,KA32AB5386,Auto
VH000236,CID000373,KA20AB3897,Bike
VH000237,CID000375,KA39AB5063,Truck
VH000238,CID000376,KA28AB1473,Auto
VH000239,CID000377,KA37AB7266,Bike
VH000240,CID000378,KA63AB6221,Car
VH000241,CID000379,KA49AB2090,Auto
VH000242,CID000380,KA30AB6849,Auto
VH000243,CID000381,KA08AB1346,Car
VH000244,CID000382,KA58AB4294,Auto
VH000245,CID000384,KA79AB7499,Truck
VH000246,CID000385,KA13AB8353,Car
VH000247,CID000386,KA59AB2876,Auto
VH000248,CID000387,KA30AB5544,Car
VH000249,CID000389,KA07AB6453,Car
VH000250,CID000390,KA16AB1323,Car
VH000251,CID000391,KA04AB1039,Truck
VH000252,CID000392,KA22AB1775,Bike
VH000253,CID000393,KA56AB8473,Bike
VH000254,CID000394,KA83AB1355,Truck
VH000255,CID000396,KA80AB6077,Truck
VH000256,CID000397,KA42AB8569,Car
VH000257,CID000398,KA72AB5181,Car
VH000258,CID000399,KA76AB7048,Car
VH000259,CID000400,KA90AB2892,Truck
VH000260,CID000402,KA86AB4479,Auto
VH000261,CID000404,KA83AB8728,Truck
VH000262,CID000405,KA99AB2982,Car
VH000263,CID000407,KA85AB4616,Truck
VH000264,CID000410,KA43AB4394,Truck
VH000265,CID000411,KA65AB3145,Truck
VH000266,CID000414,KA95AB8520,Car
VH000267,CID000416,KA89AB3358,Bike
VH000268,CID000417,KA84AB2501,Car
VH000269,CID000418,KA31AB1645,Bike
VH000270,CID000419,KA18AB4640,Auto
VH000271,CID000420,KA49AB6041,Truck
VH000272,CID000421,KA24AB2460,Truck
VH000273,CID000422,KA58AB2246,Car
VH000274,CID000423,KA82AB1418,Bike
VH000275,CID000424,KA40AB1648,Bike
VH000276,CID000428,KA35AB2675,Car
VH000277,CID000429,KA63AB3204,Truck
VH000278,CID000435,KA01AB9080,Auto
VH000279,CID000440,KA54AB1061,Bike
VH000280,CID000441,KA67AB8922,Bike
VH000281,CID000442,KA12AB4805,Truck
VH000282,CID000443,KA15AB5020,Truck
VH000283,CID000444,KA06AB8774,Auto
VH000284,CID000446,KA26AB8791,Truck
VH000285,CID000449,KA44AB9385,Truck
VH000286,CID000451,KA37AB6763,Auto
VH000287,CID000452,KA71AB9165,Truck
VH000288,CID000453,KA71AB2650,Car
VH000289,CID000456,KA94AB2152,Car
VH000290,CID000457,KA70AB4471,Bike
VH000291,CID000458,KA48AB7711,Truck
VH000292,CID000459,KA69AB8390,Truck
VH000293,CID000460,KA46AB2837,Car
VH000294,CID000462,KA44AB8654,Auto
VH000295,CID000464,KA51AB1676,Auto
VH000296,CID000465,KA30AB1566,Car
VH000297,CID000466,KA02AB3244,Truck
VH000298,CID000469,KA71AB7397,Bike
VH000299,CID000470,KA65AB9977,Bike
VH000300,CID000471,KA02AB1792,Auto
VH000301,CID000473,KA36AB6375,Truck
VH000302,CID000474,KA58AB9171,Bike
VH000303,CID000475,KA63AB9979,Bike
VH000304,CID000476,KA40AB4053,Truck
VH000305,CID000478,KA51AB7055,Car
VH000306,CID000479,KA34AB5152,Bike
VH000307,CID000481,KA95AB3941,Auto
VH000308,CID000482,KA78AB5621,Truck
VH000309,CID000484,KA42AB6941,Bike
VH000310,CID000487,KA85AB6601,Bike
VH000311,CID000488,KA40AB7809,Truck
VH000312,CID000489,KA38AB9881,Car
VH000313,CID000490,KA26AB6940,Bike
VH000314,CID000491,KA15AB3279,Auto
VH000315,CID000492,KA01AB7897,Bike
VH000316,CID000494,KA34AB1253,Bike
VH000317,CID000495,KA79AB3472,Truck
VH000318,CID000497,KA39AB3305,Truck
VH000319,CID000498,KA15AB2498,Car
VH000320,CID000502,KA85AB8346,Auto
VH000321,CID000503,KA73AB6750,Truck
VH000322,CID000504,KA99AB9702,Car
VH000323,CID000505,KA98AB5129,Truck
VH000324,CID000507,KA46AB8454,Auto
VH000325,CID000508,KA12AB3665,Bike
VH000326,CID000509,KA86AB1284,Car
VH000327,CID000511,KA30AB9643,Bike
VH000328,CID000512,KA59AB5630,Car
VH000329,CID000513,KA21AB6579,Bike
VH000330,CID000515,KA34AB4084,Truck
VH000331,CID000516,KA93AB1389,Bike
VH000332,CID000517,KA06AB3658,Car
VH000333,CID000518,KA91AB3408,Auto
VH000334,CID000521,KA35AB7958,Bike
VH000335,CID000522,KA36AB2800,Truck
VH000336,CID000523,KA81AB5301,Auto
VH000337,CID000526,KA10AB2418,Truck
VH000338,CID000528,KA36AB7900,Bike
VH000339,CID000529,KA02AB9590,Truck
VH000340,CID000534,KA61AB4640,Car
VH000341,CID000535,KA53AB2838,Auto
VH000342,CID000538,KA61AB3875,Truck
VH000343,CID000540,KA21AB7631,Car
VH000344,CID000542,KA07AB8126,Car
VH000345,CID000543,KA81AB2373,Truck
VH000346,CID000546,KA64AB4394,Bike
VH000347,CID000548,KA04AB9235,Bike
VH000348,CID000550,KA39AB3722,Auto
VH000349,CID000552,KA47AB2648,Car
VH000350,CID000554,KA87AB8656,Car
VH000351,CID000557,KA56AB4040,Auto
VH000352,CID000558,KA88AB5297,Truck
VH000353,CID000559,KA61AB3399,Auto
VH000354,CID000562,KA93AB2956,Bike
VH000355,CID000565,KA24AB5171,Auto
VH000356,CID000566,KA83AB3093,Car
VH000357,CID000570,KA87AB2323,Bike
VH000358,CID000572,KA94AB5676,Car
VH000359,CID000573,KA60AB8505,Car
VH000360,CID000574,KA39AB8991,Car
VH000361,CID000575,KA75AB4095,Auto
VH000362,CID000577,KA62AB2408,Auto
VH000363,CID000578,KA96AB3712,Car
VH000364,CID000579,KA57AB9235,Car
VH000365,CID000580,KA98AB5034,Auto
VH000366,CID000581,KA56AB7822,Car
VH000367,CID000582,KA01AB2415,Truck
VH000368,CID000584,KA41AB8066,Auto
VH000369,CID000585,KA78AB6387,Auto
VH000370,CID000586,KA83AB6617,Truck
VH000371,CID000588,KA21AB1851,Car
VH000372,CID000589,KA04AB3457,Car
VH000373,CID000590,KA55AB7857,Truck
VH000374,CID000592,KA52AB3134,Car
VH000375,CID000593,KA53AB1086,Car
VH000376,CID000594,KA33AB7768,Car
VH000377,CID000595,KA60AB3573,Bike
VH000378,CID000596,KA40AB7202,Bike
VH000379,CID000600,KA51AB2670,Bike
VH000380,CID000602,KA93AB1534,Auto
VH000381,CID000603,KA70AB3119,Bike
VH000382,CID000604,KA73AB5330,Bike
VH000383,CID000605,KA69AB7839,Bike
VH000384,CID000608,KA94AB3678,Auto
VH000385,CID000610,KA82AB2443,Car
VH000386,CID000612,KA98AB1203,Car
VH000387,CID000613,KA82AB6684,Bike
VH000388,CID000614,KA24AB5346,Truck
VH000389,CID000615,KA71AB6487,Truck
VH000390,CID000616,KA66AB9824,Truck
VH000391,CID000617,KA73AB5228,Auto
VH000392,CID000621,KA41AB3502,Bike
VH000393,CID000623,KA88AB6539,Bike
VH000394,CID000625,KA08AB6190,Auto
VH000395,CID000628,KA63AB5848,Truck
VH000396,CID000630,KA19AB1497,Car
VH000397,CID000631,KA89AB5795,Bike
VH000398,CID000632,KA91AB8435,Auto
VH000399,CID000634,KA67AB2548,Truck
VH000400,CID000640,KA85AB3885,Bike
VH000401,CID000641,KA43AB6166,Bike
VH000402,CID000642,KA12AB1695,Auto
VH000403,CID000643,KA50AB9795,Car
VH000404,CID000644,KA92AB1788,Car
VH000405,CID000646,KA69AB9198,Truck
VH000406,CID000647,KA21AB9095,Bike
VH000407,CID000652,KA39AB2473,Truck
VH000408,CID000653,KA11AB5071,Bike
VH000409,CID000656,KA20AB5340,Bike
VH000410,CID000657,KA78AB4694,Car
VH000411,CID000658,KA87AB2849,Truck
VH000412,CID000659,KA47AB2574,Truck
VH000413,CID000660,KA42AB9792,Auto
VH000414,CID000661,KA83AB4866,Car
VH000415,CID000662,KA25AB9277,Auto
VH000416,CID000663,KA77AB7595,Car
VH000417,CID000665,KA68AB1335,Car
VH000418,CID000666,KA30AB9643,Truck
VH000419,CID000667,KA68AB4650,Bike
VH000420,CID000669,KA73AB8850,Car
VH000421,CID000670,KA01AB3273,Bike
VH000422,CID000671,KA32AB2841,Auto
VH000423,CID000673,KA14AB7731,Truck
VH000424,CID000675,KA79AB4073,Truck
VH000425,CID000676,KA88AB8842,Car
VH000426,CID000677,KA12AB2834,Car
VH000427,CID000679,KA33AB4558,Truck
VH000428,CID000681,KA52AB2272,Truck
VH000429,CID000682,KA71AB5329,Car
VH000430,CID000685,KA94AB2653,Car
VH000431,CID000686,KA11AB8802,Bike
VH000432,CID000687,KA46AB3651,Truck
VH000433,CID000688,KA18AB8765,Car
VH000434,CID000693,KA78AB1069,Bike
VH000435,CID000694,KA26AB1949,Car
VH000436,CID000696,KA03AB9971,Bike
VH000437,CID000698,KA56AB3928,Truck
VH000438,CID000701,KA86AB3154,Bike
VH000439,CID000702,KA37AB7073,Truck
VH000440,CID000704,KA51AB1605,Truck
VH000441,CID000705,KA72AB8250,Auto
VH000442,CID000708,KA57AB8931,Auto
VH000443,CID000709,KA19AB1600,Car
VH000444,CID000710,KA14AB9847,Auto
VH000445,CID000712,KA27AB6503,Truck
VH000446,CID000713,KA26AB3177,Truck
VH000447,CID000715,KA61AB7362,Car
VH000448,CID000719,KA92AB5880,Car
VH000449,CID000720,KA54AB6933,Bike
VH000450,CID000721,KA25AB6261,Auto
VH000451,CID000723,KA82AB4332,Truck
VH000452,CID000724,KA88AB6294,Car
VH000453,CID000725,KA25AB6197,Truck
VH000454,CID000726,KA15AB2949,Auto
VH000455,CID000727,KA47AB7227,Auto
VH000456,CID000728,KA21AB8083,Bike
VH000457,CID000729,KA95AB7921,Car
VH000458,CID000731,KA09AB2143,Auto
VH000459,CID000733,KA48AB6925,Bike
VH000460,CID000734,KA48AB1843,Truck
VH000461,CID000735,KA67AB9319,Car
VH000462,CID000736,KA64AB6010,Bike
VH000463,CID000737,KA87AB4513,Truck
VH000464,CID000738,KA88AB5780,Auto
VH000465,CID000739,KA62AB3114,Bike
VH000466,CID000740,KA94AB3826,Truck
VH000467,CID000742,KA29AB1484,Auto
VH000468,CID000744,KA04AB4444,Auto
VH000469,CID000745,KA54AB5817,Car
VH000470,CID000749,KA04AB5664,Truck
VH000471,CID000750,KA43AB3038,Bike
VH000472,CID000752,KA51AB2249,Auto
VH000473,CID000755,KA62AB1591,Bike
VH000474,CID000756,KA29AB6754,Truck
VH000475,CID000757,KA88AB5943,Bike
VH000476,CID000758,KA99AB1460,Car
VH000477,CID000759,KA80AB1496,Auto
VH000478,CID000760,KA63AB6359,Truck
VH000479,CID000762,KA59AB2574,Auto
VH000480,CID000763,KA79AB8867,Car
VH000481,CID000764,KA99AB3312,Bike
VH000482,CID000766,KA55AB8088,Car
VH000483,CID000768,KA88AB1959,Auto
VH000484,CID000773,KA45AB6571,Truck
VH000485,CID000774,KA90AB2917,Truck
VH000486,CID000775,KA35AB2949,Auto
VH000487,CID000778,KA86AB2455,Car
VH000488,CID000779,KA63AB3616,Truck
VH000489,CID000780,KA63AB7619,Truck
VH000490,CID000781,KA17AB4370,Truck
VH000491,CID000783,KA98AB7520,Auto
VH000492,CID000784,KA94AB4714,Truck
VH000493,CID000786,KA69AB4243,Truck
VH000494,CID000788,KA39AB8029,Car
VH000495,CID000789,KA32AB4556,Car
VH000496,CID000790,KA10AB7560,Auto
VH000497,CID000793,KA17AB2101,Truck
VH000498,CID000794,KA83AB4009,Truck
VH000499,CID000796,KA61AB9144,Bike
VH000500,CID000798,KA44AB2900,Car
VH000501,CID000799,KA88AB5934,Truck
VH000502,CID000801,KA27AB2956,Auto
VH000503,CID000802,KA74AB2823,Bike
VH000504,CID000803,KA56AB5545,Auto
VH000505,CID000805,KA80AB4460,Auto
VH000506,CID000807,KA87AB2245,Bike
VH000507,CID000811,KA95AB8261,Truck
VH000508,CID000812,KA92AB9815,Auto
VH000509,CID000813,KA15AB4963,Truck
VH000510,CID000815,KA20AB1120,Auto
VH000511,CID000816,KA44AB8223,Truck
VH000512,CID000817,KA97AB6579,Auto
VH000513,CID000818,KA43AB9046,Truck
VH000514,CID000819,KA75AB4942,Truck
VH000515,CID000820,KA33AB4483,Car
VH000516,CID000821,KA47AB2744,Car
VH000517,CID000822,KA03AB3899,Car
VH000518,CID000824,KA28AB2780,Auto
VH000519,CID000825,KA05AB8375,Truck
VH000520,CID000826,KA21AB4357,Truck
VH000521,CID000829,KA28AB2800,Truck
VH000522,CID000830,KA79AB4773,Truck
VH000523,CID000831,KA69AB3774,Auto
VH000524,CID000833,KA68AB1001,Truck
VH000525,CID000837,KA29AB4086,Bike
VH000526,CID000838,KA27AB3162,Bike
VH000527,CID000839,KA92AB6749,Car
VH000528,CID000846,KA39AB3913,Car
VH000529,CID000848,KA91AB1383,Bike
VH000530,CID000849,KA13AB1334,Auto
VH000531,CID000850,KA99AB9514,Truck
VH000532,CID000852,KA38AB5253,Car
VH000533,CID000853,KA49AB8017,Car
VH000534,CID000854,KA61AB4169,Truck
VH000535,CID000856,KA71AB6431,Auto
VH000536,CID000858,KA15AB2866,Auto
VH000537,CID000860,KA77AB8204,Bike
VH000538,CID000861,KA21AB9275,Car
VH000539,CID000867,KA27AB4130,Bike
VH000540,CID000868,KA67AB5070,Car
VH000541,CID000869,KA23AB8597,Truck
VH000542,CID000870,KA71AB8837,Truck
VH000543,CID000872,KA38AB2056,Auto
VH000544,CID000873,KA72AB5358,Bike
VH000545,CID000874,KA69AB3040,Truck
VH000546,CID000875,KA98AB4638,Truck
VH000547,CID000876,KA61AB7594,Bike
VH000548,CID000878,KA35AB9388,Bike
VH000549,CID000879,KA63AB2424,Truck
VH000550,CID000880,KA51AB1421,Truck
VH000551,CID000881,KA33AB7149,Bike
VH000552,CID000882,KA52AB5366,Auto
VH000553,CID000884,KA83AB2057,Car
VH000554,CID000885,KA49AB4269,Bike
VH000555,CID000887,KA92AB6058,Truck
VH000556,CID000888,KA63AB8060,Truck
VH000557,CID000889,KA59AB9087,Car
VH000558,CID000891,KA73AB4907,Auto
VH000559,CID000893,KA04AB9586,Bike
VH000560,CID000895,KA32AB4461,Car
VH000561,CID000896,KA10AB2779,Truck
VH000562,CID000897,KA91AB3799,Auto
VH000563,CID000899,KA65AB4474,Auto
VH000564,CID000900,KA72AB3089,Bike
VH000565,CID000903,KA38AB3181,Car
VH000566,CID000905,KA44AB8501,Truck
VH000567,CID000906,KA10AB5916,Truck
VH000568,CID000910,KA30AB8373,Truck
VH000569,CID000911,KA81AB8912,Truck
VH000570,CID000912,KA43AB3269,Car
VH000571,CID000913,KA42AB2053,Car
VH000572,CID000915,KA02AB1501,Auto
VH000573,CID000920,KA90AB5906,Auto
VH000574,CID000924,KA13AB5537,Auto
VH000575,CID000925,KA09AB8274,Bike
VH000576,CID000926,KA91AB4455,Car
VH000577,CID000930,KA32AB9279,Truck
VH000578,CID000931,KA52AB2422,Auto
VH000579,CID000932,KA28AB5903,Bike
VH000580,CID000935,KA87AB2352,Car
VH000581,CID000939,KA39AB8375,Auto
VH000582,CID000942,KA37AB1899,Car
VH000583,CID000943,KA09AB3380,Auto
VH000584,CID000944,KA85AB7022,Bike
VH000585,CID000945,KA55AB1169,Truck
VH000586,CID000948,KA60AB4642,Bike
VH000587,CID000949,KA64AB8754,Truck
VH000588,CID000952,KA07AB3011,Bike
VH000589,CID000953,KA23AB6639,Truck
VH000590,CID000955,KA20AB2431,Truck
VH000591,CID000956,KA04AB2719,Bike
VH000592,CID000957,KA80AB1693,Car
VH000593,CID000960,KA59AB1930,Auto
VH000594,CID000961,KA38AB5492,Truck
VH000595,CID000962,KA58AB8324,Bike
VH000596,CID000964,KA87AB2891,Car
VH000597,CID000965,KA40AB9486,Truck
VH000598,CID000967,KA10AB3084,Bike
VH000599,CID000968,KA56AB3381,Auto
VH000600,CID000971,KA18AB6655,Truck
VH000601,CID000972,KA23AB4186,Auto
VH000602,CID000973,KA43AB3110,Truck
VH000603,CID000974,KA29AB4618,Truck
VH000604,CID000975,KA03AB1972,Auto
VH000605,CID000977,KA02AB3935,Car
VH000606,CID000980,KA18AB7202,Truck
VH000607,CID000981,KA91AB4662,Truck
VH000608,CID000983,KA70AB5165,Car
VH000609,CID000984,KA28AB9252,Auto
VH000610,CID000985,KA93AB6904,Truck
VH000611,CID000986,KA63AB7412,Car
VH000612,CID000988,KA49AB9000,Auto
VH000613,CID000989,KA22AB2357,Bike
VH000614,CID000990,KA90AB8531,Auto
VH000615,CID000991,KA19AB6263,Car
VH000616,CID000997,KA96AB7116,Auto
VH000617,CID001000,KA16AB1124,Bike
VH000618,CID001001,KA51AB9041,Truck
VH000619,CID001002,KA95AB3568,Auto
VH000620,CID001004,KA63AB1656,Auto
VH000621,CID001006,KA30AB3617,Truck
VH000622,CID001007,KA08AB7086,Auto
VH000623,CID001010,KA59AB6239,Car
VH000624,CID001011,KA56AB4198,Auto
VH000625,CID001012,KA18AB1174,Auto
VH000626,CID001013,KA21AB9322,Bike
VH000627,CID001014,KA07AB1770,Car
VH000628,CID001015,KA47AB2546,Truck
VH000629,CID001016,KA83AB2395,Truck
VH000630,CID001018,KA04AB9166,Car
VH000631,CID001021,KA91AB4035,Truck
VH000632,CID001022,KA88AB9789,Auto
VH000633,CID001024,KA20AB1380,Truck
VH000634,CID001026,KA51AB1065,Car
VH000635,CID001028,KA53AB6865,Auto
VH000636,CID001030,KA32AB5399,Bike
VH000637,CID001031,KA74AB7662,Auto
VH000638,CID001032,KA65AB4043,Bike
VH000639,CID001033,KA33AB2308,Car
VH000640,CID001035,KA16AB8007,Car
VH000641,CID001036,KA51AB1974,Auto
