evidence_id,case_id,evidence_type,description,status,collected_by
EV000031,CASE009991,Call Records,Occaecati atque incidunt eum ducimus consectetur quae voluptas.,Verified,OFF00369
EV000032,CASE000220,Photo,Dicta deserunt officiis quibusdam recusandae.,Verified,OFF00426
EV000033,CASE005089,DNA Sample,Quis eum repellat beatae libero.,Collected,OFF00050
EV000034,CASE009787,Vehicle,Quam at sit asperiores accusamus tempora.,Collected,OFF00175
EV000035,CASE007208,Weapon,Similique maiores earum perspiciatis recusandae deleniti fugit.,Verified,OFF00377
EV000036,CASE001793,Video,Minima reprehenderit rem temporibus minus non iure.,Verified,OFF00356
EV000037,CASE000542,Video,Corporis cumque minima soluta alias ex quis saepe.,Pending Analysis,OFF00214
EV000038,CASE000666,Call Records,Pariatur nam non saepe placeat.,Collected,OFF00003
EV000039,CASE000120,SIM Card,Occaecati quaerat expedita cum autem rerum optio sint consequatur illo.,Sent to FSL,OFF00462
EV000040,CASE009711,Weapon,Eaque libero odio maxime placeat porro eum.,Collected,OFF00350
EV000041,CASE003834,Video,Et reiciendis corrupti incidunt modi magni doloremque.,Pending Analysis,OFF00435
EV000042,CASE008803,Mobile Phone,Voluptatum totam cupiditate iste soluta impedit.,Pending Analysis,OFF00043
EV000043,CASE005949,Weapon,Eveniet itaque fugiat blanditiis ratione quasi veniam assumenda.,Collected,OFF00438
EV000044,CASE001757,Passport,Fuga vero nostrum sit mollitia omnis recusandae distinctio laborum iure.,Sent to FSL,OFF00370
EV000045,CASE002903,Video,Aperiam rerum optio modi ducimus voluptates quos incidunt distinctio excepturi.,Verified,OFF00060
EV000046,CASE000555,SIM Card,Voluptatem labore praesentium dolores laboriosam quaerat hic neque.,Collected,OFF00330
EV000047,CASE008185,WhatsApp Chat,Consectetur amet nulla libero pariatur officia amet dolore tempore.,Collected,OFF00148
EV000048,CASE007414,Laptop,Aspernatur cumque non accusamus neque asperiores a fuga quis.,Sent to FSL,OFF00321
EV000049,CASE003229,CCTV Footage,Laborum corporis quaerat incidunt repellendus laboriosam.,Verified,OFF00375
EV000050,CASE004883,Photo,Libero unde molestias aut harum ex blanditiis rerum.,Verified,OFF00112
EV000051,CASE000698,Vehicle,Dignissimos fugiat pariatur corrupti quia eligendi nesciunt.,Verified,OFF00186
EV000052,CASE009029,Weapon,Explicabo officia tenetur autem occaecati.,Collected,OFF00130
EV000053,CASE003635,Photo,Animi rerum eos perferendis officiis perferendis similique alias nemo delectus.,Verified,OFF00280
EV000054,CASE007810,WhatsApp Chat,Quis libero optio magni architecto aliquid voluptate.,Pending Analysis,OFF00299
EV000055,CASE004842,Call Records,Minus pariatur culpa quo nisi animi aliquam cupiditate.,Collected,OFF00374
EV000056,CASE004015,Video,Quidem doloremque nisi laborum voluptas nam perferendis aliquid.,Sent to FSL,OFF00366
EV000057,CASE000089,SIM Card,Officiis impedit laudantium veniam ipsam.,Verified,OFF00464
EV000058,CASE000076,Fingerprint,Ipsa eos mollitia asperiores excepturi laboriosam temporibus aut eum totam.,Sent to FSL,OFF00063
EV000059,CASE009838,CCTV Footage,Omnis ab laborum dicta qui ab.,Pending Analysis,OFF00302
EV000060,CASE005455,Vehicle,Nisi vitae ullam accusamus quis debitis dolorum consequuntur maiores.,Collected,OFF00318
EV000061,CASE003338,Bank Statement,Placeat dignissimos doloribus optio at voluptas neque distinctio officia nostrum.,Pending Analysis,OFF00158
EV000062,CASE004450,Photo,At voluptas corporis quibusdam placeat delectus.,Sent to FSL,OFF00163
EV000063,CASE007889,Call Records,Culpa nobis necessitatibus sequi praesentium eos beatae dolor doloribus id.,Pending Analysis,OFF00291
EV000064,CASE001891,Vehicle,Modi debitis ipsa praesentium corrupti amet vel ipsum accusantium quasi.,Verified,OFF00357
EV000065,CASE001279,SIM Card,Aliquam quam maiores fuga ut voluptatem modi.,Sent to FSL,OFF00494
EV000066,CASE005927,CCTV Footage,Cum quidem excepturi modi natus est non facere quibusdam ex.,Verified,OFF00125
EV000067,CASE001480,WhatsApp Chat,Perspiciatis temporibus commodi magnam autem hic.,Pending Analysis,OFF00074
EV000068,CASE001721,DNA Sample,Totam similique quibusdam culpa excepturi ipsum architecto quidem quae dolor.,Sent to FSL,OFF00263
EV000069,CASE002373,CCTV Footage,Labore alias quos possimus sint deserunt eaque deleniti.,Pending Analysis,OFF00050
EV000070,CASE001844,Weapon,Fuga consequuntur quisquam iste quia deleniti magnam perferendis saepe assumenda.,Sent to FSL,OFF00393
EV000071,CASE000676,Video,Dolorem dolores blanditiis exercitationem numquam velit quos est enim ipsum.,Pending Analysis,OFF00201
EV000072,CASE009099,Weapon,Expedita fugiat nostrum animi nostrum magni inventore impedit labore accusantium aliquid.,Verified,OFF00259
EV000073,CASE008530,Video,Alias totam voluptas ipsam consectetur repudiandae rem sint officia.,Collected,OFF00403
EV000074,CASE008025,Video,Expedita nam exercitationem dolor optio dolorem.,Collected,OFF00352
EV000075,CASE006161,Call Records,Nisi incidunt deleniti asperiores eveniet mollitia dolorum officia repellendus accusantium.,Collected,OFF00374
EV000076,CASE003847,SIM Card,Aliquid assumenda maiores quos ullam voluptate ipsa placeat quaerat doloribus qui.,Pending Analysis,OFF00474
EV000077,CASE005096,CCTV Footage,Quae veritatis vel possimus distinctio in provident.,Pending Analysis,OFF00407
EV000078,CASE008514,Driving License,Nisi quae omnis natus officiis maiores dolor.,Sent to FSL,OFF00325
EV000079,CASE003716,Vehicle,Saepe sequi quaerat quo sint quisquam inventore.,Collected,OFF00369
EV000080,CASE002553,Photo,Adipisci reprehenderit sunt eligendi fugit esse error ea quod.,Sent to FSL,OFF00020
EV000081,CASE007817,CCTV Footage,Tempore deleniti error eius enim quam maxime hic libero.,Verified,OFF00061
EV000082,CASE001264,Driving License,Quos mollitia iusto corrupti optio culpa autem.,Pending Analysis,OFF00225
EV000083,CASE000403,Passport,Cum harum aperiam fugit fugiat voluptate vel.,Collected,OFF00092
EV000084,CASE004447,DNA Sample,Repellendus debitis iure tempora eos quibusdam ex voluptatibus cumque nulla.,Sent to FSL,OFF00025
EV000085,CASE004047,Laptop,Modi ipsum consequatur ipsam eveniet.,Collected,OFF00457
EV000086,CASE007873,DNA Sample,Nisi ea aliquid praesentium laborum officia vitae animi in.,Pending Analysis,OFF00001
EV000087,CASE006387,Weapon,Iure repellendus voluptatem exercitationem possimus dignissimos alias adipisci quis cum dolor.,Pending Analysis,OFF00010
EV000088,CASE009026,Driving License,Incidunt fugiat ex dicta accusamus modi eos iste.,Pending Analysis,OFF00157
EV000089,CASE005564,CCTV Footage,Laboriosam esse pariatur nihil odio quis voluptatum pariatur placeat nulla.,Sent to FSL,OFF00275
EV000090,CASE000231,SIM Card,Id laudantium corporis ipsam iusto dolor eligendi doloremque et neque.,Pending Analysis,OFF00271
EV000091,CASE000228,Photo,Incidunt porro dicta ea totam laboriosam rerum perferendis.,Collected,OFF00468
EV000092,CASE004140,Bank Statement,Dolorum praesentium et amet eveniet ratione libero.,Sent to FSL,OFF00228
EV000093,CASE002584,Passport,Vel laboriosam excepturi commodi eligendi quae.,Collected,OFF00317
EV000094,CASE007341,WhatsApp Chat,Quas molestias doloremque expedita accusamus nostrum porro exercitationem.,Collected,OFF00250
EV000095,CASE007243,Driving License,Tempore quisquam veritatis tempore consectetur.,Pending Analysis,OFF00323
EV000096,CASE004347,Weapon,Illum maiores distinctio iste corrupti labore.,Sent to FSL,OFF00269
EV000097,CASE005914,Mobile Phone,Illum doloribus sequi eligendi.,Verified,OFF00451
EV000098,CASE005712,WhatsApp Chat,Magni mollitia tempora animi veniam.,Verified,OFF00360
EV000099,CASE004965,Mobile Phone,Repellendus culpa impedit blanditiis expedita tempore autem nihil alias.,Collected,OFF00223
EV000100,CASE002904,Bank Statement,Voluptas assumenda a cum maiores incidunt.,Sent to FSL,OFF00310
EV000101,CASE003908,CCTV Footage,Corporis id aliquid eos repudiandae asperiores esse hic veniam aliquid.,Pending Analysis,OFF00335
EV000102,CASE004763,CCTV Footage,Magni dolore eius quos laudantium ipsum ducimus ut.,Verified,OFF00047
EV000103,CASE009623,Mobile Phone,Quos similique eius soluta architecto unde fugit ratione voluptates nulla.,Sent to FSL,OFF00068
EV000104,CASE000117,Video,Quia laudantium sequi provident vero fuga eius iste.,Pending Analysis,OFF00234
EV000105,CASE004859,Passport,Consectetur accusantium debitis accusantium.,Sent to FSL,OFF00153
EV000106,CASE002777,WhatsApp Chat,Unde voluptate rerum recusandae molestiae sit.,Collected,OFF00426
EV000107,CASE009967,Weapon,Ex fuga tenetur voluptas aliquid ad.,Verified,OFF00133
EV000108,CASE005702,Bank Statement,Pariatur voluptatum exercitationem optio commodi earum eaque.,Collected,OFF00195
EV000109,CASE000303,Bank Statement,Nulla enim dicta cum fugiat et incidunt odio.,Pending Analysis,OFF00196
EV000110,CASE000595,Photo,Neque esse distinctio vel eius quibusdam.,Sent to FSL,OFF00237
EV000111,CASE007585,Fingerprint,Eos repellendus dolore modi est vitae sunt hic nostrum.,Verified,OFF00014
EV000112,CASE006689,Fingerprint,Architecto voluptates qui expedita consectetur quos esse.,Collected,OFF00369
EV000113,CASE009256,DNA Sample,Ex sunt nemo unde amet ea expedita.,Collected,OFF00427
EV000114,CASE009134,Mobile Phone,Illum amet laudantium dignissimos ipsum saepe.,Pending Analysis,OFF00079
EV000115,CASE004424,Photo,Eos harum aperiam beatae asperiores necessitatibus debitis.,Pending Analysis,OFF00282
EV000116,CASE006513,Weapon,In libero a illo debitis.,Sent to FSL,OFF00304
EV000117,CASE008312,Laptop,Provident ex ipsam suscipit voluptatum.,Verified,OFF00265
EV000118,CASE006015,Weapon,Sequi blanditiis recusandae provident doloribus.,Collected,OFF00174
EV000119,CASE009298,CCTV Footage,Fuga exercitationem autem voluptate ratione ipsam.,Collected,OFF00045
EV000120,CASE006138,Driving License,Culpa rem eum qui beatae excepturi.,Sent to FSL,OFF00211
EV000121,CASE007696,Call Records,A asperiores eveniet aliquam doloremque soluta sapiente officiis.,Pending Analysis,OFF00362
EV000122,CASE001261,Driving License,Hic dicta dolore perspiciatis nulla quisquam nulla.,Collected,OFF00239
EV000123,CASE005088,CCTV Footage,Quos corrupti repudiandae optio eum beatae optio.,Collected,OFF00077
EV000124,CASE004824,DNA Sample,Et quasi quia temporibus id eaque odit numquam.,Pending Analysis,OFF00448
EV000125,CASE003220,Passport,Sit perspiciatis consectetur perspiciatis commodi.,Collected,OFF00171
EV000126,CASE007071,WhatsApp Chat,Architecto tempore alias delectus excepturi architecto voluptatum atque consequatur.,Sent to FSL,OFF00389
EV000127,CASE003869,Fingerprint,Praesentium asperiores rem fugiat aperiam animi asperiores ad vitae.,Sent to FSL,OFF00483
EV000128,CASE002198,Passport,Ipsa ab accusantium nesciunt eos modi perferendis aperiam similique.,Pending Analysis,OFF00403
EV000129,CASE004041,Video,Optio error iste excepturi quos vel.,Verified,OFF00485
EV000130,CASE004378,Weapon,Distinctio rerum delectus perferendis totam recusandae.,Collected,OFF00078
EV000131,CASE002522,Video,Nostrum consequatur mollitia debitis doloribus quasi repudiandae excepturi.,Collected,OFF00449
EV000132,CASE001262,Passport,Porro nostrum itaque sed quae.,Collected,OFF00227
EV000133,CASE008368,Passport,Quia unde pariatur perspiciatis impedit ut.,Verified,OFF00477
EV000134,CASE009472,Mobile Phone,Officia minima sint sed eius deserunt maxime.,Sent to FSL,OFF00443
EV000135,CASE002407,Driving License,Fugit nesciunt numquam quae est dolorum odio nobis minima cupiditate.,Collected,OFF00041
EV000136,CASE005379,Mobile Phone,Inventore suscipit consequuntur nobis vitae minima optio.,Pending Analysis,OFF00400
EV000137,CASE005460,WhatsApp Chat,Pariatur accusamus laboriosam nisi sapiente repudiandae.,Pending Analysis,OFF00163
EV000138,CASE003412,DNA Sample,Enim maxime eius velit doloremque officiis.,Pending Analysis,OFF00230
EV000139,CASE005593,Driving License,Nobis distinctio enim eius expedita.,Verified,OFF00245
EV000140,CASE003157,Laptop,Ratione laborum consequatur veritatis accusamus ex cupiditate aut harum.,Sent to FSL,OFF00052
EV000141,CASE004320,Call Records,Cumque perspiciatis tempore asperiores vitae voluptas dignissimos atque facilis tempora.,Sent to FSL,OFF00224
EV000142,CASE005253,Laptop,Consequuntur praesentium at inventore ducimus quas illum perspiciatis sapiente consequuntur possimus.,Verified,OFF00022
EV000143,CASE002350,Bank Statement,Quasi a facilis alias laudantium quidem iusto sequi a repellendus.,Pending Analysis,OFF00214
EV000144,CASE004009,Passport,Laboriosam veritatis optio dolorem nisi ipsum nisi architecto velit.,Collected,OFF00324
EV000145,CASE001672,Passport,Aliquid quo mollitia unde beatae.,Collected,OFF00260
EV000146,CASE007245,CCTV Footage,Sequi corporis officiis in consequatur.,Pending Analysis,OFF00348
EV000147,CASE007533,Bank Statement,Eaque ratione modi magnam at temporibus temporibus.,Verified,OFF00323
EV000148,CASE000407,SIM Card,Autem odit perferendis facere doloremque harum laborum.,Verified,OFF00297
EV000149,CASE009199,DNA Sample,Nobis aspernatur voluptates ea similique quod animi.,Pending Analysis,OFF00210
EV000150,CASE001597,Driving License,Enim nobis reiciendis laudantium iste eligendi.,Pending Analysis,OFF00325
EV000151,CASE003697,Fingerprint,Officiis saepe corrupti consequuntur vitae inventore quisquam voluptates.,Sent to FSL,OFF00379
EV000152,CASE003114,Mobile Phone,Debitis a enim repellendus nihil.,Sent to FSL,OFF00451
EV000153,CASE006884,Call Records,Animi porro minus quibusdam laborum sunt eaque nihil unde modi.,Pending Analysis,OFF00180
EV000154,CASE003859,Call Records,Fugit sapiente repellat architecto ipsum accusamus unde velit.,Verified,OFF00202
EV000155,CASE005809,CCTV Footage,Sit occaecati neque blanditiis nulla magni hic necessitatibus quidem perferendis.,Verified,OFF00431
EV000156,CASE003423,Photo,Placeat vero ullam natus sed vitae.,Pending Analysis,OFF00311
EV000157,CASE005851,Fingerprint,Error voluptates autem veniam corrupti pariatur similique.,Collected,OFF00308
EV000158,CASE005333,Laptop,At voluptates voluptas quae deleniti vero quas ducimus minima magnam.,Pending Analysis,OFF00380
EV000159,CASE000222,Call Records,Nihil tempora explicabo eum earum libero deleniti.,Pending Analysis,OFF00279
EV000160,CASE004488,Photo,Fuga ducimus ea cum repellat.,Verified,OFF00460
EV000161,CASE006550,Call Records,Officia totam hic beatae pariatur tenetur.,Pending Analysis,OFF00116
EV000162,CASE009746,Passport,Animi suscipit magnam officia ullam voluptatum quas libero similique.,Collected,OFF00485
EV000163,CASE006643,Driving License,Et officiis recusandae animi placeat laborum dolores sint facilis.,Collected,OFF00394
EV000164,CASE004662,Call Records,Aperiam ipsam distinctio a consequatur quibusdam ad vero vitae.,Pending Analysis,OFF00461
EV000165,CASE008061,Laptop,Sed eius impedit amet pariatur ut ad nemo magnam fuga.,Collected,OFF00169
EV000166,CASE003151,Mobile Phone,Dignissimos provident illo sit nulla.,Verified,OFF00433
EV000167,CASE009412,Mobile Phone,Totam quo consectetur harum suscipit debitis vel beatae voluptates.,Sent to FSL,OFF00221
EV000168,CASE006751,Laptop,Minus repudiandae quis non libero dolorem.,Sent to FSL,OFF00058
EV000169,CASE007314,Driving License,Sed illo aut quia cupiditate occaecati sint fugiat.,Collected,OFF00241
EV000170,CASE001051,Vehicle,Quidem cum non praesentium.,Collected,OFF00193
EV000171,CASE005679,Call Records,Cupiditate praesentium nisi corrupti quas quis magni tempore laudantium et.,Collected,OFF00234
EV000172,CASE001569,Weapon,Modi rerum amet repellat architecto in qui dignissimos perspiciatis enim.,Sent to FSL,OFF00064
EV000173,CASE005526,CCTV Footage,Minima est porro iste dolore doloribus aliquam quasi doloribus.,Sent to FSL,OFF00080
EV000174,CASE005343,DNA Sample,Optio accusantium quisquam ab quod nam.,Sent to FSL,OFF00375
EV000175,CASE005195,DNA Sample,Cum voluptatem dolor ipsam accusamus nostrum perferendis.,Sent to FSL,OFF00361
EV000176,CASE002219,Driving License,Consectetur laboriosam assumenda explicabo doloribus.,Pending Analysis,OFF00003
EV000177,CASE000842,Passport,Reprehenderit delectus quia quas sunt expedita rerum sunt.,Sent to FSL,OFF00210
EV000178,CASE000784,Passport,Quod molestiae alias earum mollitia enim unde ullam optio occaecati.,Sent to FSL,OFF00320
EV000179,CASE004825,Weapon,Ipsam eos sapiente quasi reiciendis ad amet et est illo.,Sent to FSL,OFF00411
EV000180,CASE006060,Video,Accusamus nesciunt commodi rerum vero.,Verified,OFF00190
EV000181,CASE006230,Photo,Sequi incidunt amet sunt quod quae.,Sent to FSL,OFF00455
EV000182,CASE005811,Passport,Harum laboriosam possimus hic aspernatur.,Pending Analysis,OFF00052
EV000183,CASE001702,Photo,Corporis velit ab deleniti error fugit officiis repellat atque iusto.,Collected,OFF00300
EV000184,CASE000358,WhatsApp Chat,Voluptas sequi temporibus quasi quisquam molestiae suscipit.,Collected,OFF00240
EV000185,CASE005547,Vehicle,Veritatis dolore deleniti officiis harum ratione sed error.,Verified,OFF00036
EV000186,CASE003372,Fingerprint,Iste fugit sequi voluptatibus accusamus est accusamus consequatur.,Pending Analysis,OFF00156
EV000187,CASE009877,Driving License,Minus hic exercitationem inventore officiis hic officia voluptatum.,Sent to FSL,OFF00199
EV000188,CASE001498,Call Records,Quis blanditiis dolores occaecati optio vitae nisi.,Collected,OFF00382
EV000189,CASE005442,Driving License,Blanditiis doloremque at explicabo veritatis.,Verified,OFF00375
EV000190,CASE000957,Call Records,Debitis iusto facilis id voluptatem assumenda.,Pending Analysis,OFF00420
EV000191,CASE003705,WhatsApp Chat,Earum sunt beatae velit autem corporis modi vitae suscipit.,Sent to FSL,OFF00126
EV000192,CASE003788,SIM Card,Iusto sed itaque non aperiam culpa veniam placeat reiciendis quae.,Sent to FSL,OFF00182
EV000193,CASE008566,CCTV Footage,Necessitatibus consequatur voluptates officiis distinctio.,Pending Analysis,OFF00129
EV000194,CASE004281,SIM Card,Minima sed possimus adipisci reiciendis adipisci dolor.,Collected,OFF00322
EV000195,CASE003015,Driving License,Ut voluptatum quasi ipsum deserunt laboriosam eaque labore facere voluptatum.,Collected,OFF00242
EV000196,CASE000233,Weapon,Eos odio aperiam delectus.,Sent to FSL,OFF00370
EV000197,CASE002053,Video,Praesentium nobis debitis numquam debitis velit.,Collected,OFF00212
EV000198,CASE008297,Video,Doloremque aspernatur consequuntur nesciunt quasi.,Collected,OFF00455
EV000199,CASE007521,SIM Card,Fugit non corporis dolorum sit exercitationem aspernatur natus.,Collected,OFF00099
EV000200,CASE008816,Video,Reprehenderit maxime delectus quis eum deleniti quibusdam eum.,Sent to FSL,OFF00379
EV000201,CASE001618,Fingerprint,Odit magni illum ipsa cum sint veniam porro ducimus nulla.,Collected,OFF00128
EV000202,CASE002681,Call Records,Ratione ipsam veniam accusamus laboriosam.,Collected,OFF00404
EV000203,CASE005872,Call Records,Ad repudiandae cumque laborum aliquam fugiat ea cumque beatae atque.,Verified,OFF00043
EV000204,CASE003383,Bank Statement,Harum ex quod quibusdam explicabo.,Pending Analysis,OFF00302
EV000205,CASE005336,Fingerprint,Qui quam architecto quisquam earum distinctio eligendi repellendus ullam.,Collected,OFF00341
EV000206,CASE009276,WhatsApp Chat,Fugiat numquam nemo sequi quis veniam velit est nobis.,Collected,OFF00359
EV000207,CASE009355,Driving License,Aliquid voluptatibus exercitationem odit aliquam.,Sent to FSL,OFF00280
EV000208,CASE002431,Passport,Modi odit repellat tenetur dolor enim molestiae laborum quia vel.,Pending Analysis,OFF00355
EV000209,CASE007850,Driving License,Cupiditate deserunt incidunt est eveniet odit numquam debitis modi.,Verified,OFF00486
EV000210,CASE002405,Video,Vitae eos provident nulla adipisci ducimus.,Sent to FSL,OFF00265
EV000211,CASE005736,Weapon,Odio expedita eius cumque neque amet.,Verified,OFF00394
EV000212,CASE002748,Weapon,Perspiciatis fugiat labore repudiandae consectetur impedit accusantium facilis officia praesentium.,Pending Analysis,OFF00029
EV000213,CASE000650,Mobile Phone,Quidem esse similique et dolore tempora aut minus aut.,Sent to FSL,OFF00264
EV000214,CASE005592,Vehicle,Ipsa beatae quaerat placeat corporis.,Pending Analysis,OFF00034
EV000215,CASE003594,DNA Sample,Soluta dolore occaecati provident eaque saepe ipsum.,Pending Analysis,OFF00455
EV000216,CASE003155,Passport,Distinctio mollitia excepturi reiciendis modi.,Sent to FSL,OFF00313
EV000217,CASE004875,Weapon,Explicabo dicta ut maxime atque.,Collected,OFF00141
EV000218,CASE003974,Weapon,Velit possimus architecto esse libero consequatur iure in.,Pending Analysis,OFF00196
EV000219,CASE005085,SIM Card,Saepe hic voluptatibus aliquid.,Sent to FSL,OFF00136
EV000220,CASE009781,CCTV Footage,Omnis amet recusandae perferendis neque occaecati a eligendi.,Collected,OFF00404
EV000221,CASE005044,Driving License,Amet culpa aliquid quas consequatur expedita.,Collected,OFF00134
EV000222,CASE008566,Vehicle,Vel ullam laborum consequuntur sed beatae ipsum dignissimos quibusdam voluptatum magni.,Verified,OFF00221
EV000223,CASE000470,Call Records,Hic officiis error repellendus.,Pending Analysis,OFF00435
EV000224,CASE002819,Bank Statement,Blanditiis nihil nulla veniam veritatis.,Collected,OFF00136
EV000225,CASE002026,Call Records,Neque alias doloribus ducimus est porro repellendus vero reprehenderit perspiciatis.,Verified,OFF00449
EV000226,CASE004231,Bank Statement,Rerum accusamus consectetur minima amet culpa sequi architecto eius fugit.,Sent to FSL,OFF00420
EV000227,CASE000929,WhatsApp Chat,Alias possimus atque id iusto architecto accusamus.,Collected,OFF00382
EV000228,CASE008298,Driving License,Dignissimos quo rerum magnam culpa hic.,Verified,OFF00494
EV000229,CASE000353,Video,Omnis pariatur tempora quia vel eius veritatis.,Sent to FSL,OFF00153
EV000230,CASE002422,Passport,Doloremque enim minima hic doloremque maxime nobis provident soluta voluptatum.,Collected,OFF00146
EV000231,CASE003533,Bank Statement,Vel eos dolor provident hic aperiam quam.,Pending Analysis,OFF00342
EV000232,CASE008901,Photo,Vero iusto enim aliquam asperiores nobis.,Sent to FSL,OFF00377
EV000233,CASE006280,Laptop,Repudiandae placeat earum culpa tenetur in consectetur aliquid ratione adipisci.,Collected,OFF00374
EV000234,CASE007979,Video,Neque doloribus ab perspiciatis adipisci est reiciendis.,Pending Analysis,OFF00155
EV000235,CASE001352,Vehicle,Tenetur sapiente quasi numquam eius amet magni aut.,Pending Analysis,OFF00240
EV000236,CASE009581,Laptop,Aut repudiandae dolores provident laudantium rem.,Collected,OFF00272
EV000237,CASE002461,DNA Sample,Unde soluta tempore commodi excepturi excepturi ad vitae.,Sent to FSL,OFF00360
EV000238,CASE002604,Call Records,Saepe neque voluptatibus eligendi ex perferendis.,Collected,OFF00039
EV000239,CASE003069,Call Records,Est neque voluptas cum exercitationem voluptatum aut corrupti ducimus.,Collected,OFF00348
EV000240,CASE003686,Laptop,Ratione libero consequuntur amet esse saepe neque nostrum.,Verified,OFF00352
EV000241,CASE003306,Weapon,Natus a magnam quaerat praesentium aut.,Sent to FSL,OFF00430
EV000242,CASE001678,Fingerprint,Corrupti voluptates odit repudiandae optio animi.,Verified,OFF00452
EV000243,CASE002378,Mobile Phone,Harum modi velit voluptas architecto.,Pending Analysis,OFF00280
EV000244,CASE005662,WhatsApp Chat,Dicta necessitatibus minima cum libero dicta.,Verified,OFF00408
EV000245,CASE000362,Passport,Hic esse magnam expedita aspernatur alias placeat maiores labore quisquam.,Sent to FSL,OFF00418
EV000246,CASE008624,Bank Statement,Voluptatem illum laboriosam vitae molestiae ab id.,Pending Analysis,OFF00166
EV000247,CASE006218,Mobile Phone,Doloremque nihil nulla omnis tempore fuga molestias.,Verified,OFF00168
EV000248,CASE002310,DNA Sample,Ut natus voluptatum inventore minus nobis sint.,Collected,OFF00417
EV000249,CASE001340,Mobile Phone,Veniam inventore aspernatur enim ipsa eveniet cupiditate libero debitis distinctio.,Verified,OFF00309
EV000250,CASE001922,Call Records,Illo magnam libero dolor architecto dolores nihil deserunt excepturi.,Sent to FSL,OFF00416
EV000251,CASE001147,SIM Card,Ullam ipsum et sequi at laboriosam quaerat molestias.,Pending Analysis,OFF00046
EV000252,CASE003595,SIM Card,Enim fugit magnam unde nisi.,Sent to FSL,OFF00331
EV000253,CASE004860,Fingerprint,Magnam voluptas distinctio fugit officiis recusandae enim iure blanditiis sit.,Verified,OFF00307
EV000254,CASE008034,Photo,Odio quod rerum quod repellat.,Verified,OFF00096
EV000255,CASE005486,Fingerprint,Occaecati nulla commodi est corrupti facere iure.,Collected,OFF00338
EV000256,CASE003061,Bank Statement,Earum aspernatur vitae aliquid nulla vitae provident repudiandae.,Pending Analysis,OFF00363
