victim_id,case_id,citizen_id,injury_level
VIC000244,CASE006992,CID007747,None
VIC000245,CASE002830,CID006948,Critical
VIC000246,CASE008712,CID005275,Critical
VIC000247,CASE001369,CID005395,Serious
VIC000248,CASE004258,CID008387,None
VIC000249,CASE003326,CID002638,Minor
VIC000250,CASE001555,CID008631,Serious
VIC000251,CASE004614,CID006099,None
VIC000252,CASE007782,CID000017,Critical
VIC000253,CASE000826,CID007546,Critical
VIC000254,CASE004161,CID008297,None
VIC000255,CASE004597,CID001586,Serious
VIC000256,CASE009337,CID003905,Serious
VIC000257,CASE009546,CID000643,Critical
VIC000258,CASE006575,CID003839,Serious
VIC000259,CASE005455,CID005008,Minor
VIC000260,CASE009297,CID006304,Serious
VIC000261,CASE008317,CID005675,Serious
VIC000262,CASE000265,CID003145,None
VIC000263,CASE005409,CID006518,Critical
VIC000264,CASE000243,CID009352,Serious
VIC000265,CASE001828,CID002802,Serious
VIC000266,CASE005282,CID006100,None
VIC000267,CASE007320,CID008999,Critical
VIC000268,CASE000468,CID000571,None
VIC000269,CASE001194,CID001678,Critical
VIC000270,CASE009461,CID002564,Serious
VIC000271,CASE009517,CID006749,Minor
VIC000272,CASE003396,CID001266,None
VIC000273,CASE008126,CID004093,Critical
VIC000274,CASE005485,CID005736,Critical
VIC000275,CASE005469,CID007506,Serious
VIC000276,CASE005033,CID004349,Serious
VIC000277,CASE000317,CID007970,Minor
VIC000278,CASE002836,CID000211,Serious
VIC000279,CASE004333,CID006081,Minor
VIC000280,CASE007532,CID003698,Critical
VIC000281,CASE005676,CID003596,Serious
VIC000282,CASE003529,CID004629,Critical
VIC000283,CASE000889,CID002087,Critical
VIC000284,CASE004492,CID000041,None
VIC000285,CASE005219,CID001396,Minor
VIC000286,CASE001401,CID002968,None
VIC000287,CASE007065,CID002135,Critical
VIC000288,CASE007547,CID009193,Minor
VIC000289,CASE005657,CID008300,Minor
VIC000290,CASE003078,CID000283,None
VIC000291,CASE003583,CID000097,None
VIC000292,CASE003057,CID009567,Minor
VIC000293,CASE004032,CID002579,Minor
VIC000294,CASE000865,CID002999,Critical
VIC000295,CASE009703,CID005661,Minor
VIC000296,CASE000703,CID004921,None
VIC000297,CASE008543,CID002068,Critical
VIC000298,CASE001165,CID001720,Serious
VIC000299,CASE008003,CID002679,Critical
VIC000300,CASE003545,CID007111,None
VIC000301,CASE008661,CID002867,Serious
VIC000302,CASE005035,CID007103,Serious
VIC000303,CASE001036,CID009906,None
VIC000304,CASE007925,CID009457,Serious
VIC000305,CASE002868,CID002800,Serious
VIC000306,CASE005842,CID005520,None
VIC000307,CASE003614,CID002539,Critical
VIC000308,CASE002466,CID003953,Minor
VIC000309,CASE009141,CID001160,Minor
VIC000310,CASE002228,CID006820,Serious
VIC000311,CASE001781,CID009525,None
VIC000312,CASE008701,CID001669,Critical
VIC000313,CASE000136,CID000658,None
VIC000314,CASE004122,CID003078,Critical
VIC000315,CASE008437,CID004536,Serious
VIC000316,CASE007919,CID006306,Minor
VIC000317,CASE002463,CID007224,Critical
VIC000318,CASE005006,CID000117,None
VIC000319,CASE009205,CID007902,None
VIC000320,CASE005494,CID003724,Serious
VIC000321,CASE001459,CID001903,Critical
VIC000322,CASE005791,CID009218,Minor
VIC000323,CASE005376,CID007670,Minor
VIC000324,CASE000238,CID008388,None
VIC000325,CASE003124,CID007276,Serious
VIC000326,CASE009138,CID008664,None
VIC000327,CASE005329,CID005226,None
VIC000328,CASE003749,CID007982,Minor
VIC000329,CASE000641,CID005620,Minor
VIC000330,CASE004404,CID003718,None
VIC000331,CASE005743,CID006766,Serious
VIC000332,CASE005534,CID005230,Critical
VIC000333,CASE005533,CID010000,Minor
VIC000334,CASE008349,CID008346,Minor
VIC000335,CASE009681,CID007357,None
VIC000336,CASE003526,CID008693,Serious
VIC000337,CASE007108,CID008815,Serious
VIC000338,CASE003538,CID005531,None
VIC000339,CASE009872,CID003455,Critical
VIC000340,CASE009665,CID000852,Serious
VIC000341,CASE003458,CID000720,Serious
VIC000342,CASE005658,CID006361,Critical
VIC000343,CASE002507,CID009547,Serious
VIC000344,CASE008350,CID009705,Critical
VIC000345,CASE005334,CID001203,Minor
VIC000346,CASE006105,CID001254,Serious
VIC000347,CASE001570,CID007412,Minor
VIC000348,CASE007668,CID001257,Serious
VIC000349,CASE004254,CID004638,Critical
VIC000350,CASE002446,CID005499,Serious
VIC000351,CASE002986,CID002502,Critical
VIC000352,CASE003547,CID004900,Critical
VIC000353,CASE009220,CID005869,Minor
VIC000354,CASE005381,CID004031,None
VIC000355,CASE000242,CID008663,Serious
VIC000356,CASE002759,CID009041,Minor
VIC000357,CASE001775,CID000027,Critical
VIC000358,CASE008793,CID006023,Minor
VIC000359,CASE009197,CID002711,Minor
VIC000360,CASE000080,CID002926,None
VIC000361,CASE008694,CID002053,Minor
VIC000362,CASE001412,CID008391,Serious
VIC000363,CASE007715,CID008702,None
VIC000364,CASE000672,CID002211,None
VIC000365,CASE001823,CID002367,Serious
VIC000366,CASE006046,CID008463,Serious
VIC000367,CASE009622,CID000323,None
VIC000368,CASE000556,CID009164,Critical
VIC000369,CASE006437,CID005489,None
VIC000370,CASE007863,CID002203,Minor
VIC000371,CASE004122,CID005468,Critical
VIC000372,CASE005694,CID007962,None
VIC000373,CASE001959,CID002655,Minor
VIC000374,CASE004549,CID002248,None
VIC000375,CASE009440,CID007097,Serious
VIC000376,CASE005086,CID004683,Serious
VIC000377,CASE005831,CID005041,Minor
VIC000378,CASE007176,CID008720,Minor
VIC000379,CASE008152,CID000853,Serious
VIC000380,CASE006579,CID005464,Minor
VIC000381,CASE008048,CID009031,Minor
VIC000382,CASE006726,CID004217,None
VIC000383,CASE008631,CID008330,None
VIC000384,CASE005515,CID003212,None
VIC000385,CASE005027,CID008072,Serious
VIC000386,CASE000863,CID000609,Minor
VIC000387,CASE000407,CID002361,Serious
VIC000388,CASE000051,CID001876,Minor
VIC000389,CASE008196,CID000502,None
VIC000390,CASE004337,CID001140,Minor
VIC000391,CASE005257,CID002072,Serious
VIC000392,CASE007596,CID009402,Critical
VIC000393,CASE008706,CID009871,None
VIC000394,CASE001424,CID004631,None
VIC000395,CASE000726,CID004417,Minor
VIC000396,CASE003717,CID002301,Critical
VIC000397,CASE004295,CID000069,Minor
VIC000398,CASE008303,CID004986,Critical
VIC000399,CASE004520,CID008764,Minor
VIC000400,CASE009147,CID009556,Minor
VIC000401,CASE001490,CID007848,Minor
VIC000402,CASE008543,CID007939,Serious
VIC000403,CASE001354,CID006792,Serious
VIC000404,CASE006832,CID004173,Minor
VIC000405,CASE000536,CID008549,Minor
VIC000406,CASE001921,CID000858,None
VIC000407,CASE008865,CID009902,Serious
VIC000408,CASE000380,CID004455,None
VIC000409,CASE007676,CID006316,Minor
VIC000410,CASE004985,CID004940,None
VIC000411,CASE007998,CID004937,Serious
VIC000412,CASE001781,CID008157,None
VIC000413,CASE000796,CID000459,None
VIC000414,CASE002982,CID004699,Serious
VIC000415,CASE008882,CID005639,Serious
VIC000416,CASE000713,CID009030,Serious
VIC000417,CASE000802,CID002615,None
VIC000418,CASE000101,CID003900,None
VIC000419,CASE003065,CID003918,Critical
VIC000420,CASE006087,CID005521,Serious
VIC000421,CASE007606,CID007557,Minor
VIC000422,CASE005216,CID000149,Minor
VIC000423,CASE006275,CID005707,Serious
VIC000424,CASE001841,CID001776,None
VIC000425,CASE003429,CID002920,None
VIC000426,CASE002521,CID006110,None
VIC000427,CASE007644,CID000925,Minor
VIC000428,CASE007600,CID009721,Minor
VIC000429,CASE001031,CID003245,Serious
VIC000430,CASE000564,CID001639,Minor
VIC000431,CASE007149,CID006800,Minor
VIC000432,CASE001469,CID004072,None
VIC000433,CASE008448,CID000135,Serious
VIC000434,CASE007377,CID006578,Minor
VIC000435,CASE004460,CID008038,Serious
VIC000436,CASE007232,CID006057,Serious
VIC000437,CASE002343,CID002112,Minor
VIC000438,CASE006375,CID009419,Serious
VIC000439,CASE003344,CID007435,Serious
VIC000440,CASE002515,CID009954,Minor
VIC000441,CASE002375,CID005467,None
VIC000442,CASE003331,CID002209,Serious
VIC000443,CASE007292,CID005631,None
VIC000444,CASE009853,CID008550,Minor
VIC000445,CASE007310,CID004015,None
VIC000446,CASE000944,CID001331,None
VIC000447,CASE008508,CID004950,Serious
VIC000448,CASE008125,CID008006,Critical
VIC000449,CASE002721,CID004925,Critical
VIC000450,CASE004105,CID003580,Serious
VIC000451,CASE007016,CID009008,Critical
VIC000452,CASE004387,CID002534,None
VIC000453,CASE008983,CID008913,Critical
VIC000454,CASE003608,CID000676,Minor
VIC000455,CASE001168,CID002742,None
VIC000456,CASE000088,CID004654,Serious
VIC000457,CASE000464,CID009969,Critical
VIC000458,CASE006052,CID002321,Critical
VIC000459,CASE009994,CID007554,Serious
VIC000460,CASE000780,CID008919,Critical
VIC000461,CASE008579,CID001195,Minor
VIC000462,CASE006842,CID001782,Minor
VIC000463,CASE005420,CID004068,None
VIC000464,CASE005628,CID000669,None
VIC000465,CASE008015,CID005027,Critical
VIC000466,CASE001817,CID009519,Critical
VIC000467,CASE008348,CID008390,None
VIC000468,CASE009784,CID001584,Minor
VIC000469,CASE009914,CID001504,Minor
VIC000470,CASE009238,CID005245,Serious
VIC000471,CASE008936,CID006473,Minor
VIC000472,CASE007070,CID003183,Serious
VIC000473,CASE000654,CID008458,Critical
VIC000474,CASE004172,CID007378,Critical
VIC000475,CASE008394,CID006798,Minor
VIC000476,CASE000741,CID003216,Critical
VIC000477,CASE007518,CID001788,None
VIC000478,CASE000742,CID005351,None
VIC000479,CASE006449,CID009387,Serious
VIC000480,CASE004060,CID003679,Critical
VIC000481,CASE003307,CID007839,Minor
VIC000482,CASE006370,CID001522,Critical
VIC000483,CASE005460,CID000926,Minor
VIC000484,CASE005002,CID008083,None
VIC000485,CASE003052,CID005622,Serious
VIC000486,CASE009916,CID004018,Minor
VIC000487,CASE003141,CID009872,Critical
VIC000488,CASE003243,CID004561,Serious
VIC000489,CASE001505,CID009856,Serious
VIC000490,CASE003969,CID006357,Minor
VIC000491,CASE006436,CID000694,Minor
VIC000492,CASE005152,CID004223,Serious
VIC000493,CASE001176,CID005484,Minor
VIC000494,CASE001543,CID003049,Critical
VIC000495,CASE008479,CID003603,None
VIC000496,CASE001611,CID001114,None
VIC000497,CASE002182,CID008552,Serious
VIC000498,CASE002924,CID000169,Critical
VIC000499,CASE007405,CID001802,None
VIC000500,CASE002650,CID009658,Minor
VIC000501,CASE001227,CID003490,Serious
VIC000502,CASE002024,CID005702,None
VIC000503,CASE008905,CID008837,Minor
VIC000504,CASE000497,CID004438,Critical
VIC000505,CASE008618,CID002157,Minor
VIC000506,CASE007097,CID003564,Serious
VIC000507,CASE007671,CID002559,Serious
VIC000508,CASE009279,CID008263,Minor
VIC000509,CASE005535,CID008089,Serious
VIC000510,CASE004812,CID004508,Minor
VIC000511,CASE001082,CID009020,None
VIC000512,CASE005244,CID007953,Minor
VIC000513,CASE008367,CID008237,Minor
VIC000514,CASE009363,CID008705,None
VIC000515,CASE000942,CID006616,None
VIC000516,CASE005826,CID001941,Critical
VIC000517,CASE004884,CID003999,None
VIC000518,CASE000128,CID008046,Minor
VIC000519,CASE003643,CID006107,Serious
VIC000520,CASE000837,CID008404,Critical
VIC000521,CASE007004,CID004359,None
VIC000522,CASE001708,CID001807,Minor
VIC000523,CASE008753,CID004257,Minor
VIC000524,CASE006641,CID002350,Serious
VIC000525,CASE005330,CID002318,Critical
VIC000526,CASE002762,CID006158,Serious
VIC000527,CASE003755,CID006059,None
VIC000528,CASE002455,CID008099,Critical
VIC000529,CASE000871,CID003374,None
VIC000530,CASE002445,CID005669,Serious
VIC000531,CASE006050,CID006743,Critical
VIC000532,CASE004379,CID005671,Serious
VIC000533,CASE006788,CID003898,Serious
VIC000534,CASE008153,CID009583,None
VIC000535,CASE004130,CID006308,None
VIC000536,CASE003946,CID009109,None
VIC000537,CASE000340,CID004474,Minor
VIC000538,CASE003458,CID008719,Critical
VIC000539,CASE009207,CID004243,None
VIC000540,CASE004007,CID005476,Serious
VIC000541,CASE005661,CID009928,None
VIC000542,CASE000707,CID002259,Serious
VIC000543,CASE000133,CID001537,Critical
VIC000544,CASE008696,CID008455,Serious
VIC000545,CASE009475,CID002550,None
VIC000546,CASE002113,CID008500,Critical
VIC000547,CASE009070,CID004461,None
VIC000548,CASE009732,CID007632,Serious
VIC000549,CASE007810,CID002126,Minor
VIC000550,CASE005496,CID000974,Critical
VIC000551,CASE009914,CID002096,Minor
VIC000552,CASE003742,CID000511,None
VIC000553,CASE002686,CID005324,Critical
VIC000554,CASE001359,CID000797,Minor
VIC000555,CASE004168,CID002744,None
VIC000556,CASE000412,CID009636,None
VIC000557,CASE002190,CID002184,Serious
VIC000558,CASE007830,CID008846,Serious
VIC000559,CASE002069,CID004301,Minor
VIC000560,CASE001691,CID001550,None
VIC000561,CASE009551,CID007445,Critical
VIC000562,CASE000046,CID004730,None
VIC000563,CASE007843,CID009313,Critical
VIC000564,CASE005767,CID004505,None
VIC000565,CASE008931,CID001280,Minor
VIC000566,CASE000845,CID002302,Minor
VIC000567,CASE009114,CID004186,Minor
VIC000568,CASE005398,CID000441,Minor
VIC000569,CASE007822,CID005172,Critical
VIC000570,CASE006356,CID004336,Minor
VIC000571,CASE002043,CID005826,Minor
VIC000572,CASE001266,CID008348,Critical
VIC000573,CASE002313,CID005725,None
VIC000574,CASE004793,CID007662,Minor
VIC000575,CASE009111,CID008871,Serious
VIC000576,CASE009051,CID001102,None
VIC000577,CASE008575,CID005315,Serious
VIC000578,CASE009718,CID004954,Serious
VIC000579,CASE008882,CID006877,None
VIC000580,CASE004092,CID002212,Serious
VIC000581,CASE008186,CID005925,Critical
VIC000582,CASE000661,CID008094,Critical
VIC000583,CASE001396,CID005502,None
VIC000584,CASE006372,CID007105,Critical
VIC000585,CASE003526,CID000037,None
VIC000586,CASE002051,CID009588,Critical
VIC000587,CASE005931,CID002010,None
VIC000588,CASE000352,CID005371,Minor
VIC000589,CASE004342,CID002213,Critical
VIC000590,CASE001030,CID008313,Critical
VIC000591,CASE001557,CID004060,Critical
VIC000592,CASE002526,CID006640,Serious
VIC000593,CASE000758,CID006065,Minor
VIC000594,CASE007133,CID000148,Critical
VIC000595,CASE007775,CID002484,None
VIC000596,CASE007845,CID008649,None
VIC000597,CASE000298,CID006881,Serious
VIC000598,CASE009229,CID003077,None
VIC000599,CASE008300,CID007512,Minor
VIC000600,CASE008960,CID003251,None
VIC000601,CASE003298,CID004765,Minor
VIC000602,CASE009653,CID000223,Critical
VIC000603,CASE003889,CID004089,None
VIC000604,CASE005187,CID002941,None
VIC000605,CASE004560,CID005561,None
VIC000606,CASE007358,CID007601,Serious
VIC000607,CASE008111,CID003924,Serious
VIC000608,CASE002174,CID001942,Serious
VIC000609,CASE003703,CID004765,Critical
VIC000610,CASE008239,CID006621,Minor
VIC000611,CASE006287,CID001844,Critical
VIC000612,CASE006214,CID009399,None
VIC000613,CASE004147,CID001497,None
VIC000614,CASE005889,CID002949,None
VIC000615,CASE005109,CID000911,None
VIC000616,CASE009612,CID002754,Minor
VIC000617,CASE001544,CID003949,Critical
VIC000618,CASE003559,CID005738,Critical
VIC000619,CASE003157,CID005517,None
VIC000620,CASE006413,CID009311,Serious
VIC000621,CASE006484,CID007953,None
VIC000622,CASE004342,CID000517,Serious
VIC000623,CASE002000,CID005136,Serious
VIC000624,CASE005387,CID004986,Critical
VIC000625,CASE009559,CID000423,Critical
VIC000626,CASE006636,CID009572,Minor
VIC000627,CASE009952,CID009540,None
VIC000628,CASE008874,CID007983,None
VIC000629,CASE005866,CID004040,None
VIC000630,CASE000758,CID009488,Critical
VIC000631,CASE004147,CID006981,Critical
VIC000632,CASE009426,CID005453,Serious
VIC000633,CASE005762,CID002927,Serious
VIC000634,CASE005591,CID003012,Serious
VIC000635,CASE003270,CID004629,None
VIC000636,CASE000196,CID007912,Critical
VIC000637,CASE005714,CID009337,Serious
VIC000638,CASE005787,CID001224,None
VIC000639,CASE004828,CID008595,Serious
VIC000640,CASE000703,CID003750,Critical
VIC000641,CASE000097,CID000576,Critical
VIC000642,CASE009383,CID002527,Minor
VIC000643,CASE000347,CID005606,None
VIC000644,CASE006481,CID002426,Critical
VIC000645,CASE003850,CID001138,Critical
VIC000646,CASE008482,CID008593,Minor
VIC000647,CASE005624,CID007392,Critical
VIC000648,CASE008023,CID000047,Serious
VIC000649,CASE001499,CID005992,Minor
VIC000650,CASE008614,CID000487,Critical
VIC000651,CASE001745,CID007573,None
VIC000652,CASE008645,CID007104,Serious
VIC000653,CASE005783,CID002637,Serious
VIC000654,CASE007237,CID000989,Critical
VIC000655,CASE005285,CID006098,Critical
VIC000656,CASE005558,CID005703,Serious
VIC000657,CASE002928,CID005561,Serious
VIC000658,CASE004798,CID005470,None
VIC000659,CASE005435,CID008463,Critical
VIC000660,CASE008785,CID008851,None
VIC000661,CASE006569,CID002170,Minor
VIC000662,CASE007830,CID008213,Minor
VIC000663,CASE002977,CID001919,None
VIC000664,CASE002311,CID009937,Critical
VIC000665,CASE003534,CID000674,Minor
VIC000666,CASE002726,CID005993,Critical
VIC000667,CASE002500,CID001002,Minor
VIC000668,CASE007803,CID008414,Critical
VIC000669,CASE000974,CID005471,Minor
VIC000670,CASE001847,CID003386,Critical
VIC000671,CASE007088,CID001197,None
VIC000672,CASE001437,CID000855,Critical
VIC000673,CASE006344,CID005043,Serious
VIC000674,CASE006325,CID004814,Critical
VIC000675,CASE008863,CID009252,Minor
VIC000676,CASE003285,CID007076,Critical
VIC000677,CASE006954,CID000493,Minor
VIC000678,CASE009505,CID001386,Serious
VIC000679,CASE006976,CID000390,None
VIC000680,CASE006970,CID008772,None
VIC000681,CASE003845,CID001694,Minor
VIC000682,CASE004147,CID007817,None
VIC000683,CASE009049,CID004783,Minor
