case_id,fir_number,crime_type,station_id,officer_id,status,priority,incident_date,registered_date,city,district,description,estimated_loss
CASE000040,FIR2026000040,Murder,ST0055,OFF00256,Pending,Low,2025-07-06,2024-08-11,Bengaluru,Dakshina Kannada,Id iusto adipisci omnis distinctio aliquid sed quibusdam voluptates illo porro explicabo quas harum.,800412
CASE000041,FIR2026000041,Missing Person,ST0023,OFF00249,Open,Critical,2025-11-25,2024-02-23,Ballari,Shivamogga,Architecto dicta ducimus fugit perferendis quisquam dolorum similique animi.,930689
CASE000042,FIR2026000042,Burglary,ST0068,OFF00017,Pending,Medium,2025-03-22,2026-01-09,Shivamogga,Belagavi,In neque quo accusamus repellat voluptatum recusandae error modi.,932530
CASE000043,FIR2026000043,Murder,ST0018,OFF00193,Pending,Medium,2025-11-24,2023-01-12,Tumakuru,Dakshina Kannada,Ipsum consequatur perspiciatis soluta illum non aut minima.,987154
CASE000044,FIR2026000044,Mobile Theft,ST0034,OFF00270,Open,Critical,2025-11-14,2023-10-23,Tumakuru,Dharwad,Quas vero in ipsa a nobis ipsa ipsam eligendi.,63220
CASE000045,FIR2026000045,Mobile Theft,ST0098,OFF00213,Under Investigation,Critical,2023-09-04,2023-04-04,Bengaluru,Ballari,Nihil laborum a magni at officiis esse deleniti eaque tempore alias qui animi.,237283
CASE000046,FIR2026000046,Domestic Violence,ST0006,OFF00208,Open,Medium,2024-08-29,2024-06-17,Mangaluru,Shivamogga,Sapiente suscipit eaque fuga totam dolor dolorem magnam voluptatem ratione dolorum id ut illum.,171519
CASE000047,FIR2026000047,Drug Trafficking,ST0073,OFF00374,Under Investigation,Critical,2024-07-17,2025-09-22,Belagavi,Mysuru,Ut similique voluptatibus perspiciatis architecto enim id nulla debitis.,638154
CASE000048,FIR2026000048,UPI Fraud,ST0053,OFF00071,Under Investigation,Critical,2024-09-07,2025-12-17,Mangaluru,Bengaluru Urban,Perferendis eos dolores autem corrupti quis deserunt quisquam dolorem eligendi dolor reiciendis reiciendis.,561631
CASE000049,FIR2026000049,Assault,ST0042,OFF00364,Closed,Critical,2026-04-08,2025-07-17,Tumakuru,Dharwad,Laborum illo rerum consequuntur iure in magni repudiandae voluptatem quibusdam in exercitationem.,217230
CASE000050,FIR2026000050,Chain Snatching,ST0075,OFF00207,Closed,Critical,2023-09-15,2023-05-31,Bengaluru,Dakshina Kannada,Reiciendis sequi vero hic blanditiis consequuntur quos iste explicabo porro temporibus ipsum quia voluptate.,949348
CASE000051,FIR2026000051,Burglary,ST0077,OFF00243,Under Investigation,Low,2026-07-02,2023-05-22,Mysuru,Dakshina Kannada,Aliquam voluptatum voluptas itaque impedit optio eos sunt excepturi.,917372
CASE000052,FIR2026000052,Kidnapping,ST0092,OFF00214,Pending,Medium,2023-10-05,2025-01-25,Belagavi,Ballari,Laborum optio odit quo perferendis molestiae hic quam officia itaque doloribus tempore reiciendis necessitatibus quaerat inventore.,788296
CASE000053,FIR2026000053,Domestic Violence,ST0095,OFF00363,Closed,Medium,2026-01-28,2024-04-06,Tumakuru,Dakshina Kannada,Ea quaerat blanditiis dicta itaque placeat nemo mollitia.,16028
CASE000054,FIR2026000054,Online Scam,ST0089,OFF00431,Under Investigation,High,2023-08-25,2024-04-09,Tumakuru,Ballari,Dolor veniam facilis veritatis harum neque possimus doloremque est eveniet perspiciatis doloremque reiciendis.,947466
CASE000055,FIR2026000055,Mobile Theft,ST0013,OFF00016,Closed,Low,2024-06-05,2023-12-03,Tumakuru,Dakshina Kannada,Beatae recusandae odio consequuntur sequi sequi voluptatibus dignissimos deserunt distinctio reprehenderit.,728190
CASE000056,FIR2026000056,Missing Person,ST0007,OFF00072,Pending,Critical,2024-09-06,2023-06-03,Shivamogga,Ballari,Veniam corporis fugiat laborum sed minus aut iste.,110739
CASE000057,FIR2026000057,UPI Fraud,ST0092,OFF00258,Closed,Medium,2025-10-10,2024-03-05,Belagavi,Shivamogga,Accusamus eos magnam sapiente perferendis aspernatur saepe magni.,311529
CASE000058,FIR2026000058,Burglary,ST0091,OFF00354,Under Investigation,Medium,2024-03-04,2023-10-28,Mangaluru,Shivamogga,Eveniet sed voluptas a atque ipsa voluptas non culpa quaerat blanditiis unde eveniet mollitia.,833685
CASE000059,FIR2026000059,Chain Snatching,ST0045,OFF00133,Open,High,2024-08-26,2025-06-02,Belagavi,Ballari,Error inventore et possimus fuga culpa reiciendis totam impedit veritatis cum rem iste ipsa.,565266
CASE000060,FIR2026000060,UPI Fraud,ST0077,OFF00034,Open,Low,2025-08-28,2025-09-03,Bengaluru,Ballari,Aliquam neque in quos expedita asperiores fugit quis maxime eveniet ipsam blanditiis ut.,153493
CASE000061,FIR2026000061,UPI Fraud,ST0025,OFF00478,Pending,Critical,2025-04-20,2025-02-08,Shivamogga,Dharwad,Enim id animi voluptatibus quod voluptate fugiat illo ipsam at inventore eaque saepe architecto sunt.,84555
CASE000062,FIR2026000062,Kidnapping,ST0064,OFF00122,Open,Low,2024-07-05,2023-06-17,Belagavi,Mysuru,Labore a reiciendis illum harum in voluptatem deserunt aperiam commodi quidem mollitia architecto non quaerat incidunt.,694591
CASE000063,FIR2026000063,ATM Fraud,ST0058,OFF00098,Pending,Medium,2026-07-05,2025-01-26,Hubballi,Shivamogga,Quibusdam molestiae aut provident facilis provident libero labore provident.,161286
CASE000064,FIR2026000064,Burglary,ST0063,OFF00441,Pending,High,2023-09-15,2023-07-31,Belagavi,Belagavi,Eos quas sed numquam itaque culpa asperiores consequatur ipsam a earum ab.,242303
CASE000065,FIR2026000065,ATM Fraud,ST0056,OFF00386,Open,Medium,2024-11-08,2023-10-23,Ballari,Shivamogga,Alias placeat cupiditate quibusdam vel distinctio omnis minus ut facere quidem ipsam voluptates numquam id accusamus.,416458
CASE000066,FIR2026000066,Missing Person,ST0024,OFF00224,Open,Critical,2023-09-12,2025-01-23,Tumakuru,Belagavi,Cumque ad odit sequi corporis vitae sunt praesentium nisi reiciendis.,819825
CASE000067,FIR2026000067,Murder,ST0019,OFF00073,Pending,Low,2025-09-14,2025-02-02,Ballari,Belagavi,Tenetur fuga consequatur a quisquam expedita odit nemo corrupti tenetur repellat id nam numquam accusamus.,880579
CASE000068,FIR2026000068,Missing Person,ST0085,OFF00105,Open,Medium,2024-01-16,2024-12-30,Bengaluru,Tumakuru,Id occaecati odio odit modi porro rerum quidem.,592730
CASE000069,FIR2026000069,Mobile Theft,ST0030,OFF00018,Pending,High,2025-07-04,2024-08-15,Mysuru,Bengaluru Urban,Occaecati fugit natus repellendus nulla repellat a ut eaque expedita autem illum.,7762
CASE000070,FIR2026000070,Cyber Fraud,ST0075,OFF00458,Open,High,2026-04-30,2024-10-25,Belagavi,Belagavi,Animi corporis natus adipisci error saepe quas consequuntur illo.,745361
CASE000071,FIR2026000071,Online Scam,ST0066,OFF00072,Pending,Critical,2024-09-10,2024-05-24,Belagavi,Belagavi,At dolorum soluta accusamus quidem dolor optio architecto nisi.,866875
CASE000072,FIR2026000072,Domestic Violence,ST0031,OFF00291,Under Investigation,Critical,2023-10-22,2025-04-20,Ballari,Dakshina Kannada,Quidem blanditiis eum non expedita doloribus quo esse autem perspiciatis corporis atque.,619141
CASE000073,FIR2026000073,Drug Trafficking,ST0025,OFF00463,Open,High,2025-06-15,2023-06-06,Bengaluru,Shivamogga,Facere assumenda blanditiis molestias cumque tempore omnis consectetur dolores vero nisi ducimus.,974227
CASE000074,FIR2026000074,Missing Person,ST0006,OFF00494,Pending,Critical,2024-03-01,2024-08-11,Hubballi,Belagavi,Adipisci recusandae voluptatibus autem quidem rem blanditiis mollitia quisquam.,309002
CASE000075,FIR2026000075,Assault,ST0094,OFF00046,Pending,Medium,2024-11-22,2025-11-08,Mysuru,Dharwad,Quaerat dignissimos error dolor labore pariatur occaecati iure cum earum deserunt.,788725
CASE000076,FIR2026000076,ATM Fraud,ST0028,OFF00102,Closed,Medium,2025-07-20,2024-06-30,Hubballi,Dakshina Kannada,Dolor quibusdam dicta reprehenderit illum odit dolore officiis dolore magni ipsa facilis ullam beatae aliquid.,693723
CASE000077,FIR2026000077,Domestic Violence,ST0098,OFF00154,Open,Medium,2023-10-14,2023-05-01,Ballari,Ballari,Recusandae facilis cupiditate deleniti vel molestias perspiciatis voluptatum non.,731495
CASE000078,FIR2026000078,Drug Trafficking,ST0072,OFF00129,Under Investigation,Critical,2024-09-01,2025-04-24,Hubballi,Belagavi,Laboriosam impedit officia architecto facere unde expedita amet.,105424
CASE000079,FIR2026000079,ATM Fraud,ST0048,OFF00335,Closed,Low,2025-01-05,2025-09-17,Hubballi,Ballari,Hic explicabo veniam libero cupiditate culpa perferendis perspiciatis cum.,955225
CASE000080,FIR2026000080,Burglary,ST0089,OFF00282,Pending,Medium,2026-02-10,2026-02-02,Tumakuru,Bengaluru Urban,Molestias enim quae magni accusantium animi labore necessitatibus accusantium autem.,452389
CASE000081,FIR2026000081,UPI Fraud,ST0036,OFF00219,Closed,Critical,2025-05-15,2024-10-08,Shivamogga,Bengaluru Urban,Ipsam et accusantium laborum rerum reiciendis impedit suscipit quos numquam illum modi dolor vitae.,689514
CASE000082,FIR2026000082,Chain Snatching,ST0055,OFF00135,Under Investigation,Critical,2024-01-13,2025-11-20,Mangaluru,Ballari,Dolore delectus sequi non libero dicta praesentium doloremque aut totam occaecati expedita.,373350
CASE000083,FIR2026000083,ATM Fraud,ST0023,OFF00120,Pending,High,2024-10-13,2025-06-02,Tumakuru,Mysuru,Sed iste eum laudantium eaque sunt dolorem omnis blanditiis laborum adipisci itaque dolores in.,850045
CASE000084,FIR2026000084,Missing Person,ST0020,OFF00296,Closed,Low,2025-12-12,2024-06-17,Belagavi,Mysuru,Magnam quibusdam atque ex nesciunt vitae nam nam.,715667
CASE000085,FIR2026000085,Chain Snatching,ST0086,OFF00003,Under Investigation,Medium,2025-10-28,2025-05-12,Hubballi,Dharwad,Numquam ratione ipsum similique reprehenderit itaque nesciunt libero explicabo labore officiis voluptas voluptatum corrupti.,936407
CASE000086,FIR2026000086,Murder,ST0011,OFF00411,Under Investigation,Medium,2025-11-30,2024-09-10,Tumakuru,Dharwad,Corrupti atque expedita eligendi accusantium similique vitae repellat rerum consectetur similique aliquid eum cum explicabo.,96107
CASE000087,FIR2026000087,Kidnapping,ST0002,OFF00258,Open,Medium,2023-10-21,2025-07-16,Mysuru,Dakshina Kannada,Alias aliquam atque fugit ducimus quos sapiente maxime quas laborum ex dolores.,810526
CASE000088,FIR2026000088,Mobile Theft,ST0072,OFF00234,Closed,Low,2025-10-29,2026-04-14,Tumakuru,Bengaluru Urban,Quas dolorem libero ipsum vitae ullam laborum quam odio quae voluptas iste rem assumenda.,682607
CASE000089,FIR2026000089,Kidnapping,ST0046,OFF00298,Pending,Medium,2026-02-22,2023-03-12,Bengaluru,Tumakuru,Reprehenderit dolorum sed voluptatibus reiciendis itaque error inventore ea vitae nisi hic maiores.,340641
CASE000090,FIR2026000090,Chain Snatching,ST0033,OFF00346,Pending,High,2026-02-22,2024-05-09,Ballari,Ballari,Quisquam expedita sint ex eveniet quo quidem sit cum quas.,891821
CASE000091,FIR2026000091,Assault,ST0042,OFF00354,Under Investigation,Low,2025-02-27,2023-06-23,Mysuru,Ballari,Sapiente error recusandae delectus consectetur voluptate pariatur sequi et.,283036
CASE000092,FIR2026000092,Online Scam,ST0096,OFF00371,Closed,High,2024-11-28,2025-04-03,Tumakuru,Dharwad,Tempore laborum voluptas dolore sequi voluptatum tempora suscipit.,333509
CASE000093,FIR2026000093,Assault,ST0068,OFF00019,Open,Critical,2024-12-30,2026-03-07,Belagavi,Tumakuru,Corrupti vel assumenda quae perspiciatis ipsum dolores delectus minus ad.,786261
CASE000094,FIR2026000094,Mobile Theft,ST0050,OFF00299,Under Investigation,Low,2024-04-30,2024-08-25,Mysuru,Mysuru,Autem occaecati nihil quod dolorum tenetur facere eligendi quia nemo quas hic error incidunt minima possimus.,621261
CASE000095,FIR2026000095,Missing Person,ST0020,OFF00201,Open,Critical,2026-04-08,2024-05-10,Shivamogga,Ballari,Perferendis velit dolores iure earum eaque laborum officiis nam optio ab corrupti saepe impedit esse.,842385
CASE000096,FIR2026000096,UPI Fraud,ST0096,OFF00049,Open,Critical,2024-01-26,2024-09-19,Shivamogga,Dharwad,Praesentium recusandae ea ratione tempore consequuntur eligendi necessitatibus.,848827
CASE000097,FIR2026000097,Online Scam,ST0089,OFF00081,Closed,Low,2023-11-22,2023-06-05,Mangaluru,Bengaluru Urban,Rem explicabo magnam ullam natus quo atque accusantium maiores ullam labore hic architecto nemo eveniet.,726123
CASE000098,FIR2026000098,UPI Fraud,ST0100,OFF00228,Closed,Medium,2024-10-27,2026-03-22,Mangaluru,Dakshina Kannada,Doloribus quaerat commodi veritatis libero dolor quisquam corrupti quia expedita odit quidem ipsam.,85453
CASE000099,FIR2026000099,ATM Fraud,ST0021,OFF00437,Pending,Critical,2025-11-03,2023-05-06,Tumakuru,Bengaluru Urban,Fugiat quis repudiandae ipsa ab at fugit adipisci tenetur saepe esse maiores.,902463
CASE000100,FIR2026000100,Drug Trafficking,ST0031,OFF00477,Closed,Low,2023-09-23,2025-12-30,Belagavi,Bengaluru Urban,Ipsa aspernatur earum tempore cumque omnis sed ullam maxime repellendus quos enim ea architecto quo.,402384
CASE000101,FIR2026000101,Murder,ST0056,OFF00352,Open,High,2026-06-10,2024-08-31,Shivamogga,Dakshina Kannada,Earum delectus ex temporibus consectetur hic veniam aspernatur minima nemo tempore doloribus inventore ad.,336699
CASE000102,FIR2026000102,Burglary,ST0029,OFF00268,Open,High,2025-05-21,2023-08-16,Hubballi,Dakshina Kannada,Culpa reprehenderit aliquid animi ex similique ratione qui quidem saepe nulla deleniti explicabo cumque.,361733
CASE000103,FIR2026000103,Domestic Violence,ST0044,OFF00235,Open,Low,2023-12-13,2025-04-02,Bengaluru,Bengaluru Urban,Voluptatibus quod quibusdam provident libero laborum beatae vero itaque facilis voluptas alias quae.,637433
CASE000104,FIR2026000104,Cyber Fraud,ST0051,OFF00194,Open,High,2023-10-04,2023-05-26,Bengaluru,Ballari,Quam amet nostrum quidem adipisci sunt nisi rem doloremque perspiciatis voluptate harum.,368894
CASE000105,FIR2026000105,Mobile Theft,ST0076,OFF00296,Under Investigation,Low,2024-11-13,2024-10-11,Mysuru,Shivamogga,Nemo modi id soluta eaque quos accusantium ducimus vitae distinctio fuga eum modi.,804471
CASE000106,FIR2026000106,Assault,ST0050,OFF00260,Open,High,2024-07-07,2024-07-09,Hubballi,Ballari,Vel ex omnis non expedita dolore aperiam officia excepturi ducimus cupiditate quis suscipit molestias qui.,603448
CASE000107,FIR2026000107,Missing Person,ST0090,OFF00134,Closed,Medium,2026-01-16,2024-02-15,Tumakuru,Dakshina Kannada,Nobis occaecati incidunt odio quos optio inventore doloribus.,272070
CASE000108,FIR2026000108,Mobile Theft,ST0062,OFF00244,Under Investigation,Medium,2026-01-23,2025-06-26,Hubballi,Ballari,Architecto porro totam laudantium temporibus numquam facilis facere error eligendi aliquid minus.,165306
CASE000109,FIR2026000109,UPI Fraud,ST0024,OFF00069,Pending,Low,2024-01-06,2024-04-29,Mangaluru,Belagavi,Hic perspiciatis nulla magnam nobis quisquam a.,807048
CASE000110,FIR2026000110,Chain Snatching,ST0044,OFF00395,Under Investigation,High,2023-09-20,2025-11-07,Mangaluru,Belagavi,Autem provident consectetur hic exercitationem et minima sint cum laborum provident enim est.,41255
CASE000111,FIR2026000111,ATM Fraud,ST0003,OFF00133,Open,Low,2026-06-22,2023-06-28,Tumakuru,Ballari,Minima dolores nisi soluta nesciunt exercitationem dicta ipsam.,352928
CASE000112,FIR2026000112,Online Scam,ST0007,OFF00050,Under Investigation,Medium,2023-12-23,2024-08-31,Tumakuru,Mysuru,Quod doloremque repudiandae similique quibusdam repellat reprehenderit.,259492
CASE000113,FIR2026000113,Assault,ST0087,OFF00301,Closed,High,2025-06-06,2025-08-25,Hubballi,Dakshina Kannada,Ullam esse similique vel maiores et tenetur deserunt esse labore saepe expedita occaecati.,164747
CASE000114,FIR2026000114,Chain Snatching,ST0033,OFF00245,Under Investigation,High,2024-12-11,2024-09-03,Tumakuru,Bengaluru Urban,Voluptatibus voluptatibus ea officiis nam recusandae praesentium ad consequatur dolor vel molestiae aperiam praesentium.,382879
CASE000115,FIR2026000115,Murder,ST0057,OFF00301,Open,Medium,2024-07-13,2024-08-03,Hubballi,Belagavi,Quidem exercitationem quas nemo asperiores doloremque eos assumenda natus.,85203
CASE000116,FIR2026000116,Burglary,ST0064,OFF00358,Closed,Critical,2025-01-31,2024-02-26,Bengaluru,Shivamogga,Blanditiis eos incidunt debitis velit facere reprehenderit hic eos et magni sapiente inventore quisquam nesciunt.,275565
CASE000117,FIR2026000117,Online Scam,ST0096,OFF00054,Under Investigation,Low,2026-01-05,2024-06-04,Mangaluru,Shivamogga,Laudantium delectus sint quis debitis quae sint quos ea sint perspiciatis vitae temporibus quos optio.,299478
CASE000118,FIR2026000118,Murder,ST0028,OFF00370,Pending,High,2025-10-24,2023-09-25,Mysuru,Belagavi,Accusantium accusamus quisquam possimus impedit dignissimos ab tempora reiciendis excepturi eaque reprehenderit aut reprehenderit ipsa totam.,427481
CASE000119,FIR2026000119,Mobile Theft,ST0077,OFF00358,Pending,Medium,2025-06-27,2025-09-02,Belagavi,Dakshina Kannada,Iusto ratione alias soluta vero nulla eveniet pariatur ad labore repudiandae nisi.,428940
CASE000120,FIR2026000120,Online Scam,ST0079,OFF00222,Pending,Low,2025-11-07,2025-02-01,Ballari,Tumakuru,Ipsum eligendi nostrum laudantium iure illo mollitia doloribus voluptas id fuga doloribus laboriosam deserunt hic.,872610
CASE000121,FIR2026000121,Chain Snatching,ST0035,OFF00317,Open,Low,2025-08-09,2025-05-28,Shivamogga,Dharwad,Id dolore non voluptatibus tempore facilis nemo earum eius.,749631
CASE000122,FIR2026000122,Assault,ST0035,OFF00146,Open,Low,2024-09-17,2025-06-27,Hubballi,Dharwad,Odio minima occaecati at a in debitis fuga sapiente voluptatum pariatur.,453446
CASE000123,FIR2026000123,Kidnapping,ST0065,OFF00303,Under Investigation,High,2023-10-04,2026-03-30,Shivamogga,Tumakuru,Consectetur quam labore laudantium molestiae iure a voluptate nisi recusandae eveniet facilis saepe.,682783
CASE000124,FIR2026000124,Chain Snatching,ST0083,OFF00002,Closed,High,2025-11-14,2024-09-30,Ballari,Belagavi,Numquam porro laudantium iste maiores quam ut.,505746
CASE000125,FIR2026000125,Domestic Violence,ST0099,OFF00489,Pending,Low,2024-09-25,2025-02-13,Shivamogga,Belagavi,Maxime eos aperiam magni facere incidunt voluptatibus maiores quas.,723876
CASE000126,FIR2026000126,Drug Trafficking,ST0057,OFF00009,Open,Medium,2024-09-27,2024-07-25,Ballari,Tumakuru,Quos deleniti laborum excepturi ut dignissimos impedit consequuntur quisquam beatae corporis perspiciatis molestias impedit culpa.,838177
CASE000127,FIR2026000127,Domestic Violence,ST0051,OFF00483,Pending,Critical,2025-04-15,2023-03-20,Belagavi,Belagavi,Animi occaecati eum ipsum iure delectus necessitatibus.,634840
CASE000128,FIR2026000128,Cyber Fraud,ST0024,OFF00225,Open,Medium,2026-02-21,2025-08-12,Shivamogga,Mysuru,Illum id numquam iste tenetur iure saepe nam cupiditate.,494961
