log_id,user_id,action,case_id,timestamp,ip_address
LOG005059,USR0017,Updated Evidence,CASE000617,2026-06-01 12:19:00,10.86.132.7
LOG005202,USR0002,Searched Entity,,2026-06-01 12:21:00,10.95.224.141
LOG003524,USR0001,Searched Entity,,2026-06-01 12:22:00,10.63.24.131
LOG001144,USR0029,Viewed Suspect Profile,CASE008518,2026-06-01 12:28:00,10.149.20.124
LOG005964,USR0030,Searched Entity,,2026-06-01 12:37:00,10.55.50.189
LOG005189,USR0019,Viewed Case,CASE001692,2026-06-01 12:43:00,10.70.14.105
LOG004537,USR0020,Viewed Case,CASE009649,2026-06-01 12:49:00,10.105.72.239
LOG003872,USR0030,Viewed Case,CASE004955,2026-06-01 12:50:00,10.81.23.122
LOG005552,USR0011,Viewed Suspect Profile,CASE009932,2026-06-01 12:55:00,10.139.82.129
LOG004610,USR0026,Viewed Case,CASE009015,2026-06-01 12:58:00,10.217.241.214
LOG001205,USR0017,Updated Evidence,CASE007147,2026-06-01 12:59:00,10.103.44.7
LOG000252,USR0011,Viewed Suspect Profile,CASE005329,2026-06-01 13:04:00,10.206.220.12
LOG001820,USR0029,Viewed Suspect Profile,CASE001263,2026-06-01 13:15:00,10.21.106.142
LOG003031,USR0007,Searched Entity,,2026-06-01 13:17:00,10.123.115.116
LOG005184,USR0010,Viewed Case,CASE008516,2026-06-01 13:39:00,10.152.91.209
LOG003110,USR0024,Viewed Suspect Profile,CASE001171,2026-06-01 13:39:00,10.169.211.129
LOG003740,USR0019,Downloaded Report,CASE006891,2026-06-01 13:43:00,10.15.166.121
LOG004948,USR0008,Downloaded Report,CASE008072,2026-06-01 13:45:00,10.140.144.66
LOG000459,USR0032,Downloaded Report,CASE002574,2026-06-01 13:54:00,10.151.83.211
LOG005442,USR0025,Searched Entity,,2026-06-01 13:56:00,10.0.213.133
LOG002195,USR0007,Viewed Suspect Profile,CASE004430,2026-06-01 13:57:00,10.253.196.253
LOG004564,USR0020,Updated Evidence,CASE000551,2026-06-01 14:02:00,10.198.17.147
LOG005476,USR0030,Viewed Case,CASE007785,2026-06-01 14:33:00,10.209.216.216
LOG003033,USR0017,Searched Entity,,2026-06-01 14:38:00,10.191.122.206
LOG002113,USR0025,Viewed Case,CASE004296,2026-06-01 14:49:00,10.204.32.225
LOG005543,USR0006,Downloaded Report,CASE000677,2026-06-01 14:53:00,10.100.103.44
LOG001592,USR0010,Searched Entity,,2026-06-01 15:07:00,10.79.229.148
LOG004578,USR0020,Searched Entity,,2026-06-01 15:12:00,10.252.88.15
LOG005452,USR0021,Viewed Case,CASE000386,2026-06-01 15:16:00,10.113.76.112
LOG004503,USR0031,Viewed Suspect Profile,CASE007508,2026-06-01 15:30:00,10.205.63.235
LOG005222,USR0026,Updated Evidence,CASE005904,2026-06-01 15:42:00,10.186.168.184
LOG004952,USR0033,Viewed Case,CASE003841,2026-06-01 15:42:00,10.197.188.138
LOG002916,USR0014,Updated Evidence,CASE000216,2026-06-01 15:44:00,10.148.194.116
LOG004955,USR0001,Updated Evidence,CASE004085,2026-06-01 15:51:00,10.21.31.124
LOG005066,USR0033,Viewed Suspect Profile,CASE002091,2026-06-01 15:51:00,10.141.76.244
LOG002582,USR0027,Viewed Case,CASE008565,2026-06-01 16:00:00,10.13.61.221
LOG002329,USR0024,Updated Evidence,CASE004943,2026-06-01 16:03:00,10.74.9.251
LOG002763,USR0009,Searched Entity,,2026-06-01 16:06:00,10.87.29.118
LOG002765,USR0016,Downloaded Report,CASE006033,2026-06-01 16:09:00,10.122.131.233
LOG000448,USR0008,Searched Entity,,2026-06-01 16:20:00,10.175.254.197
LOG004349,USR0033,Viewed Case,CASE004669,2026-06-01 16:27:00,10.226.27.69
LOG001624,USR0016,Viewed Case,CASE001521,2026-06-01 16:54:00,10.165.6.85
LOG001235,USR0009,Viewed Case,CASE008028,2026-06-01 17:10:00,10.65.166.24
LOG000162,USR0013,Downloaded Report,CASE008769,2026-06-01 17:23:00,10.252.72.231
LOG004633,USR0005,Searched Entity,,2026-06-01 17:24:00,10.157.29.95
LOG000130,USR0014,Viewed Suspect Profile,CASE001359,2026-06-01 17:32:00,10.194.178.190
LOG001787,USR0005,Searched Entity,,2026-06-01 17:32:00,10.59.203.249
LOG001264,USR0005,Updated Evidence,CASE006889,2026-06-01 17:35:00,10.40.85.125
LOG004577,USR0032,Downloaded Report,CASE002399,2026-06-01 17:40:00,10.171.48.181
LOG002766,USR0007,Searched Entity,,2026-06-01 17:43:00,10.12.237.89
LOG000917,USR0030,Viewed Case,CASE000139,2026-06-01 17:52:00,10.144.61.104
LOG003626,USR0020,Viewed Case,CASE001274,2026-06-01 17:58:00,10.195.35.173
LOG001221,USR0010,Downloaded Report,CASE008807,2026-06-01 18:03:00,10.76.84.236
LOG004994,USR0014,Viewed Case,CASE003898,2026-06-01 18:04:00,10.43.181.248
LOG000677,USR0001,Viewed Suspect Profile,CASE006652,2026-06-01 18:19:00,10.75.104.182
LOG002142,USR0015,Updated Evidence,CASE004062,2026-06-01 18:25:00,10.26.39.39
LOG003191,USR0019,Downloaded Report,CASE008630,2026-06-01 18:33:00,10.254.87.79
LOG000732,USR0017,Downloaded Report,CASE005636,2026-06-01 18:52:00,10.7.198.21
LOG001425,USR0016,Viewed Suspect Profile,CASE004323,2026-06-01 18:53:00,10.168.211.248
LOG003726,USR0030,Downloaded Report,CASE005263,2026-06-01 18:53:00,10.78.142.133
LOG003403,USR0025,Searched Entity,,2026-06-01 18:55:00,10.250.5.1
LOG004142,USR0030,Downloaded Report,CASE006638,2026-06-01 19:06:00,10.23.253.35
LOG003804,USR0002,Viewed Case,CASE005938,2026-06-01 19:07:00,10.227.134.49
LOG002697,USR0009,Searched Entity,,2026-06-01 19:11:00,10.170.66.174
LOG003323,USR0003,Searched Entity,,2026-06-01 19:15:00,10.209.127.44
LOG002583,USR0033,Viewed Case,CASE009954,2026-06-01 19:15:00,10.0.170.238
LOG003095,USR0014,Downloaded Report,CASE005681,2026-06-01 19:17:00,10.26.117.164
LOG004377,USR0014,Searched Entity,,2026-06-01 19:18:00,10.164.242.226
LOG004674,USR0029,Updated Evidence,CASE007625,2026-06-01 19:29:00,10.154.106.80
LOG001401,USR0015,Updated Evidence,CASE002401,2026-06-01 19:31:00,10.65.44.99
LOG000767,USR0001,Viewed Case,CASE002129,2026-06-01 19:33:00,10.201.49.205
LOG001903,USR0009,Updated Evidence,CASE003072,2026-06-01 19:45:00,10.109.176.242
LOG000027,USR0028,Downloaded Report,CASE002373,2026-06-01 20:03:00,10.105.179.189
LOG005564,USR0014,Searched Entity,,2026-06-01 20:04:00,10.203.41.112
LOG000986,USR0008,Updated Evidence,CASE005263,2026-06-01 20:05:00,10.185.203.231
LOG001532,USR0012,Downloaded Report,CASE008769,2026-06-01 20:11:00,10.36.182.202
LOG001421,USR0020,Viewed Case,CASE007441,2026-06-01 20:19:00,10.4.18.56
LOG002418,USR0001,Searched Entity,,2026-06-01 20:21:00,10.201.30.224
LOG003914,USR0024,Updated Evidence,CASE007372,2026-06-01 20:35:00,10.230.247.82
LOG001910,USR0022,Downloaded Report,CASE009223,2026-06-01 20:36:00,10.183.251.127
LOG004566,USR0002,Downloaded Report,CASE009150,2026-06-01 20:49:00,10.238.255.50
LOG001750,USR0021,Updated Evidence,CASE007368,2026-06-01 20:56:00,10.28.149.72
LOG002379,USR0001,Downloaded Report,CASE002561,2026-06-01 20:57:00,10.117.141.146
LOG004775,USR0016,Updated Evidence,CASE007573,2026-06-02 08:05:00,10.167.68.46
LOG002910,USR0005,Downloaded Report,CASE001411,2026-06-02 08:07:00,10.107.33.73
LOG004825,USR0004,Viewed Case,CASE005124,2026-06-02 08:10:00,10.90.11.234
LOG002490,USR0013,Viewed Suspect Profile,CASE009647,2026-06-02 08:15:00,10.139.107.243
LOG003972,USR0030,Searched Entity,,2026-06-02 08:16:00,10.71.176.156
LOG000555,USR0016,Viewed Suspect Profile,CASE001511,2026-06-02 08:16:00,10.120.210.66
LOG000341,USR0022,Viewed Case,CASE006277,2026-06-02 08:23:00,10.41.16.132
LOG002260,USR0015,Updated Evidence,CASE007979,2026-06-02 08:26:00,10.132.166.198
LOG001244,USR0030,Viewed Suspect Profile,CASE005795,2026-06-02 08:28:00,10.79.159.78
LOG005600,USR0032,Viewed Case,CASE004330,2026-06-02 08:36:00,10.174.138.234
LOG000244,USR0015,Viewed Case,CASE005782,2026-06-02 08:37:00,10.149.114.81
LOG004098,USR0010,Viewed Case,CASE000092,2026-06-02 08:43:00,10.88.241.138
LOG005429,USR0030,Viewed Suspect Profile,CASE003797,2026-06-02 08:46:00,10.196.59.236
LOG003925,USR0021,Viewed Case,CASE000898,2026-06-02 08:50:00,10.85.86.123
LOG004062,USR0017,Downloaded Report,CASE007320,2026-06-02 08:55:00,10.178.27.47
LOG003248,USR0032,Viewed Case,CASE007495,2026-06-02 09:00:00,10.76.71.34
LOG001261,USR0011,Downloaded Report,CASE008267,2026-06-02 09:24:00,10.49.187.47
LOG001258,USR0016,Viewed Suspect Profile,CASE007300,2026-06-02 09:25:00,10.97.137.121
LOG000067,USR0025,Viewed Case,CASE005001,2026-06-02 09:29:00,10.15.20.195
LOG002940,USR0014,Viewed Case,CASE001168,2026-06-02 09:31:00,10.53.134.27
LOG002042,USR0024,Viewed Suspect Profile,CASE000008,2026-06-02 09:36:00,10.169.181.234
LOG005131,USR0022,Updated Evidence,CASE003920,2026-06-02 09:44:00,10.102.105.50
LOG003695,USR0020,Viewed Suspect Profile,CASE009980,2026-06-02 09:57:00,10.21.173.111
LOG004516,USR0008,Viewed Case,CASE006196,2026-06-02 09:58:00,10.241.240.103
LOG001707,USR0017,Searched Entity,,2026-06-02 10:04:00,10.127.222.195
LOG001282,USR0029,Downloaded Report,CASE007438,2026-06-02 10:10:00,10.153.42.124
LOG005685,USR0010,Updated Evidence,CASE006392,2026-06-02 10:12:00,10.37.69.42
LOG001105,USR0010,Updated Evidence,CASE002312,2026-06-02 10:13:00,10.106.201.221
LOG002670,USR0019,Downloaded Report,CASE008538,2026-06-02 10:14:00,10.67.28.4
LOG005445,USR0008,Viewed Suspect Profile,CASE001791,2026-06-02 10:17:00,10.61.210.248
LOG000598,USR0026,Searched Entity,,2026-06-02 10:34:00,10.220.184.234
LOG000913,USR0008,Viewed Suspect Profile,CASE000255,2026-06-02 10:46:00,10.155.35.220
LOG003353,USR0015,Updated Evidence,CASE003882,2026-06-02 11:12:00,10.205.6.183
LOG001541,USR0023,Viewed Suspect Profile,CASE001765,2026-06-02 11:14:00,10.210.130.211
LOG004888,USR0010,Viewed Case,CASE009869,2026-06-02 11:25:00,10.135.18.10
LOG001989,USR0028,Searched Entity,,2026-06-02 11:26:00,10.216.15.202
LOG001030,USR0007,Viewed Suspect Profile,CASE007000,2026-06-02 11:45:00,10.152.190.184
LOG004030,USR0030,Viewed Suspect Profile,CASE004889,2026-06-02 11:54:00,10.109.130.103
LOG002104,USR0010,Searched Entity,,2026-06-02 12:00:00,10.12.158.63
LOG001369,USR0028,Downloaded Report,CASE002622,2026-06-02 12:03:00,10.181.72.6
LOG003414,USR0030,Updated Evidence,CASE001940,2026-06-02 12:04:00,10.83.215.101
LOG000824,USR0021,Viewed Case,CASE004646,2026-06-02 12:08:00,10.40.71.180
LOG004797,USR0007,Viewed Case,CASE006023,2026-06-02 12:22:00,10.21.147.100
LOG004343,USR0029,Updated Evidence,CASE005197,2026-06-02 12:22:00,10.85.85.135
LOG002989,USR0013,Searched Entity,,2026-06-02 12:30:00,10.2.79.144
LOG000698,USR0010,Viewed Suspect Profile,CASE004580,2026-06-02 12:39:00,10.232.226.233
LOG001283,USR0022,Downloaded Report,CASE003093,2026-06-02 12:43:00,10.184.101.20
LOG000494,USR0023,Searched Entity,,2026-06-02 12:45:00,10.83.130.11
LOG004258,USR0003,Viewed Case,CASE008498,2026-06-02 12:48:00,10.110.111.10
LOG005062,USR0029,Viewed Suspect Profile,CASE006260,2026-06-02 12:53:00,10.225.136.205
LOG004916,USR0019,Viewed Case,CASE009195,2026-06-02 12:54:00,10.184.83.68
LOG000473,USR0017,Viewed Suspect Profile,CASE001874,2026-06-02 13:14:00,10.193.17.34
LOG004153,USR0013,Searched Entity,,2026-06-02 13:15:00,10.1.32.22
LOG000049,USR0003,Searched Entity,,2026-06-02 13:20:00,10.155.134.167
LOG002912,USR0031,Viewed Suspect Profile,CASE007987,2026-06-02 13:21:00,10.70.68.229
LOG004340,USR0030,Updated Evidence,CASE008168,2026-06-02 13:48:00,10.39.33.150
LOG000800,USR0013,Downloaded Report,CASE006846,2026-06-02 14:05:00,10.128.110.228
LOG001872,USR0006,Searched Entity,,2026-06-02 14:06:00,10.105.18.30
LOG002083,USR0032,Updated Evidence,CASE006761,2026-06-02 14:10:00,10.84.166.201
LOG000809,USR0024,Viewed Case,CASE007438,2026-06-02 14:17:00,10.253.18.248
LOG005744,USR0020,Viewed Case,CASE008253,2026-06-02 14:28:00,10.156.54.96
LOG002838,USR0001,Searched Entity,,2026-06-02 14:29:00,10.241.218.250
LOG003640,USR0026,Downloaded Report,CASE000942,2026-06-02 14:33:00,10.158.152.208
LOG000963,USR0021,Updated Evidence,CASE009647,2026-06-02 14:36:00,10.139.116.199
LOG005281,USR0016,Searched Entity,,2026-06-02 14:43:00,10.41.8.193
LOG004726,USR0012,Downloaded Report,CASE000996,2026-06-02 14:44:00,10.217.33.218
LOG005970,USR0026,Searched Entity,,2026-06-02 15:00:00,10.157.40.177
LOG001384,USR0021,Updated Evidence,CASE002708,2026-06-02 15:01:00,10.192.128.5
LOG000539,USR0024,Searched Entity,,2026-06-02 15:04:00,10.131.243.198
LOG000414,USR0022,Downloaded Report,CASE006869,2026-06-02 15:05:00,10.88.213.11
LOG000546,USR0030,Viewed Case,CASE006707,2026-06-02 15:06:00,10.162.4.201
LOG004551,USR0033,Searched Entity,,2026-06-02 15:10:00,10.152.99.9
LOG005407,USR0012,Downloaded Report,CASE000107,2026-06-02 15:13:00,10.31.39.162
LOG000790,USR0003,Updated Evidence,CASE000924,2026-06-02 15:14:00,10.107.28.248
LOG005044,USR0018,Viewed Case,CASE005126,2026-06-02 15:16:00,10.220.242.35
LOG001348,USR0029,Searched Entity,,2026-06-02 15:19:00,10.51.20.95
LOG003776,USR0011,Downloaded Report,CASE008296,2026-06-02 15:34:00,10.136.56.33
LOG001097,USR0017,Searched Entity,,2026-06-02 15:36:00,10.73.203.244
LOG001752,USR0002,Viewed Case,CASE008068,2026-06-02 15:39:00,10.93.75.104
LOG004061,USR0015,Searched Entity,,2026-06-02 15:40:00,10.82.254.234
LOG004298,USR0030,Downloaded Report,CASE008556,2026-06-02 15:48:00,10.128.177.171
LOG005050,USR0026,Searched Entity,,2026-06-02 15:50:00,10.3.90.141
LOG001578,USR0026,Searched Entity,,2026-06-02 15:52:00,10.63.222.193
LOG002768,USR0006,Viewed Suspect Profile,CASE006345,2026-06-02 15:56:00,10.133.159.69
LOG004819,USR0006,Viewed Case,CASE000620,2026-06-02 16:02:00,10.91.201.229
LOG001998,USR0031,Viewed Case,CASE000601,2026-06-02 16:04:00,10.110.157.212
LOG004459,USR0016,Viewed Case,CASE006638,2026-06-02 16:06:00,10.181.143.185
LOG000406,USR0027,Viewed Case,CASE007949,2026-06-02 16:11:00,10.125.204.145
LOG002745,USR0008,Viewed Case,CASE003887,2026-06-02 16:17:00,10.122.13.191
LOG003383,USR0027,Viewed Case,CASE007171,2026-06-02 16:17:00,10.84.244.14
LOG005335,USR0004,Downloaded Report,CASE002734,2026-06-02 16:18:00,10.239.119.92
LOG002729,USR0012,Updated Evidence,CASE001463,2026-06-02 16:33:00,10.17.219.173
LOG005091,USR0019,Viewed Case,CASE003965,2026-06-02 16:37:00,10.157.189.36
LOG002287,USR0027,Viewed Suspect Profile,CASE004955,2026-06-02 16:41:00,10.146.133.201
LOG000107,USR0028,Viewed Suspect Profile,CASE003910,2026-06-02 16:45:00,10.233.187.203
LOG004097,USR0002,Searched Entity,,2026-06-02 16:49:00,10.66.127.175
LOG005704,USR0032,Viewed Suspect Profile,CASE002993,2026-06-02 16:51:00,10.41.163.239
LOG000167,USR0031,Downloaded Report,CASE006403,2026-06-02 17:08:00,10.37.66.12
LOG000650,USR0004,Viewed Suspect Profile,CASE003586,2026-06-02 17:12:00,10.49.212.75
LOG003902,USR0002,Updated Evidence,CASE001821,2026-06-02 17:16:00,10.136.228.171
LOG002337,USR0012,Viewed Suspect Profile,CASE008609,2026-06-02 17:22:00,10.35.251.95
LOG002866,USR0014,Searched Entity,,2026-06-02 17:24:00,10.149.107.156
LOG005005,USR0022,Viewed Case,CASE004943,2026-06-02 17:30:00,10.218.136.243
LOG001728,USR0009,Searched Entity,,2026-06-02 17:30:00,10.218.83.153
LOG003933,USR0025,Viewed Case,CASE001149,2026-06-02 17:37:00,10.233.148.148
LOG003522,USR0011,Downloaded Report,CASE004062,2026-06-02 17:38:00,10.233.8.202
LOG005537,USR0001,Searched Entity,,2026-06-02 17:39:00,10.211.145.140
LOG005206,USR0020,Downloaded Report,CASE005930,2026-06-02 17:40:00,10.213.232.130
LOG000820,USR0013,Downloaded Report,CASE007945,2026-06-02 17:52:00,10.84.125.92
LOG004901,USR0012,Viewed Case,CASE009730,2026-06-02 17:52:00,10.83.209.188
LOG000302,USR0004,Updated Evidence,CASE001436,2026-06-02 17:59:00,10.199.27.2
LOG004291,USR0025,Searched Entity,,2026-06-02 18:04:00,10.253.107.90
LOG004776,USR0002,Updated Evidence,CASE002094,2026-06-02 18:05:00,10.13.247.111
LOG002913,USR0031,Searched Entity,,2026-06-02 18:08:00,10.218.27.190
LOG001472,USR0013,Updated Evidence,CASE003509,2026-06-02 18:13:00,10.240.111.137
LOG000654,USR0033,Viewed Suspect Profile,CASE004759,2026-06-02 18:21:00,10.223.176.236
LOG003777,USR0022,Searched Entity,,2026-06-02 18:26:00,10.230.29.118
LOG000204,USR0031,Updated Evidence,CASE005817,2026-06-02 18:36:00,10.191.97.183
LOG002484,USR0026,Viewed Suspect Profile,CASE003039,2026-06-02 18:40:00,10.220.55.25
LOG004305,USR0032,Viewed Case,CASE002062,2026-06-02 18:42:00,10.131.85.85
LOG005412,USR0005,Updated Evidence,CASE009512,2026-06-02 18:44:00,10.54.84.212
LOG004575,USR0027,Viewed Case,CASE001339,2026-06-02 18:44:00,10.199.47.226
LOG004397,USR0020,Viewed Case,CASE003787,2026-06-02 18:47:00,10.78.154.37
LOG001118,USR0030,Downloaded Report,CASE006986,2026-06-02 18:51:00,10.185.26.122
LOG003275,USR0004,Downloaded Report,CASE000235,2026-06-02 19:01:00,10.51.153.60
LOG000931,USR0028,Viewed Suspect Profile,CASE007566,2026-06-02 19:07:00,10.112.223.215
LOG000894,USR0009,Searched Entity,,2026-06-02 19:11:00,10.179.219.25
LOG004092,USR0012,Viewed Suspect Profile,CASE009590,2026-06-02 19:12:00,10.164.199.180
LOG004686,USR0025,Updated Evidence,CASE004996,2026-06-02 19:15:00,10.159.63.14
LOG001776,USR0015,Updated Evidence,CASE003898,2026-06-02 19:17:00,10.182.23.11
LOG003127,USR0018,Viewed Case,CASE007107,2026-06-02 19:23:00,10.251.187.199
LOG000803,USR0012,Searched Entity,,2026-06-02 19:25:00,10.240.171.111
LOG002738,USR0018,Downloaded Report,CASE002618,2026-06-02 19:27:00,10.241.254.159
LOG002420,USR0026,Viewed Case,CASE009948,2026-06-02 19:27:00,10.194.59.105
LOG000647,USR0028,Searched Entity,,2026-06-02 19:28:00,10.106.78.106
LOG001330,USR0013,Viewed Case,CASE001869,2026-06-02 19:32:00,10.71.128.104
LOG003678,USR0026,Downloaded Report,CASE006687,2026-06-02 19:37:00,10.208.3.244
LOG004512,USR0004,Searched Entity,,2026-06-02 19:52:00,10.164.153.120
LOG005064,USR0024,Viewed Suspect Profile,CASE005939,2026-06-02 19:53:00,10.166.214.152
LOG004170,USR0033,Updated Evidence,CASE001265,2026-06-02 19:57:00,10.85.181.227
LOG003936,USR0023,Viewed Suspect Profile,CASE003069,2026-06-02 20:06:00,10.161.218.130
LOG000930,USR0011,Searched Entity,,2026-06-02 20:08:00,10.196.33.32
LOG003099,USR0014,Downloaded Report,CASE009382,2026-06-02 20:11:00,10.178.52.120
LOG004130,USR0021,Updated Evidence,CASE007107,2026-06-02 20:12:00,10.99.28.199
LOG002717,USR0014,Viewed Case,CASE001899,2026-06-02 20:22:00,10.4.111.23
LOG003057,USR0003,Updated Evidence,CASE009318,2026-06-02 20:23:00,10.248.238.254
LOG003883,USR0017,Searched Entity,,2026-06-02 20:25:00,10.222.218.217
LOG001686,USR0012,Viewed Suspect Profile,CASE001573,2026-06-02 20:26:00,10.18.246.216
LOG004730,USR0013,Viewed Suspect Profile,CASE008516,2026-06-02 20:33:00,10.180.98.88
LOG005299,USR0028,Viewed Case,CASE004615,2026-06-02 20:45:00,10.92.245.11
LOG000382,USR0007,Searched Entity,,2026-06-02 20:46:00,10.132.127.88
LOG004704,USR0014,Downloaded Report,CASE005190,2026-06-02 20:50:00,10.44.155.182
LOG001074,USR0031,Updated Evidence,CASE008428,2026-06-02 20:50:00,10.169.107.98
LOG002577,USR0001,Downloaded Report,CASE008332,2026-06-02 20:51:00,10.81.85.145
LOG005104,USR0002,Downloaded Report,CASE007868,2026-06-02 20:52:00,10.78.208.169
LOG000538,USR0014,Downloaded Report,CASE008398,2026-06-02 20:56:00,10.139.134.152
LOG003958,USR0025,Updated Evidence,CASE005292,2026-06-02 20:58:00,10.121.24.115
LOG005824,USR0019,Updated Evidence,CASE007106,2026-06-03 08:03:00,10.129.127.165
LOG002146,USR0020,Downloaded Report,CASE006254,2026-06-03 08:06:00,10.137.204.34
LOG001114,USR0023,Viewed Case,CASE003932,2026-06-03 08:08:00,10.0.250.113
LOG000642,USR0032,Downloaded Report,CASE009446,2026-06-03 08:09:00,10.46.8.170
LOG000410,USR0007,Downloaded Report,CASE005560,2026-06-03 08:13:00,10.106.129.80
LOG005153,USR0033,Updated Evidence,CASE000474,2026-06-03 08:18:00,10.34.1.250
LOG003244,USR0004,Viewed Case,CASE003425,2026-06-03 08:25:00,10.226.240.75
LOG002152,USR0010,Updated Evidence,CASE002855,2026-06-03 08:26:00,10.90.75.251
LOG004659,USR0007,Updated Evidence,CASE004301,2026-06-03 08:27:00,10.201.177.234
LOG000842,USR0031,Viewed Suspect Profile,CASE006313,2026-06-03 08:31:00,10.145.169.229
LOG000709,USR0022,Searched Entity,,2026-06-03 08:33:00,10.164.158.154
LOG005667,USR0024,Viewed Case,CASE002788,2026-06-03 08:38:00,10.55.89.160
LOG004769,USR0026,Searched Entity,,2026-06-03 08:39:00,10.249.157.201
LOG001342,USR0017,Downloaded Report,CASE004167,2026-06-03 08:41:00,10.146.43.72
LOG000575,USR0031,Searched Entity,,2026-06-03 08:44:00,10.215.88.208
LOG003491,USR0030,Viewed Case,CASE001393,2026-06-03 08:55:00,10.208.186.107
LOG000764,USR0024,Viewed Case,CASE005197,2026-06-03 09:04:00,10.114.54.86
LOG005963,USR0017,Searched Entity,,2026-06-03 09:15:00,10.4.101.254
LOG003252,USR0031,Viewed Case,CASE009883,2026-06-03 09:18:00,10.156.40.21
LOG004886,USR0029,Searched Entity,,2026-06-03 09:20:00,10.86.153.176
LOG005555,USR0009,Viewed Case,CASE003418,2026-06-03 09:23:00,10.50.2.235
LOG001996,USR0012,Updated Evidence,CASE009383,2026-06-03 09:24:00,10.37.178.110
LOG001513,USR0019,Searched Entity,,2026-06-03 09:30:00,10.80.201.248
