id,arrest_surrender_id,accused_master_id
419,419,770
420,420,771
421,421,773
422,422,776
423,423,777
424,424,778
425,425,779
426,426,781
427,427,782
428,428,784
429,429,786
430,430,787
431,431,789
432,432,790
433,433,791
434,434,792
435,435,793
436,436,794
437,437,795
438,438,797
439,439,798
440,440,801
441,441,804
442,442,805
443,443,807
444,444,811
445,445,813
446,446,816
447,447,818
448,448,819
449,449,820
450,450,821
451,451,823
452,452,824
453,453,825
454,454,826
455,455,830
456,456,831
457,457,833
458,458,834
459,459,836
460,460,838
461,461,839
462,462,841
463,463,843
464,464,844
465,465,845
466,466,848
467,467,851
468,468,852
469,469,853
470,470,856
471,471,857
472,472,858
473,473,860
474,474,864
475,475,866
476,476,867
477,477,869
478,478,872
479,479,874
480,480,876
481,481,878
482,482,880
483,483,881
484,484,884
485,485,885
486,486,886
487,487,887
488,488,890
489,489,891
490,490,895
491,491,898
492,492,900
493,493,901
494,494,903
495,495,904
496,496,906
497,497,907
498,498,908
499,499,910
500,500,914
501,501,917
502,502,919
503,503,924
504,504,925
505,505,926
506,506,927
507,507,928
508,508,929
509,509,930
510,510,931
511,511,932
512,512,937
513,513,938
514,514,942
515,515,944
516,516,946
517,517,950
518,518,951
519,519,953
520,520,954
521,521,955
522,522,956
523,523,957
524,524,958
525,525,959
526,526,960
527,527,962
528,528,964
529,529,968
530,530,969
531,531,970
532,532,972
533,533,973
534,534,974
535,535,976
536,536,977
537,537,978
538,538,980
539,539,981
540,540,982
541,541,984
542,542,986
543,543,987
544,544,992
545,545,994
546,546,995
547,547,996
548,548,998
549,549,1000
550,550,1004
551,551,1005
552,552,1007
553,553,1009
554,554,1011
555,555,1012
556,556,1013
557,557,1014
558,558,1015
559,559,1016
560,560,1019
561,561,1020
562,562,1023
563,563,1024
564,564,1026
565,565,1028
566,566,1031
567,567,1035
568,568,1036
569,569,1037
570,570,1038
571,571,1039
572,572,1040
573,573,1041
574,574,1044
575,575,1045
576,576,1046
577,577,1047
578,578,1052
579,579,1053
580,580,1055
581,581,1056
582,582,1057
583,583,1059
584,584,1061
585,585,1064
586,586,1065
587,587,1066
588,588,1068
589,589,1069
590,590,1071
591,591,1074
592,592,1075
593,593,1076
594,594,1080
595,595,1082
596,596,1083
597,597,1087
598,598,1088
599,599,1089
600,600,1090
601,601,1091
602,602,1092
603,603,1096
604,604,1098
605,605,1102
606,606,1103
607,607,1105
608,608,1106
609,609,1107
610,610,1111
611,611,1113
612,612,1114
613,613,1116
614,614,1118
615,615,1119
616,616,1121
617,617,1122
618,618,1123
619,619,1124
620,620,1126
621,621,1127
622,622,1128
623,623,1129
624,624,1131
625,625,1132
626,626,1134
627,627,1135
628,628,1137
629,629,1138
630,630,1139
631,631,1141
632,632,1143
633,633,1144
634,634,1149
635,635,1150
636,636,1151
637,637,1154
638,638,1155
639,639,1158
640,640,1162
641,641,1164
642,642,1165
643,643,1169
644,644,1170
645,645,1174
646,646,1176
647,647,1178
648,648,1179
649,649,1180
650,650,1181
651,651,1182
652,652,1184
653,653,1185
654,654,1186
655,655,1187
656,656,1188
657,657,1190
658,658,1192
659,659,1193
660,660,1194
661,661,1196
662,662,1197
663,663,1200
664,664,1201
665,665,1202
666,666,1204
667,667,1205
668,668,1210
669,669,1211
670,670,1212
671,671,1214
672,672,1220
673,673,1221
674,674,1222
675,675,1223
676,676,1227
677,677,1228
678,678,1231
679,679,1232
680,680,1235
681,681,1236
682,682,1237
683,683,1239
684,684,1243
685,685,1244
686,686,1246
687,687,1247
688,688,1249
689,689,1252
690,690,1253
691,691,1255
692,692,1256
693,693,1259
694,694,1262
695,695,1267
696,696,1269
697,697,1270
698,698,1272
699,699,1274
700,700,1275
701,701,1277
702,702,1278
703,703,1279
704,704,1281
705,705,1284
706,706,1286
707,707,1288
708,708,1291
709,709,1292
710,710,1294
711,711,1296
712,712,1299
713,713,1300
714,714,1301
715,715,1306
716,716,1307
717,717,1308
718,718,1311
719,719,1313
720,720,1316
721,721,1317
722,722,1318
723,723,1319
724,724,1320
725,725,1321
726,726,1322
727,727,1324
728,728,1325
729,729,1327
730,730,1329
731,731,1330
732,732,1331
733,733,1335
734,734,1338
735,735,1341
736,736,1344
737,737,1348
738,738,1351
739,739,1352
740,740,1354
741,741,1355
742,742,1357
743,743,1360
744,744,1363
745,745,1365
746,746,1366
747,747,1367
748,748,1373
749,749,1375
750,750,1376
751,751,1380
752,752,1381
753,753,1382
754,754,1384
755,755,1385
756,756,1386
757,757,1387
758,758,1388
759,759,1389
760,760,1391
761,761,1394
762,762,1401
763,763,1403
764,764,1406
765,765,1409
766,766,1413
767,767,1415
768,768,1416
769,769,1417
770,770,1419
771,771,1420
772,772,1422
773,773,1424
774,774,1427
775,775,1429
776,776,1430
777,777,1432
778,778,1433
779,779,1434
780,780,1436
781,781,1444
782,782,1447
783,783,1448
784,784,1449
785,785,1450
786,786,1451
787,787,1452
788,788,1457
789,789,1459
790,790,1460
791,791,1462
792,792,1464
793,793,1465
794,794,1466
795,795,1467
796,796,1468
797,797,1469
798,798,1470
799,799,1472
800,800,1474
801,801,1478
802,802,1481
803,803,1485
804,804,1487
805,805,1490
806,806,1491
807,807,1492
808,808,1493
809,809,1494
810,810,1495
811,811,1496
812,812,1500
813,813,1501
814,814,1504
815,815,1507
816,816,1508
817,817,1509
818,818,1511
819,819,1513
820,820,1514
821,821,1515
822,822,1523
823,823,1528
824,824,1529
825,825,1531
826,826,1532
827,827,1534
828,828,1537
829,829,1538
830,830,1539
831,831,1540
832,832,1544
833,833,1546
834,834,1548
835,835,1549
836,836,1550
837,837,1551
838,838,1552
839,839,1553
840,840,1555
841,841,1557
842,842,1559
843,843,1566
844,844,1567
845,845,1569
846,846,1571
847,847,1573
848,848,1574
849,849,1578
850,850,1579
851,851,1581
852,852,1583
853,853,1584
854,854,1586
855,855,1588
856,856,1590
857,857,1591
858,858,1593
859,859,1594
860,860,1595
861,861,1596
862,862,1599
863,863,1601
864,864,1602
865,865,1603
866,866,1605
867,867,1609
868,868,1615
869,869,1621
870,870,1624
871,871,1626
872,872,1629
873,873,1631
874,874,1636
875,875,1637
876,876,1638
877,877,1639
878,878,1640
879,879,1643
880,880,1644
881,881,1645
882,882,1646
883,883,1647
884,884,1649
885,885,1650
886,886,1653
887,887,1654
888,888,1655
889,889,1656
890,890,1657
891,891,1658
892,892,1662
893,893,1664
894,894,1665
895,895,1666
896,896,1667
897,897,1669
898,898,1671
899,899,1672
900,900,1673
901,901,1674
902,902,1676
903,903,1677
904,904,1678
905,905,1681
906,906,1682
907,907,1685
908,908,1686
909,909,1688
910,910,1690
911,911,1691
912,912,1695
913,913,1697
914,914,1703
915,915,1705
916,916,1706
917,917,1707
918,918,1708
919,919,1709
920,920,1710
921,921,1711
922,922,1712
923,923,1713
924,924,1714
925,925,1715
926,926,1716
927,927,1719
928,928,1720
929,929,1721
930,930,1724
931,931,1726
932,932,1727
933,933,1728
934,934,1729
935,935,1730
936,936,1731
937,937,1733
938,938,1735
939,939,1736
940,940,1738
941,941,1739
942,942,1740
943,943,1741
944,944,1743
945,945,1746
946,946,1748
947,947,1751
948,948,1752
949,949,1755
950,950,1758
951,951,1763
952,952,1765
953,953,1770
954,954,1774
955,955,1777
956,956,1781
957,957,1782
958,958,1783
959,959,1784
960,960,1786
961,961,1787
962,962,1790
963,963,1791
964,964,1792
965,965,1793
966,966,1795
967,967,1797
968,968,1798
969,969,1800
970,970,1802
971,971,1805
972,972,1809
973,973,1812
974,974,1814
975,975,1815
976,976,1817
977,977,1819
978,978,1820
979,979,1821
980,980,1822
981,981,1824
982,982,1825
983,983,1826
984,984,1827
985,985,1828
986,986,1832
987,987,1837
988,988,1839
989,989,1841
990,990,1842
991,991,1843
992,992,1847
993,993,1848
994,994,1851
995,995,1852
996,996,1853
997,997,1856
998,998,1858
999,999,1859
1000,1000,1863
1001,1001,1864
1002,1002,1866
1003,1003,1867
1004,1004,1870
1005,1005,1871
1006,1006,1872
1007,1007,1874
1008,1008,1875
1009,1009,1876
1010,1010,1877
1011,1011,1878
1012,1012,1879
1013,1013,1881
1014,1014,1884
1015,1015,1888
1016,1016,1890
1017,1017,1892
1018,1018,1895
1019,1019,1896
1020,1020,1900
1021,1021,1908
1022,1022,1909
1023,1023,1910
1024,1024,1911
1025,1025,1913
1026,1026,1914
1027,1027,1915
1028,1028,1916
1029,1029,1919
1030,1030,1920
1031,1031,1921
1032,1032,1922
1033,1033,1924
1034,1034,1925
1035,1035,1931
1036,1036,1934
1037,1037,1936
1038,1038,1938
1039,1039,1940
1040,1040,1941
1041,1041,1942
1042,1042,1943
1043,1043,1944
1044,1044,1946
1045,1045,1947
1046,1046,1949
1047,1047,1957
1048,1048,1958
1049,1049,1959
1050,1050,1960
1051,1051,1961
1052,1052,1964
1053,1053,1970
1054,1054,1973
1055,1055,1974
1056,1056,1975
1057,1057,1976
1058,1058,1977
1059,1059,1980
1060,1060,1982
1061,1061,1983
1062,1062,1984
1063,1063,1986
1064,1064,1988
1065,1065,1989
1066,1066,1992
1067,1067,1993
1068,1068,1994
1069,1069,1996
1070,1070,1997
1071,1071,1998
1072,1072,2001
1073,1073,2003
1074,1074,2006
1075,1075,2013
1076,1076,2014
1077,1077,2015
1078,1078,2017
1079,1079,2020
1080,1080,2021
1081,1081,2023
1082,1082,2024
1083,1083,2026
1084,1084,2027
1085,1085,2030
1086,1086,2037
1087,1087,2043
1088,1088,2045
1089,1089,2046
1090,1090,2047
1091,1091,2048
1092,1092,2049
1093,1093,2051
1094,1094,2053
1095,1095,2054
1096,1096,2055
1097,1097,2058
1098,1098,2059
1099,1099,2060
1100,1100,2061
1101,1101,2062
1102,1102,2065
1103,1103,2067
1104,1104,2068
1105,1105,2069
1106,1106,2072
1107,1107,2074
1108,1108,2075
1109,1109,2076
1110,1110,2077
1111,1111,2079
1112,1112,2080
1113,1113,2081
1114,1114,2082
1115,1115,2083
1116,1116,2084
1117,1117,2085
1118,1118,2086
1119,1119,2090
1120,1120,2092
1121,1121,2093
1122,1122,2098
1123,1123,2102
1124,1124,2104
1125,1125,2105
1126,1126,2107
1127,1127,2108
1128,1128,2109
1129,1129,2112
1130,1130,2116
1131,1131,2118
1132,1132,2119
1133,1133,2120
1134,1134,2123
1135,1135,2124
1136,1136,2125
1137,1137,2126
1138,1138,2128
1139,1139,2129
1140,1140,2133
1141,1141,2135
1142,1142,2136
1143,1143,2137
1144,1144,2141
1145,1145,2142
1146,1146,2144
1147,1147,2145
1148,1148,2146
1149,1149,2149
1150,1150,2153
1151,1151,2154
1152,1152,2155
1153,1153,2156
1154,1154,2158
1155,1155,2160
1156,1156,2161
1157,1157,2162
1158,1158,2163
1159,1159,2164
1160,1160,2166
1161,1161,2167
1162,1162,2170
1163,1163,2171
1164,1164,2172
1165,1165,2174
1166,1166,2177
1167,1167,2178
1168,1168,2179
1169,1169,2181
1170,1170,2183
1171,1171,2186
1172,1172,2187
1173,1173,2188
1174,1174,2189
1175,1175,2190
1176,1176,2191
1177,1177,2194
1178,1178,2195
1179,1179,2196
1180,1180,2197
1181,1181,2202
1182,1182,2203
1183,1183,2206
1184,1184,2208
1185,1185,2209
1186,1186,2210
1187,1187,2211
1188,1188,2212
1189,1189,2213
1190,1190,2214
1191,1191,2218
1192,1192,2220
1193,1193,2221
1194,1194,2223
1195,1195,2225
1196,1196,2227
1197,1197,2230
1198,1198,2232
1199,1199,2234
1200,1200,2235
1201,1201,2236
1202,1202,2238
1203,1203,2239
1204,1204,2240
1205,1205,2244
1206,1206,2245
1207,1207,2246
1208,1208,2247
1209,1209,2249
1210,1210,2250
1211,1211,2251
1212,1212,2252
1213,1213,2254
1214,1214,2255
1215,1215,2256
1216,1216,2257
1217,1217,2259
1218,1218,2260
1219,1219,2261
1220,1220,2264
1221,1221,2265
1222,1222,2268
1223,1223,2269
1224,1224,2270
1225,1225,2273
1226,1226,2275
1227,1227,2276
1228,1228,2277
1229,1229,2280
1230,1230,2282
1231,1231,2283
1232,1232,2286
1233,1233,2287
1234,1234,2288
1235,1235,2289
1236,1236,2290
1237,1237,2291
1238,1238,2292
1239,1239,2295
1240,1240,2296
1241,1241,2298
1242,1242,2301
1243,1243,2302
1244,1244,2303
1245,1245,2304
1246,1246,2305
1247,1247,2306
1248,1248,2307
1249,1249,2308
1250,1250,2309
1251,1251,2311
1252,1252,2312
1253,1253,2314
1254,1254,2316
1255,1255,2318
1256,1256,2319
1257,1257,2320
1258,1258,2322
1259,1259,2323
1260,1260,2324
1261,1261,2327
1262,1262,2331
1263,1263,2333
1264,1264,2334
1265,1265,2337
1266,1266,2338
1267,1267,2339
1268,1268,2340
1269,1269,2342
1270,1270,2345
1271,1271,2346
1272,1272,2349
1273,1273,2350
1274,1274,2351
1275,1275,2353
1276,1276,2354
1277,1277,2355
1278,1278,2357
1279,1279,2359
1280,1280,2363
1281,1281,2364
1282,1282,2366
1283,1283,2370
1284,1284,2372
1285,1285,2374
1286,1286,2375
1287,1287,2376
1288,1288,2378
