station_id,station_name,district,city,phone
ST0051,Kalaburagi Police Station 51,Kalaburagi,Kalaburagi,0804183632
ST0052,Mysuru Police Station 52,Mysuru,Mysuru,0803067334
ST0053,Bengaluru Urban Police Station 53,Bengaluru Urban,Bengaluru Urban,0802859552
ST0054,Ballari Police Station 54,Ballari,Ballari,0801716285
ST0055,Kalaburagi Police Station 55,Kalaburagi,Kalaburagi,0804931499
ST0056,Mangaluru Police Station 56,Mangaluru,Mangaluru,0809975225
ST0057,Belagavi Police Station 57,Belagavi,Belagavi,0804431609
ST0058,Belagavi Police Station 58,Belagavi,Belagavi,0801571446
ST0059,Dharwad Police Station 59,Dharwad,Dharwad,0806510513
ST0060,Bengaluru Rural Police Station 60,Bengaluru Rural,Bengaluru Rural,0801666450
ST0061,Bengaluru Rural Police Station 61,Bengaluru Rural,Bengaluru Rural,0802290529
ST0062,Ballari Police Station 62,Ballari,Ballari,0803112794
ST0063,Bengaluru Rural Police Station 63,Bengaluru Rural,Bengaluru Rural,0801753320
ST0064,Ballari Police Station 64,Ballari,Ballari,0807464697
ST0065,Mangaluru Police Station 65,Mangaluru,Mangaluru,0807865704
ST0066,Kalaburagi Police Station 66,Kalaburagi,Kalaburagi,0802341674
ST0067,Belagavi Police Station 67,Belagavi,Belagavi,0803426077
ST0068,Mysuru Police Station 68,Mysuru,Mysuru,0807331888
ST0069,Mangaluru Police Station 69,Mangaluru,Mangaluru,0807682014
ST0070,Mangaluru Police Station 70,Mangaluru,Mangaluru,0802953628
ST0071,Bengaluru Rural Police Station 71,Bengaluru Rural,Bengaluru Rural,0807304041
ST0072,Mangaluru Police Station 72,Mangaluru,Mangaluru,0808263719
ST0073,Bengaluru Rural Police Station 73,Bengaluru Rural,Bengaluru Rural,0809412600
ST0074,Mangaluru Police Station 74,Mangaluru,Mangaluru,0809539569
ST0075,Shivamogga Police Station 75,Shivamogga,Shivamogga,0804712924
ST0076,Kalaburagi Police Station 76,Kalaburagi,Kalaburagi,0803117975
ST0077,Belagavi Police Station 77,Belagavi,Belagavi,0804402952
ST0078,Belagavi Police Station 78,Belagavi,Belagavi,0808450191
ST0079,Bengaluru Rural Police Station 79,Bengaluru Rural,Bengaluru Rural,0804272044
ST0080,Bengaluru Rural Police Station 80,Bengaluru Rural,Bengaluru Rural,0804213126
ST0081,Bengaluru Urban Police Station 81,Bengaluru Urban,Bengaluru Urban,0809574313
ST0082,Belagavi Police Station 82,Belagavi,Belagavi,0809934136
ST0083,Tumakuru Police Station 83,Tumakuru,Tumakuru,0806216958
ST0084,Belagavi Police Station 84,Belagavi,Belagavi,0805829363
ST0085,Mysuru Police Station 85,Mysuru,Mysuru,0803293760
ST0086,Bengaluru Rural Police Station 86,Bengaluru Rural,Bengaluru Rural,0807063984
ST0087,Mysuru Police Station 87,Mysuru,Mysuru,0801361252
ST0088,Dharwad Police Station 88,Dharwad,Dharwad,0805196582
ST0089,Tumakuru Police Station 89,Tumakuru,Tumakuru,0808918108
ST0090,Kalaburagi Police Station 90,Kalaburagi,Kalaburagi,0801668257
ST0091,Mangaluru Police Station 91,Mangaluru,Mangaluru,0809490483
ST0092,Ballari Police Station 92,Ballari,Ballari,0804869933
ST0093,Mangaluru Police Station 93,Mangaluru,Mangaluru,0806298240
ST0094,Kalaburagi Police Station 94,Kalaburagi,Kalaburagi,0801577414
ST0095,Kalaburagi Police Station 95,Kalaburagi,Kalaburagi,0803989851
ST0096,Ballari Police Station 96,Ballari,Ballari,0809014155
ST0097,Belagavi Police Station 97,Belagavi,Belagavi,0804343987
ST0098,Belagavi Police Station 98,Belagavi,Belagavi,0808226379
ST0099,Tumakuru Police Station 99,Tumakuru,Tumakuru,0805590885
ST0100,Tumakuru Police Station 100,Tumakuru,Tumakuru,0802327371
