suspect_id,case_id,citizen_id,role,arrest_status
SUS000069,CASE004130,CID003123,Main Suspect,Arrested
SUS000070,CASE003918,CID001167,Accomplice,Arrested
SUS000071,CASE001318,CID000359,Gang Member,Absconding
SUS000072,CASE004093,CID003949,Unknown Suspect,Wanted
SUS000073,CASE000928,CID000668,Main Suspect,Arrested
SUS000074,CASE003581,CID004773,Gang Member,Arrested
SUS000075,CASE000328,CID007902,Unknown Suspect,Under Surveillance
SUS000076,CASE002409,CID008576,Accomplice,Under Surveillance
SUS000077,CASE009997,CID000356,Gang Member,Wanted
SUS000078,CASE003342,CID006679,Unknown Suspect,Wanted
SUS000079,CASE005703,CID008434,Unknown Suspect,Absconding
SUS000080,CASE006971,CID002619,Unknown Suspect,Arrested
SUS000081,CASE006801,CID000086,Unknown Suspect,Wanted
SUS000082,CASE004180,CID002934,Unknown Suspect,Wanted
SUS000083,CASE004036,CID006944,Gang Member,Under Surveillance
SUS000084,CASE002962,CID001248,Accomplice,Under Surveillance
SUS000085,CASE005213,CID000862,Accomplice,Absconding
SUS000086,CASE003925,CID009463,Accomplice,Wanted
SUS000087,CASE008802,CID006848,Unknown Suspect,Arrested
SUS000088,CASE002942,CID005628,Unknown Suspect,Under Surveillance
SUS000089,CASE000757,CID000358,Gang Member,Wanted
SUS000090,CASE004393,CID000837,Main Suspect,Wanted
SUS000091,CASE007722,CID004783,Accomplice,Wanted
SUS000092,CASE005169,CID001613,Main Suspect,Wanted
SUS000093,CASE009232,CID000232,Main Suspect,Under Surveillance
SUS000094,CASE003891,CID009125,Accomplice,Absconding
SUS000095,CASE007727,CID000269,Unknown Suspect,Arrested
SUS000096,CASE004581,CID006938,Accomplice,Arrested
SUS000097,CASE005060,CID002145,Gang Member,Arrested
SUS000098,CASE009505,CID007258,Unknown Suspect,Wanted
SUS000099,CASE003983,CID004937,Unknown Suspect,Absconding
SUS000100,CASE001201,CID002605,Unknown Suspect,Absconding
SUS000101,CASE002310,CID005483,Unknown Suspect,Arrested
SUS000102,CASE001584,CID008834,Accomplice,Arrested
SUS000103,CASE004139,CID007668,Accomplice,Wanted
SUS000104,CASE003142,CID006268,Gang Member,Wanted
SUS000105,CASE000559,CID000405,Gang Member,Arrested
SUS000106,CASE000673,CID009965,Main Suspect,Wanted
SUS000107,CASE003512,CID002318,Unknown Suspect,Under Surveillance
SUS000108,CASE007737,CID000148,Gang Member,Under Surveillance
SUS000109,CASE003109,CID006404,Accomplice,Arrested
SUS000110,CASE005344,CID000341,Main Suspect,Absconding
SUS000111,CASE001326,CID007915,Accomplice,Under Surveillance
SUS000112,CASE009176,CID004478,Unknown Suspect,Arrested
SUS000113,CASE004279,CID005729,Accomplice,Wanted
SUS000114,CASE001371,CID006850,Accomplice,Arrested
SUS000115,CASE007332,CID004302,Unknown Suspect,Arrested
SUS000116,CASE003169,CID009952,Gang Member,Arrested
SUS000117,CASE009264,CID000028,Main Suspect,Arrested
SUS000118,CASE003469,CID005262,Main Suspect,Under Surveillance
SUS000119,CASE008812,CID007186,Accomplice,Absconding
SUS000120,CASE004331,CID000095,Unknown Suspect,Under Surveillance
SUS000121,CASE006296,CID009898,Gang Member,Absconding
SUS000122,CASE003019,CID003389,Main Suspect,Under Surveillance
SUS000123,CASE002648,CID008673,Unknown Suspect,Absconding
SUS000124,CASE007527,CID003753,Gang Member,Under Surveillance
SUS000125,CASE002030,CID000413,Accomplice,Under Surveillance
SUS000126,CASE004882,CID004671,Accomplice,Wanted
SUS000127,CASE004397,CID007419,Main Suspect,Under Surveillance
SUS000128,CASE009235,CID000615,Main Suspect,Arrested
SUS000129,CASE005589,CID003609,Main Suspect,Absconding
SUS000130,CASE009976,CID003950,Gang Member,Arrested
SUS000131,CASE003175,CID009192,Main Suspect,Absconding
SUS000132,CASE007849,CID002064,Accomplice,Under Surveillance
SUS000133,CASE008713,CID000795,Unknown Suspect,Arrested
SUS000134,CASE008209,CID003812,Unknown Suspect,Absconding
SUS000135,CASE006122,CID005828,Accomplice,Wanted
SUS000136,CASE003805,CID005510,Gang Member,Under Surveillance
SUS000137,CASE005252,CID008562,Accomplice,Absconding
SUS000138,CASE006710,CID003458,Main Suspect,Under Surveillance
SUS000139,CASE004059,CID007402,Main Suspect,Under Surveillance
SUS000140,CASE001807,CID000422,Main Suspect,Absconding
SUS000141,CASE008940,CID004623,Gang Member,Wanted
SUS000142,CASE003368,CID007362,Gang Member,Under Surveillance
SUS000143,CASE000637,CID000236,Main Suspect,Arrested
SUS000144,CASE001883,CID000742,Main Suspect,Wanted
SUS000145,CASE004552,CID009656,Unknown Suspect,Arrested
SUS000146,CASE007795,CID002149,Main Suspect,Wanted
SUS000147,CASE004912,CID000998,Main Suspect,Under Surveillance
SUS000148,CASE001020,CID004705,Gang Member,Under Surveillance
SUS000149,CASE005092,CID005374,Gang Member,Under Surveillance
SUS000150,CASE004128,CID008581,Unknown Suspect,Arrested
SUS000151,CASE007435,CID000510,Accomplice,Absconding
SUS000152,CASE004841,CID000466,Accomplice,Absconding
SUS000153,CASE005482,CID001739,Main Suspect,Under Surveillance
SUS000154,CASE002676,CID003645,Gang Member,Wanted
SUS000155,CASE007461,CID006529,Unknown Suspect,Wanted
SUS000156,CASE007668,CID004342,Unknown Suspect,Wanted
SUS000157,CASE000261,CID003965,Main Suspect,Absconding
SUS000158,CASE001443,CID000813,Gang Member,Wanted
SUS000159,CASE007505,CID009982,Gang Member,Wanted
SUS000160,CASE008819,CID002386,Unknown Suspect,Absconding
SUS000161,CASE006897,CID000555,Accomplice,Absconding
SUS000162,CASE007644,CID003465,Gang Member,Arrested
SUS000163,CASE001963,CID001168,Main Suspect,Wanted
SUS000164,CASE005332,CID005616,Accomplice,Wanted
SUS000165,CASE006888,CID000778,Accomplice,Absconding
SUS000166,CASE007979,CID009814,Gang Member,Wanted
SUS000167,CASE004630,CID008687,Main Suspect,Arrested
SUS000168,CASE002719,CID000304,Main Suspect,Absconding
SUS000169,CASE000822,CID006311,Accomplice,Under Surveillance
SUS000170,CASE005180,CID004063,Unknown Suspect,Absconding
SUS000171,CASE004916,CID000727,Unknown Suspect,Under Surveillance
SUS000172,CASE002846,CID004970,Accomplice,Absconding
SUS000173,CASE005733,CID005441,Main Suspect,Absconding
SUS000174,CASE006609,CID000111,Main Suspect,Wanted
SUS000175,CASE008518,CID003361,Accomplice,Under Surveillance
SUS000176,CASE006378,CID000114,Accomplice,Arrested
SUS000177,CASE005363,CID009273,Main Suspect,Absconding
SUS000178,CASE005271,CID000800,Unknown Suspect,Arrested
SUS000179,CASE009045,CID002656,Main Suspect,Arrested
SUS000180,CASE001968,CID000208,Main Suspect,Absconding
SUS000181,CASE004686,CID000559,Gang Member,Wanted
SUS000182,CASE003393,CID006114,Unknown Suspect,Absconding
SUS000183,CASE005263,CID005501,Unknown Suspect,Wanted
SUS000184,CASE002256,CID004341,Main Suspect,Wanted
SUS000185,CASE003574,CID006111,Accomplice,Wanted
SUS000186,CASE007107,CID008413,Accomplice,Arrested
SUS000187,CASE002134,CID000478,Unknown Suspect,Absconding
SUS000188,CASE000082,CID000594,Unknown Suspect,Absconding
SUS000189,CASE005265,CID000344,Gang Member,Arrested
SUS000190,CASE008390,CID000354,Main Suspect,Wanted
SUS000191,CASE005581,CID006064,Main Suspect,Wanted
SUS000192,CASE004978,CID008849,Unknown Suspect,Under Surveillance
SUS000193,CASE007824,CID006983,Unknown Suspect,Arrested
SUS000194,CASE009541,CID005277,Accomplice,Arrested
SUS000195,CASE006863,CID005584,Gang Member,Under Surveillance
SUS000196,CASE005967,CID006346,Gang Member,Wanted
SUS000197,CASE007332,CID000704,Unknown Suspect,Wanted
SUS000198,CASE008631,CID007796,Gang Member,Absconding
SUS000199,CASE002336,CID001498,Main Suspect,Wanted
SUS000200,CASE000024,CID000763,Gang Member,Under Surveillance
SUS000201,CASE006806,CID002880,Main Suspect,Under Surveillance
SUS000202,CASE002966,CID007207,Accomplice,Absconding
SUS000203,CASE008681,CID006733,Main Suspect,Arrested
SUS000204,CASE007622,CID000909,Accomplice,Wanted
SUS000205,CASE007666,CID008906,Accomplice,Arrested
SUS000206,CASE007884,CID005575,Unknown Suspect,Arrested
SUS000207,CASE000524,CID008837,Unknown Suspect,Arrested
SUS000208,CASE007359,CID003522,Accomplice,Wanted
SUS000209,CASE008136,CID003813,Main Suspect,Arrested
SUS000210,CASE001880,CID007253,Unknown Suspect,Absconding
SUS000211,CASE008370,CID001696,Accomplice,Wanted
SUS000212,CASE002850,CID003249,Gang Member,Wanted
SUS000213,CASE000821,CID001625,Gang Member,Under Surveillance
SUS000214,CASE000049,CID007000,Accomplice,Under Surveillance
SUS000215,CASE001186,CID000188,Accomplice,Arrested
SUS000216,CASE000666,CID004956,Unknown Suspect,Under Surveillance
SUS000217,CASE004257,CID000221,Gang Member,Arrested
SUS000218,CASE001427,CID000873,Accomplice,Wanted
SUS000219,CASE005388,CID000771,Unknown Suspect,Absconding
SUS000220,CASE008879,CID006182,Unknown Suspect,Under Surveillance
SUS000221,CASE003126,CID000862,Main Suspect,Absconding
SUS000222,CASE009490,CID000444,Gang Member,Absconding
SUS000223,CASE005375,CID000932,Gang Member,Absconding
SUS000224,CASE001545,CID008302,Unknown Suspect,Absconding
SUS000225,CASE009655,CID001954,Unknown Suspect,Arrested
SUS000226,CASE002146,CID000307,Gang Member,Wanted
SUS000227,CASE006373,CID001529,Accomplice,Under Surveillance
SUS000228,CASE001103,CID003398,Accomplice,Absconding
SUS000229,CASE006292,CID000486,Gang Member,Arrested
SUS000230,CASE005393,CID000294,Main Suspect,Arrested
SUS000231,CASE001562,CID008572,Main Suspect,Wanted
SUS000232,CASE003892,CID000423,Gang Member,Wanted
SUS000233,CASE001175,CID000445,Main Suspect,Wanted
SUS000234,CASE009132,CID007881,Accomplice,Arrested
SUS000235,CASE004968,CID000506,Accomplice,Absconding
SUS000236,CASE003380,CID002833,Gang Member,Wanted
SUS000237,CASE009808,CID007570,Gang Member,Wanted
SUS000238,CASE001272,CID000521,Unknown Suspect,Arrested
SUS000239,CASE007125,CID009635,Unknown Suspect,Absconding
SUS000240,CASE009107,CID006145,Unknown Suspect,Absconding
SUS000241,CASE002816,CID007179,Accomplice,Arrested
SUS000242,CASE002888,CID001031,Gang Member,Wanted
SUS000243,CASE002077,CID000453,Accomplice,Arrested
SUS000244,CASE007352,CID004921,Accomplice,Wanted
SUS000245,CASE002645,CID000574,Main Suspect,Arrested
SUS000246,CASE000697,CID007732,Unknown Suspect,Absconding
SUS000247,CASE007181,CID007683,Accomplice,Wanted
SUS000248,CASE003205,CID003136,Main Suspect,Wanted
SUS000249,CASE006628,CID000326,Accomplice,Wanted
SUS000250,CASE003706,CID003663,Accomplice,Arrested
SUS000251,CASE007317,CID007146,Unknown Suspect,Arrested
SUS000252,CASE005162,CID000645,Unknown Suspect,Under Surveillance
SUS000253,CASE005060,CID006193,Accomplice,Wanted
SUS000254,CASE000304,CID000723,Main Suspect,Arrested
SUS000255,CASE006877,CID000283,Accomplice,Wanted
SUS000256,CASE007753,CID009471,Unknown Suspect,Arrested
SUS000257,CASE006798,CID000473,Gang Member,Absconding
SUS000258,CASE007555,CID009384,Unknown Suspect,Absconding
SUS000259,CASE007765,CID000535,Gang Member,Arrested
SUS000260,CASE003909,CID001201,Gang Member,Under Surveillance
SUS000261,CASE006759,CID003562,Accomplice,Under Surveillance
SUS000262,CASE009503,CID005280,Main Suspect,Absconding
SUS000263,CASE003912,CID007240,Main Suspect,Arrested
SUS000264,CASE002986,CID005739,Accomplice,Absconding
SUS000265,CASE008360,CID008310,Gang Member,Arrested
SUS000266,CASE007282,CID005475,Gang Member,Wanted
SUS000267,CASE005567,CID000050,Unknown Suspect,Wanted
SUS000268,CASE003713,CID006041,Accomplice,Absconding
SUS000269,CASE002437,CID003199,Main Suspect,Arrested
SUS000270,CASE009353,CID001024,Accomplice,Under Surveillance
SUS000271,CASE005843,CID006815,Accomplice,Under Surveillance
SUS000272,CASE003825,CID002994,Unknown Suspect,Arrested
SUS000273,CASE005715,CID006361,Accomplice,Under Surveillance
SUS000274,CASE001834,CID000644,Unknown Suspect,Wanted
SUS000275,CASE006746,CID007617,Unknown Suspect,Arrested
SUS000276,CASE008724,CID001575,Gang Member,Under Surveillance
SUS000277,CASE003960,CID005699,Main Suspect,Wanted
SUS000278,CASE009398,CID006251,Main Suspect,Arrested
SUS000279,CASE009478,CID003081,Gang Member,Absconding
SUS000280,CASE004340,CID004366,Gang Member,Absconding
SUS000281,CASE001481,CID003463,Gang Member,Wanted
SUS000282,CASE005552,CID000353,Main Suspect,Under Surveillance
SUS000283,CASE006636,CID000597,Main Suspect,Absconding
SUS000284,CASE003256,CID000025,Main Suspect,Absconding
SUS000285,CASE004061,CID000743,Main Suspect,Arrested
SUS000286,CASE006583,CID004579,Gang Member,Absconding
SUS000287,CASE005281,CID004351,Unknown Suspect,Arrested
SUS000288,CASE005957,CID004190,Accomplice,Under Surveillance
SUS000289,CASE009677,CID000388,Unknown Suspect,Wanted
SUS000290,CASE008671,CID003029,Accomplice,Under Surveillance
SUS000291,CASE002662,CID000761,Accomplice,Arrested
SUS000292,CASE001400,CID000462,Main Suspect,Absconding
SUS000293,CASE003938,CID009882,Gang Member,Wanted
SUS000294,CASE003231,CID003295,Unknown Suspect,Arrested
SUS000295,CASE007274,CID004854,Accomplice,Arrested
SUS000296,CASE006181,CID000465,Accomplice,Absconding
SUS000297,CASE009801,CID000492,Unknown Suspect,Under Surveillance
SUS000298,CASE001601,CID009069,Accomplice,Absconding
SUS000299,CASE000277,CID008734,Unknown Suspect,Arrested
SUS000300,CASE009833,CID000644,Main Suspect,Absconding
SUS000301,CASE000950,CID003482,Unknown Suspect,Arrested
SUS000302,CASE001969,CID000645,Accomplice,Wanted
SUS000303,CASE001583,CID002380,Accomplice,Absconding
SUS000304,CASE009042,CID007484,Unknown Suspect,Wanted
SUS000305,CASE006917,CID000185,Gang Member,Under Surveillance
SUS000306,CASE006154,CID000110,Unknown Suspect,Arrested
SUS000307,CASE008058,CID002121,Main Suspect,Arrested
SUS000308,CASE009726,CID004150,Accomplice,Under Surveillance
SUS000309,CASE002283,CID001661,Main Suspect,Arrested
SUS000310,CASE004592,CID001111,Gang Member,Absconding
SUS000311,CASE007504,CID001583,Accomplice,Under Surveillance
SUS000312,CASE008970,CID006214,Accomplice,Arrested
SUS000313,CASE009972,CID009286,Main Suspect,Wanted
SUS000314,CASE003623,CID006987,Accomplice,Absconding
SUS000315,CASE008084,CID004236,Main Suspect,Absconding
SUS000316,CASE002864,CID000449,Main Suspect,Under Surveillance
SUS000317,CASE002711,CID000877,Accomplice,Under Surveillance
SUS000318,CASE007589,CID000474,Main Suspect,Under Surveillance
SUS000319,CASE002782,CID009436,Accomplice,Wanted
SUS000320,CASE002583,CID008575,Main Suspect,Under Surveillance
SUS000321,CASE005007,CID006823,Gang Member,Absconding
SUS000322,CASE004343,CID002500,Main Suspect,Absconding
SUS000323,CASE000504,CID000528,Accomplice,Absconding
SUS000324,CASE009950,CID000469,Gang Member,Arrested
SUS000325,CASE002464,CID000267,Accomplice,Wanted
SUS000326,CASE008911,CID007800,Gang Member,Wanted
SUS000327,CASE008725,CID003710,Unknown Suspect,Absconding
SUS000328,CASE004137,CID009096,Unknown Suspect,Absconding
SUS000329,CASE008993,CID001542,Unknown Suspect,Absconding
SUS000330,CASE001482,CID002344,Unknown Suspect,Arrested
SUS000331,CASE006309,CID000116,Unknown Suspect,Arrested
SUS000332,CASE009657,CID000415,Accomplice,Under Surveillance
SUS000333,CASE006684,CID000747,Gang Member,Wanted
SUS000334,CASE004320,CID009039,Main Suspect,Absconding
SUS000335,CASE002633,CID009742,Accomplice,Under Surveillance
SUS000336,CASE003303,CID000343,Accomplice,Arrested
SUS000337,CASE002689,CID003767,Unknown Suspect,Under Surveillance
SUS000338,CASE000241,CID002708,Gang Member,Under Surveillance
SUS000339,CASE009947,CID007616,Unknown Suspect,Wanted
SUS000340,CASE006556,CID000174,Main Suspect,Arrested
SUS000341,CASE002892,CID005649,Main Suspect,Absconding
SUS000342,CASE000132,CID000315,Main Suspect,Arrested
SUS000343,CASE007013,CID000395,Gang Member,Absconding
SUS000344,CASE000197,CID000230,Main Suspect,Arrested
SUS000345,CASE001692,CID004209,Main Suspect,Wanted
SUS000346,CASE009148,CID002428,Gang Member,Arrested
SUS000347,CASE004398,CID000385,Gang Member,Wanted
SUS000348,CASE003245,CID000345,Unknown Suspect,Wanted
SUS000349,CASE009523,CID001029,Unknown Suspect,Under Surveillance
SUS000350,CASE002913,CID003865,Gang Member,Under Surveillance
SUS000351,CASE000505,CID000548,Main Suspect,Absconding
SUS000352,CASE009359,CID000711,Main Suspect,Under Surveillance
SUS000353,CASE005112,CID003585,Accomplice,Wanted
SUS000354,CASE000976,CID000661,Main Suspect,Under Surveillance
SUS000355,CASE004770,CID000662,Accomplice,Absconding
SUS000356,CASE006756,CID004594,Gang Member,Wanted
SUS000357,CASE001534,CID000207,Main Suspect,Arrested
SUS000358,CASE006918,CID004604,Unknown Suspect,Under Surveillance
SUS000359,CASE005426,CID006296,Accomplice,Wanted
SUS000360,CASE000029,CID005044,Gang Member,Absconding
SUS000361,CASE003662,CID000448,Accomplice,Under Surveillance
SUS000362,CASE009417,CID008163,Gang Member,Under Surveillance
SUS000363,CASE002446,CID004699,Main Suspect,Under Surveillance
SUS000364,CASE003826,CID006405,Accomplice,Arrested
SUS000365,CASE006767,CID006062,Main Suspect,Absconding
SUS000366,CASE005621,CID000607,Unknown Suspect,Arrested
SUS000367,CASE004314,CID006796,Unknown Suspect,Arrested
SUS000368,CASE003298,CID005617,Unknown Suspect,Wanted
SUS000369,CASE000267,CID007016,Unknown Suspect,Absconding
SUS000370,CASE006514,CID004921,Gang Member,Under Surveillance
SUS000371,CASE005530,CID003560,Accomplice,Under Surveillance
SUS000372,CASE004287,CID000464,Main Suspect,Under Surveillance
SUS000373,CASE004080,CID000743,Main Suspect,Arrested
SUS000374,CASE009518,CID000324,Accomplice,Absconding
SUS000375,CASE002434,CID000250,Gang Member,Arrested
SUS000376,CASE009585,CID000538,Gang Member,Absconding
SUS000377,CASE007066,CID003621,Main Suspect,Wanted
SUS000378,CASE005149,CID005275,Main Suspect,Absconding
SUS000379,CASE003401,CID000695,Unknown Suspect,Absconding
SUS000380,CASE001118,CID009448,Accomplice,Absconding
SUS000381,CASE009247,CID000255,Main Suspect,Arrested
SUS000382,CASE003815,CID005097,Unknown Suspect,Absconding
SUS000383,CASE002152,CID003025,Gang Member,Under Surveillance
SUS000384,CASE002812,CID002744,Unknown Suspect,Wanted
SUS000385,CASE008946,CID000263,Accomplice,Arrested
SUS000386,CASE007467,CID005160,Unknown Suspect,Arrested
SUS000387,CASE009225,CID003187,Main Suspect,Wanted
SUS000388,CASE009878,CID000397,Gang Member,Wanted
SUS000389,CASE004918,CID000624,Gang Member,Wanted
SUS000390,CASE001976,CID001962,Unknown Suspect,Absconding
SUS000391,CASE001894,CID006770,Gang Member,Arrested
SUS000392,CASE005064,CID002462,Gang Member,Under Surveillance
SUS000393,CASE008967,CID005792,Main Suspect,Under Surveillance
SUS000394,CASE001928,CID000016,Gang Member,Under Surveillance
SUS000395,CASE001469,CID001256,Unknown Suspect,Under Surveillance
SUS000396,CASE000922,CID000725,Accomplice,Wanted
SUS000397,CASE003088,CID006986,Main Suspect,Arrested
SUS000398,CASE003774,CID001149,Main Suspect,Under Surveillance
SUS000399,CASE006773,CID007998,Gang Member,Arrested
SUS000400,CASE005440,CID005381,Unknown Suspect,Arrested
SUS000401,CASE007308,CID006513,Main Suspect,Under Surveillance
SUS000402,CASE009437,CID000053,Unknown Suspect,Under Surveillance
SUS000403,CASE000201,CID006002,Main Suspect,Absconding
SUS000404,CASE000635,CID000279,Gang Member,Under Surveillance
SUS000405,CASE001021,CID005276,Gang Member,Arrested
SUS000406,CASE008721,CID003592,Accomplice,Under Surveillance
SUS000407,CASE009079,CID006841,Unknown Suspect,Wanted
SUS000408,CASE000131,CID009320,Main Suspect,Absconding
SUS000409,CASE002442,CID006869,Accomplice,Absconding
SUS000410,CASE003657,CID001641,Unknown Suspect,Under Surveillance
SUS000411,CASE008250,CID000284,Main Suspect,Arrested
SUS000412,CASE006600,CID000606,Gang Member,Arrested
SUS000413,CASE007340,CID006790,Main Suspect,Arrested
SUS000414,CASE005750,CID000283,Gang Member,Arrested
SUS000415,CASE002111,CID002562,Main Suspect,Under Surveillance
SUS000416,CASE004722,CID000435,Unknown Suspect,Absconding
SUS000417,CASE007333,CID003486,Main Suspect,Under Surveillance
SUS000418,CASE002375,CID007529,Gang Member,Wanted
SUS000419,CASE005082,CID009448,Unknown Suspect,Wanted
SUS000420,CASE000461,CID002396,Unknown Suspect,Arrested
SUS000421,CASE001605,CID003659,Gang Member,Absconding
SUS000422,CASE001988,CID003931,Gang Member,Wanted
SUS000423,CASE001166,CID003152,Accomplice,Under Surveillance
SUS000424,CASE008503,CID001160,Unknown Suspect,Arrested
SUS000425,CASE008083,CID008363,Unknown Suspect,Wanted
SUS000426,CASE007479,CID005670,Accomplice,Under Surveillance
SUS000427,CASE008283,CID002502,Main Suspect,Wanted
SUS000428,CASE001565,CID003325,Accomplice,Wanted
SUS000429,CASE001528,CID000175,Main Suspect,Absconding
SUS000430,CASE002120,CID001364,Main Suspect,Arrested
SUS000431,CASE001887,CID000126,Main Suspect,Under Surveillance
SUS000432,CASE001367,CID008972,Accomplice,Wanted
SUS000433,CASE009391,CID007377,Gang Member,Wanted
SUS000434,CASE007982,CID006515,Gang Member,Arrested
SUS000435,CASE000445,CID000004,Main Suspect,Arrested
SUS000436,CASE006635,CID000323,Accomplice,Wanted
SUS000437,CASE000048,CID007233,Gang Member,Arrested
SUS000438,CASE006009,CID009729,Unknown Suspect,Absconding
SUS000439,CASE000281,CID008276,Unknown Suspect,Arrested
SUS000440,CASE007147,CID006187,Main Suspect,Arrested
SUS000441,CASE006207,CID008605,Accomplice,Absconding
SUS000442,CASE008368,CID008535,Accomplice,Absconding
SUS000443,CASE005312,CID000545,Accomplice,Wanted
SUS000444,CASE006781,CID000021,Unknown Suspect,Absconding
SUS000445,CASE006682,CID000646,Unknown Suspect,Absconding
SUS000446,CASE009372,CID000373,Gang Member,Arrested
SUS000447,CASE005309,CID005778,Main Suspect,Under Surveillance
SUS000448,CASE000233,CID001725,Main Suspect,Arrested
SUS000449,CASE000954,CID000732,Unknown Suspect,Absconding
SUS000450,CASE006257,CID002731,Main Suspect,Arrested
SUS000451,CASE002851,CID005023,Accomplice,Under Surveillance
SUS000452,CASE004337,CID009569,Gang Member,Wanted
SUS000453,CASE001426,CID000409,Unknown Suspect,Wanted
SUS000454,CASE002456,CID008541,Accomplice,Under Surveillance
SUS000455,CASE009541,CID003129,Main Suspect,Wanted
SUS000456,CASE003382,CID000181,Accomplice,Wanted
SUS000457,CASE007892,CID008430,Accomplice,Wanted
SUS000458,CASE003279,CID006650,Unknown Suspect,Absconding
SUS000459,CASE001539,CID003790,Main Suspect,Arrested
SUS000460,CASE009811,CID001695,Main Suspect,Under Surveillance
SUS000461,CASE000575,CID009453,Main Suspect,Under Surveillance
SUS000462,CASE009279,CID008652,Unknown Suspect,Absconding
SUS000463,CASE003374,CID006695,Gang Member,Under Surveillance
SUS000464,CASE006788,CID000439,Gang Member,Arrested
SUS000465,CASE004969,CID005425,Accomplice,Under Surveillance
SUS000466,CASE000469,CID000524,Unknown Suspect,Wanted
SUS000467,CASE006818,CID005863,Unknown Suspect,Arrested
SUS000468,CASE003024,CID005367,Accomplice,Arrested
