arrest_surrender_id,case_master_id,arrest_surrender_type_id,arrest_surrender_date,arrest_surrender_state_id,arrest_surrender_district_id,police_station_id,io_id,court_id,accused_master_id,is_accused,is_complainant_accused
36,45,1,2026-02-17,1,4,17,194,7.0,72,True,False
37,47,2,2023-08-16,1,14,56,118,,74,True,False
38,48,2,2023-03-06,1,7,27,142,,75,True,False
39,50,2,2025-08-19,1,8,30,22,16.0,77,True,False
40,50,2,2025-08-17,1,8,30,295,16.0,78,True,False
41,51,1,2025-06-17,1,16,63,191,31.0,79,True,False
42,52,1,2024-11-30,1,15,59,295,29.0,80,True,False
43,52,1,2024-11-28,3,12,59,250,29.0,81,True,False
44,54,1,2026-04-19,4,18,14,227,,83,True,False
45,54,1,2026-05-03,1,4,14,70,,84,True,False
46,54,2,2026-05-17,1,4,14,245,,85,True,False
47,55,1,2023-08-06,1,14,56,53,,86,True,False
48,55,1,2023-08-03,1,14,56,78,,87,True,True
49,56,1,2026-03-15,1,7,27,282,,88,True,False
50,57,1,2023-12-27,7,21,37,225,,89,True,False
51,57,1,2023-12-10,1,10,37,21,,90,True,False
52,60,2,2023-04-04,1,2,8,191,3.0,92,True,False
53,62,1,2023-09-01,1,16,65,76,,94,True,False
54,62,1,2023-09-01,1,16,65,135,,95,True,False
55,66,2,2025-12-11,1,12,47,70,,98,True,False
56,67,1,2024-05-19,1,5,21,241,,99,True,False
57,67,1,2024-05-07,1,5,21,84,,100,True,False
58,68,2,2024-01-01,1,2,9,150,,101,True,False
59,70,1,2025-01-09,1,13,53,286,25.0,103,True,False
60,70,1,2024-12-31,1,13,53,19,25.0,104,True,False
61,72,1,2025-07-09,1,19,73,4,38.0,106,True,False
62,75,1,2023-01-11,1,7,26,294,14.0,109,True,False
63,78,1,2024-03-26,1,19,74,156,37.0,112,True,False
64,79,1,2026-06-16,6,5,11,9,,113,True,False
65,81,1,2023-05-03,1,15,58,143,29.0,115,True,False
66,82,2,2024-12-19,1,9,32,148,,117,True,False
67,83,1,2023-02-26,1,15,61,112,29.0,118,True,False
68,84,1,2024-05-29,1,4,14,227,7.0,119,True,False
69,85,1,2025-11-04,1,4,14,154,,121,True,False
70,87,1,2024-01-05,1,5,19,21,9.0,125,True,False
71,88,1,2023-12-11,1,20,77,186,,126,True,False
72,89,1,2024-05-02,1,18,70,28,35.0,128,True,False
73,89,1,2024-04-21,4,6,70,235,35.0,129,True,False
74,90,2,2023-05-19,1,7,27,77,14.0,130,True,False
75,91,1,2023-07-29,1,1,6,190,,131,True,False
76,92,1,2025-06-29,1,13,52,249,25.0,133,True,False
77,93,1,2025-12-03,1,18,71,281,35.0,136,True,False
78,93,1,2025-11-12,1,18,71,134,35.0,137,True,False
79,94,1,2026-02-11,1,2,8,294,,140,True,False
80,95,1,2026-07-11,1,15,60,45,,142,True,False
81,95,1,2026-07-17,1,15,60,218,,145,True,False
82,97,1,2026-01-27,1,9,34,264,18.0,147,True,False
83,98,1,2025-04-23,1,18,71,158,36.0,150,True,False
84,98,1,2025-05-11,1,18,71,58,36.0,151,True,False
85,99,1,2023-02-05,1,16,64,51,32.0,152,True,False
86,102,1,2023-07-28,1,1,3,284,,156,True,False
87,102,1,2023-07-25,1,1,3,135,,158,True,False
88,106,1,2023-09-13,1,14,56,33,27.0,162,True,False
89,106,1,2023-09-06,1,14,56,204,27.0,163,True,False
90,107,1,2025-07-24,6,8,14,159,8.0,166,True,False
91,108,1,2026-01-22,1,4,15,228,,168,True,False
92,108,1,2026-01-12,1,4,15,295,,169,True,False
93,110,1,2026-06-13,1,4,14,132,8.0,172,True,False
94,111,1,2024-07-14,3,24,70,145,,173,True,False
95,112,1,2026-07-21,1,9,34,300,,174,True,False
96,113,1,2023-04-14,1,19,73,92,,176,True,False
97,113,1,2023-04-18,1,19,73,207,,178,True,False
98,115,1,2026-02-03,1,17,67,233,34.0,180,True,False
99,115,1,2026-02-14,1,17,67,96,34.0,181,True,False
100,116,1,2023-06-08,1,4,17,79,,182,True,False
101,116,1,2023-06-17,1,4,17,300,,183,True,False
102,118,1,2025-11-07,1,10,38,286,20.0,185,True,False
103,119,1,2026-06-14,1,20,76,259,,186,True,False
104,120,2,2024-03-27,1,14,56,271,28.0,189,True,False
105,120,1,2024-03-27,1,14,56,279,28.0,190,True,False
106,122,1,2025-09-21,1,18,70,263,36.0,192,True,False
107,123,1,2023-11-12,1,4,15,68,8.0,193,True,False
108,126,2,2024-07-19,1,4,14,86,8.0,196,True,True
109,127,1,2026-04-03,1,16,64,202,31.0,198,True,False
110,129,1,2024-10-26,1,19,73,42,,201,True,False
111,134,2,2024-04-19,1,1,4,97,1.0,206,True,False
112,135,1,2023-09-14,1,10,37,293,,207,True,False
113,137,2,2025-04-21,1,7,27,214,,208,True,False
114,137,1,2025-04-26,1,7,27,66,,209,True,False
115,138,1,2026-05-30,1,12,47,36,23.0,210,True,False
116,138,1,2026-06-12,1,12,47,211,23.0,211,True,False
117,139,2,2023-06-06,1,18,71,213,,212,True,False
118,140,1,2023-06-10,1,13,51,59,,214,True,False
119,140,1,2023-06-16,1,13,51,35,,215,True,False
120,142,1,2026-01-07,1,13,51,189,25.0,216,True,False
121,143,1,2026-01-26,1,7,27,20,14.0,217,True,False
122,145,1,2026-03-19,1,8,29,247,16.0,220,True,False
123,147,1,2024-04-08,1,20,77,87,40.0,221,True,False
124,147,1,2024-04-24,1,20,77,214,40.0,222,True,False
125,149,2,2023-01-12,1,8,30,128,15.0,223,True,False
126,151,1,2023-03-27,1,3,11,1,,227,True,False
127,153,1,2024-12-18,1,8,29,5,15.0,230,True,False
128,155,1,2026-03-25,1,17,67,279,,234,True,False
129,156,2,2025-10-04,1,10,37,218,,235,True,False
130,157,2,2025-09-21,1,5,21,251,10.0,236,True,False
131,158,1,2023-04-07,1,10,38,118,,237,True,False
132,161,1,2026-01-04,1,10,38,170,19.0,240,True,False
133,161,1,2026-01-02,1,10,38,137,19.0,241,True,False
134,162,1,2025-11-15,1,16,65,135,31.0,242,True,False
135,165,2,2023-01-25,1,4,15,24,8.0,244,True,False
136,167,1,2026-01-02,1,2,8,227,4.0,245,True,False
137,167,2,2026-01-20,1,2,8,203,4.0,246,True,False
138,167,1,2026-01-24,1,2,8,246,4.0,247,True,False
139,168,1,2026-06-13,1,6,23,44,12.0,248,True,False
140,168,1,2026-05-27,1,6,23,158,12.0,249,True,False
141,169,1,2025-09-14,1,5,19,77,10.0,250,True,False
142,169,1,2025-09-16,1,5,19,189,10.0,253,True,False
143,170,1,2024-06-23,1,5,21,113,,254,True,False
144,171,1,2023-05-23,1,1,4,7,1.0,255,True,False
145,173,1,2026-06-21,1,16,64,67,31.0,258,True,False
146,173,1,2026-06-13,1,16,64,258,31.0,259,True,False
147,173,1,2026-06-28,1,16,64,20,31.0,260,True,False
148,174,1,2024-12-11,1,3,11,144,6.0,261,True,False
149,174,1,2024-12-23,1,3,11,133,6.0,262,True,False
150,175,1,2026-02-06,1,15,59,204,,264,True,False
151,175,1,2026-01-27,1,15,59,249,,265,True,False
152,179,1,2026-05-13,1,18,71,138,35.0,269,True,False
153,179,1,2026-05-17,1,18,71,124,35.0,270,True,True
154,179,1,2026-05-30,1,18,71,266,35.0,272,True,False
155,180,1,2026-02-11,1,6,24,233,11.0,274,True,False
156,181,2,2024-05-20,1,12,46,83,23.0,276,True,False
157,183,1,2023-08-26,1,7,27,191,14.0,279,True,False
158,184,1,2025-04-14,1,1,5,295,,280,True,False
159,186,1,2024-10-10,1,14,55,181,,282,True,False
160,187,1,2023-07-27,1,8,29,272,15.0,283,True,False
161,187,1,2023-07-18,1,8,29,78,15.0,284,True,False
162,187,1,2023-07-23,1,8,29,51,15.0,285,True,False
163,188,1,2024-09-02,1,7,27,157,,287,True,False
164,190,1,2025-08-08,4,21,43,279,,288,True,False
165,190,1,2025-08-21,5,6,43,179,,289,True,False
166,192,2,2025-11-15,1,2,9,280,3.0,291,True,False
167,194,1,2025-08-24,1,4,16,228,,293,True,False
168,195,2,2024-12-11,1,13,53,228,25.0,294,True,False
169,196,2,2024-05-29,1,15,61,300,29.0,295,True,False
170,197,1,2024-04-15,1,2,8,99,,297,True,False
171,198,2,2023-05-29,1,7,26,129,,298,True,False
172,201,1,2024-04-15,1,11,43,183,,303,True,False
173,203,1,2023-02-20,1,9,35,274,18.0,304,True,False
174,205,2,2024-06-24,1,12,48,23,,307,True,False
175,206,1,2023-04-09,1,3,12,194,,308,True,False
176,207,1,2024-09-02,1,13,50,65,25.0,309,True,False
177,207,1,2024-08-26,6,19,50,134,25.0,310,True,False
178,210,2,2025-11-04,1,14,56,228,28.0,314,True,False
179,210,1,2025-11-18,1,14,56,62,28.0,316,True,False
180,212,1,2023-08-11,1,10,37,204,19.0,318,True,False
181,212,1,2023-08-02,1,10,37,121,19.0,320,True,True
182,212,2,2023-08-02,1,10,37,32,19.0,321,True,False
183,216,1,2023-03-03,1,11,41,7,22.0,326,True,False
184,216,2,2023-02-08,1,11,41,218,22.0,328,True,False
185,219,2,2026-03-12,1,19,74,86,,332,True,False
186,220,1,2026-04-14,1,9,33,141,,333,True,False
187,221,1,2026-02-07,1,16,65,137,,336,True,False
188,221,1,2026-02-19,1,16,65,210,,337,True,False
189,222,2,2026-04-26,1,9,34,152,17.0,340,True,False
190,222,1,2026-05-02,1,9,34,179,17.0,341,True,False
191,223,1,2026-02-20,1,6,23,52,,343,True,False
192,225,1,2024-11-29,1,10,38,204,,345,True,False
193,226,1,2026-01-28,4,14,26,218,14.0,347,True,False
194,230,2,2024-01-28,1,10,38,250,,349,True,False
195,230,2,2024-01-19,1,10,38,156,,350,True,False
196,230,1,2024-01-27,1,10,38,300,,351,True,False
197,231,2,2023-11-02,1,14,56,81,28.0,353,True,False
198,231,1,2023-10-29,1,14,56,238,28.0,354,True,False
199,233,1,2026-03-15,1,19,74,135,,355,True,False
200,237,1,2024-10-09,1,19,73,154,,360,True,False
201,241,2,2026-01-26,1,13,53,110,26.0,364,True,False
202,241,1,2026-02-02,1,13,53,133,26.0,365,True,False
203,242,1,2026-07-02,1,4,17,78,7.0,366,True,False
204,243,1,2025-07-02,1,3,11,104,6.0,368,True,False
205,244,1,2023-03-25,1,8,29,52,,369,True,False
206,245,1,2023-09-19,1,14,56,207,27.0,370,True,False
207,246,2,2026-01-11,1,1,3,116,1.0,373,True,False
208,247,1,2023-04-11,1,4,17,144,8.0,374,True,False
209,247,2,2023-04-13,1,4,17,131,8.0,375,True,False
210,249,1,2024-06-06,1,12,46,100,,381,True,False
211,251,1,2025-04-25,1,8,29,216,16.0,383,True,False
212,252,1,2026-06-26,1,2,9,89,,385,True,False
213,253,1,2025-02-21,1,12,46,54,24.0,386,True,False
214,254,1,2026-06-21,1,3,12,121,5.0,388,True,False
215,254,2,2026-07-02,2,11,12,127,5.0,389,True,False
216,257,1,2026-05-04,1,11,40,157,21.0,390,True,True
217,259,1,2025-06-29,1,7,26,165,13.0,392,True,False
218,260,2,2023-07-27,1,16,64,149,31.0,393,True,True
219,260,2,2023-07-29,1,16,64,200,31.0,394,True,False
220,260,1,2023-07-28,1,16,64,127,31.0,395,True,False
221,260,1,2023-08-21,6,19,64,159,31.0,396,True,False
222,262,1,2023-07-25,1,18,71,225,35.0,398,True,True
223,263,2,2024-08-20,1,8,30,233,15.0,399,True,False
224,267,1,2023-02-27,1,5,20,187,10.0,405,True,False
225,267,1,2023-03-23,1,5,20,13,10.0,406,True,False
226,268,1,2026-03-23,1,8,30,59,15.0,408,True,True
227,269,1,2024-06-09,1,5,19,96,9.0,410,True,False
228,270,1,2024-05-06,6,3,23,186,11.0,411,True,False
229,272,1,2023-06-26,1,19,73,66,38.0,413,True,False
230,273,2,2026-02-18,1,3,11,243,,415,True,False
231,273,1,2026-02-21,1,3,11,140,,417,True,False
232,274,1,2025-01-23,1,20,76,9,39.0,419,True,False
233,275,2,2026-05-13,1,16,64,107,,421,True,False
234,275,1,2026-05-07,3,8,64,286,,422,True,True
235,276,1,2024-10-29,1,8,30,172,,424,True,False
236,279,1,2025-05-11,1,8,30,242,15.0,430,True,False
237,279,1,2025-04-25,6,18,30,178,15.0,431,True,False
238,280,1,2025-03-07,1,12,48,282,24.0,432,True,False
239,282,1,2025-12-02,1,10,37,197,19.0,433,True,False
240,283,1,2026-01-21,1,14,56,90,27.0,436,True,False
241,283,1,2026-01-16,1,14,56,219,27.0,437,True,False
242,283,1,2026-01-21,1,14,56,128,27.0,438,True,True
243,285,1,2024-03-16,1,13,51,125,,440,True,False
244,287,2,2024-07-22,1,15,59,265,29.0,443,True,False
245,287,2,2024-08-01,1,15,59,148,29.0,444,True,False
246,288,1,2025-05-03,1,11,41,131,21.0,445,True,False
247,288,2,2025-04-29,7,18,41,35,21.0,446,True,False
248,289,1,2025-08-06,1,9,35,293,,447,True,False
249,290,2,2024-01-22,1,18,71,228,,448,True,False
250,291,1,2026-03-26,1,1,5,252,2.0,449,True,False
251,291,1,2026-04-06,1,1,5,118,2.0,450,True,False
252,292,1,2024-12-24,2,8,23,101,,451,True,False
253,292,1,2024-12-19,1,6,23,92,,452,True,False
254,293,1,2024-08-19,1,15,60,203,29.0,453,True,False
255,294,2,2026-06-02,1,17,68,75,33.0,455,True,False
256,294,1,2026-06-07,1,17,68,222,33.0,457,True,False
257,295,1,2026-01-31,1,10,38,290,19.0,458,True,False
258,296,1,2026-06-20,1,5,20,176,9.0,459,True,False
259,297,1,2025-07-29,1,19,74,247,37.0,461,True,False
260,299,1,2024-01-18,1,5,19,243,10.0,464,True,False
261,299,1,2024-02-04,1,5,19,206,10.0,465,True,False
262,301,2,2026-04-17,1,9,35,104,18.0,466,True,False
263,302,2,2024-07-12,1,11,42,141,22.0,467,True,False
264,303,2,2025-11-04,1,18,71,278,,468,True,False
265,304,1,2023-04-17,1,5,19,54,9.0,469,True,False
266,306,1,2023-02-08,1,10,38,41,20.0,472,True,False
267,306,1,2023-01-31,1,10,38,283,20.0,473,True,False
268,306,2,2023-01-31,1,10,38,216,20.0,474,True,False
269,306,1,2023-01-25,1,10,38,3,20.0,475,True,False
270,307,2,2025-06-10,1,16,63,216,31.0,476,True,False
271,307,1,2025-06-30,1,16,63,130,31.0,478,True,False
272,308,1,2023-10-02,1,19,73,104,,479,True,False
273,308,1,2023-10-09,1,19,73,125,,480,True,False
274,309,2,2023-07-04,1,9,35,75,17.0,481,True,False
275,311,2,2024-12-24,1,12,45,62,24.0,483,True,False
276,312,2,2024-08-31,1,7,26,68,13.0,484,True,False
277,312,1,2024-08-26,1,7,26,61,13.0,485,True,False
278,313,1,2023-12-15,1,10,38,65,20.0,487,True,False
279,314,1,2024-01-26,1,4,17,142,7.0,488,True,False
280,317,1,2026-05-24,1,12,47,73,24.0,491,True,False
281,317,1,2026-06-12,1,12,47,158,24.0,493,True,False
282,317,1,2026-06-13,1,12,47,67,24.0,494,True,False
283,319,1,2023-06-11,1,17,67,47,,498,True,False
284,320,2,2026-05-09,1,7,27,213,,500,True,False
285,322,1,2026-06-05,7,7,37,183,,503,True,False
286,327,1,2023-04-28,4,17,68,143,,510,True,False
287,327,1,2023-04-21,1,17,68,91,,512,True,False
288,328,1,2026-05-07,2,7,67,68,33.0,514,True,False
289,328,1,2026-05-16,1,17,67,206,33.0,515,True,False
290,328,1,2026-06-01,1,17,67,85,33.0,516,True,False
291,329,2,2023-04-24,1,3,11,238,6.0,518,True,False
292,329,2,2023-03-29,1,3,11,8,6.0,519,True,False
293,330,1,2024-04-15,1,19,73,44,,522,True,False
294,330,1,2024-05-02,1,19,73,82,,523,True,False
295,331,1,2026-02-06,5,23,5,150,,525,True,False
296,331,2,2026-02-09,1,1,5,263,,526,True,False
297,333,1,2023-11-12,1,17,67,201,,530,True,False
298,333,2,2023-11-14,5,19,67,208,,531,True,False
299,334,1,2026-02-13,1,6,24,62,11.0,532,True,False
300,336,1,2026-04-21,1,17,67,299,,535,True,False
301,339,1,2024-10-19,1,7,26,17,13.0,540,True,False
302,339,1,2024-10-15,1,7,26,196,13.0,542,True,False
303,340,2,2024-10-22,7,19,17,105,,543,True,False
304,341,2,2026-05-25,1,10,38,297,19.0,544,True,False
305,342,1,2023-12-07,1,17,67,294,33.0,546,True,False
306,342,2,2023-12-12,1,17,67,108,33.0,547,True,False
307,343,1,2025-09-19,1,5,21,93,,550,True,False
308,345,1,2024-12-28,1,18,71,109,35.0,552,True,False
309,346,1,2024-01-21,1,9,32,208,17.0,553,True,False
310,346,1,2024-01-29,1,9,32,34,17.0,556,True,False
311,348,1,2023-12-17,1,15,58,130,30.0,557,True,False
312,349,1,2025-04-08,1,7,26,135,,558,True,False
313,349,2,2025-04-06,1,7,26,139,,559,True,False
314,349,1,2025-03-29,1,7,26,89,,560,True,False
315,352,1,2023-11-01,1,4,14,44,,565,True,False
316,353,1,2026-04-26,1,19,74,136,37.0,569,True,False
317,354,2,2024-02-13,1,9,35,128,18.0,570,True,False
318,357,1,2023-03-04,1,11,42,294,,575,True,False
319,360,1,2023-02-10,1,3,11,28,,578,True,False
320,362,1,2025-01-09,1,4,15,127,,580,True,False
321,365,1,2023-12-23,1,13,51,268,,583,True,False
322,365,2,2023-12-17,1,13,51,286,,584,True,False
323,367,1,2023-05-22,1,19,74,281,,588,True,False
324,370,1,2024-02-25,3,14,20,236,,591,True,False
325,375,1,2025-02-20,1,12,48,190,23.0,597,True,False
326,375,2,2025-02-22,3,23,48,91,23.0,598,True,False
327,377,1,2024-09-16,1,12,47,31,,603,True,False
328,377,1,2024-09-27,1,12,47,293,,604,True,False
329,378,1,2026-06-03,1,18,70,276,35.0,605,True,False
330,380,1,2024-02-23,1,11,43,88,21.0,608,True,False
331,380,1,2024-02-19,1,11,43,3,21.0,610,True,False
332,381,1,2023-08-12,1,19,73,160,38.0,611,True,False
333,383,1,2024-03-26,1,2,9,83,,612,True,False
334,384,2,2023-12-12,1,3,12,186,5.0,613,True,False
335,385,2,2026-03-26,1,9,34,274,,616,True,False
336,386,1,2025-12-31,1,5,21,289,9.0,617,True,False
337,387,1,2026-05-21,5,13,64,229,32.0,620,True,False
338,388,1,2025-11-15,1,15,60,229,30.0,622,True,False
339,389,1,2024-06-18,1,18,71,32,,623,True,False
340,390,1,2026-04-18,1,2,9,102,,625,True,False
341,391,1,2025-01-16,1,5,21,26,10.0,626,True,False
342,393,1,2025-04-12,1,17,67,288,,628,True,False
343,395,1,2026-03-11,1,19,74,236,37.0,630,True,False
344,396,1,2026-03-27,4,13,71,223,,633,True,False
345,396,1,2026-03-19,1,18,71,46,,634,True,False
346,400,1,2025-03-26,1,16,64,299,,637,True,False
347,401,1,2026-06-19,1,16,63,259,32.0,638,True,False
348,402,1,2025-10-08,1,13,50,120,,639,True,True
349,404,1,2025-12-03,1,6,23,278,,643,True,False
350,407,1,2023-06-02,1,18,71,260,,645,True,False
351,407,1,2023-06-15,1,18,71,230,,646,True,False
352,408,1,2024-03-28,1,20,76,79,40.0,649,True,False
353,409,1,2023-05-24,1,6,23,279,11.0,650,True,False
354,409,2,2023-05-14,1,6,23,299,11.0,651,True,False
355,409,1,2023-05-20,1,6,23,157,11.0,652,True,False
356,410,1,2024-08-15,1,1,3,58,2.0,653,True,False
357,413,1,2026-02-16,1,18,71,298,35.0,654,True,False
358,416,1,2026-03-15,1,20,77,130,39.0,657,True,False
359,417,1,2023-06-04,1,1,4,225,,658,True,False
360,418,1,2023-07-28,1,10,38,92,19.0,661,True,False
361,419,1,2025-07-17,1,11,41,35,22.0,663,True,False
362,420,1,2025-08-21,1,15,61,188,,665,True,False
363,420,1,2025-08-13,1,15,61,152,,666,True,False
364,421,1,2025-10-05,1,15,58,63,30.0,669,True,False
365,423,1,2023-02-06,1,19,73,27,37.0,672,True,False
366,423,1,2023-02-05,1,19,73,38,37.0,673,True,False
367,424,1,2026-07-24,4,18,37,173,,674,True,False
368,426,1,2024-05-08,1,2,9,123,4.0,678,True,False
369,426,1,2024-05-08,1,2,9,149,4.0,680,True,False
370,427,1,2024-07-06,1,20,76,252,40.0,682,True,False
371,428,2,2026-02-03,1,5,20,169,9.0,683,True,False
372,430,1,2025-04-09,1,20,76,123,39.0,684,True,False
373,431,1,2025-02-25,1,2,9,205,4.0,686,True,False
374,431,1,2025-02-18,7,2,9,122,4.0,688,True,False
375,433,1,2026-02-07,1,16,63,93,,690,True,False
376,433,2,2026-02-20,1,16,63,9,,693,True,False
377,434,1,2023-04-04,5,3,63,277,,694,True,False
378,435,1,2026-06-07,1,10,38,102,,696,True,False
379,437,1,2023-07-03,1,17,67,126,,700,True,False
380,437,2,2023-06-17,1,17,67,48,,701,True,False
381,438,2,2025-03-22,1,11,41,260,22.0,703,True,False
382,438,1,2025-03-29,1,11,41,148,22.0,704,True,False
383,439,1,2025-08-02,1,5,20,89,,706,True,False
384,441,1,2026-04-04,1,10,37,215,19.0,707,True,False
385,442,2,2025-02-18,1,13,51,183,26.0,708,True,False
386,442,1,2025-02-11,1,13,51,142,26.0,709,True,False
387,443,1,2023-08-18,1,4,17,271,8.0,711,True,False
388,444,2,2026-01-31,1,8,30,239,15.0,712,True,False
389,444,1,2026-01-14,1,8,30,40,15.0,713,True,False
390,445,2,2024-10-02,1,15,60,230,29.0,714,True,False
391,448,1,2023-11-26,1,10,37,63,,718,True,False
392,449,1,2023-03-01,1,8,30,32,15.0,719,True,False
393,449,2,2023-03-19,1,8,30,247,15.0,720,True,False
394,454,1,2026-05-04,1,6,23,124,11.0,726,True,False
395,454,1,2026-05-14,1,6,23,204,11.0,727,True,False
396,456,1,2023-07-27,1,9,34,170,,729,True,False
397,456,1,2023-07-26,1,9,34,146,,731,True,False
398,457,1,2024-09-17,1,13,52,191,25.0,732,True,False
399,457,1,2024-09-23,1,13,52,138,25.0,733,True,False
400,458,2,2024-06-10,1,20,76,32,40.0,735,True,False
401,458,2,2024-06-13,1,20,76,6,40.0,737,True,False
402,459,1,2023-05-02,1,5,19,286,9.0,738,True,False
403,460,1,2026-06-01,1,20,76,87,40.0,740,True,False
404,463,1,2026-02-28,1,16,65,103,31.0,743,True,False
405,463,2,2026-02-27,1,16,65,101,31.0,744,True,False
406,463,1,2026-03-07,1,16,65,245,31.0,745,True,False
407,465,1,2023-03-08,1,13,52,135,,748,True,False
408,466,1,2026-06-11,1,2,9,57,4.0,750,True,True
409,466,1,2026-06-13,1,2,9,288,4.0,751,True,False
410,467,1,2026-01-26,1,10,37,24,19.0,752,True,False
411,470,1,2025-11-18,1,10,37,193,19.0,757,True,False
412,470,1,2025-11-26,1,10,37,271,19.0,758,True,False
413,471,1,2025-12-25,1,2,8,260,,760,True,False
414,471,1,2025-12-11,1,2,8,39,,763,True,False
415,473,1,2024-05-12,1,1,5,226,1.0,765,True,False
416,474,2,2025-12-11,1,8,30,66,16.0,766,True,True
417,474,1,2025-12-22,1,8,30,292,16.0,767,True,False
418,474,1,2025-12-11,1,8,30,80,16.0,768,True,False
419,476,1,2023-11-29,4,14,21,53,,770,True,False
420,477,2,2023-09-13,1,20,77,7,,771,True,False
421,480,1,2023-10-13,6,18,45,277,,773,True,True
422,481,2,2023-04-20,1,13,51,248,,776,True,False
423,481,2,2023-04-25,1,13,51,61,,777,True,False
424,482,1,2024-10-16,1,10,37,30,20.0,778,True,False
425,483,2,2023-07-21,1,5,21,230,,779,True,True
426,485,1,2025-04-28,1,19,74,145,,781,True,False
427,486,2,2024-09-09,1,13,53,3,26.0,782,True,False
428,487,1,2025-07-14,1,14,56,154,28.0,784,True,False
429,489,1,2026-03-22,1,5,19,90,10.0,786,True,False
430,489,1,2026-03-19,1,5,19,37,10.0,787,True,False
431,491,1,2024-04-02,1,16,64,243,32.0,789,True,False
432,491,1,2024-03-24,1,16,64,191,32.0,790,True,False
433,491,1,2024-03-21,7,6,64,126,32.0,791,True,False
434,492,2,2025-06-17,1,12,48,196,23.0,792,True,False
435,493,1,2023-09-24,1,4,15,280,7.0,793,True,False
436,493,1,2023-10-06,1,4,15,40,7.0,794,True,False
437,493,1,2023-09-25,1,4,15,206,7.0,795,True,False
438,495,1,2026-03-19,1,9,34,152,,797,True,True
439,496,2,2026-01-30,1,17,68,295,,798,True,False
440,498,1,2025-09-19,1,12,46,113,24.0,801,True,False
441,499,2,2026-05-20,1,1,5,78,1.0,804,True,False
442,499,1,2026-05-21,1,1,5,220,1.0,805,True,False
443,500,1,2025-11-19,1,9,35,282,,807,True,False
444,504,1,2023-12-11,3,15,61,76,30.0,811,True,False
445,505,2,2024-10-17,1,8,29,138,,813,True,False
446,506,2,2023-03-24,1,3,12,179,6.0,816,True,False
447,507,1,2024-06-12,1,13,51,168,,818,True,False
448,508,1,2023-09-12,1,13,50,225,,819,True,False
449,509,1,2025-01-23,1,10,37,235,,820,True,False
450,509,1,2025-01-05,1,10,37,5,,821,True,False
451,509,1,2025-01-14,1,10,37,49,,823,True,False
452,510,1,2026-03-19,1,12,45,135,23.0,824,True,False
453,512,1,2026-03-29,1,11,41,125,21.0,825,True,False
454,513,1,2026-05-22,1,9,34,91,18.0,826,True,False
455,516,1,2023-07-06,1,19,73,227,,830,True,False
456,516,1,2023-06-29,1,19,73,85,,831,True,False
457,519,1,2023-04-09,1,16,65,108,31.0,833,True,False
458,519,1,2023-04-29,1,16,65,50,31.0,834,True,False
459,520,1,2026-01-30,6,13,73,147,37.0,836,True,False
460,521,1,2024-02-11,3,14,37,260,19.0,838,True,False
461,523,1,2024-01-07,1,10,38,72,,839,True,False
462,524,2,2024-05-01,1,18,70,251,36.0,841,True,False
