CaseCategoryID,LookupValue
197,UDR
198,Zero FIR
199,UDR
200,Zero FIR
201,PAR
202,FIR
203,Zero FIR
204,FIR
205,Zero FIR
206,Zero FIR
207,FIR
208,FIR
209,FIR
210,PAR
211,FIR
212,Zero FIR
213,UDR
214,UDR
215,UDR
216,Zero FIR
217,Zero FIR
218,FIR
219,UDR
220,Zero FIR
221,Zero FIR
222,FIR
223,Zero FIR
224,PAR
225,UDR
226,FIR
227,UDR
228,Zero FIR
229,PAR
230,FIR
231,UDR
232,PAR
233,PAR
234,UDR
235,UDR
236,PAR
237,Zero FIR
238,PAR
239,UDR
240,FIR
241,FIR
242,PAR
243,PAR
244,UDR
245,FIR
246,FIR
247,Zero FIR
248,UDR
249,PAR
250,UDR
251,PAR
252,Zero FIR
253,PAR
254,UDR
255,Zero FIR
256,Zero FIR
257,FIR
258,PAR
259,PAR
260,UDR
261,FIR
262,Zero FIR
263,Zero FIR
264,PAR
265,UDR
266,FIR
267,FIR
268,FIR
269,PAR
270,PAR
271,PAR
272,Zero FIR
273,FIR
274,FIR
275,PAR
276,Zero FIR
277,FIR
278,PAR
279,PAR
280,Zero FIR
281,Zero FIR
282,UDR
283,UDR
284,PAR
285,UDR
286,PAR
287,PAR
288,PAR
289,Zero FIR
290,PAR
291,FIR
292,FIR
293,UDR
294,UDR
295,PAR
296,UDR
297,UDR
298,FIR
299,UDR
300,PAR
301,UDR
302,UDR
303,Zero FIR
304,UDR
305,Zero FIR
306,FIR
307,Zero FIR
308,FIR
309,FIR
310,UDR
311,Zero FIR
312,PAR
313,UDR
314,UDR
315,PAR
316,FIR
317,UDR
318,FIR
319,PAR
320,FIR
321,PAR
322,PAR
323,UDR
324,Zero FIR
325,UDR
326,FIR
327,FIR
328,FIR
329,FIR
330,FIR
331,PAR
332,PAR
333,UDR
334,FIR
335,PAR
336,FIR
337,FIR
338,Zero FIR
339,FIR
340,Zero FIR
341,FIR
342,Zero FIR
343,PAR
344,PAR
345,UDR
346,Zero FIR
347,Zero FIR
348,PAR
349,UDR
350,FIR
351,UDR
352,PAR
353,UDR
354,Zero FIR
355,UDR
356,UDR
357,FIR
358,Zero FIR
359,Zero FIR
360,UDR
361,FIR
362,PAR
363,UDR
364,FIR
365,UDR
366,FIR
367,UDR
368,PAR
369,PAR
370,FIR
371,PAR
372,UDR
373,FIR
374,Zero FIR
375,PAR
376,UDR
377,FIR
378,PAR
379,UDR
380,PAR
381,Zero FIR
382,FIR
383,PAR
384,FIR
385,Zero FIR
386,PAR
387,UDR
388,UDR
389,UDR
390,Zero FIR
391,FIR
392,FIR
393,PAR
394,UDR
395,FIR
396,Zero FIR
397,Zero FIR
398,FIR
399,Zero FIR
400,UDR
401,UDR
402,FIR
403,PAR
404,UDR
405,PAR
406,Zero FIR
407,UDR
408,Zero FIR
409,PAR
410,FIR
411,UDR
412,UDR
413,FIR
414,PAR
415,FIR
416,FIR
417,Zero FIR
418,PAR
419,PAR
420,FIR
421,UDR
422,UDR
423,Zero FIR
424,FIR
425,Zero FIR
426,Zero FIR
427,PAR
428,UDR
429,UDR
430,UDR
431,Zero FIR
432,UDR
433,PAR
434,FIR
435,FIR
436,Zero FIR
437,UDR
438,UDR
439,UDR
440,Zero FIR
441,PAR
442,UDR
443,FIR
444,UDR
445,Zero FIR
446,UDR
447,FIR
448,Zero FIR
449,UDR
450,FIR
451,UDR
452,PAR
453,Zero FIR
454,PAR
455,PAR
456,Zero FIR
457,PAR
458,Zero FIR
459,FIR
460,Zero FIR
461,UDR
462,FIR
463,PAR
464,PAR
465,PAR
466,FIR
467,PAR
468,UDR
469,UDR
470,FIR
471,FIR
472,UDR
473,UDR
474,Zero FIR
475,Zero FIR
476,Zero FIR
477,UDR
478,Zero FIR
479,Zero FIR
480,PAR
481,PAR
482,PAR
483,FIR
484,FIR
485,FIR
486,UDR
487,PAR
488,PAR
489,FIR
490,PAR
491,PAR
492,FIR
493,FIR
494,FIR
495,PAR
496,Zero FIR
497,UDR
498,FIR
499,PAR
500,Zero FIR
501,PAR
502,UDR
503,Zero FIR
504,PAR
505,FIR
506,UDR
507,PAR
508,Zero FIR
509,Zero FIR
510,PAR
511,Zero FIR
512,PAR
513,Zero FIR
514,UDR
515,Zero FIR
516,PAR
517,FIR
518,UDR
519,UDR
520,FIR
521,UDR
522,FIR
523,Zero FIR
524,PAR
525,PAR
526,UDR
527,PAR
528,Zero FIR
529,Zero FIR
530,Zero FIR
531,FIR
532,PAR
533,Zero FIR
534,Zero FIR
535,Zero FIR
536,PAR
537,Zero FIR
538,FIR
539,PAR
540,UDR
541,UDR
542,FIR
543,UDR
544,PAR
545,PAR
546,Zero FIR
547,FIR
548,Zero FIR
549,FIR
550,FIR
551,UDR
552,FIR
553,FIR
554,UDR
555,FIR
556,FIR
557,FIR
558,FIR
559,Zero FIR
560,UDR
561,Zero FIR
562,PAR
563,UDR
564,FIR
565,FIR
566,PAR
567,FIR
568,UDR
569,UDR
570,FIR
571,Zero FIR
572,Zero FIR
573,PAR
574,Zero FIR
575,FIR
576,UDR
577,Zero FIR
578,UDR
579,FIR
580,FIR
581,UDR
582,Zero FIR
583,FIR
584,FIR
585,UDR
586,PAR
587,UDR
588,Zero FIR
589,PAR
590,Zero FIR
591,PAR
592,PAR
593,Zero FIR
594,FIR
595,Zero FIR
596,FIR
597,Zero FIR
598,FIR
599,FIR
600,FIR
601,Zero FIR
602,Zero FIR
603,Zero FIR
604,PAR
605,Zero FIR
606,FIR
607,PAR
608,PAR
609,FIR
610,PAR
611,UDR
612,FIR
613,PAR
614,UDR
615,FIR
616,UDR
617,UDR
618,PAR
619,UDR
620,UDR
621,UDR
622,Zero FIR
623,Zero FIR
624,FIR
625,UDR
626,PAR
627,PAR
628,FIR
629,FIR
630,Zero FIR
631,Zero FIR
632,FIR
633,FIR
634,UDR
635,PAR
636,FIR
637,UDR
638,Zero FIR
639,Zero FIR
640,PAR
641,UDR
642,FIR
643,Zero FIR
644,UDR
645,UDR
646,Zero FIR
647,PAR
648,UDR
649,UDR
650,FIR
651,Zero FIR
652,FIR
653,FIR
654,UDR
655,Zero FIR
656,UDR
657,Zero FIR
658,Zero FIR
659,FIR
660,PAR
661,Zero FIR
662,UDR
663,FIR
664,FIR
665,FIR
666,UDR
667,Zero FIR
668,PAR
669,PAR
670,FIR
671,Zero FIR
672,Zero FIR
673,Zero FIR
674,PAR
675,FIR
676,PAR
677,PAR
678,Zero FIR
679,FIR
680,FIR
681,PAR
682,Zero FIR
683,Zero FIR
684,Zero FIR
685,UDR
686,Zero FIR
687,UDR
688,FIR
689,PAR
690,PAR
691,PAR
692,UDR
693,FIR
694,FIR
695,FIR
696,FIR
697,PAR
698,UDR
699,PAR
700,FIR
701,UDR
702,Zero FIR
703,PAR
704,Zero FIR
705,PAR
706,PAR
707,UDR
708,FIR
709,Zero FIR
710,UDR
711,FIR
712,UDR
713,Zero FIR
714,Zero FIR
715,UDR
716,FIR
717,FIR
718,PAR
719,Zero FIR
720,FIR
721,FIR
722,PAR
723,UDR
724,UDR
725,Zero FIR
726,PAR
727,FIR
728,UDR
729,Zero FIR
730,Zero FIR
731,Zero FIR
732,UDR
733,FIR
734,UDR
735,FIR
736,PAR
737,FIR
738,PAR
739,Zero FIR
740,Zero FIR
741,Zero FIR
742,Zero FIR
743,UDR
744,UDR
745,Zero FIR
746,FIR
747,FIR
748,UDR
749,UDR
750,UDR
751,FIR
752,UDR
753,PAR
754,FIR
755,FIR
756,FIR
757,UDR
758,FIR
759,FIR
760,PAR
761,Zero FIR
762,FIR
763,Zero FIR
764,UDR
765,PAR
766,FIR
767,UDR
768,FIR
769,UDR
770,UDR
771,UDR
772,UDR
773,FIR
774,PAR
775,PAR
776,FIR
777,Zero FIR
778,PAR
779,UDR
780,PAR
781,Zero FIR
782,FIR
783,FIR
784,Zero FIR
785,UDR
786,PAR
787,UDR
788,FIR
789,FIR
790,FIR
791,FIR
792,UDR
793,Zero FIR
794,FIR
795,PAR
796,PAR
797,UDR
798,FIR
799,Zero FIR
800,PAR
801,PAR
802,FIR
803,PAR
804,Zero FIR
805,UDR
806,PAR
807,UDR
808,PAR
809,UDR
810,Zero FIR
811,Zero FIR
812,FIR
813,FIR
814,FIR
815,UDR
816,UDR
817,Zero FIR
818,FIR
819,UDR
820,PAR
821,FIR
822,FIR
823,Zero FIR
824,UDR
825,UDR
826,FIR
827,Zero FIR
828,UDR
829,PAR
830,UDR
831,UDR
832,FIR
833,UDR
834,FIR
835,UDR
836,Zero FIR
837,PAR
838,UDR
839,PAR
840,PAR
841,PAR
842,PAR
843,Zero FIR
844,PAR
845,FIR
846,Zero FIR
847,PAR
848,PAR
849,FIR
850,UDR
851,UDR
852,PAR
853,PAR
854,PAR
855,PAR
856,PAR
857,PAR
858,FIR
859,PAR
860,Zero FIR
861,Zero FIR
862,FIR
863,PAR
864,UDR
865,UDR
866,FIR
867,UDR
868,Zero FIR
869,UDR
870,PAR
871,UDR
872,Zero FIR
873,PAR
874,Zero FIR
875,UDR
876,UDR
877,UDR
878,PAR
879,FIR
880,PAR
881,PAR
882,FIR
883,FIR
884,UDR
885,Zero FIR
886,PAR
887,Zero FIR
888,Zero FIR
889,Zero FIR
890,PAR
891,FIR
892,PAR
893,PAR
894,Zero FIR
895,PAR
896,PAR
897,Zero FIR
898,PAR
899,FIR
900,UDR
901,FIR
902,Zero FIR
903,Zero FIR
904,Zero FIR
905,FIR
906,PAR
907,FIR
908,UDR
909,Zero FIR
910,PAR
911,Zero FIR
912,PAR
913,PAR
914,FIR
915,Zero FIR
916,FIR
917,PAR
918,Zero FIR
919,PAR
920,Zero FIR
921,FIR
922,PAR
923,UDR
924,FIR
925,UDR
926,Zero FIR
927,UDR
928,PAR
929,UDR
930,Zero FIR
931,PAR
932,PAR
933,FIR
934,FIR
935,FIR
936,Zero FIR
937,FIR
938,PAR
939,UDR
940,Zero FIR
941,FIR
942,PAR
943,UDR
944,UDR
945,UDR
946,FIR
947,FIR
948,Zero FIR
949,UDR
950,PAR
951,UDR
952,FIR
953,Zero FIR
954,Zero FIR
955,PAR
956,Zero FIR
957,Zero FIR
958,FIR
959,PAR
960,FIR
961,Zero FIR
962,PAR
963,UDR
964,Zero FIR
965,Zero FIR
966,FIR
967,Zero FIR
968,FIR
969,PAR
970,PAR
971,Zero FIR
972,Zero FIR
973,Zero FIR
974,Zero FIR
975,UDR
976,UDR
977,PAR
978,PAR
979,FIR
980,PAR
981,FIR
982,PAR
983,UDR
984,PAR
985,UDR
986,FIR
987,PAR
988,UDR
989,UDR
990,FIR
991,Zero FIR
992,UDR
993,FIR
994,FIR
995,UDR
996,FIR
997,Zero FIR
998,PAR
999,FIR
1000,UDR
1001,Zero FIR
1002,FIR
1003,PAR
1004,UDR
1005,PAR
1006,PAR
1007,UDR
1008,PAR
1009,UDR
1010,Zero FIR
1011,PAR
1012,Zero FIR
1013,Zero FIR
1014,UDR
1015,Zero FIR
1016,PAR
1017,PAR
1018,UDR
1019,PAR
1020,PAR
1021,Zero FIR
1022,UDR
1023,UDR
1024,FIR
1025,FIR
1026,Zero FIR
1027,Zero FIR
1028,FIR
1029,FIR
1030,Zero FIR
1031,UDR
1032,FIR
1033,Zero FIR
1034,Zero FIR
1035,FIR
1036,FIR
1037,PAR
1038,Zero FIR
1039,PAR
1040,FIR
1041,PAR
1042,PAR
1043,FIR
1044,Zero FIR
1045,FIR
1046,FIR
1047,UDR
1048,FIR
1049,Zero FIR
1050,Zero FIR
1051,UDR
1052,PAR
1053,Zero FIR
1054,FIR
1055,FIR
1056,Zero FIR
1057,PAR
1058,PAR
1059,UDR
1060,Zero FIR
1061,PAR
1062,PAR
1063,UDR
1064,FIR
1065,PAR
1066,FIR
1067,Zero FIR
1068,UDR
1069,Zero FIR
1070,PAR
1071,FIR
1072,UDR
1073,UDR
1074,PAR
1075,FIR
1076,FIR
1077,UDR
1078,UDR
1079,UDR
1080,UDR
1081,PAR
1082,PAR
1083,PAR
1084,PAR
1085,PAR
1086,Zero FIR
1087,Zero FIR
1088,Zero FIR
1089,FIR
1090,Zero FIR
1091,Zero FIR
1092,FIR
1093,UDR
1094,Zero FIR
1095,Zero FIR
1096,Zero FIR
1097,UDR
1098,UDR
1099,FIR
1100,Zero FIR
1101,PAR
1102,UDR
1103,FIR
1104,PAR
1105,UDR
1106,UDR
1107,Zero FIR
1108,PAR
1109,Zero FIR
1110,FIR
1111,UDR
1112,PAR
1113,FIR
1114,UDR
1115,UDR
1116,Zero FIR
1117,FIR
1118,Zero FIR
1119,PAR
1120,Zero FIR
1121,UDR
1122,UDR
1123,Zero FIR
1124,PAR
1125,Zero FIR
1126,Zero FIR
1127,FIR
1128,UDR
1129,UDR
1130,UDR
1131,Zero FIR
1132,FIR
1133,Zero FIR
1134,PAR
1135,Zero FIR
1136,FIR
1137,FIR
1138,PAR
1139,PAR
1140,UDR
1141,UDR
1142,UDR
1143,UDR
1144,FIR
1145,PAR
1146,Zero FIR
1147,Zero FIR
1148,PAR
1149,Zero FIR
1150,Zero FIR
1151,FIR
1152,PAR
1153,FIR
1154,FIR
1155,Zero FIR
1156,FIR
1157,Zero FIR
1158,UDR
1159,PAR
1160,Zero FIR
1161,UDR
1162,UDR
1163,FIR
1164,PAR
1165,FIR
1166,FIR
1167,UDR
1168,FIR
1169,UDR
1170,PAR
1171,UDR
1172,Zero FIR
1173,UDR
1174,UDR
1175,Zero FIR
1176,UDR
1177,UDR
1178,UDR
1179,PAR
1180,Zero FIR
1181,UDR
1182,FIR
1183,FIR
1184,PAR
1185,UDR
1186,FIR
1187,PAR
1188,PAR
1189,UDR
1190,PAR
1191,Zero FIR
1192,FIR
1193,Zero FIR
1194,UDR
1195,FIR
1196,Zero FIR
1197,PAR
1198,UDR
1199,UDR
1200,FIR
1201,FIR
1202,PAR
1203,FIR
1204,PAR
1205,FIR
1206,UDR
1207,Zero FIR
1208,PAR
1209,FIR
1210,PAR
1211,UDR
1212,Zero FIR
1213,UDR
1214,UDR
1215,Zero FIR
1216,UDR
1217,UDR
1218,UDR
1219,Zero FIR
1220,Zero FIR
1221,Zero FIR
1222,PAR
1223,UDR
1224,PAR
1225,PAR
1226,PAR
1227,FIR
1228,PAR
1229,PAR
1230,PAR
1231,Zero FIR
1232,UDR
1233,PAR
1234,FIR
1235,UDR
1236,PAR
1237,UDR
1238,Zero FIR
1239,PAR
1240,FIR
1241,PAR
1242,Zero FIR
1243,FIR
1244,UDR
1245,PAR
1246,PAR
1247,UDR
1248,FIR
1249,FIR
1250,Zero FIR
1251,Zero FIR
1252,FIR
1253,Zero FIR
1254,PAR
1255,Zero FIR
1256,FIR
1257,PAR
1258,Zero FIR
1259,Zero FIR
1260,FIR
1261,FIR
1262,FIR
1263,PAR
1264,Zero FIR
1265,FIR
1266,PAR
1267,Zero FIR
1268,Zero FIR
1269,FIR
1270,Zero FIR
1271,FIR
1272,UDR
1273,Zero FIR
1274,Zero FIR
1275,PAR
1276,Zero FIR
1277,FIR
1278,PAR
1279,FIR
1280,PAR
1281,FIR
1282,UDR
1283,Zero FIR
1284,FIR
1285,PAR
1286,FIR
1287,PAR
1288,Zero FIR
1289,UDR
1290,FIR
1291,UDR
1292,PAR
1293,Zero FIR
1294,FIR
1295,FIR
1296,UDR
1297,UDR
1298,Zero FIR
1299,PAR
1300,FIR
1301,FIR
1302,PAR
1303,FIR
1304,UDR
1305,FIR
1306,PAR
1307,FIR
1308,UDR
1309,Zero FIR
1310,Zero FIR
1311,PAR
1312,Zero FIR
1313,Zero FIR
1314,Zero FIR
1315,UDR
1316,PAR
1317,UDR
1318,PAR
1319,FIR
1320,Zero FIR
1321,Zero FIR
1322,Zero FIR
1323,UDR
1324,PAR
1325,Zero FIR
1326,FIR
1327,FIR
1328,FIR
1329,PAR
1330,FIR
1331,Zero FIR
1332,FIR
1333,FIR
1334,UDR
1335,FIR
1336,PAR
1337,Zero FIR
1338,UDR
1339,Zero FIR
1340,Zero FIR
1341,FIR
1342,UDR
1343,UDR
1344,UDR
1345,UDR
1346,UDR
1347,Zero FIR
1348,FIR
1349,FIR
1350,Zero FIR
1351,Zero FIR
1352,PAR
1353,PAR
1354,FIR
1355,UDR
1356,UDR
1357,UDR
1358,UDR
1359,UDR
1360,Zero FIR
1361,UDR
1362,Zero FIR
1363,UDR
1364,PAR
1365,Zero FIR
1366,FIR
1367,PAR
1368,UDR
1369,Zero FIR
1370,FIR
1371,FIR
1372,PAR
1373,UDR
1374,FIR
1375,UDR
1376,Zero FIR
1377,UDR
1378,PAR
1379,FIR
1380,FIR
1381,FIR
1382,PAR
1383,UDR
1384,UDR
1385,Zero FIR
1386,PAR
1387,PAR
1388,UDR
1389,Zero FIR
1390,Zero FIR
1391,Zero FIR
1392,Zero FIR
1393,Zero FIR
1394,UDR
1395,UDR
1396,Zero FIR
1397,UDR
1398,UDR
1399,FIR
1400,PAR
1401,UDR
1402,UDR
1403,FIR
1404,PAR
1405,UDR
1406,Zero FIR
1407,Zero FIR
1408,Zero FIR
1409,UDR
1410,PAR
1411,FIR
1412,UDR
1413,UDR
1414,PAR
1415,PAR
1416,UDR
1417,PAR
1418,UDR
1419,FIR
1420,Zero FIR
1421,FIR
1422,UDR
1423,PAR
1424,UDR
1425,Zero FIR
1426,Zero FIR
1427,Zero FIR
1428,FIR
1429,Zero FIR
1430,PAR
1431,UDR
1432,UDR
1433,PAR
1434,FIR
1435,FIR
1436,PAR
1437,Zero FIR
1438,FIR
1439,UDR
1440,PAR
1441,Zero FIR
1442,PAR
1443,UDR
1444,UDR
1445,FIR
1446,PAR
1447,UDR
1448,FIR
1449,UDR
1450,UDR
1451,FIR
1452,FIR
1453,UDR
1454,Zero FIR
1455,FIR
1456,FIR
1457,Zero FIR
1458,PAR
1459,Zero FIR
1460,Zero FIR
1461,FIR
1462,UDR
1463,Zero FIR
1464,FIR
1465,FIR
1466,FIR
1467,UDR
1468,UDR
1469,UDR
1470,FIR
1471,Zero FIR
1472,Zero FIR
1473,FIR
1474,Zero FIR
1475,Zero FIR
1476,Zero FIR
1477,Zero FIR
1478,PAR
1479,UDR
1480,PAR
1481,PAR
1482,PAR
1483,PAR
1484,Zero FIR
1485,FIR
1486,UDR
1487,FIR
1488,PAR
1489,UDR
1490,FIR
1491,PAR
1492,Zero FIR
1493,UDR
1494,FIR
1495,Zero FIR
1496,FIR
1497,FIR
1498,PAR
1499,UDR
1500,Zero FIR
1501,Zero FIR
1502,UDR
1503,UDR
1504,PAR
1505,FIR
1506,UDR
1507,FIR
1508,UDR
1509,Zero FIR
1510,UDR
1511,UDR
1512,FIR
1513,PAR
1514,Zero FIR
1515,UDR
1516,FIR
1517,Zero FIR
1518,UDR
1519,Zero FIR
1520,Zero FIR
1521,Zero FIR
1522,Zero FIR
1523,PAR
1524,Zero FIR
1525,UDR
1526,Zero FIR
1527,FIR
1528,Zero FIR
1529,PAR
1530,Zero FIR
1531,Zero FIR
1532,FIR
1533,UDR
1534,FIR
1535,UDR
1536,PAR
1537,UDR
1538,UDR
1539,UDR
1540,PAR
1541,UDR
1542,UDR
1543,FIR
1544,Zero FIR
1545,Zero FIR
1546,PAR
1547,FIR
1548,Zero FIR
1549,UDR
1550,PAR
1551,Zero FIR
1552,UDR
1553,Zero FIR
1554,Zero FIR
1555,Zero FIR
1556,UDR
1557,UDR
1558,FIR
1559,UDR
1560,UDR
1561,UDR
1562,Zero FIR
1563,FIR
1564,PAR
1565,FIR
1566,PAR
1567,FIR
1568,Zero FIR
1569,Zero FIR
1570,UDR
1571,UDR
1572,PAR
1573,PAR
1574,PAR
1575,FIR
1576,FIR
1577,UDR
1578,PAR
1579,UDR
1580,PAR
1581,Zero FIR
1582,FIR
1583,Zero FIR
1584,FIR
1585,Zero FIR
1586,PAR
1587,UDR
1588,Zero FIR
1589,FIR
1590,FIR
1591,PAR
1592,UDR
1593,UDR
1594,UDR
1595,FIR
1596,Zero FIR
1597,Zero FIR
1598,UDR
1599,PAR
1600,FIR
1601,FIR
1602,PAR
1603,UDR
1604,UDR
1605,UDR
1606,Zero FIR
1607,PAR
1608,FIR
1609,PAR
1610,Zero FIR
1611,PAR
1612,Zero FIR
1613,Zero FIR
1614,FIR
1615,FIR
1616,Zero FIR
1617,PAR
1618,FIR
1619,FIR
1620,PAR
1621,PAR
1622,FIR
1623,Zero FIR
1624,UDR
1625,FIR
1626,PAR
1627,FIR
1628,UDR
1629,Zero FIR
1630,FIR
1631,FIR
1632,FIR
1633,Zero FIR
1634,Zero FIR
1635,UDR
1636,UDR
1637,FIR
1638,PAR
1639,UDR
1640,UDR
1641,UDR
1642,UDR
1643,Zero FIR
1644,FIR
1645,UDR
1646,UDR
1647,Zero FIR
1648,UDR
1649,Zero FIR
1650,UDR
1651,FIR
1652,PAR
1653,FIR
1654,PAR
1655,FIR
1656,Zero FIR
1657,Zero FIR
1658,FIR
1659,FIR
1660,PAR
1661,PAR
1662,Zero FIR
1663,FIR
1664,FIR
1665,UDR
1666,Zero FIR
1667,Zero FIR
1668,FIR
1669,UDR
1670,UDR
1671,Zero FIR
1672,PAR
1673,PAR
1674,PAR
1675,FIR
1676,PAR
1677,FIR
1678,PAR
1679,Zero FIR
1680,UDR
1681,PAR
1682,Zero FIR
1683,FIR
1684,PAR
1685,FIR
1686,Zero FIR
1687,UDR
1688,Zero FIR
1689,UDR
1690,FIR
1691,PAR
1692,Zero FIR
1693,UDR
1694,PAR
1695,UDR
1696,Zero FIR
1697,FIR
1698,FIR
1699,Zero FIR
1700,Zero FIR
1701,UDR
1702,PAR
1703,FIR
1704,FIR
1705,UDR
1706,UDR
1707,Zero FIR
1708,Zero FIR
1709,Zero FIR
1710,PAR
1711,UDR
1712,UDR
1713,FIR
1714,PAR
1715,FIR
1716,Zero FIR
1717,PAR
1718,FIR
1719,UDR
1720,Zero FIR
1721,FIR
1722,FIR
1723,PAR
1724,Zero FIR
1725,UDR
1726,FIR
1727,PAR
1728,PAR
1729,FIR
1730,FIR
1731,UDR
1732,PAR
1733,Zero FIR
1734,UDR
1735,Zero FIR
1736,UDR
1737,Zero FIR
1738,UDR
1739,FIR
1740,FIR
1741,UDR
1742,FIR
1743,Zero FIR
1744,Zero FIR
1745,UDR
1746,FIR
1747,FIR
1748,UDR
1749,UDR
1750,FIR
1751,UDR
1752,FIR
1753,UDR
1754,UDR
1755,UDR
1756,UDR
1757,Zero FIR
1758,UDR
1759,FIR
1760,FIR
1761,UDR
1762,FIR
1763,PAR
1764,FIR
1765,FIR
1766,PAR
1767,PAR
1768,PAR
1769,Zero FIR
1770,PAR
1771,UDR
1772,PAR
1773,UDR
1774,Zero FIR
1775,UDR
1776,UDR
1777,FIR
1778,PAR
1779,UDR
1780,UDR
1781,UDR
1782,UDR
1783,UDR
1784,UDR
1785,FIR
1786,PAR
1787,PAR
1788,UDR
1789,FIR
1790,Zero FIR
1791,Zero FIR
1792,FIR
1793,FIR
1794,Zero FIR
1795,FIR
1796,FIR
1797,UDR
1798,PAR
1799,UDR
1800,PAR
1801,UDR
1802,Zero FIR
1803,PAR
1804,FIR
1805,FIR
1806,Zero FIR
1807,UDR
1808,PAR
1809,PAR
1810,Zero FIR
1811,PAR
1812,FIR
1813,UDR
1814,UDR
1815,PAR
1816,Zero FIR
1817,UDR
1818,UDR
1819,PAR
1820,Zero FIR
1821,FIR
1822,PAR
1823,Zero FIR
1824,FIR
1825,FIR
1826,Zero FIR
1827,Zero FIR
1828,FIR
1829,Zero FIR
1830,Zero FIR
1831,FIR
1832,Zero FIR
1833,FIR
1834,Zero FIR
1835,FIR
1836,UDR
1837,PAR
1838,Zero FIR
1839,Zero FIR
1840,UDR
1841,FIR
1842,UDR
1843,PAR
1844,Zero FIR
1845,UDR
1846,FIR
1847,PAR
1848,PAR
1849,Zero FIR
1850,UDR
1851,FIR
1852,UDR
1853,UDR
1854,Zero FIR
1855,FIR
1856,FIR
1857,UDR
1858,Zero FIR
1859,PAR
1860,FIR
1861,PAR
1862,Zero FIR
1863,UDR
1864,UDR
1865,FIR
1866,Zero FIR
1867,FIR
1868,Zero FIR
1869,FIR
1870,UDR
1871,FIR
1872,PAR
1873,FIR
1874,UDR
1875,FIR
1876,PAR
1877,UDR
1878,Zero FIR
1879,UDR
1880,Zero FIR
1881,FIR
1882,PAR
1883,Zero FIR
1884,UDR
1885,Zero FIR
1886,UDR
1887,FIR
1888,PAR
1889,Zero FIR
1890,Zero FIR
1891,Zero FIR
1892,FIR
1893,PAR
1894,UDR
1895,PAR
1896,Zero FIR
1897,Zero FIR
1898,FIR
1899,UDR
1900,FIR
1901,FIR
1902,PAR
1903,PAR
1904,UDR
1905,Zero FIR
1906,UDR
1907,UDR
1908,FIR
1909,Zero FIR
1910,Zero FIR
1911,FIR
1912,UDR
1913,UDR
1914,PAR
1915,Zero FIR
1916,UDR
1917,PAR
1918,PAR
1919,FIR
1920,FIR
1921,Zero FIR
1922,PAR
1923,Zero FIR
1924,UDR
1925,PAR
1926,FIR
1927,UDR
1928,PAR
1929,FIR
1930,Zero FIR
1931,Zero FIR
