CaseStatusID,CaseStatusName
432,Charge Sheeted
433,Charge Sheeted
434,Under Investigation
435,Closed
436,Charge Sheeted
437,Undetected
438,Closed
439,Undetected
440,Undetected
441,Undetected
442,Charge Sheeted
443,Undetected
444,Charge Sheeted
445,Undetected
446,Charge Sheeted
447,Charge Sheeted
448,Charge Sheeted
449,Charge Sheeted
450,Under Investigation
451,Under Investigation
452,Charge Sheeted
453,Under Investigation
454,Under Investigation
455,Undetected
456,Under Investigation
457,Closed
458,Undetected
459,Undetected
460,Closed
461,Charge Sheeted
462,Charge Sheeted
463,Charge Sheeted
464,Under Investigation
465,Closed
466,Undetected
467,Undetected
468,Closed
469,Under Investigation
470,Under Investigation
471,Charge Sheeted
472,Under Investigation
473,Under Investigation
474,Undetected
475,Closed
476,Charge Sheeted
477,Under Investigation
478,Under Investigation
479,Undetected
480,Charge Sheeted
481,Charge Sheeted
482,Undetected
483,Under Investigation
484,Under Investigation
485,Closed
486,Closed
487,Closed
488,Under Investigation
489,Closed
490,Under Investigation
491,Charge Sheeted
492,Closed
493,Under Investigation
494,Undetected
495,Under Investigation
496,Charge Sheeted
497,Closed
498,Undetected
499,Under Investigation
500,Under Investigation
501,Under Investigation
502,Charge Sheeted
503,Charge Sheeted
504,Undetected
505,Closed
506,Under Investigation
507,Charge Sheeted
508,Closed
509,Charge Sheeted
510,Closed
511,Under Investigation
512,Closed
513,Charge Sheeted
514,Undetected
515,Under Investigation
516,Undetected
517,Under Investigation
518,Closed
519,Undetected
520,Closed
521,Under Investigation
522,Closed
523,Closed
524,Closed
525,Under Investigation
526,Under Investigation
527,Charge Sheeted
528,Under Investigation
529,Undetected
530,Under Investigation
531,Closed
532,Under Investigation
533,Closed
534,Undetected
535,Closed
536,Under Investigation
537,Closed
538,Closed
539,Closed
540,Charge Sheeted
541,Under Investigation
542,Closed
543,Under Investigation
544,Closed
545,Charge Sheeted
546,Undetected
547,Undetected
548,Under Investigation
549,Undetected
550,Undetected
551,Charge Sheeted
552,Under Investigation
553,Charge Sheeted
554,Charge Sheeted
555,Closed
556,Closed
557,Closed
558,Undetected
559,Charge Sheeted
560,Undetected
561,Closed
562,Under Investigation
563,Under Investigation
564,Under Investigation
565,Charge Sheeted
566,Under Investigation
567,Under Investigation
568,Closed
569,Closed
570,Closed
571,Closed
572,Under Investigation
573,Under Investigation
574,Under Investigation
575,Undetected
576,Charge Sheeted
577,Undetected
578,Under Investigation
579,Under Investigation
580,Under Investigation
581,Under Investigation
582,Charge Sheeted
583,Undetected
584,Closed
585,Undetected
586,Undetected
587,Under Investigation
588,Undetected
589,Under Investigation
590,Closed
591,Closed
592,Charge Sheeted
593,Under Investigation
594,Charge Sheeted
595,Charge Sheeted
596,Closed
597,Under Investigation
598,Undetected
599,Closed
600,Charge Sheeted
601,Under Investigation
602,Charge Sheeted
603,Charge Sheeted
604,Under Investigation
605,Closed
606,Under Investigation
607,Closed
608,Charge Sheeted
609,Undetected
610,Under Investigation
611,Charge Sheeted
612,Closed
613,Under Investigation
614,Under Investigation
615,Closed
616,Charge Sheeted
617,Charge Sheeted
618,Under Investigation
619,Undetected
620,Closed
621,Under Investigation
622,Closed
623,Undetected
624,Charge Sheeted
625,Closed
626,Under Investigation
627,Undetected
628,Charge Sheeted
629,Undetected
630,Closed
631,Closed
632,Closed
633,Undetected
634,Under Investigation
635,Under Investigation
636,Under Investigation
637,Under Investigation
638,Closed
639,Charge Sheeted
640,Charge Sheeted
641,Under Investigation
642,Charge Sheeted
643,Under Investigation
644,Undetected
645,Charge Sheeted
646,Undetected
647,Closed
648,Charge Sheeted
649,Under Investigation
650,Under Investigation
651,Charge Sheeted
652,Undetected
653,Charge Sheeted
654,Under Investigation
655,Undetected
656,Undetected
657,Charge Sheeted
658,Charge Sheeted
659,Closed
660,Charge Sheeted
661,Charge Sheeted
662,Charge Sheeted
663,Undetected
664,Closed
665,Closed
666,Charge Sheeted
667,Closed
668,Undetected
669,Under Investigation
670,Under Investigation
671,Charge Sheeted
672,Undetected
673,Closed
674,Charge Sheeted
675,Charge Sheeted
676,Charge Sheeted
677,Under Investigation
678,Under Investigation
679,Under Investigation
680,Undetected
681,Closed
682,Undetected
683,Undetected
684,Closed
685,Under Investigation
686,Closed
687,Closed
688,Closed
689,Closed
690,Under Investigation
691,Closed
692,Undetected
693,Closed
694,Closed
695,Charge Sheeted
696,Charge Sheeted
697,Undetected
698,Charge Sheeted
699,Undetected
700,Closed
701,Closed
702,Undetected
703,Charge Sheeted
704,Under Investigation
705,Charge Sheeted
706,Charge Sheeted
707,Charge Sheeted
708,Closed
709,Charge Sheeted
710,Undetected
711,Under Investigation
712,Undetected
713,Under Investigation
714,Undetected
715,Under Investigation
716,Charge Sheeted
717,Undetected
718,Closed
719,Charge Sheeted
720,Closed
721,Undetected
722,Under Investigation
723,Under Investigation
724,Charge Sheeted
725,Charge Sheeted
726,Undetected
727,Charge Sheeted
728,Closed
729,Undetected
730,Charge Sheeted
731,Closed
732,Under Investigation
733,Closed
734,Under Investigation
735,Undetected
736,Under Investigation
737,Undetected
738,Charge Sheeted
739,Undetected
740,Undetected
741,Undetected
742,Under Investigation
743,Undetected
744,Charge Sheeted
745,Undetected
746,Charge Sheeted
747,Under Investigation
748,Charge Sheeted
749,Under Investigation
750,Charge Sheeted
751,Charge Sheeted
752,Undetected
753,Closed
754,Under Investigation
755,Under Investigation
756,Under Investigation
757,Closed
758,Undetected
759,Under Investigation
760,Under Investigation
761,Closed
762,Under Investigation
763,Under Investigation
764,Undetected
765,Undetected
766,Closed
767,Under Investigation
768,Undetected
769,Charge Sheeted
770,Closed
771,Charge Sheeted
772,Charge Sheeted
773,Charge Sheeted
774,Charge Sheeted
775,Under Investigation
776,Charge Sheeted
777,Under Investigation
778,Undetected
779,Charge Sheeted
780,Charge Sheeted
781,Under Investigation
782,Under Investigation
783,Undetected
784,Under Investigation
785,Charge Sheeted
786,Charge Sheeted
787,Under Investigation
788,Charge Sheeted
789,Charge Sheeted
790,Under Investigation
791,Undetected
792,Charge Sheeted
793,Under Investigation
794,Under Investigation
795,Under Investigation
796,Under Investigation
797,Charge Sheeted
798,Closed
799,Closed
800,Closed
801,Charge Sheeted
802,Undetected
803,Closed
804,Undetected
805,Charge Sheeted
806,Undetected
807,Under Investigation
808,Closed
809,Undetected
810,Closed
811,Charge Sheeted
812,Under Investigation
813,Under Investigation
814,Charge Sheeted
815,Closed
816,Closed
817,Under Investigation
818,Charge Sheeted
819,Charge Sheeted
820,Undetected
821,Charge Sheeted
822,Undetected
823,Under Investigation
824,Closed
825,Undetected
826,Charge Sheeted
827,Charge Sheeted
828,Charge Sheeted
829,Charge Sheeted
830,Under Investigation
831,Under Investigation
832,Closed
833,Closed
834,Closed
835,Closed
836,Under Investigation
837,Under Investigation
838,Charge Sheeted
839,Undetected
840,Closed
841,Charge Sheeted
842,Undetected
843,Under Investigation
844,Under Investigation
845,Closed
846,Closed
847,Charge Sheeted
848,Under Investigation
849,Under Investigation
850,Under Investigation
851,Undetected
852,Under Investigation
853,Undetected
854,Undetected
855,Undetected
856,Under Investigation
857,Undetected
858,Under Investigation
859,Closed
860,Closed
861,Charge Sheeted
862,Under Investigation
863,Undetected
864,Undetected
865,Charge Sheeted
866,Under Investigation
867,Closed
868,Under Investigation
869,Closed
870,Undetected
871,Closed
872,Charge Sheeted
873,Under Investigation
874,Closed
875,Closed
876,Closed
877,Under Investigation
878,Under Investigation
879,Closed
880,Under Investigation
881,Under Investigation
882,Under Investigation
883,Under Investigation
884,Closed
885,Undetected
886,Under Investigation
887,Under Investigation
888,Closed
889,Closed
890,Under Investigation
891,Undetected
892,Undetected
893,Under Investigation
894,Under Investigation
895,Undetected
896,Undetected
897,Charge Sheeted
898,Undetected
899,Closed
900,Under Investigation
901,Charge Sheeted
902,Closed
903,Undetected
904,Under Investigation
905,Closed
906,Charge Sheeted
907,Charge Sheeted
908,Under Investigation
909,Closed
910,Undetected
911,Under Investigation
912,Under Investigation
913,Undetected
914,Charge Sheeted
915,Charge Sheeted
916,Charge Sheeted
917,Undetected
918,Closed
919,Undetected
920,Charge Sheeted
921,Undetected
922,Undetected
923,Closed
924,Charge Sheeted
925,Charge Sheeted
926,Undetected
927,Charge Sheeted
928,Closed
929,Charge Sheeted
930,Undetected
931,Charge Sheeted
932,Charge Sheeted
933,Under Investigation
934,Charge Sheeted
935,Undetected
936,Charge Sheeted
937,Undetected
938,Under Investigation
939,Under Investigation
940,Under Investigation
941,Under Investigation
942,Closed
943,Undetected
944,Under Investigation
945,Charge Sheeted
946,Closed
947,Under Investigation
948,Charge Sheeted
949,Charge Sheeted
950,Closed
951,Undetected
952,Under Investigation
953,Closed
954,Charge Sheeted
955,Undetected
956,Undetected
957,Undetected
958,Charge Sheeted
959,Charge Sheeted
960,Charge Sheeted
961,Undetected
962,Charge Sheeted
963,Undetected
964,Charge Sheeted
965,Closed
966,Closed
967,Under Investigation
968,Undetected
969,Closed
970,Closed
971,Under Investigation
972,Charge Sheeted
973,Closed
974,Closed
975,Under Investigation
976,Closed
977,Under Investigation
978,Undetected
979,Undetected
980,Undetected
981,Under Investigation
982,Charge Sheeted
983,Closed
984,Charge Sheeted
985,Undetected
986,Charge Sheeted
987,Closed
988,Undetected
989,Undetected
990,Undetected
991,Charge Sheeted
992,Charge Sheeted
993,Undetected
994,Closed
995,Undetected
996,Charge Sheeted
997,Undetected
998,Closed
999,Charge Sheeted
1000,Undetected
1001,Under Investigation
1002,Under Investigation
1003,Undetected
1004,Under Investigation
1005,Charge Sheeted
1006,Closed
1007,Under Investigation
1008,Closed
1009,Closed
1010,Closed
1011,Undetected
1012,Charge Sheeted
1013,Charge Sheeted
1014,Under Investigation
1015,Closed
1016,Closed
1017,Undetected
1018,Closed
1019,Closed
1020,Under Investigation
1021,Charge Sheeted
1022,Closed
1023,Closed
1024,Charge Sheeted
1025,Undetected
1026,Charge Sheeted
1027,Charge Sheeted
1028,Charge Sheeted
1029,Under Investigation
1030,Charge Sheeted
1031,Closed
1032,Closed
1033,Charge Sheeted
1034,Charge Sheeted
1035,Closed
1036,Under Investigation
1037,Charge Sheeted
1038,Closed
1039,Undetected
1040,Charge Sheeted
1041,Closed
1042,Undetected
1043,Charge Sheeted
1044,Undetected
1045,Closed
1046,Closed
1047,Undetected
1048,Under Investigation
1049,Closed
1050,Charge Sheeted
1051,Charge Sheeted
1052,Under Investigation
1053,Closed
1054,Closed
1055,Undetected
1056,Undetected
1057,Undetected
1058,Under Investigation
1059,Closed
1060,Charge Sheeted
1061,Undetected
1062,Under Investigation
1063,Under Investigation
1064,Under Investigation
1065,Under Investigation
1066,Under Investigation
1067,Under Investigation
1068,Under Investigation
1069,Undetected
1070,Under Investigation
1071,Closed
1072,Closed
1073,Charge Sheeted
1074,Undetected
1075,Under Investigation
1076,Closed
1077,Under Investigation
1078,Under Investigation
1079,Closed
1080,Charge Sheeted
1081,Undetected
1082,Charge Sheeted
1083,Under Investigation
1084,Closed
1085,Undetected
1086,Charge Sheeted
1087,Under Investigation
1088,Closed
1089,Undetected
1090,Charge Sheeted
1091,Under Investigation
1092,Charge Sheeted
1093,Under Investigation
1094,Undetected
1095,Charge Sheeted
1096,Charge Sheeted
1097,Closed
1098,Closed
1099,Under Investigation
1100,Under Investigation
1101,Charge Sheeted
1102,Undetected
1103,Under Investigation
1104,Undetected
1105,Undetected
1106,Charge Sheeted
1107,Under Investigation
1108,Charge Sheeted
1109,Charge Sheeted
1110,Under Investigation
1111,Under Investigation
1112,Under Investigation
1113,Closed
1114,Undetected
1115,Undetected
1116,Closed
1117,Under Investigation
1118,Undetected
1119,Charge Sheeted
1120,Undetected
1121,Charge Sheeted
1122,Closed
1123,Closed
1124,Charge Sheeted
1125,Charge Sheeted
1126,Under Investigation
1127,Closed
1128,Under Investigation
1129,Closed
1130,Closed
1131,Undetected
1132,Undetected
1133,Charge Sheeted
1134,Charge Sheeted
1135,Closed
1136,Under Investigation
1137,Under Investigation
1138,Closed
1139,Undetected
1140,Under Investigation
1141,Charge Sheeted
1142,Closed
1143,Undetected
1144,Under Investigation
1145,Undetected
1146,Closed
1147,Closed
1148,Undetected
1149,Under Investigation
1150,Charge Sheeted
1151,Closed
1152,Under Investigation
1153,Under Investigation
1154,Under Investigation
1155,Undetected
1156,Undetected
1157,Under Investigation
1158,Closed
1159,Under Investigation
1160,Under Investigation
1161,Charge Sheeted
1162,Undetected
1163,Undetected
1164,Charge Sheeted
1165,Closed
1166,Under Investigation
1167,Closed
1168,Under Investigation
1169,Closed
1170,Closed
1171,Undetected
1172,Closed
1173,Charge Sheeted
1174,Charge Sheeted
1175,Under Investigation
1176,Undetected
1177,Undetected
1178,Under Investigation
1179,Charge Sheeted
1180,Closed
1181,Charge Sheeted
1182,Under Investigation
1183,Undetected
1184,Undetected
1185,Charge Sheeted
1186,Undetected
1187,Undetected
1188,Under Investigation
1189,Undetected
1190,Undetected
1191,Undetected
1192,Under Investigation
1193,Undetected
1194,Undetected
1195,Undetected
1196,Closed
1197,Closed
1198,Charge Sheeted
1199,Undetected
1200,Closed
1201,Charge Sheeted
1202,Under Investigation
1203,Undetected
1204,Charge Sheeted
1205,Charge Sheeted
1206,Closed
1207,Undetected
1208,Under Investigation
1209,Closed
1210,Under Investigation
1211,Charge Sheeted
1212,Charge Sheeted
1213,Charge Sheeted
1214,Undetected
1215,Undetected
1216,Closed
1217,Charge Sheeted
1218,Under Investigation
1219,Under Investigation
1220,Under Investigation
1221,Under Investigation
1222,Under Investigation
1223,Under Investigation
1224,Charge Sheeted
1225,Under Investigation
1226,Closed
1227,Undetected
1228,Undetected
1229,Charge Sheeted
1230,Closed
1231,Closed
1232,Undetected
1233,Undetected
1234,Undetected
1235,Charge Sheeted
1236,Charge Sheeted
1237,Closed
1238,Closed
1239,Charge Sheeted
1240,Under Investigation
1241,Under Investigation
1242,Closed
1243,Closed
1244,Charge Sheeted
1245,Closed
1246,Charge Sheeted
1247,Undetected
1248,Undetected
1249,Undetected
1250,Charge Sheeted
1251,Closed
1252,Under Investigation
1253,Closed
1254,Closed
1255,Undetected
1256,Closed
1257,Charge Sheeted
1258,Undetected
1259,Undetected
1260,Under Investigation
1261,Undetected
1262,Closed
1263,Closed
1264,Undetected
1265,Charge Sheeted
1266,Undetected
1267,Closed
1268,Undetected
1269,Closed
1270,Charge Sheeted
1271,Undetected
1272,Closed
1273,Undetected
1274,Charge Sheeted
1275,Under Investigation
1276,Undetected
1277,Undetected
1278,Closed
1279,Under Investigation
1280,Under Investigation
1281,Under Investigation
1282,Undetected
1283,Charge Sheeted
1284,Undetected
1285,Closed
1286,Undetected
1287,Charge Sheeted
1288,Under Investigation
1289,Under Investigation
1290,Closed
1291,Charge Sheeted
1292,Under Investigation
1293,Under Investigation
1294,Undetected
1295,Charge Sheeted
1296,Undetected
1297,Charge Sheeted
1298,Undetected
1299,Under Investigation
1300,Under Investigation
1301,Charge Sheeted
1302,Undetected
1303,Closed
1304,Undetected
1305,Undetected
1306,Closed
1307,Charge Sheeted
1308,Charge Sheeted
1309,Charge Sheeted
1310,Charge Sheeted
1311,Charge Sheeted
1312,Under Investigation
1313,Closed
1314,Under Investigation
1315,Under Investigation
1316,Under Investigation
1317,Charge Sheeted
1318,Under Investigation
1319,Undetected
1320,Closed
1321,Charge Sheeted
1322,Charge Sheeted
1323,Undetected
1324,Charge Sheeted
1325,Under Investigation
1326,Closed
1327,Charge Sheeted
1328,Charge Sheeted
1329,Charge Sheeted
1330,Charge Sheeted
1331,Under Investigation
1332,Under Investigation
1333,Charge Sheeted
1334,Charge Sheeted
1335,Charge Sheeted
1336,Under Investigation
1337,Under Investigation
1338,Closed
1339,Undetected
1340,Charge Sheeted
1341,Under Investigation
1342,Undetected
1343,Under Investigation
1344,Under Investigation
1345,Charge Sheeted
1346,Closed
1347,Undetected
1348,Under Investigation
1349,Closed
1350,Under Investigation
1351,Charge Sheeted
1352,Undetected
1353,Under Investigation
1354,Closed
1355,Charge Sheeted
1356,Charge Sheeted
1357,Charge Sheeted
1358,Undetected
1359,Undetected
1360,Charge Sheeted
1361,Closed
1362,Charge Sheeted
1363,Charge Sheeted
1364,Closed
1365,Under Investigation
1366,Charge Sheeted
1367,Charge Sheeted
1368,Charge Sheeted
1369,Under Investigation
1370,Closed
1371,Under Investigation
1372,Closed
1373,Charge Sheeted
1374,Under Investigation
1375,Undetected
1376,Under Investigation
1377,Undetected
1378,Undetected
1379,Undetected
1380,Closed
1381,Closed
1382,Charge Sheeted
1383,Under Investigation
1384,Closed
1385,Under Investigation
1386,Charge Sheeted
1387,Closed
1388,Under Investigation
1389,Under Investigation
1390,Undetected
1391,Closed
1392,Undetected
1393,Closed
1394,Under Investigation
1395,Undetected
1396,Undetected
1397,Under Investigation
1398,Undetected
1399,Undetected
1400,Undetected
1401,Closed
1402,Closed
1403,Undetected
1404,Closed
1405,Closed
1406,Charge Sheeted
1407,Charge Sheeted
1408,Charge Sheeted
1409,Undetected
1410,Closed
1411,Under Investigation
1412,Undetected
1413,Closed
1414,Undetected
1415,Under Investigation
1416,Charge Sheeted
1417,Closed
1418,Undetected
1419,Undetected
1420,Undetected
1421,Under Investigation
1422,Under Investigation
1423,Under Investigation
1424,Undetected
1425,Closed
1426,Closed
1427,Charge Sheeted
1428,Under Investigation
1429,Charge Sheeted
1430,Undetected
1431,Charge Sheeted
1432,Under Investigation
1433,Undetected
1434,Under Investigation
1435,Undetected
1436,Undetected
1437,Under Investigation
1438,Charge Sheeted
1439,Charge Sheeted
1440,Undetected
1441,Closed
1442,Undetected
1443,Undetected
1444,Undetected
1445,Under Investigation
1446,Closed
1447,Under Investigation
1448,Undetected
1449,Under Investigation
1450,Closed
1451,Under Investigation
1452,Charge Sheeted
1453,Under Investigation
1454,Closed
1455,Charge Sheeted
1456,Undetected
1457,Undetected
1458,Closed
1459,Closed
1460,Under Investigation
1461,Undetected
1462,Closed
1463,Under Investigation
1464,Undetected
1465,Charge Sheeted
1466,Under Investigation
1467,Closed
1468,Closed
1469,Undetected
1470,Under Investigation
1471,Closed
1472,Closed
1473,Closed
1474,Closed
1475,Under Investigation
1476,Charge Sheeted
1477,Charge Sheeted
1478,Charge Sheeted
1479,Closed
1480,Undetected
1481,Under Investigation
1482,Charge Sheeted
1483,Closed
1484,Under Investigation
1485,Undetected
1486,Undetected
1487,Undetected
1488,Undetected
1489,Undetected
1490,Closed
1491,Closed
1492,Under Investigation
1493,Closed
1494,Undetected
1495,Under Investigation
1496,Closed
1497,Charge Sheeted
1498,Undetected
1499,Under Investigation
1500,Undetected
1501,Charge Sheeted
1502,Charge Sheeted
1503,Undetected
1504,Undetected
1505,Undetected
1506,Closed
1507,Under Investigation
1508,Closed
1509,Charge Sheeted
1510,Closed
1511,Charge Sheeted
1512,Charge Sheeted
1513,Undetected
1514,Closed
1515,Closed
1516,Charge Sheeted
1517,Closed
1518,Under Investigation
1519,Charge Sheeted
1520,Closed
1521,Charge Sheeted
1522,Undetected
1523,Undetected
1524,Closed
1525,Undetected
1526,Under Investigation
1527,Undetected
1528,Closed
1529,Charge Sheeted
1530,Charge Sheeted
1531,Undetected
1532,Undetected
1533,Under Investigation
1534,Charge Sheeted
1535,Under Investigation
1536,Closed
1537,Undetected
1538,Undetected
1539,Undetected
1540,Under Investigation
1541,Undetected
1542,Charge Sheeted
1543,Charge Sheeted
1544,Under Investigation
1545,Undetected
1546,Undetected
1547,Closed
1548,Undetected
1549,Charge Sheeted
1550,Charge Sheeted
1551,Undetected
1552,Charge Sheeted
1553,Under Investigation
1554,Under Investigation
1555,Undetected
1556,Undetected
1557,Under Investigation
1558,Under Investigation
1559,Undetected
1560,Closed
1561,Under Investigation
1562,Charge Sheeted
1563,Undetected
1564,Under Investigation
1565,Undetected
1566,Undetected
1567,Under Investigation
1568,Charge Sheeted
1569,Charge Sheeted
1570,Closed
1571,Charge Sheeted
1572,Under Investigation
1573,Under Investigation
1574,Under Investigation
1575,Closed
1576,Under Investigation
1577,Closed
1578,Closed
1579,Closed
1580,Undetected
1581,Under Investigation
1582,Under Investigation
1583,Undetected
1584,Undetected
1585,Charge Sheeted
1586,Closed
1587,Undetected
1588,Under Investigation
1589,Undetected
1590,Undetected
1591,Undetected
1592,Undetected
1593,Undetected
1594,Under Investigation
1595,Charge Sheeted
1596,Closed
1597,Under Investigation
1598,Charge Sheeted
1599,Under Investigation
1600,Charge Sheeted
1601,Charge Sheeted
1602,Closed
1603,Charge Sheeted
1604,Under Investigation
1605,Charge Sheeted
1606,Closed
1607,Under Investigation
1608,Charge Sheeted
1609,Charge Sheeted
1610,Undetected
1611,Closed
1612,Under Investigation
1613,Undetected
1614,Closed
1615,Undetected
