ActCode,ActDescription,ShortName,Active
A140,NDPS Act,NDPS,True
A141,"Information Technology Act, 2000",IT Act,True
A142,"Indian Penal Code, 1860",IPC,True
A143,NDPS Act,NDPS,True
A144,"Motor Vehicles Act, 1988",MV Act,True
A145,Arms Act,Arms Act,True
A146,Arms Act,Arms Act,True
A147,"Indian Penal Code, 1860",IPC,True
A148,"Information Technology Act, 2000",IT Act,True
A149,POCSO Act,POCSO,True
A150,"Indian Penal Code, 1860",IPC,True
A151,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A152,POCSO Act,POCSO,True
A153,POCSO Act,POCSO,True
A154,NDPS Act,NDPS,True
A155,"Motor Vehicles Act, 1988",MV Act,True
A156,"Motor Vehicles Act, 1988",MV Act,True
A157,"Indian Penal Code, 1860",IPC,True
A158,POCSO Act,POCSO,True
A159,"Indian Penal Code, 1860",IPC,True
A160,NDPS Act,NDPS,True
A161,Arms Act,Arms Act,True
A162,POCSO Act,POCSO,True
A163,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A164,"Motor Vehicles Act, 1988",MV Act,True
A165,POCSO Act,POCSO,True
A166,"Indian Penal Code, 1860",IPC,True
A167,Arms Act,Arms Act,True
A168,Arms Act,Arms Act,True
A169,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A170,"Information Technology Act, 2000",IT Act,True
A171,POCSO Act,POCSO,True
A172,"Information Technology Act, 2000",IT Act,True
A173,Arms Act,Arms Act,True
A174,NDPS Act,NDPS,True
A175,POCSO Act,POCSO,True
A176,"Information Technology Act, 2000",IT Act,True
A177,"Indian Penal Code, 1860",IPC,True
A178,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A179,"Information Technology Act, 2000",IT Act,True
A180,"Information Technology Act, 2000",IT Act,True
A181,POCSO Act,POCSO,True
A182,"Indian Penal Code, 1860",IPC,True
A183,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A184,"Indian Penal Code, 1860",IPC,True
A185,Arms Act,Arms Act,True
A186,Arms Act,Arms Act,True
A187,POCSO Act,POCSO,True
A188,"Indian Penal Code, 1860",IPC,True
A189,"Motor Vehicles Act, 1988",MV Act,True
A190,POCSO Act,POCSO,True
A191,Arms Act,Arms Act,True
A192,"Motor Vehicles Act, 1988",MV Act,True
A193,"Information Technology Act, 2000",IT Act,True
A194,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A195,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A196,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A197,"Information Technology Act, 2000",IT Act,True
A198,POCSO Act,POCSO,True
A199,NDPS Act,NDPS,True
A200,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A201,Arms Act,Arms Act,True
A202,POCSO Act,POCSO,True
A203,Arms Act,Arms Act,True
A204,Arms Act,Arms Act,True
A205,Arms Act,Arms Act,True
A206,"Indian Penal Code, 1860",IPC,True
A207,"Motor Vehicles Act, 1988",MV Act,True
A208,"Indian Penal Code, 1860",IPC,True
A209,"Information Technology Act, 2000",IT Act,True
A210,NDPS Act,NDPS,True
A211,"Motor Vehicles Act, 1988",MV Act,True
A212,Arms Act,Arms Act,True
A213,Arms Act,Arms Act,True
A214,"Indian Penal Code, 1860",IPC,True
A215,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A216,"Motor Vehicles Act, 1988",MV Act,False
A217,NDPS Act,NDPS,True
A218,NDPS Act,NDPS,True
A219,"Indian Penal Code, 1860",IPC,False
A220,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A221,Arms Act,Arms Act,True
A222,"Information Technology Act, 2000",IT Act,True
A223,"Indian Penal Code, 1860",IPC,True
A224,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A225,POCSO Act,POCSO,True
A226,"Indian Penal Code, 1860",IPC,True
A227,NDPS Act,NDPS,True
A228,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A229,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A230,NDPS Act,NDPS,True
A231,"Indian Penal Code, 1860",IPC,True
A232,"Indian Penal Code, 1860",IPC,True
A233,"Information Technology Act, 2000",IT Act,True
A234,"Motor Vehicles Act, 1988",MV Act,True
A235,"Indian Penal Code, 1860",IPC,True
A236,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A237,NDPS Act,NDPS,True
A238,NDPS Act,NDPS,True
A239,Arms Act,Arms Act,True
A240,"Information Technology Act, 2000",IT Act,True
A241,Arms Act,Arms Act,True
A242,NDPS Act,NDPS,False
A243,NDPS Act,NDPS,True
A244,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A245,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A246,"Information Technology Act, 2000",IT Act,True
A247,Arms Act,Arms Act,True
A248,"Information Technology Act, 2000",IT Act,True
A249,NDPS Act,NDPS,True
A250,"Indian Penal Code, 1860",IPC,True
A251,"Motor Vehicles Act, 1988",MV Act,True
A252,"Information Technology Act, 2000",IT Act,True
A253,NDPS Act,NDPS,False
A254,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A255,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A256,POCSO Act,POCSO,True
A257,"Information Technology Act, 2000",IT Act,True
A258,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A259,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A260,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A261,"Indian Penal Code, 1860",IPC,True
A262,Arms Act,Arms Act,True
A263,"Motor Vehicles Act, 1988",MV Act,True
A264,"Motor Vehicles Act, 1988",MV Act,True
A265,POCSO Act,POCSO,True
A266,"Indian Penal Code, 1860",IPC,True
A267,"Indian Penal Code, 1860",IPC,True
A268,"Motor Vehicles Act, 1988",MV Act,True
A269,"Indian Penal Code, 1860",IPC,True
A270,NDPS Act,NDPS,False
A271,Arms Act,Arms Act,True
A272,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A273,"Motor Vehicles Act, 1988",MV Act,True
A274,"Motor Vehicles Act, 1988",MV Act,True
A275,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A276,"Motor Vehicles Act, 1988",MV Act,True
A277,"Information Technology Act, 2000",IT Act,True
A278,NDPS Act,NDPS,True
A279,"Information Technology Act, 2000",IT Act,True
A280,NDPS Act,NDPS,True
A281,POCSO Act,POCSO,True
A282,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A283,"Information Technology Act, 2000",IT Act,True
A284,"Indian Penal Code, 1860",IPC,True
A285,"Indian Penal Code, 1860",IPC,True
A286,"Indian Penal Code, 1860",IPC,True
A287,"Information Technology Act, 2000",IT Act,True
A288,POCSO Act,POCSO,True
A289,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A290,"Motor Vehicles Act, 1988",MV Act,True
A291,Arms Act,Arms Act,True
A292,"Information Technology Act, 2000",IT Act,True
A293,POCSO Act,POCSO,True
A294,NDPS Act,NDPS,True
A295,POCSO Act,POCSO,True
A296,Arms Act,Arms Act,True
A297,"Indian Penal Code, 1860",IPC,True
A298,POCSO Act,POCSO,True
A299,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A300,"Information Technology Act, 2000",IT Act,True
A301,"Motor Vehicles Act, 1988",MV Act,True
A302,NDPS Act,NDPS,True
A303,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A304,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A305,Arms Act,Arms Act,True
A306,NDPS Act,NDPS,True
A307,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A308,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A309,"Motor Vehicles Act, 1988",MV Act,True
A310,Arms Act,Arms Act,True
A311,"Information Technology Act, 2000",IT Act,True
A312,"Motor Vehicles Act, 1988",MV Act,True
A313,"Indian Penal Code, 1860",IPC,True
A314,"Information Technology Act, 2000",IT Act,True
A315,POCSO Act,POCSO,True
A316,NDPS Act,NDPS,True
A317,"Indian Penal Code, 1860",IPC,True
A318,"Motor Vehicles Act, 1988",MV Act,True
A319,NDPS Act,NDPS,True
A320,"Information Technology Act, 2000",IT Act,True
A321,Arms Act,Arms Act,True
A322,POCSO Act,POCSO,True
A323,Arms Act,Arms Act,True
A324,"Motor Vehicles Act, 1988",MV Act,True
A325,"Information Technology Act, 2000",IT Act,True
A326,POCSO Act,POCSO,True
A327,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A328,POCSO Act,POCSO,True
A329,Arms Act,Arms Act,True
A330,"Indian Penal Code, 1860",IPC,True
A331,Arms Act,Arms Act,False
A332,"Indian Penal Code, 1860",IPC,True
A333,"Indian Penal Code, 1860",IPC,True
A334,"Motor Vehicles Act, 1988",MV Act,True
A335,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A336,"Indian Penal Code, 1860",IPC,True
A337,"Indian Penal Code, 1860",IPC,True
A338,"Indian Penal Code, 1860",IPC,True
A339,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A340,POCSO Act,POCSO,True
A341,NDPS Act,NDPS,True
A342,POCSO Act,POCSO,True
A343,POCSO Act,POCSO,True
A344,"Information Technology Act, 2000",IT Act,True
A345,"Motor Vehicles Act, 1988",MV Act,True
A346,Arms Act,Arms Act,True
A347,"Motor Vehicles Act, 1988",MV Act,True
A348,"Motor Vehicles Act, 1988",MV Act,True
A349,NDPS Act,NDPS,True
A350,Arms Act,Arms Act,True
A351,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A352,Arms Act,Arms Act,True
A353,"Motor Vehicles Act, 1988",MV Act,True
A354,"Indian Penal Code, 1860",IPC,True
A355,"Information Technology Act, 2000",IT Act,True
A356,POCSO Act,POCSO,False
A357,"Motor Vehicles Act, 1988",MV Act,True
A358,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A359,"Information Technology Act, 2000",IT Act,True
A360,NDPS Act,NDPS,True
A361,POCSO Act,POCSO,True
A362,POCSO Act,POCSO,True
A363,Arms Act,Arms Act,True
A364,Arms Act,Arms Act,True
A365,NDPS Act,NDPS,True
A366,POCSO Act,POCSO,False
A367,"Motor Vehicles Act, 1988",MV Act,True
A368,"Information Technology Act, 2000",IT Act,True
A369,"Indian Penal Code, 1860",IPC,True
A370,POCSO Act,POCSO,True
A371,POCSO Act,POCSO,True
A372,"Indian Penal Code, 1860",IPC,True
A373,"Indian Penal Code, 1860",IPC,False
A374,"Motor Vehicles Act, 1988",MV Act,True
A375,POCSO Act,POCSO,True
A376,"Information Technology Act, 2000",IT Act,True
A377,NDPS Act,NDPS,True
A378,"Information Technology Act, 2000",IT Act,True
A379,"Information Technology Act, 2000",IT Act,True
A380,"Information Technology Act, 2000",IT Act,True
A381,"Indian Penal Code, 1860",IPC,True
A382,"Information Technology Act, 2000",IT Act,True
A383,"Information Technology Act, 2000",IT Act,True
A384,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A385,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A386,POCSO Act,POCSO,True
A387,POCSO Act,POCSO,True
A388,Arms Act,Arms Act,True
A389,"Information Technology Act, 2000",IT Act,True
A390,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A391,POCSO Act,POCSO,True
A392,"Motor Vehicles Act, 1988",MV Act,True
A393,"Motor Vehicles Act, 1988",MV Act,True
A394,"Information Technology Act, 2000",IT Act,True
A395,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A396,Arms Act,Arms Act,True
A397,POCSO Act,POCSO,True
A398,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A399,POCSO Act,POCSO,True
A400,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A401,NDPS Act,NDPS,True
A402,POCSO Act,POCSO,True
A403,Arms Act,Arms Act,True
A404,Arms Act,Arms Act,True
A405,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A406,NDPS Act,NDPS,True
A407,NDPS Act,NDPS,True
A408,"Motor Vehicles Act, 1988",MV Act,True
A409,"Information Technology Act, 2000",IT Act,True
A410,"Information Technology Act, 2000",IT Act,True
A411,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A412,POCSO Act,POCSO,True
A413,NDPS Act,NDPS,True
A414,NDPS Act,NDPS,True
A415,"Indian Penal Code, 1860",IPC,True
A416,"Motor Vehicles Act, 1988",MV Act,True
A417,POCSO Act,POCSO,True
A418,POCSO Act,POCSO,True
A419,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A420,SC/ST Prevention of Atrocities Act,SC/ST Act,False
A421,"Motor Vehicles Act, 1988",MV Act,True
A422,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A423,NDPS Act,NDPS,True
A424,"Information Technology Act, 2000",IT Act,True
A425,"Motor Vehicles Act, 1988",MV Act,True
A426,"Motor Vehicles Act, 1988",MV Act,True
A427,"Indian Penal Code, 1860",IPC,True
A428,"Information Technology Act, 2000",IT Act,True
A429,"Motor Vehicles Act, 1988",MV Act,True
A430,NDPS Act,NDPS,True
A431,"Information Technology Act, 2000",IT Act,True
A432,"Indian Penal Code, 1860",IPC,True
A433,Arms Act,Arms Act,True
A434,POCSO Act,POCSO,False
A435,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A436,"Indian Penal Code, 1860",IPC,False
A437,"Motor Vehicles Act, 1988",MV Act,True
A438,NDPS Act,NDPS,True
A439,"Indian Penal Code, 1860",IPC,True
A440,Arms Act,Arms Act,True
A441,"Indian Penal Code, 1860",IPC,True
A442,NDPS Act,NDPS,True
A443,"Indian Penal Code, 1860",IPC,True
A444,"Indian Penal Code, 1860",IPC,True
A445,"Information Technology Act, 2000",IT Act,True
A446,"Indian Penal Code, 1860",IPC,True
A447,NDPS Act,NDPS,True
A448,POCSO Act,POCSO,True
A449,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A450,"Information Technology Act, 2000",IT Act,True
A451,"Motor Vehicles Act, 1988",MV Act,True
A452,NDPS Act,NDPS,True
A453,"Motor Vehicles Act, 1988",MV Act,True
A454,"Information Technology Act, 2000",IT Act,True
A455,"Information Technology Act, 2000",IT Act,False
A456,NDPS Act,NDPS,True
A457,"Information Technology Act, 2000",IT Act,True
A458,POCSO Act,POCSO,True
A459,"Indian Penal Code, 1860",IPC,True
A460,Arms Act,Arms Act,True
A461,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A462,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A463,"Indian Penal Code, 1860",IPC,True
A464,Arms Act,Arms Act,True
A465,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A466,"Information Technology Act, 2000",IT Act,True
A467,"Motor Vehicles Act, 1988",MV Act,True
A468,Arms Act,Arms Act,True
A469,"Information Technology Act, 2000",IT Act,True
A470,"Information Technology Act, 2000",IT Act,True
A471,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A472,Arms Act,Arms Act,True
A473,NDPS Act,NDPS,True
A474,POCSO Act,POCSO,True
A475,NDPS Act,NDPS,True
A476,Arms Act,Arms Act,True
A477,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A478,NDPS Act,NDPS,True
A479,NDPS Act,NDPS,True
A480,"Motor Vehicles Act, 1988",MV Act,True
A481,NDPS Act,NDPS,True
A482,"Motor Vehicles Act, 1988",MV Act,True
A483,"Motor Vehicles Act, 1988",MV Act,True
A484,"Motor Vehicles Act, 1988",MV Act,True
A485,NDPS Act,NDPS,True
A486,"Motor Vehicles Act, 1988",MV Act,True
A487,POCSO Act,POCSO,True
A488,"Indian Penal Code, 1860",IPC,True
A489,NDPS Act,NDPS,False
A490,NDPS Act,NDPS,True
A491,NDPS Act,NDPS,True
A492,NDPS Act,NDPS,True
A493,Arms Act,Arms Act,False
A494,POCSO Act,POCSO,True
A495,NDPS Act,NDPS,True
A496,POCSO Act,POCSO,True
A497,Arms Act,Arms Act,True
A498,POCSO Act,POCSO,True
A499,Arms Act,Arms Act,True
A500,POCSO Act,POCSO,True
A501,"Information Technology Act, 2000",IT Act,True
A502,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A503,"Motor Vehicles Act, 1988",MV Act,True
A504,NDPS Act,NDPS,True
A505,NDPS Act,NDPS,True
A506,Arms Act,Arms Act,True
A507,Arms Act,Arms Act,True
A508,Arms Act,Arms Act,True
A509,POCSO Act,POCSO,True
A510,"Information Technology Act, 2000",IT Act,True
A511,"Motor Vehicles Act, 1988",MV Act,True
A512,NDPS Act,NDPS,True
A513,NDPS Act,NDPS,True
A514,"Indian Penal Code, 1860",IPC,True
A515,POCSO Act,POCSO,True
A516,Arms Act,Arms Act,True
A517,POCSO Act,POCSO,True
A518,Arms Act,Arms Act,False
A519,"Indian Penal Code, 1860",IPC,True
A520,"Indian Penal Code, 1860",IPC,True
A521,POCSO Act,POCSO,True
A522,NDPS Act,NDPS,True
A523,"Information Technology Act, 2000",IT Act,True
A524,Arms Act,Arms Act,True
A525,NDPS Act,NDPS,True
A526,Arms Act,Arms Act,True
A527,"Information Technology Act, 2000",IT Act,True
A528,"Information Technology Act, 2000",IT Act,False
A529,"Information Technology Act, 2000",IT Act,True
A530,NDPS Act,NDPS,True
A531,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A532,Arms Act,Arms Act,False
A533,NDPS Act,NDPS,False
A534,"Motor Vehicles Act, 1988",MV Act,True
A535,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A536,POCSO Act,POCSO,True
A537,POCSO Act,POCSO,True
A538,Arms Act,Arms Act,False
A539,Arms Act,Arms Act,True
A540,"Motor Vehicles Act, 1988",MV Act,True
A541,Arms Act,Arms Act,True
A542,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A543,Arms Act,Arms Act,True
A544,POCSO Act,POCSO,True
A545,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A546,"Motor Vehicles Act, 1988",MV Act,True
A547,"Information Technology Act, 2000",IT Act,True
A548,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A549,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A550,"Information Technology Act, 2000",IT Act,True
A551,SC/ST Prevention of Atrocities Act,SC/ST Act,False
A552,"Information Technology Act, 2000",IT Act,True
A553,Arms Act,Arms Act,True
A554,POCSO Act,POCSO,True
A555,Arms Act,Arms Act,True
A556,Arms Act,Arms Act,True
A557,Arms Act,Arms Act,True
A558,NDPS Act,NDPS,True
A559,NDPS Act,NDPS,True
A560,"Indian Penal Code, 1860",IPC,True
A561,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A562,POCSO Act,POCSO,True
A563,"Indian Penal Code, 1860",IPC,True
A564,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A565,POCSO Act,POCSO,True
A566,Arms Act,Arms Act,True
A567,"Indian Penal Code, 1860",IPC,True
A568,POCSO Act,POCSO,True
A569,NDPS Act,NDPS,True
A570,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A571,"Indian Penal Code, 1860",IPC,True
A572,POCSO Act,POCSO,True
A573,POCSO Act,POCSO,False
A574,"Motor Vehicles Act, 1988",MV Act,True
A575,"Indian Penal Code, 1860",IPC,True
A576,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A577,Arms Act,Arms Act,True
A578,"Information Technology Act, 2000",IT Act,True
A579,Arms Act,Arms Act,True
A580,POCSO Act,POCSO,True
A581,"Motor Vehicles Act, 1988",MV Act,True
A582,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A583,POCSO Act,POCSO,True
A584,POCSO Act,POCSO,True
A585,"Information Technology Act, 2000",IT Act,False
A586,Arms Act,Arms Act,True
A587,"Motor Vehicles Act, 1988",MV Act,True
A588,POCSO Act,POCSO,True
A589,NDPS Act,NDPS,True
A590,"Motor Vehicles Act, 1988",MV Act,True
A591,"Motor Vehicles Act, 1988",MV Act,True
A592,"Motor Vehicles Act, 1988",MV Act,True
A593,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A594,NDPS Act,NDPS,True
A595,NDPS Act,NDPS,True
A596,"Information Technology Act, 2000",IT Act,True
A597,Arms Act,Arms Act,True
A598,"Motor Vehicles Act, 1988",MV Act,True
A599,"Indian Penal Code, 1860",IPC,True
A600,POCSO Act,POCSO,True
A601,Arms Act,Arms Act,True
A602,"Motor Vehicles Act, 1988",MV Act,True
A603,"Motor Vehicles Act, 1988",MV Act,True
A604,"Information Technology Act, 2000",IT Act,True
A605,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A606,"Indian Penal Code, 1860",IPC,True
A607,"Motor Vehicles Act, 1988",MV Act,True
A608,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A609,"Motor Vehicles Act, 1988",MV Act,True
A610,NDPS Act,NDPS,True
A611,POCSO Act,POCSO,True
A612,"Motor Vehicles Act, 1988",MV Act,True
A613,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A614,"Indian Penal Code, 1860",IPC,False
A615,"Indian Penal Code, 1860",IPC,True
A616,Arms Act,Arms Act,True
A617,"Motor Vehicles Act, 1988",MV Act,True
A618,Arms Act,Arms Act,True
A619,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A620,"Information Technology Act, 2000",IT Act,True
A621,NDPS Act,NDPS,False
A622,"Information Technology Act, 2000",IT Act,True
A623,"Motor Vehicles Act, 1988",MV Act,True
A624,"Motor Vehicles Act, 1988",MV Act,True
A625,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A626,Arms Act,Arms Act,True
A627,"Information Technology Act, 2000",IT Act,True
A628,"Motor Vehicles Act, 1988",MV Act,True
A629,"Indian Penal Code, 1860",IPC,True
A630,NDPS Act,NDPS,True
A631,NDPS Act,NDPS,True
A632,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A633,"Indian Penal Code, 1860",IPC,True
A634,"Motor Vehicles Act, 1988",MV Act,True
A635,"Indian Penal Code, 1860",IPC,True
