CrimeSubHeadID,CrimeHeadID,CrimeHeadName,SeqID
121,49352,Rape_121,16
122,55999,Rape_122,5
123,75886,Dacoity_123,26
124,71183,Theft_124,43
125,13580,Murder_125,36
126,16585,Dacoity_126,32
127,77913,Grievous Hurt_127,10
128,89419,Robbery_128,8
129,59353,Murder_129,40
130,33820,Theft_130,26
131,63740,Grievous Hurt_131,37
132,83690,Robbery_132,40
133,31605,Theft_133,44
134,87095,Cheating & Forgery_134,39
135,41773,Robbery_135,38
136,82556,Grievous Hurt_136,5
137,36889,Robbery_137,41
138,14867,Dacoity_138,36
139,41280,Murder_139,2
140,57754,Robbery_140,41
141,86726,Murder_141,46
142,98297,Grievous Hurt_142,18
143,77649,Dacoity_143,15
144,45021,Dacoity_144,4
145,89376,Dacoity_145,14
146,2893,Murder_146,13
147,71794,Murder_147,25
148,23523,Grievous Hurt_148,33
149,26162,Extortion_149,13
150,71354,Extortion_150,13
151,66098,Extortion_151,6
152,57551,Rape_152,38
153,38795,Kidnapping_153,45
154,78981,Extortion_154,37
155,75385,Theft_155,31
156,8288,Dacoity_156,24
157,16311,Hacking_157,15
158,63364,Hacking_158,44
159,50708,Extortion_159,22
160,5342,Extortion_160,13
161,64854,Cheating & Forgery_161,25
162,63919,Hacking_162,28
163,5278,Kidnapping_163,7
164,45681,Murder_164,7
165,93412,Theft_165,4
166,60287,Hacking_166,3
167,9386,Grievous Hurt_167,4
168,95406,Grievous Hurt_168,8
169,80540,Robbery_169,10
170,35025,Grievous Hurt_170,17
171,55396,Extortion_171,45
172,84395,Grievous Hurt_172,31
173,61829,Cheating & Forgery_173,35
174,26298,Robbery_174,38
175,932,Murder_175,29
176,85134,Rape_176,10
177,60933,Robbery_177,1
178,82472,Hacking_178,4
179,86020,Robbery_179,47
180,34533,Grievous Hurt_180,27
181,97564,Kidnapping_181,47
182,28852,Hacking_182,21
183,9381,Cheating & Forgery_183,44
184,59649,Extortion_184,27
185,34056,Cheating & Forgery_185,11
186,25416,Extortion_186,46
187,4516,Dacoity_187,40
188,96362,Theft_188,31
189,97506,Hacking_189,42
190,41454,Extortion_190,6
191,50300,Kidnapping_191,15
192,99824,Robbery_192,40
193,81799,Grievous Hurt_193,34
194,43673,Cheating & Forgery_194,49
195,45458,Robbery_195,5
196,81938,Extortion_196,41
197,44798,Dacoity_197,28
198,67541,Rape_198,20
199,64376,Rape_199,18
200,47444,Grievous Hurt_200,44
201,76053,Grievous Hurt_201,23
202,98728,Rape_202,12
203,4641,Theft_203,48
204,65906,Dacoity_204,23
205,16483,Theft_205,6
206,2671,Robbery_206,14
207,46387,Murder_207,7
208,32386,Robbery_208,12
209,36126,Hacking_209,33
210,45465,Kidnapping_210,47
211,82516,Murder_211,17
212,17604,Kidnapping_212,2
213,65363,Dacoity_213,14
214,96780,Rape_214,36
215,23812,Theft_215,44
216,78563,Extortion_216,8
217,73531,Extortion_217,18
218,90625,Murder_218,1
219,18039,Kidnapping_219,46
220,94807,Murder_220,38
221,43736,Kidnapping_221,5
222,80422,Grievous Hurt_222,36
223,6918,Murder_223,49
224,64067,Dacoity_224,30
225,59874,Hacking_225,11
226,75258,Dacoity_226,39
227,83052,Dacoity_227,7
228,88243,Murder_228,16
229,18817,Rape_229,35
230,52745,Rape_230,2
231,65894,Rape_231,5
232,53512,Extortion_232,28
233,94958,Cheating & Forgery_233,4
234,74399,Rape_234,5
235,74616,Hacking_235,39
236,67153,Robbery_236,14
237,46472,Dacoity_237,20
238,26057,Grievous Hurt_238,23
239,40284,Theft_239,31
240,80157,Rape_240,32
241,9596,Grievous Hurt_241,29
242,92941,Hacking_242,21
243,37635,Rape_243,41
244,17222,Kidnapping_244,10
245,55020,Theft_245,25
246,11236,Theft_246,5
247,70656,Robbery_247,15
248,82465,Grievous Hurt_248,27
249,22141,Robbery_249,38
250,81895,Cheating & Forgery_250,45
251,901,Extortion_251,41
252,19862,Theft_252,1
253,50435,Extortion_253,10
254,56965,Kidnapping_254,31
255,64650,Grievous Hurt_255,19
256,36434,Cheating & Forgery_256,6
257,42316,Extortion_257,34
258,48340,Dacoity_258,26
259,38982,Cheating & Forgery_259,5
260,20603,Rape_260,12
261,19495,Rape_261,39
262,76948,Extortion_262,20
263,22210,Murder_263,4
264,64340,Murder_264,18
265,45519,Hacking_265,18
266,29223,Hacking_266,16
267,86561,Rape_267,31
268,93042,Murder_268,40
269,96239,Theft_269,39
270,53634,Hacking_270,26
271,89546,Theft_271,3
272,18474,Theft_272,48
273,66984,Rape_273,27
274,82489,Murder_274,13
275,25915,Kidnapping_275,46
276,68402,Kidnapping_276,46
277,2117,Robbery_277,20
278,77570,Dacoity_278,30
279,16073,Dacoity_279,19
280,13034,Grievous Hurt_280,35
281,56243,Hacking_281,9
282,8078,Hacking_282,6
283,28305,Hacking_283,14
284,83993,Dacoity_284,35
285,16274,Robbery_285,35
286,73952,Cheating & Forgery_286,29
287,94379,Murder_287,3
288,64659,Extortion_288,31
289,86645,Robbery_289,24
290,19133,Cheating & Forgery_290,49
291,64578,Robbery_291,31
292,65733,Murder_292,19
293,60205,Robbery_293,34
294,37723,Grievous Hurt_294,18
295,24647,Grievous Hurt_295,19
296,58056,Kidnapping_296,21
297,60952,Dacoity_297,45
298,37099,Robbery_298,31
299,46022,Dacoity_299,34
300,44666,Extortion_300,11
301,47005,Rape_301,44
302,41358,Robbery_302,3
303,44392,Murder_303,34
304,97752,Rape_304,15
305,75692,Extortion_305,31
306,166,Rape_306,32
307,11034,Hacking_307,40
308,28471,Kidnapping_308,31
309,79375,Murder_309,40
310,85428,Hacking_310,22
311,27112,Hacking_311,39
312,90363,Kidnapping_312,17
313,56681,Grievous Hurt_313,36
314,35699,Kidnapping_314,47
315,9938,Dacoity_315,11
316,39090,Robbery_316,41
317,53538,Robbery_317,33
318,52675,Grievous Hurt_318,20
319,21356,Rape_319,17
320,63603,Rape_320,4
321,33398,Murder_321,27
322,69563,Extortion_322,28
323,59397,Rape_323,44
324,90912,Robbery_324,44
325,29922,Grievous Hurt_325,5
326,43032,Rape_326,33
327,2473,Kidnapping_327,19
328,10613,Kidnapping_328,14
329,73966,Theft_329,3
330,21692,Murder_330,9
331,63277,Theft_331,17
332,73190,Kidnapping_332,14
333,95983,Rape_333,14
334,28161,Rape_334,17
335,94788,Kidnapping_335,34
336,76106,Cheating & Forgery_336,25
337,3790,Rape_337,44
338,94337,Dacoity_338,16
339,77973,Cheating & Forgery_339,28
340,30549,Grievous Hurt_340,32
341,21058,Theft_341,48
342,58113,Dacoity_342,7
343,96053,Extortion_343,37
344,82395,Theft_344,44
345,49385,Robbery_345,34
346,32835,Dacoity_346,2
347,63035,Dacoity_347,42
348,205,Murder_348,44
349,54731,Robbery_349,43
350,84539,Hacking_350,31
351,38390,Murder_351,35
352,51665,Hacking_352,21
353,92899,Dacoity_353,14
354,81947,Kidnapping_354,7
355,15584,Hacking_355,16
356,6854,Rape_356,35
357,70276,Cheating & Forgery_357,24
358,19522,Extortion_358,22
359,36842,Kidnapping_359,43
360,28245,Theft_360,45
361,7760,Dacoity_361,31
362,81104,Kidnapping_362,22
363,38759,Theft_363,17
364,11486,Kidnapping_364,1
365,15196,Dacoity_365,26
366,96680,Dacoity_366,34
367,39952,Rape_367,1
368,2448,Theft_368,12
369,42866,Cheating & Forgery_369,39
370,48528,Theft_370,4
371,27640,Hacking_371,22
372,87527,Dacoity_372,10
373,22750,Rape_373,20
374,78951,Dacoity_374,44
375,30414,Rape_375,6
376,57512,Dacoity_376,17
377,15843,Theft_377,24
378,8593,Cheating & Forgery_378,49
379,53623,Extortion_379,25
380,45774,Dacoity_380,38
381,63095,Rape_381,41
382,80013,Rape_382,47
383,25938,Extortion_383,28
384,66322,Grievous Hurt_384,22
385,9752,Robbery_385,23
386,4872,Kidnapping_386,23
387,48031,Hacking_387,16
388,28705,Dacoity_388,27
389,32457,Grievous Hurt_389,2
390,32794,Rape_390,12
391,24069,Hacking_391,19
392,62925,Robbery_392,38
393,65050,Dacoity_393,33
394,95794,Kidnapping_394,48
395,94219,Extortion_395,26
396,7997,Rape_396,30
397,80533,Grievous Hurt_397,46
398,89861,Kidnapping_398,43
399,98930,Cheating & Forgery_399,40
400,19421,Kidnapping_400,25
401,45340,Hacking_401,20
402,69500,Murder_402,15
403,94098,Rape_403,6
404,75866,Grievous Hurt_404,42
405,85726,Cheating & Forgery_405,27
406,84097,Extortion_406,10
407,73086,Dacoity_407,46
408,18147,Kidnapping_408,19
409,17253,Grievous Hurt_409,19
410,15547,Cheating & Forgery_410,39
411,23426,Cheating & Forgery_411,13
412,28984,Kidnapping_412,8
413,53130,Hacking_413,24
414,68846,Hacking_414,20
415,89216,Kidnapping_415,29
416,54556,Grievous Hurt_416,42
417,60649,Theft_417,45
418,88898,Murder_418,34
419,64395,Theft_419,17
420,53962,Grievous Hurt_420,30
421,57007,Hacking_421,49
422,42918,Extortion_422,30
423,54124,Murder_423,38
424,74423,Murder_424,49
425,20148,Murder_425,47
426,53631,Kidnapping_426,10
427,62547,Kidnapping_427,38
428,19520,Cheating & Forgery_428,22
429,68580,Theft_429,41
430,57704,Rape_430,17
431,63456,Robbery_431,14
432,92849,Theft_432,37
433,38896,Theft_433,18
434,14716,Cheating & Forgery_434,17
435,10836,Murder_435,24
436,42959,Theft_436,25
437,69008,Dacoity_437,45
438,91062,Extortion_438,45
439,43517,Grievous Hurt_439,38
440,50223,Rape_440,48
441,66069,Murder_441,15
442,46789,Kidnapping_442,31
443,59235,Hacking_443,41
444,34549,Murder_444,41
445,19328,Rape_445,14
446,86574,Grievous Hurt_446,9
447,46939,Dacoity_447,43
448,90662,Robbery_448,40
449,12879,Rape_449,6
450,50307,Cheating & Forgery_450,40
451,30001,Robbery_451,47
452,54496,Robbery_452,11
453,69410,Rape_453,1
454,65984,Extortion_454,41
455,37773,Rape_455,11
456,36731,Theft_456,8
457,74234,Kidnapping_457,41
458,34666,Grievous Hurt_458,22
459,14191,Cheating & Forgery_459,43
460,88566,Dacoity_460,36
461,84455,Dacoity_461,20
462,61076,Rape_462,2
463,73496,Rape_463,27
464,72792,Extortion_464,6
465,12034,Rape_465,25
466,98839,Grievous Hurt_466,20
467,45278,Cheating & Forgery_467,5
468,72037,Grievous Hurt_468,4
469,84883,Rape_469,30
470,64146,Theft_470,4
471,52009,Grievous Hurt_471,16
472,20174,Theft_472,23
473,39764,Hacking_473,22
474,66727,Dacoity_474,22
475,26060,Hacking_475,44
476,13977,Cheating & Forgery_476,42
477,17354,Cheating & Forgery_477,7
478,13860,Dacoity_478,3
479,62232,Grievous Hurt_479,40
480,40563,Extortion_480,44
481,54668,Kidnapping_481,5
482,30008,Extortion_482,8
483,4220,Robbery_483,22
484,31750,Kidnapping_484,25
485,13076,Rape_485,49
486,71419,Murder_486,38
487,32953,Cheating & Forgery_487,22
488,83032,Rape_488,13
489,57835,Murder_489,44
490,70683,Robbery_490,3
491,64887,Theft_491,39
492,25749,Kidnapping_492,29
493,77197,Kidnapping_493,24
494,89688,Robbery_494,33
495,6932,Kidnapping_495,44
496,8248,Cheating & Forgery_496,9
497,90629,Kidnapping_497,9
498,36968,Robbery_498,8
499,1939,Dacoity_499,8
500,87180,Grievous Hurt_500,7
501,70996,Grievous Hurt_501,40
502,68706,Murder_502,14
503,68176,Kidnapping_503,40
504,47737,Robbery_504,13
505,45005,Theft_505,8
506,41491,Rape_506,19
507,48263,Theft_507,11
508,30057,Extortion_508,49
509,47691,Grievous Hurt_509,40
510,80137,Extortion_510,36
511,76828,Rape_511,10
512,44952,Kidnapping_512,49
513,79313,Kidnapping_513,45
514,63614,Robbery_514,1
515,20699,Hacking_515,17
516,79044,Murder_516,11
517,30533,Robbery_517,10
518,34370,Robbery_518,8
519,59269,Extortion_519,7
520,45317,Robbery_520,10
521,11623,Cheating & Forgery_521,45
522,46196,Kidnapping_522,41
523,25240,Cheating & Forgery_523,43
524,46078,Dacoity_524,17
525,11804,Theft_525,19
526,47189,Theft_526,13
527,23696,Dacoity_527,26
528,40681,Murder_528,44
529,22430,Robbery_529,33
530,74871,Hacking_530,16
531,96785,Extortion_531,13
532,88081,Kidnapping_532,21
533,51010,Extortion_533,11
534,14630,Dacoity_534,23
535,89913,Dacoity_535,34
536,31301,Grievous Hurt_536,27
537,95749,Cheating & Forgery_537,41
538,79269,Kidnapping_538,35
539,44873,Extortion_539,40
540,47808,Robbery_540,43
541,14039,Kidnapping_541,44
542,23881,Theft_542,2
543,28247,Kidnapping_543,35
544,10144,Hacking_544,23
545,81903,Grievous Hurt_545,1
546,21551,Murder_546,40
547,21558,Hacking_547,21
548,94201,Kidnapping_548,33
549,91369,Dacoity_549,37
550,92360,Cheating & Forgery_550,47
551,5797,Murder_551,22
552,5210,Theft_552,42
553,87910,Rape_553,22
554,9990,Grievous Hurt_554,29
555,69386,Hacking_555,26
556,71335,Hacking_556,39
557,22264,Robbery_557,19
558,15222,Hacking_558,24
559,21790,Robbery_559,26
560,58961,Hacking_560,34
561,62415,Kidnapping_561,27
562,20067,Grievous Hurt_562,22
563,50303,Extortion_563,31
564,13689,Cheating & Forgery_564,18
565,94014,Theft_565,43
566,1366,Robbery_566,20
567,98764,Kidnapping_567,8
568,18788,Dacoity_568,32
569,32422,Hacking_569,22
570,73268,Hacking_570,31
571,19238,Hacking_571,10
572,54850,Cheating & Forgery_572,6
573,64353,Extortion_573,20
574,55020,Theft_574,36
575,50540,Extortion_575,28
576,70606,Hacking_576,39
577,58415,Rape_577,4
578,55732,Robbery_578,39
579,27966,Extortion_579,6
580,75162,Hacking_580,47
581,39983,Grievous Hurt_581,11
582,37368,Cheating & Forgery_582,21
583,27002,Kidnapping_583,1
584,96318,Theft_584,9
585,33481,Grievous Hurt_585,42
586,90399,Dacoity_586,36
587,8380,Hacking_587,28
588,64510,Rape_588,44
589,49816,Dacoity_589,47
590,58438,Cheating & Forgery_590,33
591,84772,Grievous Hurt_591,18
592,72043,Murder_592,26
593,71988,Grievous Hurt_593,33
594,3023,Kidnapping_594,31
595,88405,Extortion_595,26
596,26944,Cheating & Forgery_596,25
597,25762,Dacoity_597,6
598,99787,Dacoity_598,35
599,15864,Dacoity_599,45
600,65650,Grievous Hurt_600,24
601,79089,Dacoity_601,3
602,85929,Extortion_602,28
603,37343,Extortion_603,12
604,20011,Extortion_604,28
605,48433,Kidnapping_605,48
606,64910,Theft_606,42
607,14794,Murder_607,48
608,66766,Rape_608,47
609,14192,Murder_609,5
610,90952,Dacoity_610,23
611,75270,Dacoity_611,11
612,65178,Cheating & Forgery_612,25
613,27040,Hacking_613,24
614,72227,Cheating & Forgery_614,36
615,43255,Murder_615,41
616,9390,Kidnapping_616,19
617,57306,Extortion_617,27
618,42568,Dacoity_618,41
619,56615,Murder_619,14
620,26295,Grievous Hurt_620,29
621,96028,Rape_621,13
622,82776,Robbery_622,15
623,60170,Kidnapping_623,36
624,55275,Grievous Hurt_624,36
625,37045,Kidnapping_625,5
626,49413,Grievous Hurt_626,49
627,46026,Grievous Hurt_627,20
628,44974,Grievous Hurt_628,27
629,44115,Theft_629,38
630,78225,Extortion_630,49
631,97579,Rape_631,37
632,74996,Extortion_632,23
633,58226,Dacoity_633,37
634,10291,Theft_634,9
635,13447,Hacking_635,22
636,15712,Dacoity_636,35
637,87696,Hacking_637,21
638,85206,Dacoity_638,26
639,93460,Dacoity_639,16
640,88836,Hacking_640,32
641,64753,Hacking_641,4
642,28538,Robbery_642,28
643,77491,Hacking_643,14
644,32190,Robbery_644,16
645,63110,Hacking_645,14
646,65698,Rape_646,40
647,99840,Robbery_647,6
648,73039,Dacoity_648,45
649,68906,Rape_649,21
650,11550,Cheating & Forgery_650,11
651,98202,Robbery_651,24
652,46911,Murder_652,32
653,36384,Dacoity_653,25
654,77316,Dacoity_654,30
655,11557,Murder_655,49
656,23416,Rape_656,26
657,30408,Robbery_657,28
658,17692,Grievous Hurt_658,24
659,45229,Theft_659,39
660,64067,Cheating & Forgery_660,21
661,96717,Extortion_661,28
662,10686,Hacking_662,9
663,12463,Rape_663,28
664,21638,Kidnapping_664,44
665,99584,Extortion_665,32
666,55859,Hacking_666,25
667,66758,Extortion_667,44
668,9004,Murder_668,28
669,95218,Cheating & Forgery_669,32
670,79656,Murder_670,47
671,99730,Hacking_671,37
672,92193,Extortion_672,1
673,83382,Robbery_673,15
674,37194,Grievous Hurt_674,20
675,47122,Robbery_675,7
676,36678,Extortion_676,49
677,78847,Hacking_677,40
678,72220,Murder_678,30
679,54293,Dacoity_679,9
680,24164,Murder_680,17
681,51253,Dacoity_681,23
682,4256,Grievous Hurt_682,11
683,11501,Grievous Hurt_683,37
684,42780,Cheating & Forgery_684,47
685,46372,Extortion_685,11
686,97993,Cheating & Forgery_686,20
687,29409,Theft_687,9
688,94213,Theft_688,43
689,95900,Extortion_689,8
690,73536,Extortion_690,8
691,13515,Extortion_691,24
692,61525,Theft_692,15
693,29256,Kidnapping_693,27
694,92169,Hacking_694,8
695,79278,Cheating & Forgery_695,25
696,1844,Kidnapping_696,20
697,62752,Kidnapping_697,8
698,41425,Extortion_698,7
699,73692,Dacoity_699,14
700,35491,Rape_700,23
701,12130,Murder_701,15
702,66878,Kidnapping_702,9
703,17052,Robbery_703,46
704,66849,Extortion_704,2
705,60893,Kidnapping_705,25
706,88996,Murder_706,24
707,58082,Kidnapping_707,34
708,6980,Murder_708,10
709,86271,Hacking_709,43
710,41997,Extortion_710,47
711,66616,Kidnapping_711,37
712,53831,Dacoity_712,10
713,97775,Theft_713,35
714,60443,Grievous Hurt_714,46
715,15489,Cheating & Forgery_715,11
716,86331,Kidnapping_716,6
717,73333,Murder_717,4
718,73539,Extortion_718,19
719,48320,Grievous Hurt_719,29
720,48056,Grievous Hurt_720,46
721,78588,Dacoity_721,29
722,81450,Grievous Hurt_722,35
723,2964,Theft_723,25
724,48661,Rape_724,18
725,72007,Grievous Hurt_725,23
726,37280,Murder_726,23
727,52467,Hacking_727,33
728,35700,Kidnapping_728,44
729,19977,Dacoity_729,22
730,75483,Dacoity_730,4
731,36580,Theft_731,1
732,44518,Dacoity_732,25
733,26500,Rape_733,25
734,86871,Hacking_734,45
735,5909,Robbery_735,37
736,11603,Grievous Hurt_736,37
737,8548,Cheating & Forgery_737,37
738,84680,Cheating & Forgery_738,41
739,57445,Dacoity_739,43
740,89991,Cheating & Forgery_740,13
741,44532,Dacoity_741,35
742,40842,Theft_742,6
743,87239,Dacoity_743,27
744,88277,Extortion_744,7
745,75055,Grievous Hurt_745,36
746,67340,Kidnapping_746,20
747,83478,Hacking_747,35
748,26443,Robbery_748,8
749,51283,Murder_749,23
750,94849,Rape_750,47
751,88888,Rape_751,32
752,64249,Grievous Hurt_752,40
753,95606,Theft_753,21
754,79930,Theft_754,28
755,33723,Dacoity_755,21
756,26188,Kidnapping_756,49
757,5084,Cheating & Forgery_757,9
758,99462,Extortion_758,49
759,16186,Dacoity_759,3
760,15349,Kidnapping_760,33
761,20373,Cheating & Forgery_761,13
762,1942,Kidnapping_762,1
763,71145,Extortion_763,39
764,37672,Rape_764,14
765,91658,Kidnapping_765,43
766,94217,Kidnapping_766,44
767,33559,Theft_767,37
768,43089,Grievous Hurt_768,4
769,66722,Cheating & Forgery_769,42
770,93042,Robbery_770,20
771,28895,Theft_771,42
772,23610,Cheating & Forgery_772,34
773,87465,Theft_773,16
774,55264,Rape_774,46
775,81573,Murder_775,40
776,64569,Kidnapping_776,2
777,33834,Kidnapping_777,44
778,99887,Dacoity_778,17
779,40354,Grievous Hurt_779,17
780,93404,Kidnapping_780,49
781,30977,Kidnapping_781,47
782,83614,Murder_782,32
783,80065,Robbery_783,32
784,91143,Dacoity_784,3
785,58151,Grievous Hurt_785,33
786,53405,Grievous Hurt_786,7
787,61729,Theft_787,11
788,94158,Theft_788,14
789,17095,Grievous Hurt_789,16
790,51206,Dacoity_790,10
791,13716,Dacoity_791,33
792,4346,Robbery_792,22
793,59905,Dacoity_793,25
794,24131,Murder_794,37
795,55478,Robbery_795,13
796,92397,Theft_796,17
797,79466,Grievous Hurt_797,7
798,20345,Rape_798,39
799,59361,Rape_799,14
800,34039,Kidnapping_800,32
801,34646,Robbery_801,18
802,68769,Kidnapping_802,44
803,95658,Kidnapping_803,20
804,12640,Theft_804,24
805,25051,Rape_805,40
806,38156,Cheating & Forgery_806,39
807,88924,Rape_807,23
808,45871,Hacking_808,44
809,47807,Hacking_809,4
810,83377,Rape_810,15
811,11202,Dacoity_811,5
812,46618,Dacoity_812,6
813,86335,Grievous Hurt_813,20
814,98348,Hacking_814,22
815,18706,Theft_815,16
816,3824,Kidnapping_816,15
817,79510,Grievous Hurt_817,44
818,38306,Rape_818,14
819,87130,Grievous Hurt_819,8
820,96445,Hacking_820,23
821,28296,Grievous Hurt_821,32
822,30979,Dacoity_822,37
823,37816,Dacoity_823,26
824,97071,Murder_824,43
825,88358,Hacking_825,24
826,67228,Robbery_826,49
827,96614,Kidnapping_827,12
828,338,Extortion_828,43
829,8192,Grievous Hurt_829,1
830,65115,Kidnapping_830,23
831,36118,Hacking_831,1
832,7532,Theft_832,29
833,41598,Rape_833,1
834,76321,Kidnapping_834,41
835,82938,Extortion_835,37
836,96299,Murder_836,35
837,42561,Hacking_837,24
838,41563,Hacking_838,26
839,83885,Murder_839,14
840,3521,Kidnapping_840,28
841,22424,Murder_841,14
842,94950,Theft_842,38
843,45288,Grievous Hurt_843,45
844,99275,Grievous Hurt_844,18
845,33419,Dacoity_845,18
846,75999,Kidnapping_846,9
847,74234,Dacoity_847,8
848,8386,Kidnapping_848,25
849,94944,Theft_849,42
850,48392,Murder_850,39
851,76754,Dacoity_851,21
852,1034,Theft_852,10
853,55971,Dacoity_853,9
854,85247,Robbery_854,31
855,20713,Rape_855,21
856,2241,Murder_856,15
857,76393,Kidnapping_857,12
858,89900,Extortion_858,41
859,39287,Cheating & Forgery_859,27
860,59424,Rape_860,43
861,58454,Theft_861,14
862,86920,Grievous Hurt_862,12
863,56840,Kidnapping_863,24
864,60918,Cheating & Forgery_864,29
865,25460,Rape_865,48
866,79550,Cheating & Forgery_866,29
867,28862,Kidnapping_867,1
868,90717,Extortion_868,40
869,18075,Extortion_869,32
870,81441,Robbery_870,23
871,67246,Cheating & Forgery_871,1
872,61415,Robbery_872,14
873,25867,Dacoity_873,4
874,52377,Hacking_874,26
875,34655,Theft_875,1
876,64477,Extortion_876,43
877,74944,Kidnapping_877,22
878,32630,Theft_878,8
879,46001,Theft_879,28
880,37500,Cheating & Forgery_880,7
881,3333,Grievous Hurt_881,31
882,18091,Robbery_882,47
883,31555,Dacoity_883,23
884,37951,Kidnapping_884,30
885,94661,Murder_885,14
886,32240,Dacoity_886,26
887,32392,Theft_887,15
888,25689,Murder_888,35
889,1524,Dacoity_889,7
890,11424,Kidnapping_890,25
891,72843,Cheating & Forgery_891,32
892,34312,Hacking_892,2
893,7414,Grievous Hurt_893,40
894,6362,Murder_894,28
895,95770,Hacking_895,37
896,91086,Cheating & Forgery_896,32
897,80413,Grievous Hurt_897,43
898,92010,Grievous Hurt_898,29
899,7168,Rape_899,11
900,31207,Grievous Hurt_900,47
901,19055,Dacoity_901,42
902,94091,Extortion_902,20
903,61961,Rape_903,42
904,27378,Hacking_904,27
905,62421,Dacoity_905,1
906,30243,Theft_906,6
907,1477,Theft_907,4
908,69382,Murder_908,5
909,93186,Grievous Hurt_909,19
910,29669,Hacking_910,47
911,11113,Cheating & Forgery_911,31
912,5489,Kidnapping_912,22
913,60137,Theft_913,46
914,89421,Grievous Hurt_914,23
915,3138,Murder_915,10
916,20945,Theft_916,47
917,68938,Robbery_917,24
918,71817,Grievous Hurt_918,23
919,57393,Rape_919,35
920,41492,Rape_920,7
921,77779,Hacking_921,5
922,85536,Dacoity_922,45
923,91742,Hacking_923,3
924,1753,Robbery_924,30
925,70145,Murder_925,15
926,44962,Theft_926,40
927,44098,Dacoity_927,27
928,42096,Kidnapping_928,14
929,26012,Kidnapping_929,17
930,3901,Murder_930,48
931,30289,Dacoity_931,44
932,27606,Extortion_932,47
933,7491,Extortion_933,16
934,78295,Kidnapping_934,28
935,77216,Hacking_935,22
