CSID,CaseMasterID,csdate,cstype,PolicePersonID
66,82683,2022-09-05 11:11:07,A,65396
67,40206,2024-05-30 14:22:15,A,49793
68,59427,2024-03-13 16:49:09,A,5175
69,11295,2025-08-14 07:18:08,B,16540
70,85171,2022-12-29 18:29:59,C,88053
71,63349,2018-08-29 03:51:30,B,67418
72,24181,2026-10-17 21:50:36,A,65188
73,84046,2025-12-21 18:56:52,A,9350
74,75438,2021-09-08 04:22:25,A,59858
75,31006,2026-06-13 14:46:11,A,7821
76,65689,2021-04-22 14:36:24,A,41217
77,14527,2018-01-23 22:29:06,A,68043
78,88700,2026-05-02 00:33:05,A,16463
79,1131,2019-02-28 07:02:28,A,59536
80,76086,2025-08-23 23:50:54,A,35494
81,47904,2023-11-19 11:56:30,A,90509
82,50128,2024-11-01 12:00:11,A,92499
83,97148,2023-11-12 03:56:25,B,49462
84,27088,2018-12-29 02:30:11,A,33457
85,46389,2019-06-06 08:01:59,B,5500
86,72456,2022-11-08 20:37:49,A,11008
87,96274,2019-08-14 01:56:16,A,43706
88,19556,2018-12-08 01:52:08,A,99295
89,4893,2020-03-10 18:23:54,C,41862
90,75046,2021-06-14 05:27:55,A,52584
91,47841,2023-12-26 02:07:50,A,58389
92,57082,2025-07-05 01:03:33,A,89320
93,95921,2020-12-12 16:14:45,A,7864
94,36238,2022-04-26 12:46:50,A,8612
95,37503,2026-11-07 11:08:21,C,31293
96,37497,2021-01-28 20:36:46,B,71901
97,32365,2018-02-07 12:57:10,B,89661
98,33342,2025-03-25 21:04:11,A,7034
99,66844,2021-06-08 23:59:55,A,45654
100,86405,2021-09-27 10:51:59,C,86075
101,3144,2024-01-04 05:11:03,A,97741
102,24422,2018-11-22 01:18:53,A,77829
103,76195,2022-10-05 00:36:19,C,89649
104,12352,2020-04-30 02:16:23,A,58024
105,49522,2019-11-10 05:45:37,A,41664
106,61845,2022-11-08 16:55:42,C,51446
107,83202,2023-09-16 08:35:16,A,96560
108,71010,2026-08-25 15:38:11,A,38203
109,80131,2026-08-06 12:08:28,A,60383
110,87523,2018-11-30 14:10:40,A,83029
111,87699,2026-09-04 15:30:59,A,63361
112,40559,2022-07-30 18:59:01,A,43978
113,24543,2025-09-12 00:14:25,B,59372
114,20950,2023-03-15 05:22:22,A,99664
115,21717,2018-05-18 12:23:11,A,83395
116,61765,2025-08-22 22:22:25,A,87438
117,89214,2026-01-09 09:50:39,C,90408
118,60240,2026-01-21 14:01:00,A,69313
119,75012,2024-04-15 09:48:48,C,32426
120,55480,2026-04-22 16:34:54,A,18625
121,89186,2019-06-06 02:58:39,A,95687
122,66169,2020-06-03 02:06:55,A,24222
123,46325,2024-10-04 15:09:00,B,216
124,34921,2020-08-06 17:05:04,A,31166
125,8533,2026-10-20 00:17:46,A,64884
126,59766,2025-03-21 16:10:22,C,75982
127,73750,2024-10-26 08:56:00,B,53229
128,90665,2018-10-24 01:31:48,A,88912
129,6801,2026-02-12 14:16:50,A,29673
130,1107,2024-12-08 00:42:03,A,69877
131,98089,2018-12-27 00:05:17,A,72409
132,45991,2021-02-05 00:09:44,A,16755
133,56872,2021-01-07 08:49:13,C,64834
134,43817,2019-02-11 21:59:56,A,85505
135,27237,2021-03-09 16:41:17,A,32316
136,45859,2022-01-02 10:41:41,A,28534
137,84499,2019-09-08 18:51:54,C,74397
138,56770,2023-09-20 15:11:10,C,69395
139,74717,2025-10-19 07:45:56,A,56550
140,78838,2024-01-16 19:43:57,B,28159
141,51587,2022-02-07 19:51:52,A,29177
142,51690,2018-04-30 04:18:41,C,78716
143,42469,2019-01-17 14:25:09,A,21559
144,21731,2022-10-17 17:18:15,C,65603
145,22848,2024-09-21 02:51:44,A,57920
146,9028,2023-07-30 18:24:52,A,90897
147,60732,2019-10-20 12:10:32,A,99691
148,15661,2020-07-21 19:49:34,A,48299
149,42464,2019-07-02 13:38:40,B,26617
150,96443,2019-05-15 04:21:08,B,56378
151,11790,2022-12-28 07:15:24,A,32909
152,18948,2025-07-26 21:25:02,A,43062
153,99895,2025-11-07 05:12:14,C,78009
154,75417,2018-11-12 20:56:50,A,90608
155,56695,2023-02-21 10:45:29,B,77738
156,77832,2026-09-12 12:44:40,A,80430
157,20304,2018-12-14 13:48:53,A,99740
158,89146,2026-01-19 06:00:20,B,39154
159,59998,2020-12-20 12:07:15,C,5342
160,45479,2024-02-05 01:20:54,C,50428
161,51835,2021-05-19 10:46:44,A,96279
162,29219,2025-10-08 00:15:55,A,22767
163,20862,2019-11-23 14:46:49,A,33006
164,48410,2023-10-22 01:12:47,A,56585
165,89840,2018-07-07 11:41:49,C,43402
166,85934,2026-05-14 09:18:44,C,19947
167,79944,2026-08-06 03:42:36,C,36062
168,71403,2019-12-17 02:57:22,B,95071
169,16805,2023-05-16 06:21:52,A,4560
170,842,2023-05-19 01:12:30,C,10856
171,3574,2019-07-24 17:02:04,A,49083
172,37255,2024-04-02 18:11:51,A,93813
173,79512,2020-02-12 03:43:26,C,83481
174,57984,2025-09-02 15:25:56,A,94534
175,95897,2021-09-09 18:57:17,A,46163
176,6841,2026-06-29 13:15:09,A,7422
177,52279,2025-01-30 20:09:40,A,86431
178,35066,2022-11-06 12:38:57,C,5300
179,77788,2019-05-28 17:05:36,A,81477
180,35215,2020-01-29 00:08:41,A,25828
181,37233,2018-05-18 10:03:35,C,32998
182,80378,2026-07-17 08:55:41,A,96741
183,94255,2018-04-01 01:48:17,A,50404
184,19351,2018-01-19 12:46:58,A,3788
185,93133,2026-02-05 22:44:50,C,89793
186,33502,2018-07-13 07:54:24,A,69139
187,58688,2024-03-01 04:11:31,A,95734
188,98663,2024-04-25 01:38:12,A,5367
189,57514,2024-07-18 22:42:07,B,99512
190,48849,2025-01-15 01:27:13,A,72138
191,98416,2022-05-24 06:50:53,A,2190
192,19604,2023-06-16 14:33:25,A,86847
193,60096,2026-06-27 08:02:02,A,37440
194,69604,2023-05-30 06:49:41,A,10478
195,60934,2019-02-28 06:53:46,A,32191
196,19614,2021-09-24 00:54:58,C,51581
197,59037,2018-12-13 04:57:12,B,46144
198,97019,2020-12-27 22:35:39,A,86279
199,2827,2018-09-22 04:41:44,A,92822
200,85028,2018-02-18 01:54:14,A,60409
201,99171,2023-04-26 23:54:06,A,96349
202,19867,2023-12-07 16:34:12,B,63438
203,46142,2018-04-09 20:02:22,A,63576
204,8569,2021-10-27 08:36:26,B,57930
205,42669,2022-05-02 21:58:29,A,52121
206,2310,2026-11-30 20:52:16,A,93307
207,66084,2023-08-02 02:19:41,A,90881
208,59047,2023-01-10 06:50:58,B,46842
209,77477,2022-05-27 09:40:07,A,84253
210,21334,2025-09-30 20:29:28,A,71133
211,66296,2021-09-05 10:10:02,C,69011
212,14178,2024-05-21 11:41:53,A,59130
213,35907,2026-11-08 00:41:21,A,66798
214,98315,2025-07-30 11:48:13,C,35054
215,73547,2022-09-20 18:21:22,C,97238
216,16312,2024-04-15 12:04:28,C,61019
217,33239,2018-05-22 08:12:25,C,93605
218,10987,2024-07-18 10:11:51,A,21814
219,40981,2023-10-04 15:15:05,A,76092
220,77390,2020-09-13 02:53:10,C,77174
221,45543,2024-11-12 08:51:13,A,5953
222,76011,2022-03-07 16:03:22,A,72362
223,41979,2025-04-02 12:30:52,A,80250
224,41026,2026-01-06 09:56:37,A,49893
225,61383,2022-08-12 23:13:50,A,7149
226,80194,2018-01-22 14:52:13,A,89152
227,21359,2024-04-24 14:55:54,A,55163
228,9415,2023-12-20 00:20:55,B,32627
229,61499,2019-04-19 01:33:53,A,79334
230,37677,2019-12-22 01:45:27,A,58406
231,98677,2019-08-22 20:53:26,B,60658
232,55662,2024-04-19 22:08:36,C,42889
233,44993,2024-01-05 23:51:14,A,83678
234,87002,2019-04-21 21:43:34,A,66098
235,51859,2022-08-01 04:09:42,A,54341
236,52852,2019-05-21 11:07:51,A,88931
237,95839,2019-12-10 08:52:41,B,72917
238,61708,2025-07-02 06:31:40,B,92015
239,10811,2025-05-22 07:02:15,C,36111
240,66431,2018-01-19 19:04:13,A,89445
241,55997,2024-08-12 04:01:38,A,84983
242,45233,2020-10-15 15:06:53,A,89591
243,56665,2018-12-05 13:40:27,A,19433
244,47449,2019-11-17 13:06:27,A,77915
245,77517,2025-12-03 12:37:30,A,37370
246,19654,2023-09-13 20:41:49,A,11877
247,86439,2022-08-02 07:15:16,A,31921
248,15480,2020-02-09 06:49:30,A,14116
249,69946,2025-07-20 09:58:00,A,5913
250,51152,2023-03-01 12:30:36,A,17632
251,38337,2025-12-08 13:22:11,A,30140
252,53439,2022-08-02 17:49:39,A,78913
253,17692,2022-09-29 12:33:09,A,65707
254,65293,2025-09-15 06:44:52,A,13126
255,97496,2022-09-19 06:30:01,A,76405
256,29229,2019-08-05 05:08:16,A,35922
257,71580,2024-04-19 23:30:04,A,90813
258,20696,2020-06-30 04:26:03,A,66516
259,72444,2022-02-23 16:45:24,A,12729
260,94231,2023-06-02 16:07:33,A,61227
261,42218,2018-04-20 20:35:21,C,80708
262,96824,2022-04-28 19:04:24,A,64378
263,83650,2019-08-17 08:45:52,A,28493
264,86332,2025-03-09 11:09:10,B,26266
265,82680,2024-09-06 23:57:39,A,99621
266,90235,2019-05-28 08:07:19,A,98854
267,82330,2019-12-12 04:43:14,A,99508
268,51224,2023-09-07 19:38:47,A,93088
269,96912,2018-01-17 05:29:09,A,72547
270,15347,2022-11-12 07:11:58,A,61085
271,18838,2019-11-30 15:55:47,A,4686
272,90356,2025-12-03 00:37:32,A,80263
273,5902,2020-09-09 08:13:30,B,8191
274,7119,2019-11-02 20:17:34,A,98105
275,61298,2021-01-10 04:11:07,A,18448
276,31250,2025-10-01 01:19:45,B,49331
277,13127,2024-05-09 10:29:52,A,20617
278,64734,2022-11-01 12:20:39,C,33630
279,39695,2020-02-13 02:07:46,A,68310
280,4545,2026-04-04 10:45:11,A,51555
281,35391,2023-12-13 16:47:20,A,68941
282,14968,2018-03-14 02:14:14,A,6047
283,57261,2025-12-06 03:34:58,A,80616
284,92915,2025-11-13 08:54:04,A,2030
285,55042,2020-03-28 01:57:11,B,39626
286,59719,2022-11-24 22:42:55,A,8908
287,20846,2018-05-03 14:27:34,B,86821
288,7155,2020-10-07 01:59:51,A,60975
289,60563,2026-08-30 22:31:15,C,66492
290,50517,2024-01-31 17:54:53,C,24124
291,28234,2025-06-21 17:12:54,B,77710
292,18927,2023-07-30 18:57:20,C,40703
293,12491,2022-03-08 07:09:11,A,43221
294,88704,2025-12-04 14:16:36,B,24152
295,51601,2022-10-28 14:23:13,A,63238
296,88346,2019-10-14 00:19:03,A,19011
297,76587,2020-06-05 18:47:48,A,67775
298,74769,2020-08-08 13:23:13,A,40279
299,82566,2021-08-25 18:02:38,A,20125
300,67524,2024-05-16 06:00:53,A,68613
301,41181,2019-09-19 00:04:53,C,46343
302,57973,2024-05-17 22:14:36,A,16468
303,83926,2026-08-07 14:12:17,A,63127
304,49805,2019-07-16 19:57:07,A,53334
305,20316,2022-02-12 02:06:47,A,5479
306,6301,2021-11-07 20:27:47,B,67858
307,21222,2021-11-21 05:52:06,B,98742
308,15759,2022-12-04 13:56:12,C,49993
309,86395,2025-05-08 20:17:29,C,37980
310,6801,2024-03-19 21:10:14,A,42522
311,36959,2020-10-12 22:37:47,A,78306
312,14119,2018-03-06 07:57:38,A,93191
313,89903,2022-08-20 18:45:53,A,90578
314,84285,2020-05-20 16:13:01,A,23280
315,39629,2020-06-27 19:52:48,B,27560
316,38424,2018-08-06 06:35:55,C,60738
317,84013,2023-06-14 00:32:30,C,84832
318,3383,2021-09-09 12:35:01,C,52405
319,87283,2020-05-26 02:21:40,B,70351
320,21867,2018-11-27 01:35:52,A,42614
321,92918,2019-03-04 04:37:13,A,58623
322,9436,2020-04-05 03:18:54,A,40727
323,26132,2024-07-10 05:03:04,A,46437
324,77105,2020-12-10 05:54:55,B,96573
325,38557,2021-05-31 17:59:38,A,3521
326,39325,2019-11-17 20:57:59,A,65435
327,72298,2024-12-31 14:05:29,A,8233
328,72202,2019-05-15 13:51:40,C,55197
329,90243,2019-08-12 22:40:28,A,68149
330,89209,2023-05-03 08:16:07,A,11767
331,96471,2026-10-28 12:09:18,C,1277
332,99566,2018-03-01 05:44:35,B,99564
333,56429,2018-08-13 10:54:40,A,55179
334,32496,2022-07-02 01:35:52,C,24054
335,46204,2025-03-12 05:07:39,A,60778
336,93890,2020-12-16 20:21:42,A,39280
337,31386,2026-07-13 21:40:45,A,44174
338,59700,2022-04-15 21:42:42,C,70922
339,26025,2025-05-08 13:38:50,C,85355
340,36608,2020-10-22 22:22:41,A,17549
341,9589,2026-04-22 19:41:33,C,83250
342,38647,2024-08-18 16:23:43,A,37651
343,67098,2026-04-09 03:52:09,A,32390
344,48606,2018-08-18 13:08:06,C,68262
345,2631,2026-06-04 13:52:28,A,19951
346,38650,2026-12-04 00:17:33,A,81320
347,68036,2018-10-08 08:14:09,C,34758
348,17642,2025-10-08 05:41:31,A,16205
349,78061,2019-10-20 23:45:07,A,66538
350,40865,2026-05-24 20:30:17,A,69043
351,5888,2019-01-13 12:48:25,A,94894
352,46599,2018-05-04 12:04:23,A,5906
353,26448,2023-01-20 22:11:02,A,55395
354,97456,2025-12-31 07:12:24,A,59104
355,92495,2024-08-02 16:09:22,A,31274
356,29021,2020-05-15 03:48:14,B,77242
357,64704,2018-10-09 17:52:34,A,58876
358,3657,2023-12-17 15:40:42,A,58723
359,88685,2025-11-25 11:51:53,A,91805
360,77107,2026-01-07 01:03:11,A,59493
361,58431,2022-10-16 23:14:18,C,39561
362,44512,2026-03-04 16:03:26,A,13129
363,50906,2020-02-10 08:35:49,A,54516
364,34063,2026-09-26 02:54:56,A,70112
365,46299,2024-09-02 06:57:24,A,67149
366,13338,2026-01-01 16:18:59,A,28200
367,52523,2018-05-16 22:57:34,A,30326
368,53438,2018-12-01 14:21:25,A,51031
369,67391,2024-05-05 13:54:18,A,45257
370,66367,2018-11-11 20:05:18,C,72648
371,54401,2023-06-30 22:30:28,A,36336
372,39656,2018-01-28 19:49:37,A,30562
373,9166,2019-06-12 22:59:28,A,83575
374,30324,2018-09-20 08:48:43,A,51633
375,59550,2023-12-26 11:02:22,A,96002
376,90078,2020-09-15 03:40:12,C,90297
377,90944,2021-09-30 00:33:36,A,3530
378,30391,2026-11-09 07:47:06,A,74121
379,74042,2024-05-28 21:52:47,A,71224
380,96837,2023-03-15 07:08:05,B,78050
381,99022,2018-04-24 07:32:31,A,2215
382,63489,2026-06-15 02:03:49,A,84966
383,44561,2022-03-26 20:04:58,A,18557
384,76283,2026-05-11 18:57:00,C,20409
385,65999,2023-07-08 18:11:07,A,48233
386,88799,2024-10-30 14:37:12,C,18643
387,88293,2026-06-24 23:08:07,A,91512
388,9812,2026-12-01 01:27:40,A,80609
389,55674,2019-09-16 02:09:01,A,16314
390,82366,2022-07-18 05:12:34,A,92614
391,80478,2021-04-24 17:14:07,A,83559
392,13980,2025-12-01 15:49:55,A,63393
393,91858,2023-05-11 13:51:09,A,5855
394,43052,2021-11-12 17:33:35,A,28552
395,16481,2026-01-12 15:31:16,A,15248
396,55043,2024-04-03 06:36:51,A,93334
397,74982,2020-09-15 04:24:58,A,74649
398,35867,2020-08-04 07:29:42,A,91585
399,74565,2020-03-03 20:41:25,A,43926
400,1404,2019-07-20 01:03:46,A,68227
401,78165,2021-04-08 12:11:47,A,89053
402,60421,2022-12-10 15:52:53,A,79797
403,31875,2022-10-17 03:32:24,A,27049
404,17950,2025-03-05 12:47:37,A,46052
405,59559,2022-04-28 23:04:37,A,54306
406,57255,2026-10-01 14:20:39,A,10102
407,38284,2024-09-26 19:08:10,A,114
408,78722,2019-01-21 09:09:09,A,10469
409,16638,2019-04-27 02:32:43,A,89411
410,8101,2023-03-28 06:22:59,C,4110
411,32877,2026-03-11 15:49:14,A,96244
412,27131,2024-12-15 05:52:52,C,15845
413,7226,2018-09-13 17:58:25,A,31690
414,81126,2018-03-30 06:11:00,A,80847
415,95467,2023-07-26 11:23:10,C,17805
416,20725,2018-09-09 18:06:54,A,25465
417,22360,2024-07-07 18:41:28,A,35471
418,52338,2024-12-01 22:07:23,A,25352
419,62466,2020-12-25 01:06:48,A,519
420,46481,2018-06-27 15:25:07,A,46210
421,4568,2021-06-30 21:09:20,A,75151
422,38929,2026-08-17 07:10:40,A,18310
423,34287,2025-01-26 15:18:37,A,85917
424,36174,2023-12-01 06:33:29,A,92272
425,50135,2026-01-18 01:02:10,B,4549
426,21842,2022-10-22 05:20:54,A,27627
427,67788,2025-02-08 10:17:04,A,48143
428,59867,2021-12-11 12:56:30,A,97073
429,43969,2024-02-17 02:11:16,A,98324
430,41399,2026-08-06 07:59:33,A,68563
431,80923,2025-05-01 22:26:05,A,20898
432,7345,2021-03-04 11:28:27,A,67612
433,70706,2025-02-13 13:41:05,A,89451
434,5803,2026-11-24 01:32:33,A,5597
435,70582,2021-01-13 06:38:56,A,42119
436,1586,2022-11-17 18:09:00,C,73475
437,68572,2025-08-21 08:25:15,A,18712
438,12478,2020-11-05 22:53:13,A,88600
439,90486,2025-06-01 14:11:06,B,83745
440,20082,2025-05-10 11:26:54,C,76012
441,8955,2026-07-21 01:52:35,A,84789
442,17619,2020-10-15 21:57:08,A,94441
443,51947,2026-09-16 21:27:14,A,15178
444,81474,2026-06-02 04:39:07,B,19094
445,18100,2019-11-05 09:34:30,C,84279
446,85657,2021-06-20 14:31:03,A,65101
447,59805,2022-01-26 20:54:18,A,9346
448,37210,2025-08-20 15:43:29,B,48277
449,10811,2019-04-30 05:39:05,C,72019
450,70946,2021-10-22 22:02:09,A,80165
451,68116,2018-01-09 14:49:42,C,77563
452,16259,2019-09-27 03:43:42,B,14460
453,17063,2023-08-04 21:07:39,A,64585
454,39368,2026-07-07 20:46:44,A,92711
455,32886,2024-01-14 22:04:12,A,93705
456,33958,2024-11-21 17:54:27,A,19776
457,38010,2018-11-18 13:39:19,A,8582
458,22973,2022-01-19 16:40:46,B,90862
459,7974,2021-02-24 09:16:38,B,9358
460,3851,2019-07-01 06:25:32,A,78578
461,38206,2019-09-27 16:03:15,A,79545
462,53679,2020-03-05 01:01:33,C,43860
463,15640,2019-05-16 17:30:49,C,23576
464,12960,2020-10-03 13:47:41,A,30828
465,82446,2019-01-25 08:57:02,A,63545
466,71538,2023-11-19 22:40:43,A,28739
467,37005,2023-07-30 07:39:40,C,71862
468,20282,2025-12-12 03:00:14,A,43358
469,41509,2026-12-23 11:05:22,A,70247
470,40893,2024-05-16 19:54:06,A,88213
471,73685,2021-06-02 12:39:43,A,99072
472,49818,2018-06-03 03:18:46,C,3626
473,89193,2020-03-23 04:12:58,A,43587
474,38138,2023-10-12 23:48:35,A,91553
475,64334,2020-06-18 15:33:07,A,49715
476,88346,2022-04-08 02:10:03,B,48549
477,16847,2022-05-18 00:57:23,A,64331
478,39262,2021-11-02 10:16:31,C,77081
479,52809,2023-05-26 08:27:24,A,23447
480,83352,2022-09-22 12:58:07,A,62950
481,43119,2022-03-08 13:25:17,A,60904
482,8503,2025-07-08 00:34:24,A,87580
483,33373,2026-10-02 02:09:30,A,61455
484,62474,2018-07-14 11:49:52,A,43522
485,90040,2024-06-12 13:18:54,A,60175
486,67141,2021-07-02 21:27:43,A,65481
487,55374,2020-10-03 20:56:26,C,24294
488,81601,2022-02-15 15:18:34,A,49710
489,47588,2025-09-24 10:04:16,A,21843
490,87835,2026-03-21 21:07:25,A,44480
491,76066,2023-09-08 18:23:50,C,41910
492,23319,2023-12-09 06:53:29,A,19155
493,8219,2021-10-05 10:15:22,A,45774
494,16693,2020-10-09 13:18:44,A,47663
495,68660,2021-03-24 07:42:17,A,91893
496,28745,2026-05-17 21:34:16,A,94834
497,86803,2026-08-06 06:40:31,A,86444
498,79610,2018-01-06 11:21:14,A,89658
499,41719,2026-08-29 07:59:26,A,23102
500,77270,2018-05-20 02:46:42,B,62431
501,39691,2018-01-21 00:28:59,A,56170
502,66552,2025-01-29 02:58:29,A,84492
503,46063,2026-03-17 10:49:58,A,1332
504,82289,2023-01-14 17:53:34,A,33223
505,43991,2025-10-01 11:07:23,B,23415
506,64627,2020-07-05 13:22:58,A,448
507,21285,2018-01-31 10:27:15,A,52241
508,82266,2023-03-03 00:30:22,A,51267
509,91887,2024-03-27 10:09:57,A,35807
510,57433,2020-03-16 12:48:59,C,81463
511,1164,2024-09-06 02:46:58,A,67814
512,88154,2019-10-30 18:44:58,A,82553
513,3247,2025-11-25 13:29:36,C,64322
514,50848,2023-05-22 12:15:24,C,25009
515,65404,2018-05-09 09:11:17,A,79067
516,77196,2019-01-03 17:37:40,A,87345
517,59802,2026-04-28 17:48:55,C,39799
518,44824,2020-10-07 05:16:58,A,69536
519,52386,2020-01-12 19:10:33,A,43235
520,38893,2019-02-05 15:04:23,A,13094
521,67016,2022-03-31 16:31:44,B,52474
522,44081,2018-10-03 05:17:04,A,42928
523,49225,2021-05-12 02:18:33,A,9472
524,57129,2023-07-30 17:07:15,A,13365
525,73929,2024-06-25 19:25:59,A,71419
526,36894,2023-08-27 15:25:26,B,17919
527,77575,2018-01-27 12:29:03,A,60423
528,97034,2024-11-06 19:33:57,A,33300
529,24975,2021-03-10 10:39:50,C,53840
530,90779,2024-03-17 03:58:30,A,70096
531,6424,2018-05-06 08:13:40,A,52416
532,87247,2018-08-29 18:46:48,A,92550
533,16623,2022-07-17 00:59:37,A,33507
534,20245,2026-01-14 14:23:05,B,51111
535,72781,2024-12-09 15:23:24,A,75415
536,60865,2023-11-27 09:42:28,A,6463
537,36968,2021-01-04 11:00:23,A,16219
538,93373,2023-01-24 17:45:07,C,19750
539,54338,2021-01-25 17:48:47,A,94753
540,95864,2020-04-12 14:33:39,A,34
541,68628,2024-01-09 04:01:06,C,33908
542,84687,2019-05-24 07:51:23,C,52992
543,44340,2023-03-31 05:22:34,A,5978
544,55963,2024-11-05 12:56:35,A,97451
545,69114,2022-10-19 21:34:19,A,53528
546,87179,2022-09-29 01:07:46,A,19295
547,80832,2020-10-13 09:36:15,C,84111
548,62223,2019-09-14 20:11:35,A,62013
549,59355,2026-07-18 15:00:59,A,19254
550,16278,2026-02-09 07:56:12,C,44639
551,60963,2024-12-31 07:29:41,A,50908
552,26431,2018-06-03 01:19:48,B,48140
553,56706,2020-05-01 19:03:12,A,8005
554,10562,2018-02-15 14:06:01,A,77743
555,40224,2018-03-17 12:26:44,A,70403
556,30023,2018-10-15 18:08:35,A,73713
557,88320,2026-07-24 22:04:25,A,70776
558,15904,2021-11-25 22:16:25,A,31524
559,38927,2025-05-22 02:33:11,B,30461
560,59156,2022-03-21 21:47:50,A,88166
561,55446,2020-12-19 12:38:24,C,2122
562,45893,2018-09-21 17:23:42,C,78710
563,35394,2024-07-20 23:57:14,A,29766
564,13220,2026-01-27 01:36:03,C,14501
565,65264,2020-05-17 19:17:35,A,19442
566,50613,2026-11-06 13:23:28,A,46251
567,83250,2024-12-22 07:56:43,B,60753
568,13758,2025-05-14 18:22:29,B,90909
569,98689,2019-12-14 08:25:17,A,56668
570,88523,2018-06-20 14:00:02,C,16293
571,49091,2022-08-13 22:13:31,A,91722
572,80947,2026-11-21 13:34:38,A,21316
573,31661,2025-05-21 12:50:02,C,62045
574,42649,2018-09-16 07:40:36,A,99237
575,29684,2021-09-30 21:12:03,C,50588
576,86510,2018-07-10 13:06:05,A,19742
577,1479,2020-06-12 17:13:33,A,27607
578,12668,2021-05-14 17:23:37,A,36414
579,97917,2025-06-08 08:46:43,A,44336
580,93190,2018-07-14 17:01:31,A,7501
581,2752,2025-10-17 18:45:22,A,49964
582,94044,2018-08-08 07:58:02,A,52743
583,66065,2022-05-20 13:19:46,C,81745
584,54088,2024-11-14 22:55:32,A,33405
585,35535,2021-09-06 17:07:50,C,67373
586,54353,2026-04-22 02:14:52,A,90325
587,79461,2022-12-19 05:58:01,A,68776
588,31472,2023-10-21 11:56:35,A,91597
589,55107,2026-07-07 09:15:37,A,9230
590,98131,2024-01-31 02:05:47,A,18835
591,51118,2021-05-11 08:00:17,A,62909
592,97914,2023-07-20 09:09:49,C,67569
593,42818,2026-11-04 02:26:35,A,70103
594,94267,2021-12-26 19:57:16,A,31252
595,93861,2026-03-17 04:41:41,A,33969
596,41604,2021-08-11 04:48:38,A,22117
597,32831,2019-01-26 03:12:23,C,64158
598,49013,2019-07-05 14:20:08,C,16928
599,94751,2025-05-15 19:10:10,C,53735
600,51201,2024-05-25 10:05:28,A,19084
601,11777,2020-05-29 15:59:36,A,31134
602,71361,2024-05-20 05:39:02,C,14288
603,58166,2022-05-22 10:02:43,A,71975
604,8220,2020-01-04 16:18:52,A,65871
605,42772,2022-11-22 08:42:46,A,45805
606,69118,2020-07-28 16:09:43,A,27773
