CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
551,A40578,54480,3,2
18755,A8204,19704,1,2
79603,A85249,33195,1,2
17660,A7472,44387,1,2
63589,A44813,52648,3,3
37696,A95105,60076,2,1
14685,A51506,13373,1,4
42437,A88465,43107,4,4
2704,A53662,50869,4,2
40355,A16043,88306,3,1
42334,A48185,33600,1,3
41035,A54707,7472,4,2
12371,A12034,73499,2,1
41617,A53330,38915,3,4
26689,A5810,23308,3,3
50114,A45223,49284,4,1
8312,A69132,11394,1,1
51523,A18418,85387,1,2
25747,A47132,41366,3,4
15821,A73543,28873,4,3
1715,A97832,50430,1,4
93327,A62172,60679,4,1
75780,A99567,41164,2,3
45137,A56684,59570,1,4
93193,A53595,87551,4,4
7764,A57791,40709,4,1
31648,A40578,40961,3,1
65676,A88024,36008,3,1
95918,A45331,8781,3,4
70310,A86137,20537,2,1
44371,A7624,53292,3,1
9107,A94037,20318,2,4
22718,A57624,33055,2,1
99046,A40507,64744,2,2
27352,A42402,19745,2,1
86331,A48668,38392,2,1
24291,A32390,80158,4,1
19713,A52983,24514,2,3
82509,A90140,58636,1,2
94243,A41523,37240,2,3
58929,A1215,54928,3,2
5163,A61859,22597,4,3
13863,A19779,25884,1,4
84483,A76476,60124,1,3
20173,A50715,44185,4,2
38702,A46797,97155,3,3
88728,A5127,62910,2,1
25520,A28442,59661,3,3
70053,A87139,47270,4,3
34108,A52698,90864,1,4
44772,A57180,42358,1,2
73709,A86489,48995,1,3
73150,A82478,95556,1,1
87580,A26261,83516,4,2
18991,A35093,26450,1,1
22905,A67982,38000,1,3
23668,A21804,95818,1,2
1058,A16148,71190,1,4
9415,A5732,36682,1,4
19946,A84496,11813,1,3
89130,A92837,8187,1,2
23645,A27599,73696,4,3
86141,A83205,66702,4,3
30853,A16510,97288,1,2
42848,A54752,5385,3,4
45766,A63544,23059,2,2
11888,A89474,87635,3,4
6160,A48589,47971,2,3
86430,A48084,9918,3,1
65714,A50179,30047,1,4
148,A5112,35165,2,2
9876,A91214,19015,4,3
91081,A86011,16140,4,1
94862,A40941,52227,3,2
1617,A82085,86223,1,3
84656,A83519,72039,3,3
78358,A10596,61252,2,3
70544,A2630,59705,3,3
44704,A41088,47117,3,3
27134,A84274,99559,1,3
35886,A67590,12533,1,4
88143,A26756,96113,3,3
19067,A78501,41595,2,2
48330,A57963,60337,1,1
55584,A74265,56353,1,3
18307,A93884,4309,3,1
60624,A78746,99989,1,3
33644,A37729,69166,1,3
61200,A5008,2236,1,1
71701,A61905,65964,4,4
97723,A67878,66871,3,4
30738,A14204,6880,1,3
63384,A20606,41837,3,4
90045,A8546,1090,1,4
4777,A32987,41847,4,4
63839,A84382,92910,1,2
54308,A78808,37327,3,1
66526,A41523,19638,3,1
86958,A69863,71591,1,2
19186,A28600,69468,4,3
27179,A82471,63422,1,3
39017,A47036,68018,3,2
10379,A29864,85040,2,4
16,A58272,57014,2,3
44549,A85508,60593,4,3
88473,A51167,66754,4,1
85379,A13054,3429,3,1
31382,A56940,40173,4,3
5207,A19438,30901,1,3
16628,A86972,29935,3,3
92604,A16820,88309,2,4
71765,A57731,53249,3,2
26128,A32507,11427,2,4
94072,A26316,99439,4,2
7437,A32123,29312,2,3
36650,A46668,59540,1,2
29640,A9923,34815,3,2
35787,A66306,3592,3,1
7482,A30863,35076,1,3
35414,A25226,78888,3,2
42606,A53694,95491,1,1
46401,A13408,63862,1,3
66371,A17184,50405,1,1
61592,A13028,92426,3,4
33114,A5732,44447,4,3
93510,A88563,41061,2,1
49693,A96278,78348,4,4
26938,A98542,67197,3,1
82996,A75806,12782,4,3
61540,A11252,17771,2,1
92053,A84242,9532,4,4
1257,A11014,95632,1,1
41954,A65232,13765,3,4
23724,A59735,83096,4,4
68984,A60699,11922,4,4
69777,A71045,25482,2,4
43684,A9000,49360,4,4
47591,A16679,55332,4,4
15183,A49276,13999,4,4
44254,A29498,45163,2,1
93186,A48277,78078,1,2
19715,A38937,97730,4,3
36520,A84960,81565,4,3
27125,A91752,43983,1,3
40955,A25084,92883,1,4
55498,A13706,66728,4,3
23620,A75109,78553,3,3
11126,A89978,21654,2,2
5446,A99360,15114,1,1
35189,A39777,35959,3,3
98284,A47104,1306,1,2
70083,A86847,71934,3,1
5357,A45899,69973,3,2
32227,A83666,24683,4,3
67324,A98031,88263,4,2
29967,A82566,87351,2,1
86854,A42405,22005,2,3
40337,A77913,74110,4,4
94873,A69719,78279,2,4
36442,A39457,96183,3,4
94649,A52434,59632,4,4
81880,A64295,39289,1,3
38404,A8611,64807,2,2
43357,A92069,37620,3,3
14342,A68733,71175,1,4
74303,A72362,39989,3,2
75135,A71082,36193,1,1
71814,A19451,24189,4,2
94219,A76244,96612,2,2
3373,A15828,72628,4,2
26900,A16200,62230,1,4
4873,A64607,39506,4,1
59798,A30393,39693,4,2
87090,A21739,88907,4,3
90265,A58578,97723,3,4
21477,A40447,82819,3,4
38090,A30285,40670,1,3
77620,A42843,75541,3,3
70747,A79804,34753,1,3
19442,A25964,53957,4,2
89034,A68801,26041,3,4
5025,A38864,42074,3,4
51204,A6201,58469,3,2
11021,A82834,83883,1,1
38879,A4949,87665,3,4
81431,A5320,36729,3,1
17286,A11901,43232,1,1
50350,A67546,84991,3,2
20467,A72196,82691,3,3
64019,A78346,11499,1,4
71857,A54808,3222,4,3
23980,A37785,24821,3,4
83642,A95751,68839,3,4
27355,A84386,10601,3,2
30788,A12985,33879,1,2
14613,A76570,49829,1,2
97523,A25043,91096,2,2
67647,A24772,74136,4,2
46888,A3887,61144,4,3
30856,A51378,85218,1,1
29448,A70318,34772,1,2
57434,A99984,31331,3,3
12242,A87060,65988,2,4
58628,A63469,6684,1,4
90534,A47424,98479,4,4
74687,A69513,1331,2,1
64381,A90882,11629,1,4
12368,A29189,5145,3,2
70809,A68022,69432,2,1
62394,A1600,8892,4,2
85913,A6156,60181,4,4
48842,A69258,98381,2,1
93365,A69906,74657,4,4
47223,A5661,45097,2,1
95586,A11303,60659,1,2
64727,A38513,95727,3,2
37563,A50847,50317,1,2
73314,A36130,38646,4,1
16984,A77120,1685,4,4
92921,A26605,94910,3,2
40368,A65086,70047,1,3
61390,A89892,41580,1,3
95270,A62672,98222,3,2
4817,A92308,31661,3,3
59504,A35423,28531,2,4
69901,A42766,82628,4,2
19128,A48322,91450,1,2
94593,A82145,82214,3,3
86160,A40621,42092,3,4
20357,A19260,40681,1,4
35036,A40596,26295,3,3
49939,A40930,87567,2,3
13023,A83281,31802,1,1
19685,A31078,75967,2,2
89802,A7510,2189,2,2
85552,A90813,47719,2,4
31859,A58501,53368,4,4
67629,A27239,87039,3,4
82063,A64672,14057,3,1
85744,A85384,62593,3,3
90016,A81290,12494,3,3
26449,A34262,4228,1,2
23755,A45721,15574,4,3
92677,A17863,18428,2,1
41895,A63070,12699,1,3
1917,A84049,52430,3,3
33289,A30052,96606,4,4
86416,A47832,7658,2,3
57812,A948,93135,4,3
28601,A63258,82352,2,4
22020,A94673,70184,1,2
64821,A21507,53339,4,4
51127,A31188,79828,2,4
56784,A43503,69488,4,4
43904,A60238,46759,4,4
18272,A24315,11205,3,1
52877,A89015,36964,2,3
19572,A94152,85389,3,2
5026,A56113,31442,1,2
64390,A7394,25142,4,2
53479,A40014,18563,3,4
85944,A9112,66623,4,3
30798,A10449,22002,3,2
38783,A33124,22260,3,1
90170,A54953,3602,2,2
37465,A80371,75675,1,3
43397,A88567,16318,3,4
71307,A11362,68121,4,4
43776,A97472,99680,4,1
88635,A21548,92316,4,4
15544,A14891,54824,4,4
92755,A20897,41800,3,2
79958,A18321,19454,2,4
17429,A35377,65183,1,1
52393,A66030,93985,2,1
57397,A68345,17028,1,1
8173,A37488,35198,4,1
73792,A43936,81916,1,2
74946,A61641,10521,2,3
83591,A46916,5154,3,2
60661,A96501,65819,4,1
28270,A38358,38259,4,2
89495,A77007,98327,2,3
50950,A46497,11948,3,4
54748,A70485,4515,3,4
95549,A7082,12189,2,2
18538,A78276,90946,3,3
68143,A58804,91374,1,4
63362,A55851,20489,4,1
92648,A55772,28,4,2
92891,A46447,74789,2,2
24109,A39641,85733,4,2
87266,A7208,96926,2,2
16218,A63439,92473,1,2
29443,A92710,24601,3,3
13650,A50384,71224,1,3
78916,A76711,69784,3,1
86579,A89942,189,3,4
9498,A6203,97614,1,1
98291,A62625,67168,4,3
13012,A5942,31653,2,4
25180,A28735,34345,2,4
92429,A88669,71681,4,1
29070,A84613,72215,2,1
16739,A90215,28339,2,2
50673,A7063,71152,4,4
93227,A60635,54126,1,4
53714,A81427,99088,1,4
43220,A86567,96097,3,2
77723,A87722,65184,4,3
40900,A35827,64490,4,2
1577,A38583,60015,1,2
9572,A4034,57281,1,2
705,A18805,94306,2,3
29907,A2169,19965,3,2
27902,A90008,43420,2,4
34856,A13538,83347,1,2
3203,A18776,68244,2,2
78849,A50176,23609,1,2
17086,A88925,44036,3,4
19561,A43185,40989,3,2
41361,A12836,65326,1,4
19583,A11600,20295,1,2
1968,A12370,46316,2,4
13245,A9856,14089,2,1
74341,A77022,51123,4,4
35578,A84618,71906,1,4
98381,A15547,7321,2,1
62790,A97026,76559,2,2
53047,A98305,77524,4,2
75208,A68383,19030,3,2
67733,A58173,65556,3,1
98390,A82863,90698,2,4
95646,A10854,96586,3,3
47709,A52949,50089,4,1
88963,A86013,75116,1,3
23774,A35336,39582,3,4
9999,A65971,27132,2,2
48908,A23074,71226,4,4
90115,A74662,87165,4,2
84595,A94595,63062,2,1
97460,A11378,62024,1,2
25053,A77241,13892,1,3
48448,A23948,70061,3,1
60621,A78889,21930,4,4
49970,A90375,7383,1,4
3510,A69952,74937,1,1
92385,A79307,56676,4,4
83522,A17619,38312,2,4
26100,A83114,72189,1,2
94928,A67959,19018,1,4
19840,A16384,18909,1,1
48130,A74402,97834,4,1
91,A71494,4250,2,4
33020,A17649,49392,3,3
8579,A16934,51953,1,3
65662,A61488,59672,4,2
30666,A95238,79744,4,4
26920,A77001,83210,1,1
60823,A6686,75101,2,3
25033,A72936,72915,1,1
2639,A15293,7747,4,4
58778,A80453,48851,3,2
3521,A92518,28166,1,2
9750,A68251,81253,2,2
1351,A99389,13055,2,3
92210,A96174,85740,1,3
18819,A7485,28385,3,1
70451,A85524,77347,2,1
97010,A28335,85838,2,4
79944,A31482,49094,3,1
40973,A11195,91800,2,4
17882,A70504,65951,1,3
70145,A18171,64776,3,3
30978,A3543,96120,2,4
96406,A93001,8858,1,1
86830,A96938,14093,1,1
70381,A37806,45605,3,4
55403,A75207,4589,2,1
38148,A32590,26846,3,4
90539,A55825,11098,2,1
25812,A3960,23790,1,2
49972,A13172,15105,4,4
10277,A22433,12729,2,1
22224,A89108,55944,2,3
74181,A70972,66330,1,4
8145,A72978,30933,4,1
90043,A14328,98835,1,2
65744,A7467,71662,1,4
44341,A4035,32783,4,2
28886,A14567,28208,1,4
72498,A53057,58323,4,3
34309,A90397,95625,4,3
48018,A42622,62767,1,4
68491,A79526,43862,4,2
88409,A13176,22963,1,3
36284,A55391,29182,3,1
58668,A59928,21764,1,2
27678,A95093,52347,2,4
81885,A29765,18310,3,4
30021,A10156,17421,1,1
60838,A38134,47202,4,2
23517,A59594,81124,4,3
54177,A15838,20507,1,3
41744,A78257,90540,3,2
95213,A1839,51364,2,3
31752,A89676,53863,1,3
38894,A34172,7425,1,3
79871,A89488,73757,4,2
56346,A7125,57085,4,4
4096,A78791,70900,4,3
61394,A95265,53492,2,1
14924,A38917,11816,4,4
29430,A66091,74796,4,2
1727,A21525,54296,4,3
70300,A87581,74374,2,1
49390,A64540,12986,3,2
93554,A98300,83310,3,3
41578,A90897,63743,2,3
80848,A96955,7992,2,2
51115,A62943,64124,2,4
29181,A4009,26886,3,4
3323,A40006,7364,1,1
49706,A10765,65383,2,2
49336,A71185,2015,3,4
22682,A77218,54940,3,2
57456,A17347,90154,1,3
29902,A75648,77370,4,2
10982,A77459,88909,4,4
32348,A22556,63447,4,4
28801,A1234,28767,1,4
95891,A88145,70858,1,1
39092,A44492,92570,2,3
83151,A29827,18614,1,4
60018,A3777,95343,3,2
96344,A88511,66149,2,4
93503,A56306,92994,1,2
40940,A90654,77325,2,3
2303,A83884,96608,1,1
22767,A71550,55166,1,1
53295,A77660,80384,3,3
25547,A67957,65926,3,2
49094,A83851,29049,3,2
69606,A34352,23819,4,1
93072,A15227,11209,2,4
36486,A33467,28502,1,4
79292,A11642,79508,1,3
65366,A17854,96536,2,3
7384,A58562,12225,4,3
79358,A75080,66854,1,4
70148,A56015,29493,2,1
1905,A5201,5387,1,4
56151,A73450,26409,1,3
58301,A55566,1569,2,3
71811,A27446,87121,4,4
39872,A6630,73239,1,2
31267,A2692,91649,3,3
65368,A85500,81780,1,4
67701,A17759,13389,2,1
97506,A9062,36143,4,4
14371,A12108,56427,3,2
98434,A18559,29822,3,4
22922,A84550,4102,4,1
14575,A42000,43280,2,2
20722,A75268,47942,3,4
88291,A66343,45246,3,3
48093,A70820,45935,2,2
52309,A47493,16518,3,4
94496,A18258,53441,4,2
11151,A89787,97112,2,3
47009,A84051,7338,4,1
66791,A66325,76885,1,3
28422,A72763,84803,3,4
31582,A54519,15034,2,3
31112,A43250,35951,4,2
55070,A89620,8745,4,2
72317,A74121,4276,2,3
83857,A32136,87563,4,3
16938,A76858,87867,4,2
10211,A11221,95610,3,3
30514,A32615,84890,1,2
50383,A42269,73307,4,4
30877,A39559,85027,4,1
93066,A99106,2424,3,2
59348,A1408,13300,2,1
8657,A5971,82412,2,2
59668,A14070,55155,2,4
77953,A98388,87959,4,4
58269,A37822,12188,3,3
14586,A60929,76786,4,4
2640,A41655,65554,4,2
62647,A81167,90546,1,3
17108,A74148,17264,3,4
11099,A21063,65054,3,1
74550,A19108,92066,4,1
87551,A89759,74695,4,4
76944,A81993,87101,4,4
43104,A12862,5221,3,3
95047,A21264,56535,2,2
4993,A98409,6692,3,2
58023,A21163,87177,4,1
14490,A2445,82131,1,4
53209,A91174,4896,1,4
60242,A67357,46234,3,4
52641,A70469,12508,1,4
19518,A69129,67579,1,1
85176,A68282,58769,1,4
9171,A57100,2875,1,2
71356,A64259,24535,2,1
50073,A65412,5274,1,1
74777,A24310,52159,3,3
20824,A19925,22706,2,1
74674,A3068,83283,4,3
98800,A3509,40095,3,3
54869,A89553,85862,4,3
30673,A56954,88331,1,2
7110,A23679,11704,3,3
35384,A60628,83790,1,4
90842,A33917,62227,1,4
29763,A48288,63932,3,2
85816,A56888,19674,3,4
29539,A75214,44145,1,2
79165,A81425,83204,4,1
49811,A7018,27908,3,3
26866,A7797,27769,2,3
50061,A82103,39282,2,4
32263,A15116,98189,2,3
16923,A2361,43112,1,4
11448,A38076,3058,2,3
5685,A711,39416,1,1
84979,A78089,47494,1,4
91874,A89820,60890,2,3
76174,A72774,33749,3,2
9260,A7828,945,4,2
43485,A6331,57699,2,2
49040,A87823,66552,1,4
85957,A76354,4403,1,2
74217,A29870,836,3,2
85203,A45860,78345,4,3
85591,A53355,15481,3,1
7040,A7530,95466,2,3
32651,A4021,78074,2,4
92387,A96368,31033,4,1
76246,A79284,79930,1,4
86124,A73730,16070,4,2
11555,A14573,71017,4,1
55130,A6820,72496,1,4
32728,A38203,146,3,4
25897,A45719,43282,2,3
59728,A27144,50060,3,2
58581,A56998,41217,4,4
94125,A8106,46533,1,2
51069,A45609,35732,3,4
96752,A6543,94526,4,3
90559,A2439,38429,3,1
36863,A24285,43133,2,2
82672,A30779,49799,1,1
37711,A14762,69212,4,4
27020,A31219,64687,3,1
96029,A37975,79933,4,1
44872,A46084,39942,3,2
92173,A74422,83408,2,1
22015,A26090,32517,3,4
73737,A91300,60846,1,4
92078,A91233,45553,4,2
36632,A22289,96014,4,1
24998,A85977,75464,1,3
5265,A78215,71198,4,4
27727,A91273,87939,4,1
56961,A11222,73763,4,4
110,A46350,18061,3,1
41648,A20244,49298,3,3
11540,A57983,35,4,4
65036,A8146,8125,3,3
96883,A77836,72065,2,4
16604,A57948,37902,1,1
94545,A63958,96873,4,2
5253,A1197,67938,3,4
96032,A56603,14127,3,1
18124,A44613,31084,3,4
30506,A99685,41358,2,3
65748,A58826,83058,2,2
58431,A15676,43480,4,4
91962,A92166,69163,3,4
77898,A78143,12653,3,1
35859,A63502,76858,3,3
76255,A56376,89949,3,1
91388,A29509,93874,2,2
95460,A32588,9098,1,1
82751,A25320,23300,1,4
66572,A61577,49883,1,2
49384,A28131,39701,4,4
61415,A45585,90544,2,4
75384,A18365,94703,3,1
94924,A36751,53701,3,4
65620,A70125,50668,1,4
99602,A79484,24850,4,2
39247,A8978,85777,3,1
56344,A51029,34112,2,3
71912,A48861,40931,4,1
36549,A76508,25531,2,1
77918,A68413,82746,1,4
88298,A24594,39857,1,4
68701,A90090,61315,4,4
3247,A46103,32535,2,3
36756,A32003,80579,3,1
94428,A9583,14132,1,1
7938,A19832,99031,1,1
18298,A46104,8676,1,2
36035,A64696,44376,1,2
90199,A38403,461,3,1
2545,A56653,31286,2,2
43442,A20204,6771,3,3
3293,A2743,46177,4,1
70330,A329,90765,4,1
33,A4659,45387,1,1
45928,A5208,32762,3,2
29610,A96249,18738,3,3
35961,A69984,24727,2,4
8181,A65591,20714,2,1
54141,A5565,4139,3,2
57940,A8760,71376,4,2
44746,A71305,15814,1,1
85561,A66482,56802,1,2
79841,A15780,70923,2,4
16055,A81689,74624,1,3
16672,A98179,11173,1,3
99815,A72926,19377,1,1
21711,A962,31771,4,3
70485,A50457,91018,4,2
19504,A49637,50170,1,3
41314,A78346,88584,2,1
35448,A68003,62689,3,1
58229,A12907,37615,1,4
18536,A42029,82359,2,2
74158,A7655,25237,1,2
19252,A32009,81732,2,4
48693,A58345,87201,1,2
13179,A29575,223,4,4
15702,A77777,92179,4,3
15192,A3921,76564,1,1
5398,A77926,23804,1,1
35953,A95518,26376,4,3
92470,A23918,4523,2,3
51438,A83629,52246,1,1
80086,A13323,13397,4,1
8275,A57053,12738,3,2
64755,A77408,56256,1,2
65425,A40902,49679,3,2
33172,A25313,84962,4,3
9683,A91779,11848,3,4
90100,A7417,63180,3,3
74272,A16957,80922,4,1
28813,A6209,19055,4,1
32567,A40651,28479,1,4
36087,A63689,40891,1,4
97185,A12761,14551,3,4
10428,A95470,4410,1,4
21588,A90377,83513,1,1
93003,A99531,4920,1,4
59616,A32300,31115,3,1
78524,A54932,80437,2,2
29132,A32172,29959,4,4
79436,A29789,69401,4,2
90065,A92380,69174,4,3
77177,A84428,87512,4,2
19736,A63182,14759,2,3
5281,A43062,44727,3,3
9894,A19633,78187,2,4
11517,A18053,51880,2,4
27893,A86325,30105,3,1
53979,A24967,10245,1,1
6267,A20578,15995,3,3
49587,A65055,28819,3,4
52592,A20801,81619,4,4
97430,A53509,2982,3,1
19174,A90823,91688,4,3
48706,A7527,1486,4,1
87621,A53360,43026,4,4
29300,A83940,78219,1,2
39969,A94321,77038,1,1
81279,A41935,21470,2,1
2767,A40153,2737,3,3
72283,A76138,40278,3,2
59532,A99180,84537,1,2
60337,A7278,93431,2,4
26548,A88510,56618,4,4
90194,A17199,25848,4,2
93426,A50720,30217,2,3
82446,A81524,42585,3,3
71687,A24120,33863,1,4
39329,A20905,89394,1,3
372,A70243,16467,2,4
4761,A11520,9874,3,4
75963,A42254,41281,3,1
35829,A66778,62089,2,3
21509,A12600,65716,4,1
51502,A34795,97636,2,1
10637,A61310,88151,4,2
13624,A75738,11808,2,4
78442,A45965,86750,4,1
61889,A20887,26235,3,3
83901,A80727,46862,2,4
96347,A71289,67790,3,4
76390,A49613,97189,1,2
57068,A93038,43545,3,2
14695,A93276,47085,4,1
66476,A44381,71741,2,2
40208,A88220,92270,1,1
