relationship_id,citizen_1,citizen_2,relationship_type
REL000160,CID003774,CID008168,Friend
REL000161,CID009929,CID000228,Gang Member
REL000162,CID004063,CID000767,Friend
REL000163,CID004154,CID002122,Business Partner
REL000164,CID007399,CID008516,Money Transfer
REL000165,CID001060,CID002420,Business Partner
REL000166,CID005610,CID000381,Money Transfer
REL000167,CID009393,CID008896,Same Phone
REL000168,CID000003,CID001881,Brother
REL000169,CID000072,CID004313,Same Bank Account
REL000170,CID005645,CID006861,Money Transfer
REL000171,CID009959,CID001732,Money Transfer
REL000172,CID003701,CID008591,Business Partner
REL000173,CID000925,CID007779,Same Phone
REL000174,CID008915,CID001911,Money Transfer
REL000175,CID000942,CID007924,Business Partner
REL000176,CID008023,CID006806,Same Bank Account
REL000177,CID001825,CID004255,Associate
REL000178,CID005903,CID001698,Same Bank Account
REL000179,CID005214,CID000704,Money Transfer
REL000180,CID000110,CID008903,Same Phone
REL000181,CID001402,CID003505,Money Transfer
REL000182,CID002464,CID009231,Money Transfer
REL000183,CID009578,CID000325,Same Bank Account
REL000184,CID009441,CID002717,Brother
REL000185,CID002341,CID001815,Business Partner
REL000186,CID009869,CID008958,Brother
REL000187,CID002302,CID005761,Same Vehicle
REL000188,CID001128,CID008451,Same Vehicle
REL000189,CID007535,CID002091,Gang Member
REL000190,CID002802,CID006031,Money Transfer
REL000191,CID009661,CID009599,Brother
REL000192,CID009605,CID005911,Business Partner
REL000193,CID009951,CID007427,Associate
REL000194,CID004477,CID009790,Same Vehicle
REL000195,CID004245,CID007811,Associate
REL000196,CID007233,CID009185,Same Phone
REL000197,CID005792,CID003364,Friend
REL000198,CID009830,CID002590,Same Vehicle
REL000199,CID003252,CID001444,Business Partner
REL000200,CID006530,CID008507,Same Phone
REL000201,CID000840,CID006412,Gang Member
REL000202,CID009334,CID004257,Brother
REL000203,CID008965,CID006343,Brother
REL000204,CID001813,CID009775,Gang Member
REL000205,CID002096,CID000462,Same Phone
REL000206,CID004188,CID008216,Friend
REL000207,CID002425,CID005985,Same Bank Account
REL000208,CID007738,CID009265,Associate
REL000209,CID001576,CID001158,Same Phone
REL000210,CID004622,CID007756,Same Bank Account
REL000211,CID002592,CID000966,Same Bank Account
REL000212,CID001947,CID001909,Business Partner
REL000213,CID003414,CID007850,Money Transfer
REL000214,CID004998,CID004234,Same Phone
REL000215,CID001105,CID005247,Gang Member
REL000216,CID008705,CID008949,Money Transfer
REL000217,CID002464,CID001756,Associate
REL000218,CID004583,CID006133,Business Partner
REL000219,CID003591,CID009246,Same Phone
REL000220,CID000420,CID006610,Gang Member
REL000221,CID008088,CID004599,Same Vehicle
REL000222,CID008463,CID005591,Brother
REL000223,CID000422,CID001059,Gang Member
REL000224,CID007612,CID007118,Same Bank Account
REL000225,CID008095,CID008374,Gang Member
REL000226,CID008838,CID005394,Same Vehicle
REL000227,CID009646,CID009513,Same Bank Account
REL000228,CID001602,CID004192,Friend
REL000229,CID008211,CID005467,Associate
REL000230,CID006202,CID004403,Money Transfer
REL000231,CID000371,CID009046,Money Transfer
REL000232,CID002534,CID007422,Same Bank Account
REL000233,CID003990,CID005333,Same Phone
REL000234,CID004544,CID008172,Business Partner
REL000235,CID007627,CID006050,Gang Member
REL000236,CID003678,CID003554,Same Vehicle
REL000237,CID000148,CID009301,Same Phone
REL000238,CID000535,CID005789,Same Bank Account
REL000239,CID005214,CID003653,Friend
REL000240,CID004798,CID005634,Business Partner
REL000241,CID003329,CID006579,Money Transfer
REL000242,CID006094,CID008809,Same Bank Account
REL000243,CID001116,CID008451,Brother
REL000244,CID005932,CID003992,Money Transfer
REL000245,CID000275,CID004552,Gang Member
REL000246,CID003559,CID007740,Same Vehicle
REL000247,CID009377,CID004980,Money Transfer
REL000248,CID009373,CID008109,Money Transfer
REL000249,CID005482,CID001621,Same Phone
REL000250,CID000941,CID004106,Same Phone
REL000251,CID005931,CID006903,Same Phone
REL000252,CID000128,CID002074,Same Phone
REL000253,CID006610,CID002923,Money Transfer
REL000254,CID004455,CID006860,Business Partner
REL000255,CID000439,CID005242,Money Transfer
REL000256,CID007042,CID005831,Friend
REL000257,CID002558,CID000192,Business Partner
REL000258,CID008165,CID006193,Money Transfer
REL000259,CID000950,CID007645,Friend
REL000260,CID008838,CID003434,Business Partner
REL000261,CID000496,CID004452,Same Phone
REL000262,CID004872,CID006612,Business Partner
REL000263,CID000357,CID000179,Money Transfer
REL000264,CID008448,CID004311,Same Bank Account
REL000265,CID003785,CID004200,Gang Member
REL000266,CID009617,CID009558,Same Bank Account
REL000267,CID007094,CID005660,Money Transfer
REL000268,CID002924,CID008993,Money Transfer
REL000269,CID009735,CID009103,Associate
REL000270,CID003566,CID003519,Money Transfer
REL000271,CID006271,CID009433,Money Transfer
REL000272,CID003641,CID004942,Friend
REL000273,CID006639,CID005828,Friend
REL000274,CID004072,CID003103,Gang Member
REL000275,CID002402,CID009948,Associate
REL000276,CID000489,CID002126,Money Transfer
REL000277,CID005355,CID003521,Same Bank Account
REL000278,CID000659,CID007904,Brother
REL000279,CID003477,CID008317,Same Bank Account
REL000280,CID009788,CID008108,Money Transfer
REL000281,CID007542,CID000492,Friend
REL000282,CID004455,CID007146,Same Phone
REL000283,CID006467,CID008347,Same Vehicle
REL000284,CID001304,CID003322,Money Transfer
REL000285,CID008786,CID002125,Business Partner
REL000286,CID005239,CID009928,Business Partner
REL000287,CID006555,CID006838,Same Vehicle
REL000288,CID006972,CID007189,Associate
REL000289,CID009596,CID005160,Same Bank Account
REL000290,CID001957,CID002590,Money Transfer
REL000291,CID002510,CID009014,Business Partner
REL000292,CID009792,CID003624,Same Bank Account
REL000293,CID005145,CID007889,Same Bank Account
REL000294,CID000634,CID001405,Brother
REL000295,CID004879,CID006266,Money Transfer
REL000296,CID003448,CID007973,Brother
REL000297,CID001305,CID002999,Business Partner
REL000298,CID003144,CID002736,Money Transfer
REL000299,CID003606,CID008799,Brother
REL000300,CID003259,CID003852,Same Vehicle
REL000301,CID001332,CID009864,Friend
REL000302,CID005981,CID002329,Gang Member
REL000303,CID008693,CID006489,Associate
REL000304,CID002593,CID009588,Business Partner
REL000305,CID007000,CID002551,Same Vehicle
REL000306,CID003774,CID004947,Money Transfer
REL000307,CID000955,CID007340,Same Bank Account
REL000308,CID003111,CID004855,Same Bank Account
REL000309,CID005268,CID007863,Brother
REL000310,CID006581,CID004562,Money Transfer
REL000311,CID008568,CID002550,Friend
REL000312,CID002813,CID006046,Same Bank Account
REL000313,CID005777,CID008538,Friend
REL000314,CID005812,CID000547,Same Phone
REL000315,CID009842,CID008975,Brother
REL000316,CID007209,CID003178,Same Vehicle
REL000317,CID000100,CID003281,Money Transfer
REL000318,CID000625,CID007436,Gang Member
REL000319,CID001556,CID006874,Friend
REL000320,CID003626,CID004142,Associate
REL000321,CID000007,CID001867,Associate
REL000322,CID002050,CID002325,Friend
REL000323,CID004003,CID003655,Money Transfer
REL000324,CID000074,CID009126,Same Vehicle
REL000325,CID009945,CID003522,Same Vehicle
REL000326,CID001252,CID003984,Same Phone
REL000327,CID008947,CID006402,Business Partner
REL000328,CID001946,CID006078,Associate
REL000329,CID007332,CID009518,Associate
REL000330,CID007211,CID002213,Brother
REL000331,CID002890,CID007274,Same Phone
REL000332,CID006671,CID004254,Friend
REL000333,CID002712,CID001988,Business Partner
REL000334,CID004941,CID001653,Same Vehicle
REL000335,CID004178,CID008391,Same Phone
REL000336,CID008969,CID002804,Gang Member
REL000337,CID005551,CID007867,Gang Member
REL000338,CID007905,CID007892,Same Bank Account
REL000339,CID005806,CID003725,Money Transfer
REL000340,CID006759,CID007873,Same Phone
REL000341,CID002577,CID004754,Associate
REL000342,CID003806,CID003531,Business Partner
REL000343,CID001846,CID008268,Friend
REL000344,CID000117,CID006541,Same Bank Account
REL000345,CID007927,CID004019,Brother
REL000346,CID003268,CID001483,Same Phone
REL000347,CID006078,CID008144,Brother
REL000348,CID005348,CID006949,Associate
REL000349,CID000289,CID009978,Friend
REL000350,CID000731,CID005638,Same Vehicle
REL000351,CID002972,CID002384,Money Transfer
REL000352,CID007812,CID004233,Money Transfer
REL000353,CID002076,CID000798,Associate
REL000354,CID008635,CID006764,Same Vehicle
REL000355,CID005405,CID006661,Friend
REL000356,CID001167,CID007119,Money Transfer
REL000357,CID002318,CID001752,Associate
REL000358,CID002075,CID000093,Same Bank Account
REL000359,CID005034,CID008374,Friend
REL000360,CID006578,CID008452,Money Transfer
REL000361,CID006900,CID006849,Brother
REL000362,CID000329,CID000269,Gang Member
REL000363,CID003358,CID003798,Same Bank Account
REL000364,CID007757,CID004462,Money Transfer
REL000365,CID007604,CID009469,Same Bank Account
REL000366,CID007814,CID007678,Brother
REL000367,CID001436,CID009041,Same Bank Account
REL000368,CID006522,CID001096,Money Transfer
REL000369,CID004860,CID009627,Money Transfer
REL000370,CID007819,CID009190,Associate
REL000371,CID005749,CID005092,Money Transfer
REL000372,CID002291,CID008690,Brother
REL000373,CID000947,CID007135,Business Partner
REL000374,CID007402,CID005083,Same Vehicle
REL000375,CID001045,CID002171,Gang Member
REL000376,CID001262,CID003564,Associate
REL000377,CID004650,CID007718,Gang Member
REL000378,CID007841,CID006293,Same Bank Account
REL000379,CID003504,CID001951,Business Partner
REL000380,CID001192,CID004670,Business Partner
REL000381,CID001991,CID003038,Gang Member
REL000382,CID005855,CID000561,Same Bank Account
REL000383,CID005386,CID004763,Same Bank Account
REL000384,CID002724,CID007210,Money Transfer
REL000385,CID000397,CID001235,Associate
REL000386,CID000594,CID002922,Brother
REL000387,CID009304,CID006376,Brother
REL000388,CID009658,CID004439,Gang Member
REL000389,CID009583,CID005939,Business Partner
REL000390,CID007978,CID004100,Same Phone
REL000391,CID000644,CID004794,Friend
REL000392,CID000979,CID001427,Money Transfer
REL000393,CID006745,CID006950,Brother
REL000394,CID000856,CID006952,Money Transfer
REL000395,CID008213,CID007037,Same Vehicle
REL000396,CID000804,CID006716,Same Bank Account
REL000397,CID001308,CID008027,Money Transfer
REL000398,CID007850,CID006239,Associate
REL000399,CID007918,CID000985,Brother
REL000400,CID001419,CID000813,Business Partner
REL000401,CID002740,CID007394,Gang Member
REL000402,CID000746,CID006241,Same Vehicle
REL000403,CID005326,CID000238,Gang Member
REL000404,CID009556,CID005458,Same Bank Account
REL000405,CID006687,CID008780,Same Phone
REL000406,CID008125,CID002704,Business Partner
REL000407,CID005868,CID006282,Gang Member
REL000408,CID001870,CID003066,Same Phone
REL000409,CID004167,CID006165,Same Phone
REL000410,CID004251,CID001577,Same Bank Account
REL000411,CID006414,CID007164,Same Bank Account
REL000412,CID005916,CID003344,Money Transfer
REL000413,CID005129,CID008424,Same Bank Account
REL000414,CID009254,CID004087,Money Transfer
REL000415,CID007163,CID009128,Money Transfer
REL000416,CID007686,CID009428,Business Partner
REL000417,CID006405,CID000143,Same Phone
REL000418,CID008539,CID005219,Same Vehicle
REL000419,CID005775,CID002171,Business Partner
REL000420,CID007414,CID005912,Friend
REL000421,CID009873,CID007188,Gang Member
REL000422,CID008377,CID004980,Same Phone
REL000423,CID008681,CID004972,Same Bank Account
REL000424,CID006881,CID003323,Same Phone
REL000425,CID005218,CID005626,Business Partner
REL000426,CID000058,CID009007,Friend
REL000427,CID000454,CID001856,Business Partner
REL000428,CID003613,CID008638,Money Transfer
REL000429,CID002562,CID005176,Same Bank Account
REL000430,CID008067,CID006071,Same Vehicle
REL000431,CID003285,CID002787,Money Transfer
REL000432,CID002823,CID009814,Gang Member
REL000433,CID005875,CID005121,Same Bank Account
REL000434,CID004894,CID005872,Same Bank Account
REL000435,CID005357,CID002157,Gang Member
REL000436,CID007419,CID007759,Same Vehicle
REL000437,CID004141,CID002242,Brother
REL000438,CID001110,CID006833,Associate
REL000439,CID002190,CID000281,Same Vehicle
REL000440,CID008307,CID008011,Brother
REL000441,CID009259,CID002413,Same Bank Account
REL000442,CID008055,CID000500,Associate
REL000443,CID007290,CID003303,Same Vehicle
REL000444,CID001452,CID002864,Money Transfer
REL000445,CID001875,CID000743,Same Phone
REL000446,CID008358,CID002395,Same Phone
REL000447,CID004030,CID007996,Associate
REL000448,CID000432,CID006003,Gang Member
REL000449,CID000546,CID009150,Friend
REL000450,CID007250,CID001188,Brother
REL000451,CID002922,CID003194,Same Bank Account
REL000452,CID000766,CID001459,Business Partner
REL000453,CID007716,CID004908,Same Bank Account
REL000454,CID000178,CID008691,Friend
REL000455,CID000990,CID001655,Associate
REL000456,CID006190,CID002241,Same Vehicle
REL000457,CID003373,CID009502,Gang Member
REL000458,CID007403,CID006293,Same Phone
REL000459,CID006589,CID007800,Associate
REL000460,CID008368,CID002817,Money Transfer
REL000461,CID001652,CID006905,Associate
REL000462,CID001181,CID001682,Same Bank Account
REL000463,CID006908,CID002043,Same Bank Account
REL000464,CID001721,CID000057,Same Vehicle
REL000465,CID008350,CID007915,Gang Member
REL000466,CID002424,CID004548,Gang Member
REL000467,CID006190,CID002460,Gang Member
REL000468,CID003998,CID008396,Same Bank Account
REL000469,CID003310,CID005036,Same Vehicle
REL000470,CID003984,CID008411,Brother
REL000471,CID005052,CID005274,Same Bank Account
REL000472,CID001267,CID000602,Same Phone
REL000473,CID001581,CID008099,Associate
REL000474,CID002200,CID002110,Gang Member
REL000475,CID004894,CID009488,Money Transfer
REL000476,CID007040,CID009919,Associate
REL000477,CID009832,CID006360,Associate
REL000478,CID009937,CID008878,Money Transfer
REL000479,CID002792,CID004953,Same Phone
REL000480,CID004132,CID002894,Same Phone
REL000481,CID006646,CID006979,Same Vehicle
REL000482,CID008488,CID006135,Friend
REL000483,CID008711,CID000592,Associate
REL000484,CID001298,CID007871,Same Vehicle
REL000485,CID008427,CID001547,Associate
REL000486,CID003521,CID000782,Associate
REL000487,CID004993,CID008082,Same Bank Account
REL000488,CID006329,CID007278,Money Transfer
REL000489,CID006369,CID006455,Brother
REL000490,CID009920,CID003173,Same Bank Account
REL000491,CID000958,CID005383,Money Transfer
REL000492,CID004495,CID006477,Associate
REL000493,CID007523,CID009158,Associate
REL000494,CID004210,CID003431,Friend
REL000495,CID005006,CID002058,Same Phone
REL000496,CID008257,CID002359,Associate
REL000497,CID000262,CID007472,Same Bank Account
REL000498,CID006817,CID008981,Same Vehicle
REL000499,CID004168,CID000654,Same Vehicle
REL000500,CID007525,CID000553,Brother
REL000501,CID008116,CID007377,Same Phone
REL000502,CID007678,CID002881,Gang Member
REL000503,CID001898,CID003046,Same Phone
REL000504,CID004209,CID003091,Friend
REL000505,CID009677,CID009826,Same Bank Account
REL000506,CID000573,CID002368,Gang Member
REL000507,CID006242,CID007940,Brother
REL000508,CID005052,CID004131,Money Transfer
REL000509,CID005529,CID003839,Brother
REL000510,CID003122,CID004596,Business Partner
REL000511,CID001587,CID008556,Friend
REL000512,CID007658,CID008923,Same Phone
REL000513,CID007092,CID006280,Same Bank Account
REL000514,CID007129,CID007014,Same Phone
REL000515,CID004202,CID004209,Same Phone
REL000516,CID000749,CID001115,Gang Member
REL000517,CID009221,CID001394,Gang Member
REL000518,CID001473,CID005218,Business Partner
REL000519,CID004972,CID002818,Friend
REL000520,CID005638,CID000243,Associate
REL000521,CID003058,CID002970,Same Phone
REL000522,CID000870,CID001801,Money Transfer
REL000523,CID008040,CID009969,Brother
REL000524,CID006527,CID000392,Friend
REL000525,CID001335,CID001714,Money Transfer
REL000526,CID003437,CID007456,Same Phone
REL000527,CID000920,CID006740,Business Partner
REL000528,CID000625,CID000814,Same Bank Account
REL000529,CID004275,CID002840,Same Phone
REL000530,CID006037,CID007669,Same Phone
REL000531,CID008301,CID006903,Brother
REL000532,CID009278,CID006394,Friend
REL000533,CID001612,CID002747,Friend
REL000534,CID008149,CID006934,Money Transfer
REL000535,CID002782,CID006056,Gang Member
REL000536,CID001388,CID005779,Same Vehicle
REL000537,CID007898,CID005498,Business Partner
REL000538,CID003469,CID000344,Gang Member
REL000539,CID009704,CID009783,Same Phone
REL000540,CID001259,CID005170,Brother
REL000541,CID004127,CID006464,Brother
REL000542,CID007136,CID001178,Same Phone
REL000543,CID005830,CID008991,Friend
REL000544,CID005738,CID001942,Same Phone
REL000545,CID006874,CID009956,Same Vehicle
REL000546,CID001123,CID004155,Associate
REL000547,CID008839,CID001238,Brother
REL000548,CID008334,CID005894,Business Partner
REL000549,CID006008,CID008472,Same Phone
REL000550,CID007158,CID003609,Brother
REL000551,CID009837,CID002766,Business Partner
REL000552,CID001089,CID005442,Same Bank Account
REL000553,CID007239,CID000180,Gang Member
REL000554,CID002834,CID004237,Same Vehicle
REL000555,CID001674,CID006263,Money Transfer
REL000556,CID004685,CID000724,Same Bank Account
REL000557,CID009516,CID007738,Business Partner
REL000558,CID000761,CID006751,Same Phone
REL000559,CID005998,CID003982,Gang Member
REL000560,CID009736,CID000320,Same Phone
REL000561,CID003703,CID001182,Brother
REL000562,CID004677,CID006617,Gang Member
REL000563,CID009219,CID000563,Brother
REL000564,CID005774,CID008658,Same Phone
REL000565,CID000305,CID004289,Same Phone
REL000566,CID002925,CID005950,Same Phone
REL000567,CID006066,CID001772,Brother
REL000568,CID000089,CID001538,Money Transfer
REL000569,CID004422,CID002940,Brother
REL000570,CID005533,CID009920,Brother
REL000571,CID004757,CID000567,Gang Member
REL000572,CID001289,CID006511,Brother
REL000573,CID005727,CID003034,Brother
REL000574,CID001001,CID003391,Same Vehicle
REL000575,CID006925,CID007574,Brother
REL000576,CID004215,CID000050,Business Partner
REL000577,CID004973,CID002063,Same Vehicle
REL000578,CID006011,CID005607,Associate
REL000579,CID004495,CID009572,Same Phone
REL000580,CID006899,CID000747,Brother
REL000581,CID005007,CID005175,Gang Member
REL000582,CID009671,CID004384,Same Phone
REL000583,CID001084,CID008668,Same Vehicle
REL000584,CID001718,CID006453,Same Bank Account
REL000585,CID006312,CID003059,Friend
REL000586,CID009904,CID001903,Business Partner
REL000587,CID005060,CID006236,Gang Member
REL000588,CID001661,CID004568,Friend
REL000589,CID001454,CID005290,Same Phone
REL000590,CID006599,CID006905,Same Vehicle
REL000591,CID008904,CID009420,Brother
REL000592,CID005512,CID008013,Money Transfer
REL000593,CID003483,CID001016,Associate
REL000594,CID004120,CID000782,Gang Member
REL000595,CID006385,CID006132,Money Transfer
REL000596,CID007521,CID001536,Same Phone
REL000597,CID002005,CID009891,Same Bank Account
REL000598,CID000088,CID007606,Same Bank Account
REL000599,CID004390,CID006210,Money Transfer
REL000600,CID007409,CID003562,Brother
REL000601,CID006316,CID006221,Business Partner
REL000602,CID006314,CID009629,Same Vehicle
REL000603,CID000671,CID009534,Gang Member
REL000604,CID006332,CID008072,Business Partner
REL000605,CID005956,CID002891,Money Transfer
REL000606,CID006506,CID005198,Money Transfer
REL000607,CID009294,CID000228,Same Bank Account
REL000608,CID007859,CID007981,Gang Member
REL000609,CID002567,CID002752,Money Transfer
REL000610,CID002487,CID000097,Business Partner
REL000611,CID009220,CID004809,Friend
REL000612,CID001471,CID000926,Same Bank Account
REL000613,CID007329,CID006570,Brother
REL000614,CID007578,CID002173,Friend
REL000615,CID002560,CID004913,Same Vehicle
REL000616,CID009535,CID006622,Associate
REL000617,CID008257,CID004975,Money Transfer
REL000618,CID000225,CID007611,Associate
REL000619,CID007503,CID007153,Associate
REL000620,CID004622,CID009390,Friend
REL000621,CID001202,CID002655,Friend
REL000622,CID001307,CID004531,Associate
REL000623,CID009348,CID000905,Associate
REL000624,CID003399,CID009731,Brother
REL000625,CID008511,CID005209,Same Bank Account
REL000626,CID007549,CID009414,Gang Member
REL000627,CID005954,CID006669,Money Transfer
REL000628,CID004869,CID001226,Money Transfer
REL000629,CID009776,CID000045,Gang Member
REL000630,CID000028,CID006043,Same Vehicle
REL000631,CID004514,CID005246,Gang Member
REL000632,CID005723,CID006574,Brother
REL000633,CID008554,CID006665,Associate
REL000634,CID009173,CID003268,Same Vehicle
REL000635,CID000623,CID004753,Money Transfer
REL000636,CID002180,CID005202,Money Transfer
REL000637,CID001373,CID002101,Same Phone
REL000638,CID006554,CID005297,Same Vehicle
REL000639,CID000198,CID003851,Business Partner
REL000640,CID004374,CID001508,Brother
REL000641,CID004481,CID000521,Money Transfer
REL000642,CID008849,CID004401,Gang Member
REL000643,CID003532,CID001411,Friend
REL000644,CID000382,CID001453,Same Vehicle
REL000645,CID007655,CID001647,Associate
REL000646,CID007214,CID009190,Associate
REL000647,CID002035,CID005695,Associate
REL000648,CID002287,CID006687,Brother
REL000649,CID003573,CID009494,Same Phone
REL000650,CID001482,CID003817,Same Bank Account
REL000651,CID003107,CID009541,Gang Member
REL000652,CID002567,CID008276,Same Bank Account
REL000653,CID000888,CID008604,Brother
REL000654,CID005554,CID009596,Same Bank Account
REL000655,CID004093,CID000615,Money Transfer
REL000656,CID005495,CID005212,Same Phone
REL000657,CID003214,CID000260,Same Vehicle
REL000658,CID000482,CID006078,Gang Member
REL000659,CID001682,CID005980,Friend
REL000660,CID004758,CID009369,Friend
REL000661,CID008749,CID008020,Friend
REL000662,CID001217,CID005084,Business Partner
REL000663,CID002697,CID005506,Brother
REL000664,CID008683,CID001099,Associate
