event_id,case_id,event
TIME000191,CASE000035,Forensic Report Received
TIME000192,CASE000036,Charge Sheet Filed
TIME000193,CASE000036,Suspect Identified
TIME000194,CASE000036,Evidence Collected
TIME000195,CASE000037,Forensic Report Received
TIME000196,CASE000037,Suspect Arrested
TIME000197,CASE000037,Charge Sheet Filed
TIME000198,CASE000037,Evidence Collected
TIME000199,CASE000037,Witness Statement Recorded
TIME000200,CASE000037,Suspect Identified
TIME000201,CASE000037,FIR Registered
TIME000202,CASE000038,Forensic Report Received
TIME000203,CASE000038,Evidence Collected
TIME000204,CASE000038,Complaint Registered
TIME000205,CASE000038,Suspect Identified
TIME000206,CASE000038,Witness Statement Recorded
TIME000207,CASE000038,Suspect Arrested
TIME000208,CASE000039,Forensic Report Received
TIME000209,CASE000039,Suspect Arrested
TIME000210,CASE000039,Witness Statement Recorded
TIME000211,CASE000039,Suspect Identified
TIME000212,CASE000039,FIR Registered
TIME000213,CASE000040,Suspect Arrested
TIME000214,CASE000040,Evidence Collected
TIME000215,CASE000040,FIR Registered
TIME000216,CASE000040,Forensic Report Received
TIME000217,CASE000040,Suspect Identified
TIME000218,CASE000040,Charge Sheet Filed
TIME000219,CASE000040,Witness Statement Recorded
TIME000220,CASE000040,Complaint Registered
TIME000221,CASE000041,Suspect Arrested
TIME000222,CASE000041,Witness Statement Recorded
TIME000223,CASE000041,Forensic Report Received
TIME000224,CASE000041,Complaint Registered
TIME000225,CASE000041,FIR Registered
TIME000226,CASE000041,Charge Sheet Filed
TIME000227,CASE000042,Complaint Registered
TIME000228,CASE000042,Charge Sheet Filed
TIME000229,CASE000042,Evidence Collected
TIME000230,CASE000042,FIR Registered
TIME000231,CASE000042,Witness Statement Recorded
TIME000232,CASE000042,Suspect Identified
TIME000233,CASE000043,Suspect Arrested
TIME000234,CASE000043,Charge Sheet Filed
TIME000235,CASE000043,Forensic Report Received
TIME000236,CASE000044,Complaint Registered
TIME000237,CASE000044,FIR Registered
TIME000238,CASE000044,Charge Sheet Filed
TIME000239,CASE000044,Evidence Collected
TIME000240,CASE000044,Forensic Report Received
TIME000241,CASE000045,Forensic Report Received
TIME000242,CASE000045,Evidence Collected
TIME000243,CASE000045,Suspect Arrested
TIME000244,CASE000045,Charge Sheet Filed
TIME000245,CASE000045,FIR Registered
TIME000246,CASE000045,Witness Statement Recorded
TIME000247,CASE000045,Complaint Registered
TIME000248,CASE000045,Suspect Identified
TIME000249,CASE000046,Suspect Arrested
TIME000250,CASE000046,Charge Sheet Filed
TIME000251,CASE000046,FIR Registered
TIME000252,CASE000046,Witness Statement Recorded
TIME000253,CASE000047,FIR Registered
TIME000254,CASE000047,Suspect Identified
TIME000255,CASE000047,Witness Statement Recorded
TIME000256,CASE000047,Charge Sheet Filed
TIME000257,CASE000047,Evidence Collected
TIME000258,CASE000047,Suspect Arrested
TIME000259,CASE000047,Forensic Report Received
TIME000260,CASE000048,Charge Sheet Filed
TIME000261,CASE000048,Suspect Arrested
TIME000262,CASE000048,Suspect Identified
TIME000263,CASE000048,Complaint Registered
TIME000264,CASE000049,Suspect Arrested
TIME000265,CASE000049,Charge Sheet Filed
TIME000266,CASE000049,FIR Registered
TIME000267,CASE000050,Evidence Collected
TIME000268,CASE000050,Forensic Report Received
TIME000269,CASE000050,Suspect Identified
TIME000270,CASE000050,FIR Registered
TIME000271,CASE000051,Complaint Registered
TIME000272,CASE000051,FIR Registered
TIME000273,CASE000051,Suspect Identified
TIME000274,CASE000051,Charge Sheet Filed
TIME000275,CASE000051,Forensic Report Received
TIME000276,CASE000051,Suspect Arrested
TIME000277,CASE000051,Witness Statement Recorded
TIME000278,CASE000052,Evidence Collected
TIME000279,CASE000052,Charge Sheet Filed
TIME000280,CASE000052,FIR Registered
TIME000281,CASE000052,Suspect Identified
TIME000282,CASE000052,Witness Statement Recorded
TIME000283,CASE000052,Forensic Report Received
TIME000284,CASE000053,Charge Sheet Filed
TIME000285,CASE000053,Witness Statement Recorded
TIME000286,CASE000053,Complaint Registered
TIME000287,CASE000053,FIR Registered
TIME000288,CASE000054,FIR Registered
TIME000289,CASE000054,Suspect Identified
TIME000290,CASE000054,Witness Statement Recorded
TIME000291,CASE000054,Charge Sheet Filed
TIME000292,CASE000055,Suspect Arrested
TIME000293,CASE000055,Complaint Registered
TIME000294,CASE000055,Suspect Identified
TIME000295,CASE000055,Charge Sheet Filed
TIME000296,CASE000055,Witness Statement Recorded
TIME000297,CASE000055,Forensic Report Received
TIME000298,CASE000055,Evidence Collected
TIME000299,CASE000056,Charge Sheet Filed
TIME000300,CASE000056,Complaint Registered
TIME000301,CASE000056,Suspect Arrested
TIME000302,CASE000056,Witness Statement Recorded
TIME000303,CASE000057,Forensic Report Received
TIME000304,CASE000057,Charge Sheet Filed
TIME000305,CASE000057,Complaint Registered
TIME000306,CASE000058,Complaint Registered
TIME000307,CASE000058,FIR Registered
TIME000308,CASE000058,Forensic Report Received
TIME000309,CASE000058,Suspect Arrested
TIME000310,CASE000058,Witness Statement Recorded
TIME000311,CASE000058,Suspect Identified
TIME000312,CASE000058,Evidence Collected
TIME000313,CASE000058,Charge Sheet Filed
TIME000314,CASE000059,Forensic Report Received
TIME000315,CASE000059,Witness Statement Recorded
TIME000316,CASE000059,Charge Sheet Filed
TIME000317,CASE000059,Suspect Identified
TIME000318,CASE000059,Complaint Registered
TIME000319,CASE000060,Complaint Registered
TIME000320,CASE000060,Witness Statement Recorded
TIME000321,CASE000060,Suspect Identified
TIME000322,CASE000060,Forensic Report Received
TIME000323,CASE000060,Charge Sheet Filed
TIME000324,CASE000061,Witness Statement Recorded
TIME000325,CASE000061,Evidence Collected
TIME000326,CASE000061,Charge Sheet Filed
TIME000327,CASE000061,Suspect Identified
TIME000328,CASE000061,Complaint Registered
TIME000329,CASE000061,FIR Registered
TIME000330,CASE000061,Suspect Arrested
TIME000331,CASE000062,Forensic Report Received
TIME000332,CASE000062,FIR Registered
TIME000333,CASE000062,Charge Sheet Filed
TIME000334,CASE000063,Charge Sheet Filed
TIME000335,CASE000063,Evidence Collected
TIME000336,CASE000063,Forensic Report Received
TIME000337,CASE000063,Complaint Registered
TIME000338,CASE000063,Witness Statement Recorded
TIME000339,CASE000063,FIR Registered
TIME000340,CASE000063,Suspect Arrested
TIME000341,CASE000063,Suspect Identified
TIME000342,CASE000064,Forensic Report Received
TIME000343,CASE000064,FIR Registered
TIME000344,CASE000064,Witness Statement Recorded
TIME000345,CASE000065,Witness Statement Recorded
TIME000346,CASE000065,Evidence Collected
TIME000347,CASE000065,Complaint Registered
TIME000348,CASE000066,Complaint Registered
TIME000349,CASE000066,Witness Statement Recorded
TIME000350,CASE000066,Suspect Identified
TIME000351,CASE000066,Suspect Arrested
TIME000352,CASE000067,Complaint Registered
TIME000353,CASE000067,Forensic Report Received
TIME000354,CASE000067,Suspect Arrested
TIME000355,CASE000067,FIR Registered
TIME000356,CASE000068,FIR Registered
TIME000357,CASE000068,Charge Sheet Filed
TIME000358,CASE000068,Evidence Collected
TIME000359,CASE000068,Complaint Registered
TIME000360,CASE000068,Suspect Identified
TIME000361,CASE000068,Forensic Report Received
TIME000362,CASE000069,FIR Registered
TIME000363,CASE000069,Complaint Registered
TIME000364,CASE000069,Witness Statement Recorded
TIME000365,CASE000069,Suspect Arrested
TIME000366,CASE000070,Forensic Report Received
TIME000367,CASE000070,FIR Registered
TIME000368,CASE000070,Charge Sheet Filed
TIME000369,CASE000071,Evidence Collected
TIME000370,CASE000071,Charge Sheet Filed
TIME000371,CASE000071,Suspect Identified
TIME000372,CASE000071,Forensic Report Received
TIME000373,CASE000071,FIR Registered
TIME000374,CASE000072,Witness Statement Recorded
TIME000375,CASE000072,FIR Registered
TIME000376,CASE000072,Suspect Arrested
TIME000377,CASE000072,Charge Sheet Filed
TIME000378,CASE000072,Complaint Registered
TIME000379,CASE000072,Suspect Identified
TIME000380,CASE000072,Evidence Collected
TIME000381,CASE000072,Forensic Report Received
TIME000382,CASE000073,FIR Registered
TIME000383,CASE000073,Charge Sheet Filed
TIME000384,CASE000073,Suspect Arrested
TIME000385,CASE000073,Forensic Report Received
TIME000386,CASE000074,Complaint Registered
TIME000387,CASE000074,Evidence Collected
TIME000388,CASE000074,Forensic Report Received
TIME000389,CASE000074,FIR Registered
TIME000390,CASE000074,Charge Sheet Filed
TIME000391,CASE000075,Forensic Report Received
TIME000392,CASE000075,Suspect Identified
TIME000393,CASE000075,Evidence Collected
TIME000394,CASE000075,Witness Statement Recorded
TIME000395,CASE000075,FIR Registered
TIME000396,CASE000076,Charge Sheet Filed
TIME000397,CASE000076,Witness Statement Recorded
TIME000398,CASE000076,Suspect Identified
TIME000399,CASE000076,FIR Registered
TIME000400,CASE000076,Evidence Collected
TIME000401,CASE000077,Suspect Identified
TIME000402,CASE000077,Suspect Arrested
TIME000403,CASE000077,Complaint Registered
TIME000404,CASE000077,Witness Statement Recorded
TIME000405,CASE000077,Forensic Report Received
TIME000406,CASE000077,Evidence Collected
TIME000407,CASE000078,Charge Sheet Filed
TIME000408,CASE000078,FIR Registered
TIME000409,CASE000078,Forensic Report Received
TIME000410,CASE000078,Suspect Arrested
TIME000411,CASE000079,Complaint Registered
TIME000412,CASE000079,Forensic Report Received
TIME000413,CASE000079,Evidence Collected
TIME000414,CASE000080,Witness Statement Recorded
TIME000415,CASE000080,Suspect Identified
TIME000416,CASE000080,FIR Registered
TIME000417,CASE000080,Suspect Arrested
TIME000418,CASE000081,Witness Statement Recorded
TIME000419,CASE000081,Forensic Report Received
TIME000420,CASE000081,Charge Sheet Filed
TIME000421,CASE000081,Suspect Arrested
TIME000422,CASE000081,Evidence Collected
TIME000423,CASE000081,Suspect Identified
TIME000424,CASE000081,FIR Registered
TIME000425,CASE000081,Complaint Registered
TIME000426,CASE000082,Witness Statement Recorded
TIME000427,CASE000082,Suspect Arrested
TIME000428,CASE000082,Evidence Collected
TIME000429,CASE000082,Charge Sheet Filed
TIME000430,CASE000082,Forensic Report Received
TIME000431,CASE000082,Complaint Registered
TIME000432,CASE000083,Forensic Report Received
TIME000433,CASE000083,Witness Statement Recorded
TIME000434,CASE000083,Charge Sheet Filed
TIME000435,CASE000083,Complaint Registered
TIME000436,CASE000083,Suspect Identified
TIME000437,CASE000083,Evidence Collected
TIME000438,CASE000084,FIR Registered
TIME000439,CASE000084,Witness Statement Recorded
TIME000440,CASE000084,Forensic Report Received
TIME000441,CASE000084,Evidence Collected
TIME000442,CASE000084,Charge Sheet Filed
TIME000443,CASE000084,Complaint Registered
TIME000444,CASE000085,Forensic Report Received
TIME000445,CASE000085,Witness Statement Recorded
TIME000446,CASE000085,Evidence Collected
TIME000447,CASE000085,Suspect Identified
TIME000448,CASE000086,Suspect Identified
TIME000449,CASE000086,FIR Registered
TIME000450,CASE000086,Evidence Collected
TIME000451,CASE000086,Suspect Arrested
TIME000452,CASE000086,Charge Sheet Filed
TIME000453,CASE000086,Complaint Registered
TIME000454,CASE000086,Forensic Report Received
TIME000455,CASE000086,Witness Statement Recorded
TIME000456,CASE000087,Suspect Identified
TIME000457,CASE000087,Charge Sheet Filed
TIME000458,CASE000087,Forensic Report Received
TIME000459,CASE000087,Suspect Arrested
TIME000460,CASE000088,Suspect Arrested
TIME000461,CASE000088,Complaint Registered
TIME000462,CASE000088,FIR Registered
TIME000463,CASE000088,Charge Sheet Filed
TIME000464,CASE000088,Forensic Report Received
TIME000465,CASE000088,Suspect Identified
TIME000466,CASE000088,Evidence Collected
TIME000467,CASE000088,Witness Statement Recorded
TIME000468,CASE000089,Charge Sheet Filed
TIME000469,CASE000089,Complaint Registered
TIME000470,CASE000089,Forensic Report Received
TIME000471,CASE000089,Witness Statement Recorded
TIME000472,CASE000089,FIR Registered
TIME000473,CASE000089,Suspect Identified
TIME000474,CASE000089,Evidence Collected
TIME000475,CASE000090,Suspect Identified
TIME000476,CASE000090,Suspect Arrested
TIME000477,CASE000090,Complaint Registered
TIME000478,CASE000090,Witness Statement Recorded
TIME000479,CASE000090,Forensic Report Received
TIME000480,CASE000090,Charge Sheet Filed
TIME000481,CASE000090,Evidence Collected
TIME000482,CASE000090,FIR Registered
TIME000483,CASE000091,FIR Registered
TIME000484,CASE000091,Charge Sheet Filed
TIME000485,CASE000091,Forensic Report Received
TIME000486,CASE000091,Suspect Arrested
TIME000487,CASE000092,Suspect Identified
TIME000488,CASE000092,Charge Sheet Filed
TIME000489,CASE000092,FIR Registered
TIME000490,CASE000092,Witness Statement Recorded
TIME000491,CASE000092,Forensic Report Received
TIME000492,CASE000092,Evidence Collected
TIME000493,CASE000092,Complaint Registered
TIME000494,CASE000093,Evidence Collected
TIME000495,CASE000093,Suspect Identified
TIME000496,CASE000093,Forensic Report Received
TIME000497,CASE000093,Suspect Arrested
TIME000498,CASE000093,FIR Registered
TIME000499,CASE000094,FIR Registered
TIME000500,CASE000094,Witness Statement Recorded
TIME000501,CASE000094,Suspect Arrested
TIME000502,CASE000094,Complaint Registered
TIME000503,CASE000094,Charge Sheet Filed
TIME000504,CASE000094,Evidence Collected
TIME000505,CASE000094,Forensic Report Received
TIME000506,CASE000095,Suspect Arrested
TIME000507,CASE000095,Complaint Registered
TIME000508,CASE000095,Evidence Collected
TIME000509,CASE000096,Witness Statement Recorded
TIME000510,CASE000096,Suspect Arrested
TIME000511,CASE000096,Charge Sheet Filed
TIME000512,CASE000096,Forensic Report Received
TIME000513,CASE000096,FIR Registered
TIME000514,CASE000096,Complaint Registered
TIME000515,CASE000097,Forensic Report Received
TIME000516,CASE000097,Witness Statement Recorded
TIME000517,CASE000097,Suspect Arrested
TIME000518,CASE000097,Charge Sheet Filed
TIME000519,CASE000097,FIR Registered
TIME000520,CASE000097,Suspect Identified
TIME000521,CASE000097,Evidence Collected
TIME000522,CASE000097,Complaint Registered
TIME000523,CASE000098,Complaint Registered
TIME000524,CASE000098,Suspect Identified
TIME000525,CASE000098,Suspect Arrested
TIME000526,CASE000098,FIR Registered
TIME000527,CASE000099,Witness Statement Recorded
TIME000528,CASE000099,Evidence Collected
TIME000529,CASE000099,Suspect Identified
TIME000530,CASE000099,Forensic Report Received
TIME000531,CASE000099,Charge Sheet Filed
TIME000532,CASE000099,FIR Registered
TIME000533,CASE000099,Suspect Arrested
TIME000534,CASE000099,Complaint Registered
TIME000535,CASE000100,Charge Sheet Filed
TIME000536,CASE000100,Forensic Report Received
TIME000537,CASE000100,Suspect Identified
TIME000538,CASE000101,FIR Registered
TIME000539,CASE000101,Suspect Identified
TIME000540,CASE000101,Evidence Collected
TIME000541,CASE000101,Witness Statement Recorded
TIME000542,CASE000101,Suspect Arrested
TIME000543,CASE000102,Suspect Arrested
TIME000544,CASE000102,Forensic Report Received
TIME000545,CASE000102,Charge Sheet Filed
TIME000546,CASE000102,Witness Statement Recorded
TIME000547,CASE000102,Suspect Identified
TIME000548,CASE000102,Complaint Registered
TIME000549,CASE000102,Evidence Collected
TIME000550,CASE000102,FIR Registered
TIME000551,CASE000103,Evidence Collected
TIME000552,CASE000103,Complaint Registered
TIME000553,CASE000103,Charge Sheet Filed
TIME000554,CASE000104,Complaint Registered
TIME000555,CASE000104,Witness Statement Recorded
TIME000556,CASE000104,Forensic Report Received
TIME000557,CASE000104,FIR Registered
TIME000558,CASE000104,Evidence Collected
TIME000559,CASE000104,Suspect Arrested
TIME000560,CASE000105,Charge Sheet Filed
TIME000561,CASE000105,Complaint Registered
TIME000562,CASE000105,Witness Statement Recorded
TIME000563,CASE000105,Suspect Arrested
TIME000564,CASE000105,FIR Registered
TIME000565,CASE000105,Evidence Collected
TIME000566,CASE000105,Suspect Identified
TIME000567,CASE000106,FIR Registered
TIME000568,CASE000106,Suspect Arrested
TIME000569,CASE000106,Evidence Collected
TIME000570,CASE000106,Complaint Registered
TIME000571,CASE000107,Witness Statement Recorded
TIME000572,CASE000107,Complaint Registered
TIME000573,CASE000107,FIR Registered
TIME000574,CASE000107,Charge Sheet Filed
TIME000575,CASE000107,Forensic Report Received
TIME000576,CASE000107,Suspect Identified
TIME000577,CASE000108,Suspect Identified
TIME000578,CASE000108,Forensic Report Received
TIME000579,CASE000108,Charge Sheet Filed
TIME000580,CASE000108,Complaint Registered
TIME000581,CASE000109,Witness Statement Recorded
TIME000582,CASE000109,Evidence Collected
TIME000583,CASE000109,Suspect Arrested
TIME000584,CASE000109,FIR Registered
TIME000585,CASE000109,Complaint Registered
TIME000586,CASE000109,Suspect Identified
TIME000587,CASE000110,Witness Statement Recorded
TIME000588,CASE000110,Suspect Arrested
TIME000589,CASE000110,FIR Registered
TIME000590,CASE000111,Evidence Collected
TIME000591,CASE000111,Charge Sheet Filed
TIME000592,CASE000111,Forensic Report Received
TIME000593,CASE000111,Witness Statement Recorded
TIME000594,CASE000111,FIR Registered
TIME000595,CASE000112,Evidence Collected
TIME000596,CASE000112,Suspect Identified
TIME000597,CASE000112,Charge Sheet Filed
TIME000598,CASE000112,Forensic Report Received
TIME000599,CASE000112,FIR Registered
TIME000600,CASE000112,Complaint Registered
TIME000601,CASE000112,Suspect Arrested
TIME000602,CASE000113,FIR Registered
TIME000603,CASE000113,Evidence Collected
TIME000604,CASE000113,Forensic Report Received
TIME000605,CASE000113,Suspect Identified
TIME000606,CASE000113,Complaint Registered
TIME000607,CASE000113,Charge Sheet Filed
TIME000608,CASE000113,Suspect Arrested
TIME000609,CASE000114,FIR Registered
TIME000610,CASE000114,Forensic Report Received
TIME000611,CASE000114,Suspect Identified
TIME000612,CASE000114,Complaint Registered
TIME000613,CASE000114,Charge Sheet Filed
TIME000614,CASE000114,Suspect Arrested
TIME000615,CASE000114,Witness Statement Recorded
TIME000616,CASE000115,Suspect Arrested
TIME000617,CASE000115,Complaint Registered
TIME000618,CASE000115,Charge Sheet Filed
TIME000619,CASE000115,FIR Registered
TIME000620,CASE000115,Witness Statement Recorded
TIME000621,CASE000115,Evidence Collected
TIME000622,CASE000115,Forensic Report Received
TIME000623,CASE000115,Suspect Identified
TIME000624,CASE000116,Witness Statement Recorded
TIME000625,CASE000116,Forensic Report Received
TIME000626,CASE000116,Complaint Registered
TIME000627,CASE000116,Charge Sheet Filed
TIME000628,CASE000116,Evidence Collected
TIME000629,CASE000116,Suspect Arrested
TIME000630,CASE000116,FIR Registered
TIME000631,CASE000116,Suspect Identified
TIME000632,CASE000117,Suspect Arrested
TIME000633,CASE000117,Charge Sheet Filed
TIME000634,CASE000117,Suspect Identified
TIME000635,CASE000118,Complaint Registered
TIME000636,CASE000118,Witness Statement Recorded
TIME000637,CASE000118,Forensic Report Received
TIME000638,CASE000118,Evidence Collected
TIME000639,CASE000118,Charge Sheet Filed
TIME000640,CASE000118,FIR Registered
TIME000641,CASE000118,Suspect Arrested
TIME000642,CASE000119,Charge Sheet Filed
TIME000643,CASE000119,Suspect Identified
TIME000644,CASE000119,Witness Statement Recorded
TIME000645,CASE000119,FIR Registered
TIME000646,CASE000119,Evidence Collected
TIME000647,CASE000119,Complaint Registered
TIME000648,CASE000119,Suspect Arrested
TIME000649,CASE000120,Witness Statement Recorded
TIME000650,CASE000120,Evidence Collected
TIME000651,CASE000120,Suspect Arrested
TIME000652,CASE000120,Forensic Report Received
TIME000653,CASE000120,FIR Registered
TIME000654,CASE000121,Witness Statement Recorded
TIME000655,CASE000121,Suspect Arrested
TIME000656,CASE000121,FIR Registered
TIME000657,CASE000122,Forensic Report Received
TIME000658,CASE000122,Charge Sheet Filed
TIME000659,CASE000122,Suspect Arrested
TIME000660,CASE000122,Complaint Registered
TIME000661,CASE000123,Evidence Collected
TIME000662,CASE000123,Charge Sheet Filed
TIME000663,CASE000123,Forensic Report Received
TIME000664,CASE000124,Evidence Collected
TIME000665,CASE000124,Suspect Arrested
TIME000666,CASE000124,Complaint Registered
TIME000667,CASE000124,Forensic Report Received
TIME000668,CASE000124,Charge Sheet Filed
